date,累计确诊,治愈,死亡,新增确诊
2020.4.7,54,4,2,3
2020.4.8,56,4,2,1
2020.4.9,65,4,2,9
2020.4.10,65,4,3,1
2020.4.12,74,14,3,3
2020.4.13,82,14,3,3
2020.4.14,85,15,3,3
2020.4.15,92,15,3,7
2020.4.16,96,15,3,4
2020.4.17,105,16,3,9
2020.4.18,108,16,3,3
2020.4.19,111,16,3,3
2020.4.20,114,16,3,3
2020.4.21,116,21,3,2
2020.4.23,117,21,3,1
2020.4.24,122,29,3,5
2020.4.25,123,41,3,1
2020.4.27,126,50,3,2
2020.4.28,130,58,3,4
2020.4.29,131,59,3,1
2020.4.30,133,66,3,2
2020.5.2,135,75,3,2
2020.5.3,140,75,3,5
2020.5.4,145,91,4,5
2020.5.5,162,93,4,17
2020.5.6,187,93,4,25
2020.5.7,191,93,4,4
2020.5.8,210,97,5,16
2020.5.9,239,99,5,29
2020.5.10,250,105,5,29
2020.5.11,261,106,5,11
2020.5.12,263,108,5,11
2020.5.13,272,108,5,9
2020.5.14,287,112,5,15
2020.5.15,306,113,5,19
2020.5.16,317,113,5,11
2020.5.17,352,116,5,35
2020.5.18,352,116,5,35
2020.5.19,365,120,5,13
2020.5.20,389,122,5,24
2020.5.21,398,123,5,9
2020.5.22,433,128,5,35
2020.5.23,494,151,5,61
2020.5.24,582,152,5,88
2020.5.25,655,159,5,73
2020.5.26,701,167,6,46
2020.5.27,731,181,6,30
2020.5.28,831,191,7,100
2020.5.29,968,197,8,137
2020.5.30,1063,208,8,95
2020.5.31,1172,209,11,109
2020.6.1,1257,217,12,85
2020.6.2,1344,231,14,87
2020.6.3,1486,246,17,142
2020.6.4,1636,250,18,150
2020.6.5,1805,262,19,169
2020.6.6,1934,281,20,129
2020.6.7,2020,344,27,86
2020.6.8,2156,361,27,136
2020.6.9,2336,379,32,180
2020.6.10,2506,401,35,170
2020.6.11,2670,434,40,164
2020.6.12,2915,451,47,245
2020.6.13,3166,495,55,251
2020.6.14,3345,545,57,179
2020.6.15,3521,620,60,176
2020.6.16,3630,738,61,109
2020.6.17,3759,849,63,129
2020.6.18,3954,934,65,195
2020.6.19,4070,1027,72,116
2020.6.20,4469,1029,72,399
2020.6.21,4532,1213,74,63
2020.6.22,4663,1297,75,131
2020.6.23,4848,1412,75,185
2020.6.24,5034,1486,78,186
2020.6.25,5175,1544,81,141
2020.6.26,5425,1688,89,250
2020.6.27,5570,2015,94,145
2020.6.28,5689,2132,98,119
2020.6.29,5846,2430,103,157
2020.6.30,5846,2430,103,0
2020.7.1,5846,2430,103,0
2020.7.2,5846,2430,103,0
2020.7.3,5846,2430,103,0
2020.7.4,5846,2430,103,0
2020.7.5,5846,2430,103,0
2020.7.6,5846,2430,103,0
2020.7.7,5846,2430,103,0
2020.7.8,5846,2430,103,0
2020.7.9,6774,2430,120,928
2020.7.10,6973,2430,120,199
2020.7.11,7120,2430,124,147
2020.7.12,7402,2430,124,282
2020.7.13,7766,2430,128,364
2020.7.14,7766,2430,128,0
2020.7.15,7969,2430,139,203
2020.7.16,8181,2430,146,212
2020.7.17,8475,2430,148,294
2020.7.18,8803,2430,150,328
2020.7.19,9147,2430,163,344
2020.7.20,9503,2430,167,356
2020.7.21,10207,2430,170,704
2020.7.22,11072,5448,180,865
2020.7.23,11524,5506,188,452
2020.7.24,12693,5785,200,1169
2020.7.25,13248,5966,209,555
2020.7.26,13248,5966,209,0
2020.7.27,13968,6216,223,720
2020.7.28,15200,6526,239,1232
2020.7.29,15810,6685,253,610
2020.7.30,15810,6685,253,0
2020.7.31,17530,6950,274,1720
2020.8.1,17530,6950,274,0
2020.8.2,17999,7195,284,469
2020.8.3,18706,7601,310,707
2020.8.4,19877,8240,343,1171
2020.8.5,20336,8598,356,459
2020.8.6,20336,8598,356,0
2020.8.7,20900,9027,365,564
2020.8.8,21452,9415,380,552
2020.8.9,22253,9707,390,801
2020.8.10,22818,10206,407,565
2020.8.11,23591,10411,420,773
2020.8.12,24175,10696,440,584
2020.8.13,25118,11034,463,943
2020.8.14,26204,11428,479,1086
2020.8.15,27242,11660,492,1038
2020.8.16,28894,12037,509,1652
2020.8.17,29876,12359,528,982
2020.8.18,31336,12524,544,1460
2020.8.19,32722,12938,572,1386
2020.8.20,34058,13308,600,1336
2020.8.21,35836,13536,620,1778
2020.8.22,37665,13913,637,1829
2020.8.23,39033,14480,662,1368
2020.8.24,40671,14995,678,1638
2020.8.25,42143,15262,692,1472
2020.8.26,43688,15796,709,1545
2020.8.27,45221,16311,725,1533
2020.8.28,46407,16829,745,1186
2020.8.29,48140,17415,758,1733
2020.8.30,49654,18116,770,1514
2020.8.31,51122,18382,793,1468
2020.9.1,52131,18994,809,1009
2020.9.2,53304,19487,828,1173
2020.9.3,54409,19903,846,1105
2020.9.4,55213,20283,856,804
2020.9.5,56516,20612,880,1303
2020.9.6,57466,20776,897,950
2020.9.7,58672,21307,918,1206
2020.9.8,59648,21789,933,976
2020.9.9,60784,22677,949,1136
2020.9.10,61700,23054,966,916
2020.9.11,62578,23640,974,878
2020.9.12,63367,24024,986,789
2020.9.13,63888,24493,996,521
2020.9.14,64301,24983,1013,413
2020.9.15,64786,25333,1022,485
2020.9.16,65486,25988,1035,700
2020.9.17,66224,26665,1045,738
2020.9.18,66913,27085,1060,689
2020.9.19,67515,27638,1072,602
2020.9.20,68131,27939,1089,616
2020.9.21,68820,28314,1096,689
2020.9.22,69709,28634,1108,889
2020.9.23,70422,28991,1127,713
2020.9.24,71083,29253,1141,661
2020.9.25,71687,29461,1148,604
2020.9.26,72173,29863,1155,486
2020.9.27,72700,30029,1165,527
2020.9.28,73332,30363,1170,632
2020.9.29,73944,30753,1177,612
2020.9.30,74584,30952,1191,640
2020.10.1,75368,31204,1198,784
2020.10.2,76098,31430,1205,730
2020.10.3,76988,31677,1208,890
2020.10.4,77860,32325,1214,872
2020.10.5,78819,33060,1222,959
2020.10.6,79437,34016,1230,618
2020.10.7,80003,34960,1238,566
2020.10.8,80895,35670,1255,892
2020.10.9,81797,36434,1262,902
2020.10.10,82662,37102,1271,865
2020.10.11,83429,37683,1277,767
2020.10.12,84295,38316,1287,866
2020.10.13,85136,38904,1301,841
2020.10.14,85718,39307,1305,582
2020.10.15,86430,40165,1312,712
2020.10.16,87169,40988,1325,739
2020.10.17,87834,41628,1337,665
2020.10.18,88434,42099,1346,600
2020.10.19,89137,42649,1352,703
2020.10.20,89860,43149,1365,723
2020.10.21,90490,43638,1371,630
2020.10.22,91118,44506,1384,628
2020.10.23,91693,45260,1396,575
2020.10.24,92229,46118,1400,536
2020.10.25,92858,46842,1419,629
2020.10.26,93343,47543,1426,485
2020.10.27,93707,48150,1437,364
2020.10.28,94218,48968,1445,511
2020.10.29,94820,49886,1451,602
2020.10.30,95301,50753,1457,481
2020.10.31,95789,51713,1464,488
2020.11.1,96169,52517,1469,380
2020.11.2,96583,53452,1478,414
2020.11.3,96942,54405,1489,359
2020.11.4,97502,55254,1494,560
2020.11.5,97881,56156,1503,379
2020.11.6,98391,57114,1508,510
2020.11.7,98746,58103,1512,355
2020.11.8,99201,58948,1518,455
2020.11.9,99675,59766,1523,474
2020.11.10,99982,60710,1530,307
2020.11.11,100327,61516,1537,345
2020.11.12,100727,62497,1545,400
2020.11.13,101248,63268,1554,521
2020.11.14,101757,63571,1558,509
2020.11.15,102321,63675,1565,564
2020.11.16,102720,63866,1569,399
2020.11.17,103056,64130,1581,336
2020.11.18,103395,64293,1588,339
2020.11.19,103928,64593,1601,533
2020.11.20,104427,64983,1607,499
2020.11.21,104879,65325,1620,452
2020.11.22,105352,65534,1636,473
2020.11.23,105785,65691,1647,433
2020.11.24,106203,65839,1651,418
2020.11.25,106591,66018,1661,388
