date,累计确诊,治愈,死亡,新增确诊
2020.4.7,244,113,2,7
2020.4.8,250,123,2,6
2020.4.9,265,137,2,15
2020.4.11,278,152,2,13
2020.4.12,291,178,2,11
2020.4.13,299,183,2,11
2020.4.14,314,190,2,15
2020.4.15,335,194,2,21
2020.4.16,342,198,2,7
2020.4.17,350,211,3,8
2020.4.19,367,220,3,17
2020.4.20,412,242,5,35
2020.4.21,442,253,6,30
2020.4.22,479,257,6,37
2020.4.23,545,262,6,66
2020.4.24,614,276,7,69
2020.4.25,671,283,8,57
2020.4.26,736,284,9,65
2020.4.27,823,296,9,87
2020.4.28,882,315,9,59
2020.4.29,933,334,9,51
2020.4.30,1024,356,9,91
2020.5.2,1115,368,9,91
2020.5.3,1271,415,10,89
2020.5.4,1329,470,11,58
2020.5.5,1433,493,12,104
2020.5.6,1492,562,13,59
2020.5.7,1551,611,13,59
2020.5.8,1634,643,15,83
2020.5.9,1709,650,18,75
2020.5.10,1886,715,19,177
2020.5.11,1995,742,19,109
2020.5.12,2105,782,21,110
2020.5.13,2189,842,23,84
2020.5.14,2310,890,25,121
2020.5.15,2429,949,25,119
2020.5.16,2480,973,25,51
2020.5.17,2544,1076,26,64
2020.5.18,2544,1076,26,64
2020.5.19,2617,1133,30,73
2020.5.20,2714,1186,30,97
2020.5.21,2812,1251,30,98
2020.5.22,2909,1311,33,97
2020.5.23,2976,1416,34,67
2020.5.24,3047,1456,35,71
2020.5.25,3130,1515,35,83
2020.5.26,3161,1565,36,31
2020.5.27,3253,1586,38,92
2020.5.28,3348,1686,39,95
2020.5.29,3429,1738,41,81
2020.5.30,3535,1761,42,106
2020.5.31,3645,1801,42,110
2020.6.1,3739,1858,42,94
2020.6.2,3836,1954,43,97
2020.6.3,3932,2063,45,96
2020.6.4,4021,2162,45,89
2020.6.5,4155,2276,45,134
2020.6.6,4249,2512,47,94
2020.6.7,4328,2588,49,79
2020.6.8,4427,2699,49,99
2020.6.9,4516,2809,52,89
2020.6.10,4640,2885,52,124
2020.6.11,4759,2994,55,119
2020.6.12,4851,3100,56,92
2020.6.13,4996,3228,60,145
2020.6.14,5090,3344,60,94
2020.6.15,5173,3424,64,83
2020.6.16,5247,3525,70,74
2020.6.17,5369,3606,73,122
2020.6.18,5475,3716,76,106
2020.6.19,5639,3788,79,164
2020.6.20,5783,3859,82,144
2020.6.21,5888,3919,84,105
2020.6.22,5970,3953,86,82
2020.6.23,6034,4046,89,64
2020.6.24,6129,4072,93,95
2020.6.25,6233,4162,94,104
2020.6.26,6354,4193,98,121
2020.6.27,6459,4255,102,105
2020.6.28,6586,4291,105,127
2020.6.29,6698,4341,108,112
2020.6.30,6793,4431,112,95
2020.7.1,6925,4545,116,132
2020.7.2,7054,4599,121,129
2020.7.3,7164,4666,125,110
2020.7.4,7272,4713,129,108
2020.7.5,7400,4870,133,128
2020.7.6,7400,4870,133,0
2020.7.7,7547,5023,137,147
2020.7.8,7657,5097,141,110
2020.7.9,7784,5169,143,127
2020.7.10,7882,5311,145,98
2020.7.11,8014,5381,145,132
2020.7.12,8135,5446,148,121
