date,累计确诊,治愈,死亡,新增确诊
2020.4.7,2666,118,65,247
2020.4.8,2867,118,66,201
2020.4.9,3105,118,71,238
2020.4.12,4054,400,85,424
2020.4.13,4465,400,94,411
2020.4.14,4873,400,99,411
2020.4.16,5690,534,110,372
2020.4.17,5994,637,117,304
2020.4.18,6318,753,122,324
2020.4.19,6630,870,125,312
2020.4.20,6890,977,130,260
2020.4.21,7114,1025,134,224
2020.4.22,7276,1063,139,162
2020.4.23,7483,1094,144,207
2020.4.24,7779,1152,151,296
2020.4.25,8042,1182,156,263
2020.4.26,8275,1209,162,233
2020.4.27,8497,1260,168,222
2020.4.28,8724,1292,173,227
2020.4.29,9009,1343,179,285
2020.4.30,9205,1379,185,196
2020.5.1,9362,1426,189,157
2020.5.2,9464,1551,193,102
2020.5.3,9557,1574,197,93
2020.5.4,9677,1723,200,120
2020.5.5,9791,1971,203,114
2020.5.6,9848,2160,206,57
2020.5.7,9943,2453,209,95
2020.5.8,10032,2732,213,89
2020.5.9,10114,2732,215,82
2020.5.10,10176,3290,218,62
2020.5.12,10243,3600,220,67
2020.5.13,10374,4084,224,79
2020.5.14,10438,4301,225,64
2020.5.15,10496,4479,228,58
2020.5.16,10610,4713,230,114
2020.5.17,10699,4799,231,89
2020.5.18,10699,4799,231,0
2020.5.19,10733,4904,234,34
2020.5.20,10833,5067,235,100
2020.5.21,10919,5370,237,86
2020.5.22,11024,5541,237,105
2020.5.23,11092,5699,238,68
2020.5.24,11159,5857,238,67
2020.5.25,11193,5920,239,34
2020.5.26,11227,6067,239,34
2020.5.27,11275,6277,240,48
2020.5.28,11300,6438,241,25
2020.5.29,11354,6524,242,54
2020.5.30,11381,6606,242,27
2020.5.31,11412,6698,243,31
2020.6.1,11430,6726,244,18
2020.6.2,11454,6766,245,24
2020.6.3,11523,6852,245,69
2020.6.4,11571,6910,246,48
2020.6.5,11667,6931,247,96
2020.6.6,11741,11056,248,74
2020.6.7,11823,11348,249,82
2020.6.8,11896,11348,250,73
2020.6.9,11965,11348,250,69
2020.6.10,12031,11348,251,66
2020.6.11,12102,11348,252,71
2020.6.12,12175,11348,252,73
2020.6.13,12251,11348,253,76
2020.6.14,12310,11511,254,59
2020.6.15,12367,11511,255,57
2020.6.16,12426,11511,256,59
2020.6.17,12522,11511,257,96
2020.6.18,12616,11511,258,94
2020.6.19,12709,11511,259,93
2020.6.20,12803,11511,260,94
2020.6.21,12894,11947,261,91
2020.6.22,12990,11997,262,96
2020.6.23,13092,12054,263,102
2020.6.24,13235,12111,263,143
2020.6.25,13372,12154,264,137
2020.6.26,13565,12232,265,193
2020.6.27,13792,12338,267,227
2020.6.28,14046,12464,270,254
2020.6.29,14288,12581,274,242
2020.6.30,14564,12662,277,276
2020.7.1,14836,12772,281,272
2020.7.2,15195,12912,287,359
2020.7.3,15504,13064,298,309
2020.7.4,15829,13064,306,325
2020.7.5,16131,13064,311,302
2020.7.6,16420,13366,317,289
2020.7.7,16719,13366,330,299
2020.7.8,17076,13366,341,357
2020.7.9,17342,13651,352,266
2020.7.10,17728,13651,370,386
2020.7.11,18073,13780,382,345
