date,累计确诊,治愈,死亡,新增确诊
2020.4.10,8,0,0,1
2020.4.11,10,0,0,2
2020.4.13,11,0,0,1
2020.4.14,13,0,0,2
2020.4.16,26,0,0,11
2020.4.17,30,0,0,4
2020.4.18,30,0,0,4
2020.4.19,35,6,0,5
2020.4.20,50,6,0,7
2020.4.21,61,6,0,11
2020.4.23,64,10,1,3
2020.4.24,82,10,3,18
2020.4.25,86,10,3,4
2020.4.27,104,12,4,5
2020.4.29,116,14,4,12
2020.4.30,136,21,7,12
2020.5.1,155,21,8,19
2020.5.2,157,29,8,2
2020.5.3,178,37,9,11
2020.5.4,199,43,11,21
2020.5.5,225,54,14,26
2020.5.6,231,54,16,6
2020.5.7,257,54,17,26
2020.5.8,291,58,18,34
2020.5.9,307,67,18,16
2020.5.10,338,72,19,31
2020.5.13,387,97,26,49
2020.5.15,447,97,27,39
2020.5.16,462,106,29,15
2020.5.17,505,141,32,43
2020.5.18,505,141,32,0
2020.5.19,519,148,33,14
2020.5.20,570,205,34,51
2020.5.21,570,205,34,0
2020.5.22,606,230,38,36
2020.5.23,606,230,38,0
2020.5.24,707,241,40,101
2020.5.25,735,293,42,28
2020.5.26,754,297,44,19
2020.5.27,782,297,45,28
2020.5.28,812,361,45,30
2020.5.29,829,386,45,17
2020.5.30,852,415,46,23
2020.5.31,861,454,46,9
2020.6.1,865,475,46,4
2020.6.2,896,480,46,31
2020.6.3,909,491,47,13
2020.6.4,914,491,47,5
2020.6.5,929,580,47,15
2020.6.6,946,600,48,17
2020.6.7,969,608,48,23
2020.6.8,1001,611,49,32
2020.6.9,1025,621,50,24
2020.6.10,1062,637,50,37
2020.6.11,1062,637,50,0
2020.6.12,1103,648,51,41
2020.6.13,1132,670,51,29
2020.6.14,1169,680,51,37
2020.6.15,1176,683,51,7
2020.6.16,1176,683,51,0
2020.6.17,1225,686,51,49
2020.6.18,1249,707,51,24
2020.6.19,1272,710,51,23
2020.6.20,1309,746,53,37
2020.6.21,1309,746,53,0
2020.6.22,1327,788,55,18
2020.6.23,1340,788,55,13
