date,累计确诊,治愈,死亡,新增确诊
2020.4.8,526,52,11,32
2020.4.9,564,53,11,38
2020.4.10,595,58,11,31
2020.4.11,616,61,11,21
2020.4.12,633,61,11,17
2020.4.13,662,65,12,29
2020.4.14,695,65,12,33
2020.4.15,715,65,12,20
2020.4.16,735,77,12,20
2020.4.17,750,77,12,15
2020.4.18,761,79,12,11
2020.4.19,767,81,12,6
2020.4.20,772,81,12,5
2020.4.21,784,98,12,12
2020.4.22,790,98,13,6
2020.4.23,795,98,13,5
2020.4.24,804,98,14,9
2020.4.25,810,148,14,6
2020.4.26,817,148,14,7
2020.4.27,822,148,15,5
2020.4.28,837,148,15,15
2020.4.30,850,148,15,7
2020.5.1,857,296,15,7
2020.5.2,864,296,15,7
2020.5.5,878,296,15,4
2020.5.6,883,296,15,5
2020.5.7,889,400,15,6
2020.5.12,903,449,16,2
2020.5.13,905,449,17,2
2020.5.14,907,481,17,2
2020.5.15,910,481,17,2
2020.5.16,914,515,17,4
2020.5.17,916,515,17,2
2020.5.18,917,515,17,1
2020.5.19,918,515,17,1
2020.5.20,918,516,17,0
2020.5.21,922,516,17,4
2020.5.22,927,561,17,5
2020.5.23,927,561,17,0
2020.5.24,935,594,17,8
2020.5.25,935,594,17,0
2020.5.26,939,594,17,4
2020.5.27,939,594,17,0
2020.5.28,939,594,17,0
2020.5.29,941,784,17,2
2020.5.30,944,784,17,3
2020.5.31,944,790,17,0
2020.6.1,944,790,17,0
2020.6.2,949,790,17,5
2020.6.3,958,790,17,9
2020.6.4,958,790,17,0
2020.6.5,958,807,17,0
2020.6.6,960,807,17,2
2020.6.7,964,807,18,4
2020.6.8,964,807,18,0
2020.6.9,970,807,18,6
2020.6.10,972,807,18,2
2020.6.11,974,807,18,2
2020.6.12,975,807,18,1
2020.6.13,980,807,18,5
2020.6.14,980,807,18,0
2020.6.15,985,807,18,5
2020.6.16,985,807,18,0
2020.6.17,985,816,18,0
2020.6.18,985,816,18,0
2020.6.19,985,818,19,0
2020.6.20,985,818,19,0
2020.6.21,986,824,19,1
2020.6.22,986,824,19,0
2020.6.23,988,824,19,2
2020.6.24,990,824,19,2
2020.6.25,991,824,19,1
2020.6.26,992,824,19,1
2020.6.27,992,824,19,0
2020.6.28,994,824,19,2
2020.6.29,994,833,19,0
2020.6.30,996,833,19,2
2020.7.1,998,833,19,2
2020.7.2,999,833,19,1
2020.7.3,999,833,19,0
2020.7.4,999,839,19,0
2020.7.5,1002,839,19,3
2020.7.6,1003,839,19,1
2020.7.7,1004,839,19,1
2020.7.8,1005,839,19,1
2020.7.9,1008,839,19,3
2020.7.10,1010,839,19,2
2020.7.11,1013,839,19,3
2020.7.12,1021,839,19,8
2020.7.13,1022,839,19,1
2020.7.14,1023,839,19,1
2020.7.15,1023,839,19,0
2020.7.16,1025,839,19,2
2020.7.17,1031,845,19,6
2020.7.18,1033,845,19,2
2020.7.19,1037,845,19,4
2020.7.20,1038,845,19,1
2020.7.21,1038,847,19,0
2020.7.22,1040,847,19,2
2020.7.23,1040,847,19,0
2020.7.24,1047,847,19,7
2020.7.25,1047,847,19,0
2020.7.26,1053,852,19,6
2020.7.27,1057,852,19,4
2020.7.28,1060,852,19,3
2020.7.29,1067,852,19,7
2020.7.30,1080,852,19,13
2020.7.31,1090,852,19,10
2020.8.1,1119,852,19,29
2020.8.2,1139,856,19,20
2020.8.3,1150,856,19,11
2020.8.4,1155,856,19,5
2020.8.5,1180,856,19,25
2020.8.6,1195,856,19,15
2020.8.7,1208,856,19,13
2020.8.8,1222,856,19,14
2020.8.9,1233,856,19,11
2020.8.10,1242,870,19,9
2020.8.11,1252,870,19,10
2020.8.12,1277,870,20,25
2020.8.13,1305,870,20,28
2020.8.14,1318,870,20,13
2020.8.15,1318,870,20,0
2020.8.16,1332,870,20,14
2020.8.17,1351,870,20,19
2020.8.18,1351,870,20,0
2020.8.19,1359,878,20,8
2020.8.20,1385,878,20,26
2020.8.21,1406,878,20,21
2020.8.22,1406,878,20,0
2020.8.23,1417,878,20,11
2020.8.24,1451,878,20,34
2020.8.25,1451,878,20,0
2020.8.26,1484,935,20,33
2020.8.27,1484,935,20,0
2020.8.28,1481,935,20,0
2020.8.29,1481,935,20,0
2020.8.30,1483,935,20,2
2020.8.31,1487,1139,20,4
2020.9.1,1488,1139,20,1
2020.9.2,1490,1139,21,2
2020.9.3,1495,1139,21,5
2020.9.4,1498,1139,21,3
2020.9.5,1502,1237,21,4
2020.9.6,1507,1237,21,5
2020.9.7,1509,1237,21,2
2020.9.8,1510,1237,22,1
2020.9.9,1511,1237,22,1
2020.9.10,1514,1237,22,3
2020.9.11,1517,1237,22,3
2020.9.12,1520,1237,22,3
