date,累计确诊,治愈,死亡,新增确诊
2020.4.16,11,5,0,0
2020.5.5,11,8,0,0
2020.5.16,11,11,0,0
2020.5.18,11,11,0,0
2020.5.19,11,11,0,0
2020.5.20,11,11,0,0
2020.5.21,11,11,0,0
2020.5.22,11,11,0,0
2020.5.23,11,11,0,0
2020.5.24,11,11,0,0
2020.5.25,11,11,0,0
2020.5.26,11,11,0,0
2020.5.27,11,11,0,0
2020.5.28,11,11,0,0
2020.5.29,11,11,0,0
2020.5.30,11,11,0,0
2020.5.31,11,11,0,0
2020.6.1,11,11,0,0
2020.6.2,11,11,0,0
2020.6.3,11,11,0,0
2020.6.4,11,11,0,0
2020.6.5,11,11,0,0
2020.6.6,11,11,0,0
2020.6.7,11,11,0,0
2020.6.8,11,11,0,0
2020.6.9,11,11,0,0
2020.6.10,11,11,0,0
2020.6.11,11,11,0,0
2020.6.12,11,11,0,0
2020.6.13,11,11,0,0
2020.6.14,11,11,0,0
2020.6.15,11,11,0,0
2020.6.16,11,11,0,0
2020.6.17,11,11,0,0
2020.6.18,11,11,0,0
2020.6.19,11,11,0,0
2020.6.20,11,11,0,0
2020.6.21,11,11,0,0
2020.6.22,11,11,0,0
2020.6.23,11,11,0,0
2020.6.24,11,11,0,0
2020.6.25,11,11,0,0
2020.6.26,11,11,0,0
2020.6.27,11,11,0,0
2020.6.28,20,11,0,9
2020.6.29,70,11,0,50
2020.6.30,77,11,0,7
2020.7.1,81,11,0,4
2020.7.2,81,11,0,0
2020.7.3,81,11,0,0
2020.7.4,81,11,0,0
2020.7.5,81,11,0,0
2020.7.6,81,11,0,0
2020.7.7,81,11,0,0
2020.7.8,81,11,0,0
2020.7.9,91,11,0,10
2020.7.10,94,11,0,3
2020.7.11,100,11,0,6
2020.7.12,100,11,0,0
2020.7.13,100,11,0,0
2020.7.14,100,11,0,0
2020.7.15,100,27,0,0
2020.7.16,100,27,0,0
2020.7.17,108,27,0,8
2020.7.18,108,27,0,0
2020.7.19,108,27,0,0
2020.7.20,108,27,0,0
2020.7.21,108,27,0,0
2020.7.22,108,27,0,0
2020.7.23,108,27,0,0
2020.7.24,114,69,0,6
2020.7.25,114,69,0,0
2020.7.26,114,39,0,0
2020.7.27,114,39,0,0
2020.7.28,114,39,0,0
2020.7.29,114,39,0,0
2020.7.30,114,39,0,0
2020.7.31,114,39,0,0
2020.8.1,114,39,0,0
2020.8.2,114,39,0,0
2020.8.3,114,39,0,0
2020.8.4,114,113,0,0
2020.8.5,114,113,0,0
2020.8.6,126,124,0,12
2020.8.7,126,124,0,0
2020.8.8,126,125,0,0
2020.8.9,126,125,0,0
2020.8.10,126,125,0,0
2020.8.11,127,126,0,1
2020.8.12,127,126,0,0
2020.8.13,127,126,0,0
2020.8.14,127,126,0,0
2020.8.15,127,126,0,0
2020.8.16,127,126,0,0
2020.8.17,127,126,0,0
2020.8.18,127,126,0,0
2020.8.19,127,126,0,0
2020.8.20,132,126,0,5
2020.8.21,132,126,0,0
2020.8.22,132,126,0,0
2020.8.23,132,126,0,0
2020.8.24,132,126,0,0
2020.8.25,132,126,0,0
2020.8.26,136,127,0,4
2020.8.27,136,127,0,0
2020.8.28,136,127,0,0
2020.8.29,136,127,0,0
2020.8.30,136,127,0,0
2020.8.31,136,127,0,0
2020.9.1,136,127,0,0
2020.9.2,136,127,0,0
2020.9.3,136,127,0,0
2020.9.4,136,127,0,0
2020.9.5,136,127,0,0
2020.9.6,136,127,0,0
2020.9.7,136,127,0,0
2020.9.8,137,127,0,1
2020.9.9,137,127,0,0
2020.9.10,137,127,0,0
2020.9.11,138,136,0,1
2020.9.12,139,136,0,1
2020.9.13,139,136,0,0
