date,累计确诊,治愈,死亡,新增确诊
2020.4.8,3181,633,174,396
2020.4.9,3441,633,194,260
2020.4.10,3844,633,233,403
2020.4.11,4219,1772,273,375
2020.4.12,4661,1772,296,442
2020.4.13,4661,1843,296,442
2020.4.14,5399,1964,406,385
2020.4.15,5847,2125,449,448
2020.4.16,6297,2125,486,450
2020.4.17,6875,2125,546,578
2020.4.18,7497,2627,650,622
2020.4.19,8261,2627,686,764
2020.4.20,8772,2627,712,511
2020.4.21,9501,2627,857,729
2020.4.22,10544,2627,970,1043
2020.4.23,11633,2627,1069,1089
2020.4.24,12872,2627,1221,1239
2020.4.25,12872,7149,1221,1239
2020.4.26,14677,8354,1351,835
2020.4.27,15529,9086,1434,852
2020.4.28,16752,11423,1569,1223
2020.4.29,17799,11423,1732,1047
2020.4.30,19224,11423,1859,1425
2020.5.1,20739,12377,1972,1515
2020.5.2,22088,12377,2061,1349
2020.5.4,24905,15938,2271,1434
2020.5.5,26025,16810,2507,1120
2020.5.6,27634,16810,2704,1609
2020.5.7,29616,17781,2961,1982
2020.5.8,31522,20314,3160,1906
2020.5.9,33460,21824,3353,1938
2020.5.10,35022,23100,3465,1562
2020.5.11,36327,23100,3573,1305
2020.5.12,38324,25935,3926,1997
2020.5.13,40186,26990,4220,1862
2020.5.14,42595,28475,4477,2409
2020.5.15,45032,30451,4767,2437
2020.5.16,47144,31848,5045,2112
2020.5.17,49219,33329,5177,2075
2020.5.18,49219,33329,5177,0
2020.5.19,51633,35388,5332,2414
2020.5.20,54346,37325,5666,2713
2020.5.21,56594,38876,6090,2248
2020.5.22,59567,40657,6510,2973
2020.5.23,62527,42725,6989,2960
2020.5.24,65856,44919,7179,3329
2020.5.25,68620,47424,7394,2764
2020.5.26,71105,49890,7633,2485
2020.5.27,74560,52219,8134,3455
2020.5.28,78023,54383,8597,3463
2020.5.29,81400,56638,9044,3377
2020.5.30,84627,59610,9415,3227
2020.5.31,87512,61871,9779,2885
2020.6.1,90664,64326,9930,3152
2020.6.2,93435,67491,10167,2771
2020.6.3,97326,70308,10637,3891
2020.6.4,101238,73271,11729,3912
2020.6.5,105680,75448,12545,4442
2020.6.6,110026,78590,13170,4346
2020.6.7,113619,81544,13511,3593
2020.6.8,117103,84419,13699,3484
2020.6.9,120102,87633,14053,2999
2020.6.10,124301,90748,14649,4199
2020.6.11,129184,93930,15357,4883
2020.6.12,133974,98064,15944,4790
2020.6.13,139196,101767,16448,5222
2020.6.14,142690,104975,16872,3494
2020.6.15,146837,108110,17141,4147
2020.6.16,150264,113006,17580,3427
2020.6.17,154863,116178,18310,4599
2020.6.18,159793,119355,19080,4930
2020.6.19,165455,123095,19747,5662
2020.6.20,170485,127332,20394,5030
2020.6.21,175202,131686,20781,4717
2020.6.22,180545,135279,21825,5343
2020.6.23,185122,140118,22584,4577
2020.6.24,191410,144448,23377,6288
2020.6.25,196847,149318,24324,5437
2020.6.26,202951,116862,25060,6104
2020.6.27,208392,120562,25779,5441
2020.6.28,212802,123797,26381,4410
2020.6.29,216852,126843,26648,4050
2020.6.30,220657,131264,27121,3805
2020.7.1,226089,134957,27769,5432
2020.7.2,231770,138319,28510,5681
2020.7.3,238511,142593,29189,6741
2020.7.4,245251,147205,29843,6740
2020.7.5,252165,152309,30366,6914
2020.7.6,256848,155604,30639,4683
2020.7.7,261750,159657,31119,4902
2020.7.8,268008,163646,32014,6258
2020.7.9,275003,167795,32796,6995
2020.7.10,282283,172230,33526,7280
2020.7.11,289174,177097,34191,6891
2020.7.12,295268,180852,34730,6094
2020.7.13,299750,184764,35006,4482
2020.7.14,304435,189063,35491,4685
2020.7.15,311486,193976,36327,7051
2020.7.16,317635,199129,36906,6149
2020.7.17,324041,203464,37574,6406
2020.7.18,331298,208436,38310,7257
2020.7.19,338913,213006,38888,7615
2020.7.20,344224,217423,39184,5311
2020.7.21,349396,222068,39485,5172
2020.7.22,356255,227165,40400,6859
2020.7.23,362274,231403,41190,6019
2020.7.24,370712,236209,41908,8438
2020.7.25,378285,242692,42645,7573
2020.7.26,385036,247178,43374,6751
2020.7.27,390516,251505,43680,5480
2020.7.28,395489,256777,44022,4973
2020.7.29,402697,261457,44876,7208
2020.7.30,408449,267147,45361,5752
2020.7.31,416179,272187,46000,7730
2020.8.1,424637,278618,46688,8458
2020.8.2,434193,284847,47472,9556
2020.8.3,439046,289394,47746,4853
2020.8.4,443813,295677,48012,4767
2020.8.5,449961,300254,48869,6148
2020.8.6,456100,304708,49698,6139
2020.8.7,462690,308848,50517,6590
2020.8.8,469407,313386,51311,6717
2020.8.9,475902,318638,52006,6495
2020.8.10,480278,322465,52298,4376
2020.8.11,485836,327993,53003,5558
2020.8.12,492522,332800,53929,6686
2020.8.13,498380,336635,54666,5858
2020.8.14,505751,341507,55293,7371
2020.8.15,511369,345653,55908,5618
2020.8.16,517714,351372,56543,6345
2020.8.17,522162,355101,56757,4448
2020.8.18,525733,359347,57023,3571
2020.8.19,531239,363307,57774,5506
2020.8.20,537031,367537,58481,5792
2020.8.21,543806,371638,59106,6775
2020.8.22,549734,376409,59610,5928
2020.8.23,556216,380492,60254,6482
2020.8.24,560164,383872,60480,3948
2020.8.25,563705,389124,60800,3541
2020.8.26,568621,393101,61450,4916
2020.8.27,573888,396758,62076,5267
2020.8.28,579914,400479,62594,6026
2020.8.29,585738,404667,63146,5824
2020.8.30,591712,409127,63819,5974
2020.8.31,595841,412580,64158,4129
2020.9.1,599560,416738,64414,3719
2020.9.2,606036,421373,65241,6476
2020.9.3,610957,424990,65816,4921
2020.9.4,616894,430287,66329,5937
2020.9.5,623090,434667,66851,6196
2020.9.6,629409,438754,67326,6319
2020.9.7,634023,442268,67558,4614
2020.9.8,637509,446715,67781,3486
2020.9.9,642860,451159,68484,5351
2020.9.10,647507,454982,69095,4647
2020.9.11,652364,458850,69649,4857
2020.9.12,658299,463764,70183,5935
2020.9.13,663973,467525,70604,5674
2020.9.14,668381,471623,70821,4408
2020.9.15,671716,475795,71049,3335
2020.9.16,676487,481068,71678,4771
2020.9.17,680931,485024,71978,4444
2020.9.18,684113,488416,72179,3182
2020.9.19,688954,492192,72803,4841
