date,累计确诊,治愈,死亡,新增确诊
2020.4.7,70,23,3,7
2020.4.8,70,23,3,7
2020.4.9,76,25,3,3
2020.4.13,77,29,3,1
2020.4.14,81,35,3,4
2020.4.15,81,45,5,0
2020.4.16,83,48,5,2
2020.4.17,84,49,5,1
2020.4.21,86,56,6,2
2020.4.23,90,59,6,2
2020.4.24,96,62,6,6
2020.4.26,98,62,6,2
2020.4.27,99,62,6,1
2020.4.28,109,64,7,10
2020.4.29,116,65,9,7
2020.4.30,123,66,9,7
2020.5.3,124,67,9,1
2020.5.5,128,74,9,2
2020.5.7,135,85,9,2
2020.5.9,153,87,10,8
2020.5.10,173,89,11,20
2020.5.12,199,92,11,18
2020.5.15,263,96,11,25
2020.5.16,298,100,11,35
2020.5.17,301,104,11,3
2020.5.18,301,104,11,0
2020.5.19,330,106,12,29
2020.5.20,338,107,12,8
2020.5.21,340,110,12,2
2020.5.22,354,118,12,14
2020.5.23,363,121,12,9
2020.5.24,373,133,12,10
2020.5.25,381,141,12,8
2020.5.26,386,161,13,5
2020.5.27,391,177,13,5
2020.5.28,395,183,13,4
2020.5.29,422,197,13,27
2020.5.30,428,202,13,6
2020.5.31,433,206,13,5
2020.6.1,442,211,13,9
2020.6.2,443,215,13,1
2020.6.3,445,230,13,2
2020.6.4,452,236,13,7
2020.6.5,465,239,13,13
2020.6.6,485,240,13,20
2020.6.7,487,240,13,2
2020.6.8,495,248,13,8
2020.6.9,497,251,13,2
2020.6.10,501,260,13,4
2020.6.11,522,265,13,21
2020.6.12,524,271,13,2
2020.6.13,525,279,13,1
2020.6.14,530,291,13,5
2020.6.15,531,299,13,1
2020.6.16,532,308,13,1
2020.6.17,537,344,13,5
2020.6.18,544,353,13,7
2020.6.19,547,353,13,3
2020.6.20,555,361,13,8
2020.6.21,561,366,13,6
2020.6.22,569,375,13,8
2020.6.23,569,380,13,0
2020.6.24,576,384,13,7
2020.6.25,583,392,14,7
2020.6.26,588,394,14,5
2020.6.27,591,395,14,3
2020.6.28,615,396,14,24
2020.6.29,642,401,14,27
2020.6.30,643,401,14,1
2020.7.1,650,402,14,7
2020.7.2,661,414,14,11
2020.7.3,667,424,14,6
2020.7.4,671,424,14,4
2020.7.5,676,432,15,5
2020.7.6,680,447,15,4
2020.7.7,680,450,15,0
2020.7.8,689,467,15,9
2020.7.9,695,475,15,6
2020.7.10,704,483,15,9
2020.7.11,710,494,15,6
2020.7.12,710,494,15,0
2020.7.13,720,513,15,10
2020.7.14,721,517,15,1
2020.7.15,731,528,15,10
2020.7.16,740,534,15,9
2020.7.17,749,543,15,9
2020.7.18,766,546,15,17
2020.7.19,774,548,15,8
2020.7.20,778,551,15,4
2020.7.21,783,554,15,5
2020.7.22,790,560,15,7
2020.7.23,806,578,16,16
2020.7.24,828,584,16,22
2020.7.25,839,585,17,11
2020.7.26,853,587,17,14
2020.7.27,868,599,18,15
2020.7.28,874,607,18,6
2020.7.29,896,612,18,22
2020.7.30,896,612,18,0
2020.7.31,908,626,18,12
2020.8.1,941,641,19,33
2020.8.2,958,647,19,17
2020.8.3,961,660,19,3
2020.8.4,976,663,19,15
2020.8.5,988,673,19,12
2020.8.6,1001,690,21,13
2020.8.7,1012,697,22,11
2020.8.8,1028,710,22,16
2020.8.9,1046,721,23,18
2020.8.10,1060,729,23,14
2020.8.11,1067,729,25,7
2020.8.12,1070,752,26,3
2020.8.13,1092,782,26,22
2020.8.14,1104,791,26,12
2020.8.15,1124,806,26,20
2020.8.16,1130,836,27,6
2020.8.17,1147,843,27,17
2020.8.18,1154,858,27,7
2020.8.19,1173,868,27,19
2020.8.20,1190,875,27,17
2020.8.21,1212,878,27,22
2020.8.22,1239,891,27,27
2020.8.23,1275,903,27,36
2020.8.24,1277,910,27,2
2020.8.25,1295,914,27,18
2020.8.26,1309,919,27,14
2020.8.27,1326,946,27,17
2020.8.28,1341,968,27,15
2020.8.29,1365,981,27,24
2020.8.30,1390,990,27,25
2020.8.31,1396,996,27,6
2020.9.1,1400,1005,28,4
2020.9.2,1416,1035,28,16
2020.9.3,1434,1055,30,18
2020.9.4,1443,1071,31,9
2020.9.5,1457,1079,31,14
2020.9.6,1477,1094,32,20
2020.9.7,1488,1106,32,11
2020.9.8,1493,1114,33,5
2020.9.9,1513,1127,34,20
2020.9.10,1528,1144,36,15
2020.9.11,1537,1145,37,9
2020.9.12,1548,1166,37,11
2020.9.13,1555,1189,37,7
2020.9.14,1572,1190,37,17
2020.9.15,1578,1204,40,6
2020.9.16,1595,1219,40,17
2020.9.17,1608,1230,40,13
2020.9.18,1618,1243,41,10
2020.9.19,1640,1251,41,22
2020.9.20,1659,1259,41,19
2020.9.21,1666,1269,41,7
2020.9.22,1669,1274,41,3
2020.9.23,1683,1290,41,14
2020.9.24,1701,1297,41,18
2020.9.25,1707,1307,44,6
2020.9.26,1722,1312,44,15
2020.9.27,1736,1319,46,14
2020.9.28,1743,1330,46,7
2020.9.29,1749,1336,47,6
2020.9.30,1759,1341,48,10
2020.10.1,1784,1348,48,25
2020.10.2,1809,1353,48,25
2020.10.3,1818,1365,48,9
2020.10.4,1840,1375,48,22
2020.10.5,1854,1392,48,14
2020.10.6,1864,1403,48,10
2020.10.7,1881,1410,49,17
2020.10.8,1898,1419,49,17
2020.10.9,1907,1426,49,9
2020.10.10,1921,1433,49,14
2020.10.11,1935,1444,49,14
2020.10.12,1940,1457,49,5
2020.10.13,1949,1461,49,9
2020.10.14,1972,1465,50,23
2020.10.15,1983,1473,51,11
2020.10.16,1996,1489,51,13
2020.10.17,2027,1500,51,31
2020.10.18,2049,1517,51,22
2020.10.19,2057,1531,51,8
2020.10.20,2071,1541,51,14
2020.10.21,2104,1555,51,33
2020.10.22,2120,1561,51,16
2020.10.23,2139,1574,52,19
2020.10.24,2162,1586,52,23
2020.10.25,2187,1591,52,25
2020.10.26,2200,1600,52,13
2020.10.27,2204,1608,53,4
2020.10.28,2229,1612,54,25
2020.10.29,2238,1620,54,9
2020.10.30,2296,1627,55,58
2020.10.31,2312,1640,55,16
2020.11.1,2331,1660,57,19
2020.11.2,2357,1676,57,26
2020.11.3,2364,1681,57,7
2020.11.4,2381,1691,57,17
2020.11.5,2406,1699,57,25
2020.11.6,2442,1708,57,36
2020.11.7,2460,1720,57,18
2020.11.8,2483,1727,57,23
2020.11.9,2516,1732,57,33
2020.11.10,2523,1736,57,7
2020.11.11,2558,1763,57,35
2020.11.12,2593,1792,59,35
2020.11.13,2605,1815,60,12
2020.11.14,2627,1856,60,22
2020.11.15,2651,1885,61,24
2020.11.16,2675,1920,61,24
2020.11.17,2693,1952,61,18
2020.11.18,2722,2006,62,29
2020.11.19,2752,2058,63,30
2020.11.20,2771,2101,63,19
2020.11.21,2796,2148,64,25
2020.11.22,2829,2209,64,33
2020.11.23,2843,2248,64,14
2020.11.24,2854,2274,64,11
2020.11.25,2872,2295,64,18
2020.11.26,2889,2320,64,17
2020.11.27,2904,2345,64,15
2020.11.28,2926,2401,64,22
2020.11.29,2926,2435,64,20
2020.11.30,2962,2478,64,16
2020.12.1,2974,2478,64,12
2020.12.2,2997,2515,64,23
2020.12.3,3014,2543,65,17
2020.12.4,3039,2567,65,25
2020.12.5,3051,2599,65,12
2020.12.6,3085,2624,65,34
2020.12.7,3095,2653,65,10
2020.12.8,3111,2677,65,16
2020.12.9,3132,2691,65,21
2020.12.10,3151,2699,65,19
2020.12.11,3182,2714,66,31
2020.12.12,3202,2726,66,20
2020.12.13,3221,2745,66,19
2020.12.14,3251,2771,66,30
2020.12.15,3266,2789,66,15
2020.12.16,3295,2821,66,29
2020.12.17,3315,2852,66,20
2020.12.18,3330,2890,66,15
2020.12.19,3350,2933,66,20
2020.12.20,3396,2974,66,46
2020.12.21,3416,3017,66,20
2020.12.22,3436,3054,66,20
2020.12.23,3467,3091,66,31
2020.12.24,3494,3131,68,27
2020.12.25,3520,3186,68,26
2020.12.26,3546,3225,68,26
2020.12.27,3555,3261,68,9
2020.12.28,3576,3315,68,21
2020.12.29,3576,3315,68,0
2020.12.30,3604,3366,68,28
2020.12.31,3611,3384,68,7
2021.1.1,3633,3393,68,22
2021.1.2,3662,3443,68,29
2021.1.3,3683,3457,68,21
2021.1.4,3702,3474,68,19
2021.1.5,3722,3479,69,20
2021.1.6,3770,3515,69,48
2021.1.7,3807,3544,70,37
2021.1.8,3845,3560,72,38
2021.1.9,3894,3581,72,49
2021.1.10,3932,3602,72,38
2021.1.11,3957,3614,72,25
2021.1.12,3978,3638,73,21
2021.1.13,4045,3656,73,67
2021.1.14,4109,3683,73,64
2021.1.15,4165,3704,73,56
2021.1.16,4220,3731,73,55
