date,累计确诊,治愈,死亡,新增确诊
2020.4.9,16,5,0,1
2020.4.12,16,8,0,0
2020.4.21,16,9,0,0
2020.4.24,16,10,0,0
2020.4.26,16,13,0,0
2020.5.6,16,14,0,0
2020.5.16,16,16,0,0
2020.5.18,16,16,0,0
2020.5.19,16,16,0,0
2020.5.20,16,16,0,0
2020.5.21,16,16,0,0
2020.5.22,16,16,0,0
2020.5.23,16,16,0,0
2020.5.24,16,16,0,0
2020.5.25,16,16,0,0
2020.5.26,16,16,0,0
2020.5.27,16,16,0,0
2020.5.28,16,16,0,0
2020.5.29,16,16,0,0
2020.5.30,16,16,0,0
2020.5.31,16,16,0,0
2020.6.1,16,16,0,0
2020.6.2,18,16,0,2
2020.6.3,18,16,0,0
2020.6.4,18,16,0,0
2020.6.5,18,16,0,0
2020.6.6,18,16,0,0
2020.6.7,18,16,0,0
2020.6.8,18,16,0,0
2020.6.9,18,16,0,0
2020.6.10,18,16,0,0
2020.6.11,18,16,0,0
2020.6.12,18,16,0,0
2020.6.13,18,16,0,0
2020.6.14,18,16,0,0
2020.6.15,18,16,0,0
2020.6.16,18,16,0,0
2020.6.17,18,16,0,0
2020.6.18,18,18,0,0
2020.6.19,18,18,0,0
2020.6.20,18,18,0,0
2020.6.21,18,18,0,0
2020.6.22,18,18,0,0
2020.6.23,18,18,0,0
2020.6.24,18,18,0,0
2020.6.25,18,18,0,0
2020.6.26,18,18,0,0
2020.6.27,18,18,0,0
2020.6.28,18,18,0,0
2020.6.29,18,18,0,0
2020.6.30,18,18,0,0
2020.7.1,18,18,0,0
2020.7.2,18,18,0,0
2020.7.3,18,18,0,0
2020.7.4,18,18,0,0
2020.7.5,18,18,0,0
2020.7.6,18,18,0,0
2020.7.7,18,18,0,0
2020.7.8,18,18,0,0
2020.7.9,18,18,0,0
2020.7.10,18,18,0,0
2020.7.11,18,18,0,0
2020.7.12,18,18,0,0
2020.7.13,18,18,0,0
2020.7.14,18,18,0,0
2020.7.15,18,18,0,0
2020.7.16,18,18,0,0
2020.7.17,18,18,0,0
2020.7.18,18,18,0,0
2020.7.19,18,18,0,0
2020.7.20,18,18,0,0
2020.7.21,18,18,0,0
2020.7.22,18,18,0,0
2020.7.23,18,18,0,0
2020.7.24,18,18,0,0
2020.7.25,18,18,0,0
2020.7.26,18,18,0,0
2020.7.27,18,18,0,0
2020.7.28,18,18,0,0
2020.7.29,18,18,0,0
2020.7.30,18,18,0,0
2020.7.31,18,18,0,0
2020.8.1,18,18,0,0
2020.8.2,18,18,0,0
2020.8.3,18,18,0,0
2020.8.4,18,18,0,0
2020.8.5,18,18,0,0
2020.8.6,18,18,0,0
2020.8.7,18,18,0,0
2020.8.8,18,18,0,0
2020.8.9,18,18,0,0
2020.8.10,18,18,0,0
2020.8.11,18,18,0,0
2020.8.12,18,18,0,0
2020.8.13,18,18,0,0
2020.8.14,18,18,0,0
2020.8.15,18,18,0,0
2020.8.16,18,18,0,0
2020.8.17,18,18,0,0
2020.8.18,18,18,0,0
2020.8.19,18,18,0,0
2020.8.20,18,18,0,0
2020.8.21,18,18,0,0
2020.8.22,19,18,0,1
2020.8.23,19,18,0,0
2020.8.24,20,18,0,1
2020.8.25,20,18,0,0
2020.8.26,20,18,0,0
2020.8.27,20,18,0,0
2020.8.28,20,18,0,0
2020.8.29,20,18,0,0
2020.8.30,20,18,0,0
2020.8.31,20,18,0,0
2020.9.1,20,18,0,0
2020.9.2,20,18,0,0
2020.9.3,20,18,0,0
2020.9.4,20,18,0,0
2020.9.5,22,18,0,2
2020.9.6,22,18,0,0
2020.9.7,22,18,0,0
2020.9.8,22,18,0,0
2020.9.9,22,18,0,0
2020.9.10,24,18,0,2
2020.9.11,24,18,0,0
2020.9.12,24,18,0,0
2020.9.13,24,18,0,0
2020.9.14,24,18,0,0
2020.9.15,24,18,0,0
2020.9.16,24,18,0,0
2020.9.17,24,18,0,0
2020.9.18,24,18,0,0
2020.9.19,24,18,0,0
2020.9.20,24,18,0,0
2020.9.21,24,18,0,0
2020.9.22,24,18,0,0
2020.9.23,24,18,0,0
2020.9.24,24,18,0,0
2020.9.25,24,18,0,0
2020.9.26,24,18,0,0
2020.9.27,30,24,0,6
2020.9.28,30,24,0,0
2020.9.29,30,24,0,0
2020.9.30,30,24,0,0
2020.10.1,30,24,0,0
2020.10.2,31,24,0,1
2020.10.3,31,24,0,0
2020.10.4,31,24,0,0
2020.10.5,31,24,0,0
2020.10.6,31,24,0,0
2020.10.7,31,24,0,0
2020.10.8,31,24,0,0
2020.10.9,31,24,0,0
2020.10.10,32,24,0,1
2020.10.11,32,24,0,0
2020.10.12,32,24,0,0
2020.10.13,32,24,0,0
2020.10.14,32,24,0,0
2020.10.15,32,24,0,0
2020.10.16,33,29,0,1
2020.10.17,33,29,0,0
2020.10.18,33,29,0,0
2020.10.19,33,29,0,0
2020.10.20,33,29,0,0
2020.10.21,33,29,0,0
2020.10.22,33,29,0,0
2020.10.23,37,29,0,4
2020.10.24,37,29,0,0
2020.10.25,38,29,0,1
2020.10.26,38,29,0,0
2020.10.27,38,29,0,0
2020.10.28,38,29,0,0
2020.10.29,38,29,0,0
2020.10.30,38,29,0,0
2020.10.31,50,33,0,12
2020.11.1,50,33,0,0
2020.11.2,50,33,0,0
2020.11.3,50,33,0,0
2020.11.4,50,33,0,0
2020.11.5,57,35,0,7
2020.11.6,57,35,0,0
2020.11.7,57,35,0,0
2020.11.8,63,35,0,6
2020.11.9,63,35,0,0
2020.11.10,63,35,0,0
2020.11.11,63,35,0,0
2020.11.12,68,41,0,5
2020.11.13,68,41,0,0
2020.11.14,68,41,0,0
2020.11.15,68,41,0,0
2020.11.16,68,41,0,0
2020.11.17,68,41,0,0
2020.11.18,68,41,0,0
2020.11.19,68,41,0,0
2020.11.20,68,41,0,0
2020.11.21,68,41,0,0
2020.11.22,72,55,0,4
2020.11.23,77,63,0,5
2020.11.24,77,63,0,0
2020.11.25,77,63,0,0
2020.11.26,77,63,0,0
2020.11.27,77,63,0,0
2020.11.28,85,63,0,8
2020.11.29,85,63,0,0
2020.11.30,85,63,0,0
2020.12.1,85,63,0,0
2020.12.2,85,63,0,0
2020.12.3,85,63,0,0
2020.12.4,85,63,0,0
2020.12.5,85,72,0,0
2020.12.6,85,72,0,0
2020.12.7,85,72,0,0
2020.12.8,85,72,0,0
2020.12.9,85,72,0,0
2020.12.10,85,76,0,0
2020.12.11,85,76,0,0
2020.12.12,87,76,0,2
2020.12.13,87,81,0,0
2020.12.14,88,83,0,1
2020.12.15,88,83,0,0
2020.12.16,88,83,0,0
2020.12.17,88,83,0,0
2020.12.18,88,83,0,0
2020.12.19,88,83,0,0
2020.12.20,88,83,0,0
2020.12.21,88,83,0,0
2020.12.22,88,83,0,0
2020.12.23,88,83,0,0
2020.12.24,88,83,0,0
2020.12.25,88,83,0,0
2020.12.26,88,83,0,0
2020.12.27,88,83,0,0
