date,累计确诊,治愈,死亡,新增确诊
2020.4.7,2111,50,108,155
2020.4.9,2349,80,118,238
2020.4.10,2620,98,126,271
2020.4.11,2759,108,135,139
2020.4.12,2967,131,173,208
2020.4.13,3286,162,183,208
2020.4.14,3614,208,189,328
2020.4.16,4126,215,200,371
2020.4.18,4335,312,217,209
2020.4.19,4680,363,226,345
2020.4.21,5044,463,245,80
2020.4.22,5300,581,260,256
2020.4.23,5543,581,265,243
2020.4.24,5749,763,267,206
2020.4.25,5926,822,273,177
2020.4.28,6416,1165,286,123
2020.4.29,6652,1228,293,236
2020.4.30,6972,1301,301,320
2020.5.1,7288,1387,313,316
2020.5.2,7578,1481,326,290
2020.5.3,7954,1606,333,376
2020.5.4,8235,1771,346,281
2020.5.5,8480,1905,354,245
2020.5.7,9095,2064,373,288
2020.5.8,9376,2286,380,281
2020.5.9,9882,2584,385,506
2020.5.10,10347,2763,388,465
2020.5.11,10634,2870,393,287
2020.5.12,10900,3221,402,266
2020.5.13,11196,3221,409,296
2020.5.14,11320,3351,422,124
2020.5.15,11739,3557,424,419
2020.5.16,12110,3726,428,371
2020.5.17,12314,5847,428,204
2020.5.18,12725,6613,434,411
2020.5.19,13223,6613,441,498
2020.5.20,13223,6613,441,0
2020.5.21,13657,7142,448,434
2020.5.22,13989,7572,456,332
2020.5.23,13989,7572,456,0
2020.5.24,14422,7854,458,433
2020.5.25,14801,8133,458,379
2020.5.26,15264,8534,468,463
2020.5.27,15723,8790,474,459
2020.5.28,15723,8790,474,0
2020.5.29,16531,9266,488,808
2020.5.30,16531,9266,488,0
2020.5.31,17285,10559,502,754
2020.6.1,17572,10893,502,287
2020.6.2,17752,11075,515,180
2020.6.3,18040,11224,516,288
2020.6.4,18319,11474,520,279
2020.6.5,18708,11736,525,389
2020.6.6,19195,11919,536,487
2020.6.7,19600,12007,538,405
2020.6.8,19600,12007,538,0
2020.6.9,20415,12208,544,815
2020.6.10,20808,12318,550,393
2020.6.11,21437,12541,561,629
2020.6.12,22008,12754,568,571
2020.6.13,22572,13084,577,564
2020.6.14,22962,13320,592,390
2020.6.15,23271,14025,605,309
2020.6.16,23686,14133,615,415
2020.6.17,24105,14216,633,419
2020.6.18,24645,14293,635,540
2020.6.19,25068,14605,647,423
2020.6.20,25778,14957,655,710
2020.6.21,26677,15138,662,899
2020.6.22,27370,15338,669,693
2020.6.23,27936,15551,675,566
2020.6.24,28631,16006,691,695
2020.6.25,29141,16223,698,510
2020.6.26,29764,16357,712,623
2020.6.27,30619,16666,718,855
2020.6.28,31373,17142,726,754
2020.6.29,31816,17280,733,443
2020.6.30,32568,17580,747,752
2020.7.1,32568,17580,747,0
2020.7.2,34197,18141,765,1629
2020.7.3,34197,18141,765,0
2020.7.4,36184,18602,786,1987
2020.7.5,36184,18602,786,0
2020.7.6,37425,18943,794,1241
2020.7.7,38430,19564,821,1005
2020.7.8,39588,20056,829,1158
2020.7.9,40790,20426,842,1202
