date,累计确诊,治愈,死亡,新增确诊
2020.3.22,3244,9,16,580
2020.3.28,8271,225,68,574
2020.3.29,8536,479,86,526
2020.3.30,9377,646,108,841
2020.4.7,12721,4046,243,342
2020.4.8,12942,4512,273,303
2020.4.9,13244,5240,295,302
2020.4.10,13561,6064,319,1
2020.4.11,13806,6604,337,337
2020.4.12,13945,6987,350,169
2020.4.13,14041,7343,368,96
2020.4.14,14266,7633,384,185
2020.4.15,14336,8098,393,110
2020.4.16,14476,8986,410,126
2020.4.17,14586,9704,431,110
2020.4.18,14675,10501,443,4
2020.4.19,14749,10501,452,78
2020.4.20,14873,10971,491,17
2020.4.21,14925,11328,510,52
2020.4.22,14940,11694,510,15
2020.4.23,15071,11872,522,69
2020.4.24,15148,12103,536,77
2020.4.25,15225,12282,542,77
2020.4.26,15274,12362,549,49
2020.4.27,15357,12580,569,83
2020.4.28,15402,12779,580,45
2020.4.29,15452,12907,584,50
2020.4.30,15561,13110,589,109
2020.5.1,15561,13110,596,27
2020.5.2,15597,13228,598,39
2020.5.3,15597,13316,600,39
2020.5.4,15650,13462,606,29
2020.5.5,15684,13639,608,34
2020.5.6,15752,13698,609,68
2020.5.7,15774,13836,614,22
2020.5.8,15833,13928,615,59
2020.5.9,15871,13991,618,38
2020.5.10,15882,14061,620,38
2020.5.11,15961,14148,623,79
2020.5.12,15997,14304,624,3
2020.5.13,16058,14405,626,61
2020.5.14,16108,14471,628,50
2020.5.15,16201,14524,629,92
2020.5.16,16242,14563,629,41
2020.5.17,16269,14614,629,27
2020.5.18,16269,14614,629,0
2020.5.19,16321,14678,632,52
2020.5.20,16353,14882,633,32
2020.5.21,16404,14951,633,51
2020.5.22,16436,15005,635,32
2020.5.23,16486,15037,639,50
2020.5.24,16503,15063,640,17
2020.5.25,16539,15138,641,36
2020.5.26,16557,15182,643,18
2020.5.27,16591,15228,645,34
2020.5.28,16628,15286,668,37
2020.5.29,16655,15347,668,27
2020.5.30,16685,15520,668,30
2020.5.31,16731,15593,668,46
2020.6.1,16733,15596,668,2
2020.6.2,16759,15629,669,26
2020.6.3,16771,15672,670,12
2020.6.4,16805,15717,670,34
2020.6.5,16843,15742,672,38
2020.6.6,16898,15789,672,55
2020.6.7,16898,15789,672,0
2020.6.8,16968,15839,672,70
2020.6.9,16979,15875,672,11
2020.6.10,17005,15910,673,26
2020.6.11,17034,15949,674,29
2020.6.12,17064,15985,675,30
2020.6.13,17078,16012,677,14
