date,累计确诊,治愈,死亡,新增确诊
2020.4.8,167,65,9,1
2020.4.9,171,84,9,4
2020.4.10,175,84,9,4
2020.4.11,175,93,9,4
2020.4.12,181,93,9,6
2020.4.13,189,110,9,6
2020.4.14,193,111,9,4
2020.4.16,204,111,9,7
2020.4.17,227,113,9,23
2020.4.19,256,117,9,29
2020.4.20,285,117,10,29
2020.4.21,288,122,10,3
2020.4.22,298,122,10,10
2020.4.23,311,126,10,13
2020.4.24,318,132,10,7
2020.4.25,323,132,10,5
2020.4.26,325,137,10,2
2020.4.27,329,142,10,4
2020.4.30,333,142,10,2
2020.5.2,345,148,10,10
2020.5.5,367,164,10,6
2020.5.6,379,176,10,12
2020.5.7,381,185,10,2
2020.5.8,388,190,10,7
2020.5.12,423,220,10,1
2020.5.15,459,229,10,15
2020.5.16,504,232,10,45
2020.5.17,541,241,10,37
2020.5.18,541,241,10,0
2020.5.19,618,253,10,77
2020.5.20,749,253,10,131
2020.5.21,824,262,10,75
2020.5.22,882,262,10,58
2020.5.23,944,262,10,62
2020.5.24,1010,262,10,66
2020.5.25,1121,262,10,111
2020.5.26,1177,302,10,56
2020.5.27,1211,302,11,34
2020.5.28,1245,302,11,34
2020.5.29,1325,302,11,80
2020.5.30,1370,302,14,45
2020.5.31,1459,302,14,89
2020.6.1,1510,302,14,51
2020.6.2,1662,302,17,152
2020.6.3,1819,334,18,157
2020.6.4,1952,334,20,133
2020.6.5,2087,334,20,135
2020.6.6,2145,334,20,58
2020.6.7,2316,385,22,171
2020.6.8,2377,487,22,61
2020.6.9,2473,487,22,96
2020.6.10,2632,487,23,159
2020.6.11,2738,487,23,106
2020.6.12,2814,487,23,76
2020.6.13,2879,487,23,65
2020.6.14,2904,487,24,25
2020.6.15,2978,835,25,74
2020.6.16,3062,835,26,84
2020.6.17,3150,835,27,88
2020.6.18,3386,835,28,236
2020.6.19,3483,835,28,97
2020.6.20,3591,835,30,108
2020.6.21,3789,835,33,198
2020.6.22,3917,835,33,128
2020.6.23,4048,1327,35,131
2020.6.24,4187,1327,35,139
2020.6.25,4366,1327,38,179
2020.6.26,4563,1327,39,197
2020.6.27,4779,1327,41,216
2020.6.28,5130,1327,42,351
2020.6.29,5297,1649,44,167
2020.6.30,5530,1649,48,233
2020.7.1,5832,1649,51,302
2020.7.2,6062,1649,54,230
2020.7.3,6273,2100,57,211
2020.7.4,6537,2100,59,264
2020.7.5,6750,2100,62,213
2020.7.6,7169,2100,65,419
2020.7.7,7411,2100,68,242
2020.7.8,7693,2100,71,282
2020.7.9,8008,2100,75,315
2020.7.10,8372,2544,80,364
2020.7.11,8803,2671,83,431
2020.7.12,9178,2671,85,375
2020.7.13,9465,2671,89,287
2020.7.14,9707,2671,93,242
2020.7.15,10010,2671,96,303
2020.7.16,10428,3050,100,418
2020.7.17,10854,3255,104,426
2020.7.18,11191,3852,107,337
2020.7.19,11483,3972,110,292
2020.7.20,11891,3972,112,408
2020.7.21,12334,6844,116,443
2020.7.22,12774,6983,120,440
2020.7.23,13164,7471,124,390
2020.7.24,13613,7752,129,449
2020.7.25,14263,8127,134,650
2020.7.26,14929,8795,138,666
2020.7.27,15463,9746,142,534
2020.7.28,15988,9959,146,525
2020.7.29,16571,10195,151,583
2020.7.30,17158,10421,154,587
2020.7.31,17859,10421,158,701
2020.8.1,18574,10421,164,715
2020.8.2,19443,11129,169,869
2020.8.3,20206,11404,174,763
2020.8.4,20754,11622,180,548
2020.8.5,21438,11875,187,684
2020.8.6,22299,12146,195,861
2020.8.7,23280,12470,202,981
2020.8.8,24166,12470,208,886
2020.8.9,24961,13356,215,795
2020.8.10,25805,13356,223,844
2020.8.11,26800,16930,229,995
2020.8.12,27938,19706,238,1138
2020.8.13,29088,21042,247,1150
2020.8.14,30369,21385,259,1281
2020.8.15,31381,21580,266,1012
2020.8.16,32607,21747,276,1226
2020.8.17,33755,22700,281,1148
2020.8.18,34802,23575,288,1047
2020.8.19,35697,24561,297,895
2020.8.20,36868,25416,303,1171
2020.8.21,37567,26330,311,699
2020.8.22,38219,27306,317,652
2020.8.23,38957,28453,323,738
2020.8.24,39564,29966,329,607
2020.8.25,40338,31080,337,774
2020.8.26,41158,32015,343,820
2020.8.27,41965,32931,351,807
2020.8.28,42898,34147,358,933
2020.8.29,43879,34972,366,981
2020.8.30,44946,36175,375,1067
2020.8.31,45868,37091,381,922
2020.9.1,46728,38112,386,860
2020.9.2,47756,39027,391,1028
2020.9.3,48883,39912,398,1127
2020.9.4,49877,40574,402,994
2020.9.5,50973,41249,412,1096
2020.9.6,52165,42006,420,1192
2020.9.7,53289,42006,428,1124
2020.9.8,54350,43753,436,1061
2020.9.9,55563,44435,444,1213
2020.9.10,56751,45318,452,1188
2020.9.11,57823,46125,460,1072
2020.9.12,58663,46960,468,840
2020.9.13,59630,47729,477,967
2020.9.14,60540,48644,485,910
2020.9.15,61569,49371,494,1029
2020.9.16,62655,50361,502,1086
2020.9.17,63416,51274,511,761
2020.9.18,64284,52564,520,868
2020.9.19,65174,54218,530,890
2020.9.20,65949,55155,539,775
2020.9.21,66656,56096,547,707
2020.9.22,67443,56726,555,787
2020.9.23,68453,57774,564,1010
2020.9.24,69439,58759,574,986
2020.9.25,70406,59745,581,967
2020.9.26,71273,60709,591,867
2020.9.27,71940,61528,600,667
2020.9.28,72691,62427,606,751
2020.9.29,73528,63346,614,837
2020.9.30,74363,64200,621,835
2020.10.1,75122,65225,628,759
2020.10.2,76029,66245,635,907
2020.10.3,76820,67216,643,791
