date,累计确诊,治愈,死亡,新增确诊
2020.4.7,218,33,20,54
2020.4.8,330,33,21,112
2020.4.9,424,33,27,94
2020.4.12,803,42,39,182
2020.4.13,1012,42,46,182
2020.4.14,1231,49,50,219
2020.4.15,1572,49,60,341
2020.4.16,1838,58,75,266
2020.4.17,2144,66,84,306
2020.4.18,2456,75,91,312
2020.4.19,2948,85,101,492
2020.4.20,3382,87,110,434
2020.4.21,3772,92,120,390
2020.4.22,4186,108,127,414
2020.4.23,4689,112,131,503
2020.4.24,4998,112,140,309
2020.4.25,5416,122,145,418
2020.4.26,5913,131,152,497
2020.4.27,6462,139,155,549
2020.4.28,7103,150,163,641
2020.4.29,7667,160,168,564
2020.4.30,8238,174,170,571
2020.5.1,8790,177,175,552
2020.5.2,9455,177,177,665
2020.5.3,10143,1209,182,665
2020.5.4,10929,1403,183,786
2020.5.5,11719,1403,186,790
2020.5.6,12425,1910,186,706
2020.5.7,13134,1910,206,709
2020.5.8,13770,2414,214,636
2020.5.9,14657,2414,228,887
2020.5.10,15691,2902,239,1034
2020.5.11,16660,3147,250,969
2020.5.12,17822,3361,269,1162
2020.5.13,18863,3361,283,1041
2020.5.14,20065,3882,298,1202
2020.5.15,20995,4117,314,930
2020.5.16,22268,4373,328,1273
2020.5.17,23870,4585,349,1602
2020.5.18,23870,4585,349,0
2020.5.19,25121,4993,370,1251
2020.5.20,26738,5207,386,1617
2020.5.21,28511,5602,408,1773
2020.5.22,30205,6190,432,1694
2020.5.23,32078,6486,452,1873
2020.5.24,33610,6901,480,1532
2020.5.25,35585,7334,501,1975
2020.5.26,36751,7579,522,1166
2020.5.27,38292,7925,544,1541
2020.5.28,40321,8425,559,2029
2020.5.29,42844,9015,582,2523
2020.5.30,44608,9375,610,1764
2020.5.31,47153,9781,650,2545
2020.6.1,49534,10597,672,2381
2020.6.2,52445,11120,709,2911
2020.6.3,55140,11590,746,2695
2020.6.4,57563,12161,781,2423
2020.6.5,60391,12804,811,2828
2020.6.6,63026,13325,846,2635
2020.6.7,65769,13903,888,2743
2020.6.8,68504,14560,930,2735
2020.6.9,71675,15337,975,3171
2020.6.10,74865,15900,1012,3190
2020.6.11,78052,16747,1049,3187
2020.6.12,81523,17249,1095,3471
2020.6.13,84379,17827,1139,2856
2020.6.14,87520,18730,1171,3141
2020.6.15,90619,18731,1209,3099
2020.6.16,94481,36264,1262,3862
2020.6.17,98489,38189,1305,4008
2020.6.18,102292,40164,1343,3803
2020.6.19,105535,42945,1388,3243
2020.6.20,108775,43993,1425,3240
2020.6.21,112306,45077,1464,3531
2020.6.22,115786,46755,1502,3480
2020.6.23,119198,47635,1545,3412
2020.6.24,122660,49666,1582,3462
2020.6.25,126606,51495,1621,3946
2020.6.26,130474,53133,1661,3868
2020.6.27,133978,54318,1695,3504
2020.6.28,137787,55727,1738,3809
2020.6.29,141801,57780,1783,4014
2020.6.30,145483,59624,1847,3682
2020.7.1,149258,62108,1888,3775
2020.7.2,153277,66442,1926,4019
2020.7.3,156391,68048,1968,3114
2020.7.4,159679,70721,1997,3288
2020.7.5,162417,72625,2052,2738
2020.7.6,165618,76149,2096,3201
2020.7.7,168645,78102,2151,3027
2020.7.8,172134,80838,2197,3489
2020.7.9,175494,84544,2238,3360
2020.7.10,178443,86406,2275,2949
2020.7.11,181129,88034,2305,2686
2020.7.12,183795,93614,2352,2666
2020.7.13,186894,98317,2391,3099
2020.7.14,190057,103227,2424,3163
2020.7.15,193590,105523,2457,3533
2020.7.16,196323,106963,2496,2733
2020.7.17,199357,108725,2547,3034
2020.7.18,202066,110098,2581,2709
2020.7.19,204525,111642,2618,2459
2020.7.20,207453,113556,2668,2928
2020.7.21,210510,115397,2709,3057
2020.7.22,213254,117202,2751,2744
2020.7.23,216110,119208,2801,2856
2020.7.24,218658,120976,2836,2548
2020.7.25,221178,122090,2874,2520
2020.7.26,223453,123882,2928,2275
2020.7.27,226225,125683,2965,2772
2020.7.28,229185,127414,3000,2960
2020.7.29,232194,130292,3035,3009
2020.7.30,234889,132960,3083,2695
2020.7.31,237661,135136,3111,2772
2020.8.1,239860,136253,3132,2199
2020.8.2,240746,136839,3154,886
2020.8.3,242102,137905,3184,1356
2020.8.4,244020,139860,3234,1918
2020.8.5,246674,141750,3267,2654
2020.8.6,249651,143824,3306,2977
2020.8.7,252502,145584,3333,2851
2020.8.8,255113,146604,3365,2611
2020.8.9,257600,148370,3399,2487
2020.8.10,260507,150437,3438,2907
2020.8.11,263503,151972,3471,2996
2020.8.12,266498,153089,3513,2995
2020.8.13,269115,154871,3557,2617
2020.8.14,271881,156623,3591,2766
2020.8.15,274525,157635,3625,2644
2020.8.16,276549,158950,3657,2024
2020.8.17,279144,160591,3694,2595
2020.8.18,282344,162825,3740,3200
2020.8.19,285091,165738,3781,2747
2020.8.20,287959,168991,3822,2868
2020.8.21,290360,172615,3861,2401
2020.8.22,292625,175567,3907,2265
2020.8.23,294598,179091,3941,1973
2020.8.24,297083,182875,3983,2485
2020.8.25,299628,186756,4028,2545
2020.8.26,302147,190183,4082,2519
2020.8.27,304583,193458,4127,2436
2020.8.28,306794,196836,4174,2211
2020.8.29,308925,198863,4206,2131
2020.8.30,310822,201907,4248,1897
2020.8.31,312996,204887,4281,2174
2020.9.1,314946,208177,4316,1950
2020.9.2,317528,211016,4351,2582
2020.9.3,319686,213980,4383,2158
2020.9.4,321615,216191,4412,1929
2020.9.5,323565,217852,4447,1950
2020.9.6,325157,221275,4479,1592
2020.9.7,327359,224573,4516,2202
2020.9.8,329251,227809,4552,1892
2020.9.9,331078,230804,4593,1827
2020.9.10,332970,233550,4634,1892
2020.9.11,334762,236024,4668,1792
2020.9.12,336044,238271,4702,1282
2020.9.13,337520,240643,4733,1476
2020.9.14,339332,243155,4759,1812
2020.9.15,341056,245594,4802,1724
2020.9.16,342671,247969,4823,1615
2020.9.17,344264,250412,4859,1593
2020.9.18,345805,252335,4881,1541
2020.9.19,347372,254386,4913,1567
2020.9.20,348918,256565,4939,1546
2020.9.21,350621,258717,4979,1703
2020.9.22,352178,260790,5007,1557
2020.9.23,353844,262953,5044,1666
2020.9.24,355384,265092,5072,1540
2020.9.25,356767,267024,5093,1383
2020.9.26,357873,268777,5129,1106
2020.9.27,359148,270491,5161,1275
2020.9.28,360555,272073,5193,1407
2020.9.29,362043,273698,5219,1488
2020.9.30,363479,275487,5251,1436
2020.10.1,364987,277078,5272,1508
2020.10.2,366383,278627,5305,1396
2020.10.3,367565,280069,5325,1182
2020.10.4,368690,281656,5348,1125
2020.10.5,370132,283182,5375,1442
2020.10.6,371631,284833,5405,1499
2020.10.7,373151,286631,5440,1520
2020.10.8,374592,288316,5460,1441
2020.10.9,375870,289912,5477,1278
2020.10.10,377073,291365,5500,1203
2020.10.11,378266,292860,5524,1193
2020.10.12,379738,294391,5555,1472
2020.10.13,381275,295873,5577,1537
2020.10.14,382959,297449,5593,1684
2020.10.15,384559,299229,5608,1600
2020.10.16,386086,300738,5623,1527
2020.10.17,387295,302298,5646,1209
2020.10.18,388569,303972,5660,1274
2020.10.19,390206,305599,5681,1637
2020.10.20,391586,307141,5699,1380
2020.10.21,393131,308845,5723,1545
2020.10.22,394827,310532,5747,1696
2020.10.23,396413,312065,5761,1586
2020.10.24,397507,313563,5780,1094
2020.10.25,398815,315107,5803,1308
2020.10.26,400251,316600,5818,1436
2020.10.27,401586,318123,5838,1335
2020.10.28,403079,319733,5861,1493
2020.10.29,404760,321281,5886,1681
