date,累计确诊,治愈,死亡,新增确诊
2020.4.8,19,2,2,2
2020.4.11,19,4,2,0
2020.4.18,24,6,2,5
2020.4.22,25,6,2,1
2020.4.26,26,6,2,1
2020.4.27,27,6,2,1
2020.5.1,30,11,2,3
2020.5.2,35,11,2,5
2020.5.5,36,11,2,1
2020.5.14,48,14,2,3
2020.5.15,48,17,2,0
2020.5.16,48,17,2,0
2020.5.17,48,17,2,0
2020.5.18,48,17,2,0
2020.5.19,50,17,3,2
2020.5.20,52,17,3,2
2020.5.21,58,17,3,6
2020.5.22,60,17,3,2
2020.5.23,60,17,3,0
2020.5.24,61,18,4,1
2020.5.25,69,18,4,8
2020.5.26,70,18,4,1
2020.5.27,71,18,4,1
2020.5.28,71,18,4,0
2020.5.29,74,18,4,3
2020.5.30,81,18,4,7
2020.5.31,84,18,4,3
2020.6.1,86,18,4,2
2020.6.2,86,18,4,0
2020.6.3,86,18,4,0
2020.6.4,86,18,4,0
2020.6.5,86,18,4,0
2020.6.6,86,21,4,0
2020.6.7,88,24,4,2
2020.6.8,91,24,4,3
2020.6.9,92,38,4,1
2020.6.10,96,38,4,4
2020.6.11,113,40,4,17
2020.6.12,118,41,5,5
2020.6.13,130,42,5,12
2020.6.14,138,61,6,8
2020.6.15,140,61,6,2
2020.6.16,142,64,6,2
2020.6.17,148,64,6,6
2020.6.18,155,64,7,7
2020.6.19,166,64,8,11
2020.6.20,172,66,8,6
2020.6.21,176,66,9,4
2020.6.22,183,77,9,7
2020.6.23,186,77,10,3
2020.6.24,189,77,10,3
2020.6.25,197,77,10,8
2020.6.26,212,81,10,15
2020.6.27,212,81,10,0
2020.6.28,259,81,10,47
2020.6.29,267,93,11,8
2020.6.30,276,93,11,9
2020.7.1,284,93,13,8
2020.7.2,291,97,15,7
2020.7.3,315,97,17,24
2020.7.4,328,107,18,13
2020.7.5,346,108,19,18
2020.7.6,346,108,19,0
2020.7.7,346,108,19,0
2020.7.8,386,117,21,40
2020.7.9,396,117,22,10
2020.7.10,396,117,22,0
2020.7.11,462,118,23,66
2020.7.12,483,118,25,21
2020.7.13,506,118,26,23
2020.7.14,525,118,26,19
2020.7.15,541,118,26,16
2020.7.16,576,124,27,35
2020.7.17,607,124,28,31
2020.7.18,638,199,29,31
2020.7.19,687,210,29,49
2020.7.20,705,221,29,18
2020.7.21,749,221,29,44
2020.7.22,779,221,30,30
2020.7.23,812,221,33,33
2020.7.24,851,236,33,39
2020.7.25,880,241,35,29
2020.7.26,916,242,39,36
2020.7.27,932,242,40,16
2020.7.28,950,242,41,18
2020.7.29,1000,266,47,50
2020.7.30,1078,301,48,78
2020.7.31,1109,395,51,31
2020.8.1,1148,437,52,39
2020.8.2,1164,460,54,16
2020.8.3,1199,461,55,35
2020.8.4,1280,476,58,81
2020.8.5,1344,503,59,64
2020.8.6,1395,506,62,51
2020.8.7,1483,520,64,88
2020.8.8,1538,544,67,55
2020.8.9,1572,564,70,34
2020.8.10,1672,567,75,100
2020.8.11,1679,569,78,7
2020.8.12,1735,575,80,56
2020.8.13,1762,577,80,27
2020.8.14,1815,577,80,53
2020.8.15,1852,584,86,37
2020.8.16,1879,628,86,27
2020.8.17,1906,628,88,27
2020.8.18,1935,632,88,29
2020.8.19,1966,667,90,31
2020.8.20,2015,698,92,49
2020.8.21,2044,742,93,29
2020.8.22,2068,804,94,24
2020.8.23,2134,814,94,66
2020.8.24,2171,818,96,37
2020.8.25,2222,877,100,51
2020.8.26,2283,977,102,61
2020.8.27,2332,977,103,49
2020.8.28,2415,1335,105,83
2020.8.29,2471,1028,106,56
2020.8.30,2551,1041,107,80
2020.8.31,2624,1063,107,73
2020.9.1,2654,1071,108,30
2020.9.2,2729,1084,109,75
2020.9.3,2777,1115,112,48
2020.9.4,2805,1144,113,28
2020.9.5,2876,1167,115,71
2020.9.6,2935,1192,117,59
2020.9.7,2965,1198,117,30
2020.9.8,2981,1215,120,16
2020.9.9,3033,1215,124,52
2020.9.10,3092,1245,126,59
2020.9.11,3217,1277,130,125
2020.9.12,3279,1288,131,62
2020.9.13,3335,1289,132,56
2020.9.14,3388,1301,134,53
2020.9.15,3439,1324,136,51
2020.9.16,3569,1332,139,130
2020.9.17,3675,1401,143,106
2020.9.18,3789,1405,144,114
2020.9.19,3848,1443,147,59
2020.9.20,3901,1445,147,53
2020.9.21,3991,1445,152,90
2020.9.22,4117,1449,154,126
2020.9.23,4236,1462,155,119
2020.9.24,4363,1473,159,127
2020.9.25,4475,1503,162,112
2020.9.26,4590,1554,167,115
2020.9.27,4672,1639,171,82
2020.9.28,4718,1707,174,46
2020.9.29,4797,1813,176,79
2020.9.30,4905,1833,179,108
2020.10.1,4972,1941,183,67
2020.10.2,5114,2082,185,142
2020.10.3,5211,2215,189,97
2020.10.4,5370,2436,193,159
2020.10.5,5402,2577,195,32
2020.10.6,5530,2591,199,128
2020.10.7,5725,2598,211,195
2020.10.8,5725,2598,211,0
2020.10.9,5958,2635,208,233
2020.10.10,6031,2685,212,73
2020.10.11,6246,2716,218,215
2020.10.12,6366,2743,218,120
2020.10.13,6488,2744,219,122
2020.10.14,6680,2761,222,192
2020.10.15,6846,2801,227,166
2020.10.16,7096,2928,228,250
2020.10.17,7222,3012,234,126
2020.10.18,7462,3022,241,240
2020.10.19,7622,3030,247,160
2020.10.20,7829,3031,248,207
2020.10.21,8049,3037,251,220
2020.10.22,8338,3040,255,289
2020.10.23,8582,3305,260,244
2020.10.24,8829,3384,265,247
2020.10.25,9026,3461,267,197
2020.10.26,9381,3508,268,355
2020.10.27,9644,3530,270,263
2020.10.28,9871,3647,271,227
2020.10.29,10074,3693,275,203
2020.10.30,10269,3736,275,195
2020.10.31,10558,4107,279,289
2020.11.1,10805,4523,284,247
2020.11.2,11035,4920,286,230
2020.11.3,11228,5172,289,193
2020.11.4,11577,5230,291,349
2020.11.5,11813,5266,296,236
2020.11.6,12102,5350,299,289
2020.11.7,12223,5626,300,121
2020.11.8,12335,5647,303,112
2020.11.9,12433,5899,307,98
2020.11.10,12680,5927,308,247
2020.11.11,12816,6036,308,136
2020.11.12,12953,6125,312,137
2020.11.13,13053,6250,315,100
2020.11.14,13228,6326,317,175
2020.11.15,13374,6345,322,146
2020.11.16,13451,6444,322,77
2020.11.17,13615,6523,324,164
2020.11.18,13818,6582,328,203
2020.11.19,13922,6623,332,104
2020.11.20,14134,7062,333,212
2020.11.21,14267,7117,334,133
2020.11.22,14413,7273,336,146
2020.11.23,14493,7346,337,80
2020.11.24,14634,7351,337,141
2020.11.25,14742,7444,338,108
2020.11.26,14821,7517,340,79
2020.11.27,14920,7617,341,99
2020.11.28,15008,7697,342,88
2020.11.29,15087,7763,345,79
2020.11.30,15139,7851,348,16
2020.12.1,15139,7851,348,0
2020.12.2,15251,7932,350,112
2020.12.3,15319,8139,351,68
2020.12.4,15361,8244,352,42
2020.12.5,15493,8299,353,132
2020.12.6,15536,8335,354,43
2020.12.7,15591,8338,354,55
2020.12.8,15648,8353,354,57
2020.12.9,15729,8470,355,81
2020.12.10,15804,8579,358,75
2020.12.11,15925,8679,362,121
2020.12.12,16061,8798,365,136
2020.12.13,16161,8841,366,100
2020.12.14,16188,8898,371,27
2020.12.15,16277,8924,372,89
2020.12.16,16362,8990,372,85
2020.12.17,16407,9194,379,45
2020.12.18,16484,9266,382,77
2020.12.19,16562,9345,384,78
2020.12.20,16626,9518,386,64
2020.12.21,16644,9592,387,18
2020.12.22,16686,9695,390,42
2020.12.23,16802,9729,393,116
2020.12.24,16931,9729,393,129
2020.12.25,17029,9729,393,98
2020.12.26,17099,9921,396,70
2020.12.27,17240,10354,399,141
2020.12.28,17296,10354,403,56
2020.12.29,17296,10354,403,0
2020.12.30,17371,10627,403,75
2020.12.31,17433,10859,405,62
2021.1.1,17553,11044,405,120
2021.1.2,17568,11146,405,15
2021.1.3,17608,11189,407,40
2021.1.4,17642,11223,408,34
2021.1.5,17684,11266,408,42
2021.1.6,17756,11376,410,72
2021.1.7,17864,11477,413,108
2021.1.8,17974,11955,413,110
2021.1.9,18066,12712,415,92
2021.1.10,18156,13205,416,90
2021.1.11,18193,13872,416,37
2021.1.12,18254,14825,420,61
2021.1.13,18343,15512,422,89
2021.1.14,18425,15631,424,82
2021.1.15,18613,16008,425,188
2021.1.16,18679,16120,428,66
2021.1.17,18765,16225,431,86
2021.1.18,18875,16347,436,110
2021.1.19,18926,16677,439,51
2021.1.20,19011,16822,442,85
2021.1.21,19093,16921,444,82
2021.1.22,19177,17176,448,84
2021.1.23,19269,17223,452,92
2021.1.24,19367,17249,457,98
2021.1.25,19399,17266,459,32
2021.1.26,19476,17327,461,77
2021.1.27,19553,17388,462,77
2021.1.28,19580,17602,462,27
2021.1.29,19672,17692,464,92
2021.1.30,19723,17918,464,51
2021.1.31,19782,18015,464,59
2021.2.1,19796,18035,466,14
2021.2.2,19829,18180,466,33
2021.2.3,19900,18232,468,71
2021.2.4,19937,18335,470,37
2021.2.5,19996,18381,473,59
2021.2.6,20030,18431,474,34
2021.2.7,20062,18475,475,32
2021.2.8,20086,18540,475,24
2021.2.9,20112,18596,475,26
2021.2.10,20163,18623,478,51
2021.2.11,20210,18687,487,47
2021.2.12,20261,18710,487,51
2021.2.13,20294,18786,490,33
2021.2.14,20329,18790,491,35
2021.2.15,20366,18795,492,37
2021.2.16,20381,18884,493,15
2021.2.17,20389,18929,494,8
2021.2.18,20400,18951,496,11
2021.2.19,20452,18972,498,52
2021.2.20,20478,18991,498,26
2021.2.21,20499,19005,498,21
2021.2.22,20519,19013,499,20
2021.2.23,20548,19190,499,29
2021.2.24,20584,19207,500,36
2021.2.25,20640,19221,501,56
2021.2.26,20695,19238,502,55
2021.2.27,20759,19307,504,64
2021.2.28,20782,19315,506,23
2021.3.1,20807,19322,508,25
2021.3.2,20854,19400,508,47
2021.3.3,20882,19410,510,28
2021.3.4,20923,19509,510,41
2021.3.5,20981,19553,511,58
2021.3.6,21026,19624,511,45
2021.3.7,21055,19640,512,29
2021.3.8,21086,19647,514,31
2021.3.9,21108,19657,515,22
2021.3.10,21114,19677,516,6
2021.3.11,21161,19761,516,47
2021.3.12,21205,19827,517,44
2021.3.13,21265,19835,519,60
2021.3.14,21323,19848,520,58
2021.3.15,21380,19850,521,57
2021.3.16,21407,19948,521,27
2021.3.17,21446,19971,522,39
2021.3.18,21489,20028,522,43
2021.3.19,21558,20032,522,69
2021.3.20,21642,20065,524,84
2021.3.21,21696,20068,526,54
2021.3.22,21733,20073,527,37
2021.3.23,21757,20090,530,24
2021.3.24,21774,20099,530,17
2021.3.25,21836,20172,532,62
2021.3.26,21914,20190,532,78
2021.3.27,21961,20250,532,47
2021.3.28,22031,20269,533,70
2021.3.29,22063,20289,533,32
2021.3.30,22132,20380,534,69
2021.3.31,22182,20446,536,50
2021.4.1,22311,20493,537,129
2021.4.2,22399,20508,538,88
2021.4.3,22467,20867,538,68
