date,累计确诊,治愈,死亡,新增确诊
2020.4.27,3,3,0,0
2020.5.16,3,3,0,0
2020.5.18,3,3,0,0
2020.5.19,3,3,0,0
2020.5.20,3,3,0,0
2020.5.21,3,3,0,0
2020.5.22,3,3,0,0
2020.5.23,3,3,0,0
2020.5.24,3,3,0,0
2020.5.25,3,3,0,0
2020.5.26,3,3,0,0
2020.5.27,3,3,0,0
2020.5.28,3,3,0,0
2020.5.29,3,3,0,0
2020.5.30,3,3,0,0
2020.5.31,3,3,0,0
2020.6.1,3,3,0,0
2020.6.2,3,3,0,0
2020.6.3,3,3,0,0
2020.6.4,3,3,0,0
2020.6.5,3,3,0,0
2020.6.6,3,3,0,0
2020.6.7,3,3,0,0
2020.6.8,3,3,0,0
2020.6.9,3,3,0,0
2020.6.10,3,3,0,0
2020.6.11,3,3,0,0
2020.6.12,3,3,0,0
2020.6.13,3,3,0,0
2020.6.14,3,3,0,0
2020.6.15,3,3,0,0
2020.6.16,3,3,0,0
2020.6.17,3,3,0,0
2020.6.18,3,3,0,0
2020.6.19,3,3,0,0
2020.6.20,3,3,0,0
2020.6.21,3,3,0,0
2020.6.22,3,3,0,0
2020.6.23,3,3,0,0
2020.6.24,3,3,0,0
2020.6.25,3,3,0,0
2020.6.26,3,3,0,0
2020.6.27,3,3,0,0
2020.6.28,3,3,0,0
2020.6.29,3,3,0,0
2020.6.30,3,3,0,0
2020.7.1,3,3,0,0
2020.7.2,3,3,0,0
2020.7.3,3,3,0,0
2020.7.4,3,3,0,0
2020.7.5,3,3,0,0
2020.7.6,3,3,0,0
2020.7.7,3,3,0,0
2020.7.8,3,3,0,0
2020.7.9,3,3,0,0
2020.7.10,3,3,0,0
2020.7.11,3,3,0,0
2020.7.12,3,3,0,0
2020.7.13,3,3,0,0
2020.7.14,3,3,0,0
2020.7.15,3,3,0,0
2020.7.16,3,3,0,0
2020.7.17,3,3,0,0
2020.7.18,3,3,0,0
2020.7.19,3,3,0,0
2020.7.20,3,3,0,0
2020.7.21,3,3,0,0
2020.7.22,3,3,0,0
2020.7.23,3,3,0,0
2020.7.24,3,3,0,0
2020.7.25,3,3,0,0
2020.7.26,3,3,0,0
2020.7.27,3,3,0,0
2020.7.28,3,3,0,0
2020.7.29,3,3,0,0
2020.7.30,3,3,0,0
2020.7.31,3,3,0,0
2020.8.1,3,3,0,0
2020.8.2,3,3,0,0
2020.8.3,3,3,0,0
2020.8.4,3,3,0,0
2020.8.5,3,3,0,0
2020.8.6,3,3,0,0
2020.8.7,3,3,0,0
2020.8.8,3,3,0,0
2020.8.9,3,3,0,0
2020.8.10,3,3,0,0
2020.8.11,3,3,0,0
2020.8.12,3,3,0,0
2020.8.13,3,3,0,0
2020.8.14,3,3,0,0
2020.8.15,3,3,0,0
2020.8.16,3,3,0,0
2020.8.17,3,3,0,0
2020.8.18,3,3,0,0
2020.8.19,3,3,0,0
2020.8.20,3,3,0,0
2020.8.21,3,3,0,0
2020.8.22,3,3,0,0
2020.8.23,3,3,0,0
2020.8.24,3,3,0,0
2020.8.25,3,3,0,0
2020.8.26,3,3,0,0
2020.8.27,3,3,0,0
2020.8.28,3,3,0,0
2020.8.29,3,3,0,0
2020.8.30,3,3,0,0
2020.8.31,3,3,0,0
2020.9.1,3,3,0,0
2020.9.2,3,3,0,0
2020.9.3,3,3,0,0
2020.9.4,3,3,0,0
2020.9.5,3,3,0,0
2020.9.6,3,3,0,0
2020.9.7,3,3,0,0
2020.9.8,3,3,0,0
2020.9.9,3,3,0,0
2020.9.10,3,3,0,0
2020.9.11,3,3,0,0
2020.9.12,3,3,0,0
2020.9.13,3,3,0,0
2020.9.14,3,3,0,0
2020.9.15,3,3,0,0
2020.9.16,3,3,0,0
2020.9.17,3,3,0,0
2020.9.18,3,3,0,0
2020.9.19,3,3,0,0
2020.9.20,3,3,0,0
2020.9.21,3,3,0,0
2020.9.22,3,3,0,0
2020.9.23,3,3,0,0
2020.9.24,3,3,0,0
2020.9.25,3,3,0,0
2020.9.26,3,3,0,0
2020.9.27,3,3,0,0
2020.9.28,3,3,0,0
2020.9.29,3,3,0,0
2020.9.30,3,3,0,0
2020.10.1,3,3,0,0
2020.10.2,3,3,0,0
2020.10.3,3,3,0,0
2020.10.4,3,3,0,0
2020.10.5,3,3,0,0
2020.10.6,3,3,0,0
2020.10.7,3,3,0,0
2020.10.8,3,3,0,0
2020.10.9,3,3,0,0
2020.10.10,3,3,0,0
2020.10.11,3,3,0,0
2020.10.12,3,3,0,0
2020.10.13,3,3,0,0
2020.10.14,3,3,0,0
2020.10.15,3,3,0,0
2020.10.16,3,3,0,0
2020.10.17,3,3,0,0
2020.10.18,3,3,0,0
2020.10.19,3,3,0,0
2020.10.20,3,3,0,0
2020.10.21,3,3,0,0
2020.10.22,3,3,0,0
2020.10.23,3,3,0,0
2020.10.24,3,3,0,0
2020.10.25,3,3,0,0
2020.10.26,3,3,0,0
2020.10.27,3,3,0,0
2020.10.28,3,3,0,0
2020.10.29,3,3,0,0
2020.10.30,3,3,0,0
2020.10.31,3,3,0,0
2020.11.1,3,3,0,0
2020.11.2,3,3,0,0
2020.11.3,3,3,0,0
2020.11.4,3,3,0,0
2020.11.5,3,3,0,0
2020.11.6,3,3,0,0
2020.11.7,3,3,0,0
2020.11.8,3,3,0,0
2020.11.9,3,3,0,0
2020.11.10,3,3,0,0
2020.11.11,3,3,0,0
2020.11.12,3,3,0,0
2020.11.13,3,3,0,0
2020.11.14,3,3,0,0
2020.11.15,3,3,0,0
2020.11.16,3,3,0,0
2020.11.17,3,3,0,0
2020.11.18,3,3,0,0
2020.11.19,3,3,0,0
2020.11.20,3,3,0,0
2020.11.21,3,3,0,0
2020.11.22,3,3,0,0
2020.11.23,4,3,0,1
2020.11.24,4,3,0,0
2020.11.25,4,3,0,0
2020.11.26,4,3,0,0
2020.11.27,4,3,0,0
2020.11.28,4,3,0,0
2020.11.29,4,3,0,0
2020.11.30,6,3,0,2
2020.12.1,6,3,0,0
2020.12.2,6,3,0,0
2020.12.3,6,3,0,0
2020.12.4,7,3,0,1
2020.12.5,7,3,0,0
2020.12.6,7,3,0,0
2020.12.7,9,3,0,2
2020.12.8,10,3,0,1
2020.12.9,10,3,0,0
2020.12.10,10,3,0,0
2020.12.11,10,3,0,0
2020.12.12,10,3,0,0
2020.12.13,10,3,0,0
2020.12.14,10,4,0,0
2020.12.15,10,4,0,0
2020.12.16,10,4,0,0
2020.12.17,10,10,0,0
2020.12.18,10,10,0,0
2020.12.19,10,10,0,0
2020.12.20,10,10,0,0
2020.12.21,10,10,0,0
2020.12.22,10,10,0,0
2020.12.23,11,10,0,1
2020.12.24,11,10,0,0
2020.12.25,11,10,0,0
2020.12.26,11,10,0,0
2020.12.27,12,10,0,1
2020.12.28,13,12,0,1
2020.12.29,13,12,0,0
2020.12.30,13,12,0,0
2020.12.31,13,12,0,0
2021.1.1,13,12,0,0
2021.1.2,13,12,0,0
2021.1.3,15,13,0,2
2021.1.4,15,13,0,0
2021.1.5,15,13,0,0
2021.1.6,15,13,0,0
2021.1.7,15,13,0,0
2021.1.8,15,13,0,0
2021.1.9,15,13,0,0
2021.1.10,15,13,0,0
2021.1.11,15,13,0,0
2021.1.12,15,13,0,0
2021.1.13,15,13,0,0
2021.1.14,15,13,0,0
2021.1.15,15,13,0,0
2021.1.16,15,13,0,0
2021.1.17,15,15,0,0
2021.1.18,15,15,0,0
2021.1.19,15,15,0,0
2021.1.20,15,15,0,0
2021.1.21,15,15,0,0
2021.1.22,15,15,0,0
2021.1.23,15,15,0,0
2021.1.24,15,15,0,0
2021.1.25,15,15,0,0
2021.1.26,16,15,0,1
2021.1.27,16,15,0,0
2021.1.28,16,15,0,0
2021.1.29,16,15,0,0
2021.1.30,16,15,0,0
2021.1.31,16,15,0,0
2021.2.1,16,15,0,0
2021.2.2,17,15,0,1
2021.2.3,17,15,0,0
2021.2.4,17,15,0,0
2021.2.5,17,15,0,0
2021.2.6,17,15,0,0
2021.2.7,17,15,0,0
2021.2.8,17,15,0,0
2021.2.9,18,16,0,1
2021.2.10,18,16,0,0
2021.2.11,18,16,0,0
2021.2.12,18,16,0,0
2021.2.13,18,16,0,0
2021.2.14,18,16,0,0
2021.2.15,18,16,0,0
2021.2.16,18,16,0,0
2021.2.17,18,18,0,0
2021.2.18,18,18,0,0
2021.2.19,18,18,0,0
2021.2.20,18,18,0,0
2021.2.21,18,18,0,0
2021.2.22,18,18,0,0
2021.2.23,18,18,0,0
2021.2.24,18,18,0,0
2021.2.25,18,18,0,0
2021.2.26,18,18,0,0
2021.2.27,18,18,0,0
2021.2.28,18,18,0,0
2021.3.1,18,18,0,0
2021.3.2,18,18,0,0
2021.3.3,18,18,0,0
2021.3.4,18,18,0,0
2021.3.5,18,18,0,0
2021.3.6,18,18,0,0
2021.3.7,18,18,0,0
2021.3.8,18,18,0,0
2021.3.9,18,18,0,0
2021.3.10,18,18,0,0
2021.3.11,18,18,0,0
2021.3.12,18,18,0,0
2021.3.13,21,18,0,3
2021.3.14,21,18,0,0
2021.3.15,21,18,0,0
2021.3.16,21,18,0,0
2021.3.17,21,18,0,0
2021.3.18,21,18,0,0
2021.3.19,21,18,0,0
2021.3.20,22,20,0,1
2021.3.21,22,20,0,0
2021.3.22,22,20,0,0
2021.3.23,22,20,0,0
2021.3.24,22,20,0,0
2021.3.25,22,20,0,0
2021.3.26,22,20,0,0
2021.3.27,22,20,0,0
2021.3.28,22,20,0,0
2021.3.29,22,20,0,0
2021.3.30,25,21,0,3
2021.3.31,25,21,0,0
2021.4.1,25,21,0,0
2021.4.2,25,22,0,0
2021.4.3,25,22,0,0
2021.4.4,25,22,0,0
2021.4.5,25,22,0,0
2021.4.6,25,22,0,0
2021.4.7,25,22,0,0
2021.4.8,25,22,0,0
2021.4.9,25,22,0,0
2021.4.10,25,22,0,0
2021.4.11,25,22,0,0
2021.4.12,25,22,0,0
2021.4.13,25,22,0,0
2021.4.14,25,22,0,0
2021.4.15,25,22,0,0
2021.4.16,25,22,0,0
2021.4.17,29,25,0,4
2021.4.18,29,25,0,0
2021.4.19,29,25,0,0
2021.4.20,29,25,0,0
2021.4.21,29,25,0,0
