date,累计确诊,治愈,死亡,新增确诊
2020.4.10,21,0,2,2
2020.4.12,23,0,2,2
2020.4.15,23,3,3,0
2020.4.21,23,7,3,1
2020.4.22,24,10,3,1
2020.4.24,24,11,3,0
2020.5.1,25,15,3,1
2020.5.16,25,19,3,0
2020.5.18,25,19,3,0
2020.5.19,25,19,3,0
2020.5.20,25,19,3,0
2020.5.21,25,19,3,0
2020.5.22,25,19,3,0
2020.5.23,25,19,3,0
2020.5.24,25,19,3,0
2020.5.25,25,19,3,0
2020.5.26,25,19,3,0
2020.5.27,25,19,3,0
2020.5.28,25,19,3,0
2020.5.29,25,19,3,0
2020.5.30,25,19,3,0
2020.5.31,25,19,3,0
2020.6.1,26,19,3,1
2020.6.2,26,19,3,0
2020.6.3,26,20,3,0
2020.6.4,26,20,3,0
2020.6.5,26,20,3,0
2020.6.6,26,20,3,0
2020.6.7,26,20,3,0
2020.6.8,26,20,3,0
2020.6.9,26,20,3,0
2020.6.10,26,20,3,0
2020.6.11,26,20,3,0
2020.6.12,26,20,3,0
2020.6.13,26,20,3,0
2020.6.14,26,20,3,0
2020.6.15,26,20,3,0
2020.6.16,26,22,3,0
2020.6.17,26,22,3,0
2020.6.18,26,22,3,0
2020.6.19,26,22,3,0
2020.6.20,26,22,3,0
2020.6.21,26,22,3,0
2020.6.22,26,22,3,0
2020.6.23,26,22,3,0
2020.6.24,26,22,3,0
2020.6.25,65,22,3,39
2020.6.26,65,22,3,0
2020.6.27,65,22,3,0
2020.6.28,65,22,3,0
2020.6.29,69,22,3,4
2020.6.30,69,22,3,0
2020.7.1,69,22,3,0
2020.7.2,69,23,3,0
2020.7.3,69,23,3,0
2020.7.4,68,23,3,0
2020.7.5,68,23,3,0
2020.7.6,68,23,3,0
2020.7.7,70,23,3,2
2020.7.8,70,23,3,0
2020.7.9,73,57,3,3
2020.7.10,73,57,3,0
2020.7.11,74,57,3,1
2020.7.12,74,57,3,0
2020.7.13,74,57,3,0
2020.7.14,74,57,3,0
2020.7.15,74,57,3,0
2020.7.16,74,57,3,0
2020.7.17,74,57,3,0
2020.7.18,76,57,3,2
2020.7.19,76,57,3,0
2020.7.20,76,57,3,0
2020.7.21,76,57,3,0
2020.7.22,76,57,3,0
2020.7.23,76,58,3,0
2020.7.24,76,58,3,0
2020.7.25,82,60,3,6
2020.7.26,82,60,3,0
2020.7.27,82,60,3,0
2020.7.28,86,65,3,4
2020.7.29,86,65,3,0
2020.7.30,91,67,3,5
2020.7.31,91,67,3,0
2020.8.1,91,67,3,0
2020.8.2,91,67,3,0
2020.8.3,91,67,3,0
2020.8.4,92,75,3,1
2020.8.5,92,75,3,0
2020.8.6,92,76,3,0
2020.8.7,92,76,3,0
2020.8.8,92,76,3,0
2020.8.9,92,76,3,0
2020.8.10,92,76,3,0
2020.8.11,92,76,3,0
2020.8.12,92,76,3,0
2020.8.13,92,76,3,0
2020.8.14,93,83,3,1
2020.8.15,93,83,3,0
2020.8.16,93,83,3,0
2020.8.17,93,88,3,0
2020.8.18,93,88,3,0
2020.8.19,93,88,3,0
2020.8.20,94,88,3,1
2020.8.21,94,89,3,0
2020.8.22,94,89,3,0
2020.8.23,94,89,3,0
2020.8.24,94,89,3,0
2020.8.25,94,89,3,0
2020.8.26,94,89,3,0
2020.8.27,94,89,3,0
2020.8.28,94,89,3,0
2020.8.29,94,89,3,0
2020.8.30,94,91,3,0
2020.8.31,94,91,3,0
2020.9.1,94,91,3,0
2020.9.2,94,91,3,0
2020.9.3,95,91,3,1
2020.9.4,95,91,3,0
2020.9.5,95,91,3,0
2020.9.6,95,91,3,0
2020.9.7,95,91,3,0
2020.9.8,95,91,3,0
2020.9.9,95,91,3,0
2020.9.10,95,91,3,0
2020.9.11,95,91,3,0
2020.9.12,95,91,3,0
2020.9.13,95,91,3,0
2020.9.14,95,91,3,0
2020.9.15,95,91,3,0
2020.9.16,95,91,3,0
2020.9.17,95,91,3,0
2020.9.18,95,92,3,0
2020.9.19,95,92,3,0
2020.9.20,96,92,3,1
2020.9.21,96,92,3,0
2020.9.22,96,92,3,0
2020.9.23,96,92,3,0
2020.9.24,97,92,3,1
2020.9.25,98,92,3,1
2020.9.26,98,92,3,0
2020.9.27,101,92,3,3
2020.9.28,101,92,3,0
2020.9.29,101,92,3,0
2020.9.30,101,92,3,0
2020.10.1,101,92,3,0
2020.10.2,106,94,3,5
2020.10.3,106,94,3,0
2020.10.4,107,96,3,1
2020.10.5,107,96,3,0
2020.10.6,107,96,3,0
2020.10.7,108,97,3,1
2020.10.8,108,97,3,0
2020.10.9,111,97,3,3
2020.10.10,111,97,3,0
