date,累计确诊,治愈,死亡,新增确诊
2020.4.7,564,52,23,20
2020.4.8,564,52,23,19
2020.4.9,601,71,26,18
2020.4.12,646,139,29,8
2020.4.13,659,160,31,13
2020.4.14,673,169,33,14
2020.4.16,682,169,33,9
2020.4.17,704,205,35,8
2020.4.19,713,235,36,9
2020.4.20,717,248,36,4
2020.4.22,723,309,37,6
2020.4.24,731,344,40,8
2020.4.25,738,344,40,8
2020.4.26,740,374,40,2
2020.4.27,743,385,40,3
2020.4.30,745,468,42,2
2020.5.2,747,472,44,2
2020.5.3,748,493,45,1
2020.5.4,750,499,45,2
2020.5.5,751,514,46,1
2020.5.7,752,526,47,1
2020.5.9,754,545,48,2
2020.5.10,755,550,48,1
2020.5.12,758,568,48,3
2020.5.13,760,576,49,2
2020.5.14,761,596,49,1
2020.5.15,761,617,51,0
2020.5.16,761,617,51,0
2020.5.18,761,617,51,0
2020.5.19,761,628,51,0
2020.5.20,761,628,51,0
2020.5.21,762,639,51,1
2020.5.22,762,639,51,0
2020.5.23,762,653,51,0
2020.5.24,762,653,51,0
2020.5.25,763,663,51,1
2020.5.26,763,663,51,0
2020.5.27,763,676,51,0
2020.5.28,763,676,51,0
2020.5.29,764,684,51,1
2020.5.30,764,684,51,0
2020.5.31,764,692,51,0
2020.6.1,764,694,51,0
2020.6.2,844,733,51,80
2020.6.3,851,735,51,7
2020.6.4,852,738,51,1
2020.6.5,852,741,51,0
2020.6.6,852,741,51,0
2020.6.7,852,741,51,0
2020.6.8,852,744,51,0
2020.6.9,852,751,51,0
2020.6.10,852,759,51,0
2020.6.11,852,759,51,0
2020.6.12,853,781,51,1
2020.6.13,853,781,51,0
2020.6.14,853,781,51,0
2020.6.15,853,789,51,0
2020.6.16,854,789,52,1
2020.6.17,854,791,52,0
2020.6.18,855,792,52,1
2020.6.19,855,792,52,0
2020.6.20,855,792,52,0
2020.6.21,855,792,52,0
2020.6.22,855,796,52,0
2020.6.23,855,796,52,0
2020.6.24,855,797,52,0
2020.6.25,855,797,52,0
2020.6.26,855,797,52,0
2020.6.27,855,799,52,0
2020.6.28,855,799,52,0
2020.6.29,855,799,52,0
2020.6.30,855,799,52,0
2020.7.1,855,799,52,0
2020.7.2,855,799,52,0
2020.7.3,855,800,52,0
2020.7.4,855,800,52,0
2020.7.5,855,800,52,0
2020.7.6,855,800,52,0
2020.7.7,855,800,52,0
2020.7.8,855,800,52,0
2020.7.9,855,802,52,0
2020.7.10,855,803,52,0
2020.7.11,855,803,52,0
2020.7.12,855,803,52,0
2020.7.13,855,803,52,0
2020.7.14,858,803,52,3
2020.7.15,861,803,52,3
2020.7.16,862,803,52,1
2020.7.17,880,803,52,18
2020.7.18,880,803,52,0
2020.7.19,880,803,52,0
2020.7.20,880,803,52,0
2020.7.21,884,803,52,4
2020.7.22,884,803,52,0
2020.7.23,889,803,52,5
2020.7.24,897,803,52,8
2020.7.25,897,803,52,0
2020.7.26,897,803,52,0
2020.7.27,907,803,52,10
2020.7.28,907,803,52,0
2020.7.29,907,803,52,0
2020.7.30,918,804,52,11
2020.7.31,925,807,52,7
2020.8.1,925,807,52,0
2020.8.2,925,807,52,0
2020.8.3,937,821,52,12
2020.8.4,939,825,52,2
2020.8.5,939,825,52,0
2020.8.6,944,828,52,5
2020.8.7,955,839,52,11
2020.8.8,955,839,52,0
2020.8.9,955,839,52,0
2020.8.10,963,839,52,8
2020.8.11,963,839,52,0
2020.8.12,963,839,52,0
2020.8.13,977,855,53,14
2020.8.14,981,858,53,4
2020.8.15,989,863,53,8
2020.8.16,989,863,53,0
