date,累计确诊,治愈,死亡,新增确诊
2020.4.9,7,0,1,1
2020.4.11,9,0,1,1
2020.4.19,10,6,2,1
2020.4.21,10,7,2,0
2020.4.23,11,7,3,1
2020.4.25,12,7,3,1
2020.4.26,13,7,3,1
2020.4.29,14,7,3,1
2020.5.5,16,7,5,1
2020.5.12,25,7,8,9
2020.5.16,25,7,8,0
2020.5.18,25,7,8,0
2020.5.19,25,7,8,0
2020.5.20,254,199,17,229
2020.5.21,254,199,17,0
2020.5.22,279,199,17,25
2020.5.23,279,199,17,0
2020.5.24,279,199,17,0
2020.5.25,279,199,17,0
2020.5.26,279,199,17,0
2020.5.27,759,370,35,480
2020.5.28,759,370,35,0
2020.5.29,759,370,35,0
2020.5.30,759,370,35,0
2020.5.31,759,370,35,0
2020.6.1,759,370,35,0
2020.6.2,759,370,35,0
2020.6.3,1118,370,46,359
2020.6.4,1118,370,46,0
2020.6.5,1118,370,46,0
2020.6.6,1118,370,46,0
2020.6.7,1118,370,46,0
2020.6.8,1118,370,46,0
2020.6.9,1118,370,46,0
2020.6.10,1464,953,55,346
2020.6.11,1464,953,55,0
2020.6.12,1464,953,55,0
2020.6.13,1464,953,55,0
2020.6.14,1464,953,55,0
2020.6.15,1464,953,55,0
2020.6.16,1464,953,55,0
2020.6.17,1823,1238,64,359
2020.6.18,1823,1238,64,0
2020.6.19,1823,1238,64,0
2020.6.20,1823,1238,64,0
2020.6.21,1823,1238,64,0
2020.6.22,1823,1238,64,0
2020.6.23,1823,1238,64,0
2020.6.24,2170,1238,74,347
2020.6.25,2170,1238,74,0
2020.6.26,2170,1238,74,0
2020.6.27,2170,1238,74,0
2020.6.28,2170,1238,74,0
2020.6.29,2170,1238,74,0
2020.6.30,2170,1238,74,0
2020.7.1,2519,1238,83,349
2020.7.2,2519,1238,83,0
2020.7.3,2519,1238,83,0
2020.7.4,2519,1238,83,0
2020.7.5,2519,1238,83,0
2020.7.6,2519,1238,83,0
2020.7.7,2519,1238,83,0
2020.7.8,2846,1993,91,327
2020.7.9,2846,1993,91,0
2020.7.10,2846,1993,91,0
2020.7.11,2846,1993,91,0
2020.7.12,2846,1993,91,0
2020.7.13,2846,1993,91,0
2020.7.14,2846,1993,91,0
2020.7.15,3147,2282,99,301
2020.7.16,3147,2282,99,0
2020.7.17,3147,2282,99,0
2020.7.18,3147,2282,99,0
2020.7.19,3147,2282,99,0
2020.7.20,3147,2282,99,0
2020.7.21,3147,2282,99,0
2020.7.22,3439,2492,108,292
2020.7.23,3439,2492,108,0
2020.7.24,3439,2492,108,0
2020.7.25,3439,2492,108,0
2020.7.26,3439,2492,108,0
2020.7.27,3439,2492,108,0
2020.7.28,3439,2492,108,0
2020.7.29,3672,2492,116,233
2020.7.30,3672,2492,116,0
