date,累计确诊,治愈,死亡,新增确诊
2020.4.8,274,44,6,22
2020.4.9,288,51,7,14
2020.4.10,305,58,7,7
2020.4.11,318,70,10,13
2020.4.12,323,85,10,5
2020.4.13,343,91,10,20
2020.4.14,362,99,11,19
2020.4.15,407,128,12,34
2020.4.16,442,152,13,35
2020.4.17,495,159,17,51
2020.4.18,542,166,19,49
2020.4.19,627,170,21,86
2020.4.20,665,188,22,38
2020.4.21,782,197,25,117
2020.4.22,873,197,28,91
2020.4.23,981,197,31,108
2020.4.24,1095,208,32,114
2020.4.25,1182,222,35,87
2020.4.26,1273,239,40,91
2020.4.27,1337,255,40,64
2020.4.28,1532,255,44,195
2020.4.29,1728,307,51,196
2020.4.30,1932,319,58,204
2020.5.1,2170,351,68,238
2020.5.2,2388,351,85,218
2020.5.3,2558,400,87,170
2020.5.4,2802,417,93,244
2020.5.5,2950,481,98,148
2020.5.6,3145,534,103,195
2020.5.7,3526,601,107,381
2020.5.8,3912,679,117,386
2020.5.9,4151,745,128,239
2020.5.10,4399,778,143,248
2020.5.11,4641,902,150,242
2020.5.12,4787,959,158,146
2020.5.13,4791,1070,164,184
2020.5.14,5162,1180,167,191
2020.5.15,5450,1320,171,288
2020.5.16,5621,1472,176,176
2020.5.17,5959,1594,182,338
2020.5.18,5959,1594,182,0
2020.5.19,6175,1644,191,216
2020.5.20,6401,1734,192,226
2020.5.21,6677,1840,200,276
2020.5.22,7016,1907,211,339
2020.5.23,7261,2007,221,245
2020.5.24,7526,2174,221,265
2020.5.25,7839,2263,226,313
2020.5.26,8068,2311,233,229
2020.5.27,8344,2385,249,276
2020.5.28,8733,2501,254,389
2020.5.29,8915,2592,259,182
2020.5.30,9302,2697,261,387
2020.5.31,9855,2856,273,553
2020.6.1,10162,3007,287,307
2020.6.2,10578,3122,299,416
2020.6.3,10819,3240,314,241
2020.6.4,11166,3329,315,347
2020.6.5,11516,3535,323,350
2020.6.6,11844,3696,333,328
2020.6.7,12233,3826,342,389
2020.6.8,12486,3959,354,253
2020.6.9,12801,4040,361,315
2020.6.10,13464,4206,365,663
2020.6.11,13873,4351,382,409
2020.6.12,14554,4494,387,681
2020.6.13,15181,4891,399,627
2020.6.14,15682,5101,407,501
2020.6.15,16085,5220,420,403
2020.6.16,16658,5349,424,573
2020.6.17,17148,5623,455,490
2020.6.18,17735,5967,469,587
2020.6.19,18480,6307,475,745
2020.6.20,19147,6581,487,667
2020.6.21,19808,6718,506,661
2020.6.22,20244,6879,518,436
2020.6.23,20919,7109,525,675
2020.6.24,21371,7338,533,452
2020.6.25,22020,7613,542,649
2020.6.26,22614,7822,549,594
2020.6.27,23298,8253,554,684
2020.6.28,24077,8625,558,779
2020.6.29,24567,9007,565,490
2020.6.30,25133,9402,573,566
2020.7.1,25694,9746,590,561
2020.7.2,26484,10152,603,790
2020.7.3,27110,10801,616,626
2020.7.4,27564,11069,628,454
2020.7.5,28167,11462,634,603
2020.7.6,28711,11665,645,544
2020.7.7,29286,11828,654,575
2020.7.8,29789,12108,669,503
2020.7.9,30249,12373,684,460
2020.7.10,30748,12546,689,499
2020.7.11,31323,12795,709,575
2020.7.12,31987,13103,724,664
2020.7.13,32558,13447,740,571
2020.7.14,33153,13671,744,595
2020.7.15,33616,13792,754,463
2020.7.16,34259,13999,760,643
2020.7.17,34854,14292,769,595
2020.7.18,35454,14633,772,600
2020.7.19,36107,14938,778,653
2020.7.20,36663,15105,789,556
2020.7.21,37225,15333,801,562
2020.7.22,37801,15677,805,576
2020.7.23,38344,15815,813,543
2020.7.24,38948,16061,833,604
2020.7.25,39539,16559,845,591
2020.7.26,39977,16948,856,438
2020.7.27,40532,17374,858,555
2020.7.28,41180,18203,860,648
2020.7.29,41804,18764,868,624
2020.7.30,42208,19004,873,404
2020.7.31,42689,19270,878,481
2020.8.1,43151,19565,879,462
2020.8.2,43537,20087,883,386
2020.8.3,43841,20308,888,304
2020.8.4,44129,20663,896,288
2020.8.5,44433,31851,910,304
2020.8.6,44890,32165,927,457
2020.8.7,45244,32430,930,354
2020.8.8,45687,32637,936,443
2020.8.9,46140,33044,942,453
2020.8.10,46577,33186,945,437
2020.8.11,46867,33346,950,290
2020.8.12,47290,33609,956,423
2020.8.13,47743,33943,956,453
2020.8.14,48116,34309,966,373
2020.8.15,48445,35998,973,329
2020.8.16,48770,36290,974,325
2020.8.17,49068,36497,975,298
2020.8.18,49485,36834,977,417
2020.8.19,49895,37051,981,410
2020.8.20,50488,37304,985,593
2020.8.21,50964,37569,992,476
2020.8.22,51304,37885,996,340
2020.8.23,51905,38767,997,601
2020.8.24,52227,38945,1002,322
2020.8.25,52548,39257,1004,321
2020.8.26,52800,39964,1007,252
2020.8.27,53021,40281,1010,221
2020.8.28,53317,40726,1011,296
2020.8.29,53477,41017,1011,160
2020.8.30,53727,41314,1011,250
2020.8.31,53865,41513,1013,138
2020.9.1,54008,41638,1013,143
2020.9.2,54247,42010,1023,239
2020.9.3,54463,42439,1027,216
2020.9.4,54588,42627,1048,125
2020.9.5,54743,42816,1051,155
2020.9.6,54905,42922,1054,162
2020.9.7,55005,43013,1057,100
2020.9.8,55160,43231,1061,155
2020.9.9,55456,43334,1067,296
2020.9.10,55632,43610,1070,176
2020.9.11,55829,43810,1075,197
2020.9.12,56017,43998,1076,188
2020.9.13,56177,44088,1078,160
2020.9.14,56256,44152,1082,79
2020.9.15,56388,44337,1083,132
2020.9.16,56478,44430,1088,90
2020.9.17,56604,47872,1091,126
2020.9.18,56735,48092,1093,131
2020.9.19,56956,48305,1094,221
2020.9.20,57145,48431,1095,189
2020.9.21,57242,48569,1098,97
2020.9.22,57437,48674,1100,195
2020.9.23,57613,48836,1100,176
2020.9.24,57724,48985,1102,111
2020.9.25,57849,49098,1102,125
2020.9.26,58062,49606,1103,213
2020.9.27,58198,49722,1106,136
2020.9.28,58324,49794,1108,126
2020.9.29,58460,49895,1111,136
2020.9.30,58647,49937,1111,187
2020.10.1,58848,50358,1112,201
2020.10.2,59001,50452,1112,153
2020.10.3,59127,50593,1112,126
2020.10.4,59287,50718,1113,160
2020.10.5,59345,50768,1113,58
2020.10.6,59465,50951,1113,120
2020.10.7,59583,51308,1113,118
2020.10.8,59738,51403,1113,155
2020.10.9,59841,51551,1113,103
2020.10.10,59992,51614,1113,151
2020.10.11,60103,51711,1115,111
2020.10.12,60266,51735,1115,163
