date,累计确诊,治愈,死亡,新增确诊
2020.4.8,342,28,11,64
2020.4.9,410,40,11,68
2020.4.10,438,41,11,38
2020.4.11,491,50,11,43
2020.4.12,529,75,12,38
2020.4.13,548,86,13,19
2020.4.14,570,90,14,22
2020.4.15,584,90,14,14
2020.4.16,609,105,15,25
2020.4.17,627,110,18,18
2020.4.18,639,113,19,12
2020.4.19,648,117,20,9
2020.4.20,655,124,20,7
2020.4.21,657,127,20,9
2020.4.22,662,193,22,5
2020.4.23,671,256,24,9
2020.4.24,681,289,24,10
2020.4.25,684,325,27,3
2020.4.26,696,350,29,12
2020.4.27,701,385,29,5
2020.4.28,709,403,31,8
2020.4.29,713,435,32,4
2020.4.30,719,452,32,6
2020.5.1,728,478,33,9
2020.5.2,736,507,35,8
2020.5.3,750,518,36,14
2020.5.4,755,534,37,5
2020.5.5,763,543,38,8
2020.5.6,770,561,38,7
2020.5.7,781,586,42,11
2020.5.8,795,600,44,14
2020.5.9,815,617,45,20
2020.5.10,821,624,46,6
2020.5.12,854,648,47,22
2020.5.13,860,658,49,6
2020.5.14,876,677,50,16
2020.5.15,885,684,51,9
2020.5.16,889,684,51,4
2020.5.17,904,698,54,15
2020.5.18,904,698,54,0
2020.5.19,909,714,55,5
2020.5.20,914,734,55,5
2020.5.21,920,738,58,6
2020.5.22,924,753,60,4
2020.5.23,937,764,60,13
2020.5.24,943,775,61,6
2020.5.25,945,783,61,2
2020.5.26,951,786,62,6
2020.5.27,952,796,63,1
2020.5.28,955,796,64,3
2020.5.29,955,803,64,0
2020.5.30,955,813,64,0
2020.5.31,956,818,64,1
2020.6.1,958,839,64,2
2020.6.2,958,844,65,0
2020.6.3,960,848,65,2
2020.6.4,961,857,65,1
2020.6.5,963,860,65,2
2020.6.6,966,863,65,3
2020.6.7,970,867,65,4
2020.6.8,973,867,65,3
2020.6.9,973,869,65,0
2020.6.10,974,871,65,1
2020.6.11,974,876,65,0
2020.6.12,974,878,65,0
2020.6.13,978,881,65,4
2020.6.14,980,881,66,2
2020.6.15,980,885,66,0
2020.6.16,980,885,66,0
2020.6.17,1016,885,66,36
2020.6.18,1020,893,67,4
2020.6.19,1020,901,67,0
2020.6.20,1020,901,67,0
2020.6.21,1035,911,67,15
2020.6.22,1036,911,67,1
2020.6.23,1046,913,67,10
2020.6.24,1051,913,67,5
2020.6.25,1056,917,67,5
2020.6.26,1059,919,67,3
2020.6.27,1062,924,67,3
2020.6.28,1068,937,67,6
2020.6.29,1074,939,67,6
2020.6.30,1075,939,67,1
2020.7.1,1075,943,67,0
2020.7.2,1075,947,67,0
2020.7.3,1081,959,68,6
2020.7.4,1082,963,68,1
2020.7.5,1088,965,68,6
2020.7.6,1093,968,68,5
2020.7.7,1093,968,68,0
2020.7.8,1094,974,68,1
2020.7.9,1097,976,68,3
2020.7.10,1097,976,68,0
2020.7.11,1099,978,68,2
2020.7.12,1099,992,68,0
2020.7.13,1099,992,68,0
2020.7.14,1099,992,68,0
2020.7.15,1099,992,68,0
2020.7.16,1100,993,69,1
2020.7.17,1102,993,69,2
2020.7.18,1102,1013,69,0
2020.7.19,1104,1014,69,2
2020.7.20,1104,1014,69,0
2020.7.21,1105,1014,69,1
2020.7.22,1113,1018,69,8
2020.7.23,1122,1018,69,9
2020.7.24,1124,1022,69,2
2020.7.25,1124,1024,69,0
2020.7.26,1124,1025,69,0
2020.7.27,1136,1027,69,12
2020.7.28,1132,1027,69,0
2020.7.29,1132,1027,69,0
2020.7.30,1132,1027,69,0
2020.7.31,1134,1028,69,2
2020.8.1,1134,1028,69,0
2020.8.2,1136,1028,69,2
2020.8.3,1147,1032,69,11
2020.8.4,1152,1032,69,5
2020.8.5,1152,1037,69,0
2020.8.6,1152,1057,69,0
