date,累计确诊,治愈,死亡,新增确诊
2020.4.11,12,1,0,3
2020.4.12,13,1,0,1
2020.4.13,16,1,0,2
2020.4.16,30,2,0,14
2020.4.17,31,2,0,1
2020.4.20,32,4,0,1
2020.4.21,43,5,0,0
2020.4.22,47,7,0,3
2020.4.23,48,9,0,1
2020.4.24,48,10,0,1
2020.4.25,51,12,0,2
2020.4.27,54,16,0,2
2020.4.28,57,16,0,3
2020.4.30,59,16,0,2
2020.5.2,69,16,0,10
2020.5.4,82,16,0,7
2020.5.5,99,22,0,17
2020.5.7,101,22,0,2
2020.5.8,109,31,0,7
2020.5.9,110,31,0,1
2020.5.10,121,31,0,11
2020.5.11,191,33,0,57
2020.5.12,217,33,0,83
2020.5.13,245,35,0,2
2020.5.15,267,36,0,18
2020.5.16,281,36,1,14
2020.5.17,295,36,2,14
2020.5.18,357,36,2,62
2020.5.19,402,37,2,45
2020.5.20,427,45,2,25
2020.5.21,453,49,3,26
2020.5.22,516,70,3,63
2020.5.23,584,70,3,68
2020.5.24,603,87,3,19
2020.5.25,682,112,4,79
2020.5.26,772,155,4,90
2020.5.27,886,183,4,114
2020.5.28,1042,187,5,156
2020.5.29,1212,206,6,170
2020.5.30,1401,219,6,189
2020.5.31,1567,220,8,166
2020.6.1,1811,221,8,244
2020.6.2,2099,266,8,288
2020.6.3,2300,278,9,201
2020.6.4,2634,290,10,334
2020.6.5,2912,333,11,278
2020.6.6,3235,365,13,323
2020.6.7,3448,467,13,213
2020.6.8,3762,488,14,314
2020.6.9,4086,584,15,324
2020.6.10,4364,674,15,278
2020.6.11,4614,861,15,250
2020.6.12,5062,877,16,448
2020.6.13,5335,913,18,273
2020.6.14,5760,974,19,425
2020.6.15,6211,1041,19,451
2020.6.16,6591,1158,19,380
2020.6.17,7177,1167,20,586
2020.6.18,7848,1186,22,671
2020.6.19,8274,1402,22,426
2020.6.20,8605,1578,22,331
2020.6.21,9026,1772,23,421
2020.6.22,9561,2148,23,535
