date,累计确诊,治愈,死亡,新增确诊
2020.4.8,263,44,1,10
2020.4.9,266,44,1,3
2020.4.10,267,45,2,1
2020.4.11,268,46,2,5
2020.4.12,290,58,2,22
2020.4.13,308,58,2,18
2020.4.15,308,62,2,0
2020.4.16,342,63,2,34
2020.4.18,342,69,2,0
2020.4.19,342,71,2,0
2020.4.20,342,71,2,0
2020.4.21,342,71,2,0
2020.4.22,342,71,2,0
2020.4.24,342,83,2,0
2020.4.25,342,83,2,0
2020.4.28,344,71,2,0
2020.5.4,371,127,2,12
2020.5.6,374,174,2,3
2020.5.7,375,176,2,1
2020.5.10,375,301,2,1
2020.5.11,375,316,2,0
2020.5.12,375,310,2,0
2020.5.14,375,310,2,0
2020.5.15,375,310,2,0
2020.5.16,376,329,2,1
2020.5.17,381,335,2,5
2020.5.18,386,337,2,5
2020.5.19,388,346,2,2
2020.5.20,398,346,2,10
2020.5.21,398,346,2,0
2020.5.22,423,346,2,25
2020.5.23,423,346,3,0
2020.5.24,423,357,3,0
2020.5.25,423,357,3,0
2020.5.26,426,365,3,3
2020.5.27,434,365,3,8
2020.5.28,435,365,3,1
2020.5.29,446,368,3,11
2020.5.30,447,368,3,1
2020.5.31,448,368,3,1
2020.6.1,449,372,3,1
2020.6.2,451,372,3,2
2020.6.3,451,372,3,0
2020.6.4,464,377,3,13
2020.6.5,464,377,3,0
2020.6.6,464,400,3,0
2020.6.7,464,400,3,0
2020.6.8,472,403,3,8
2020.6.9,474,404,3,2
2020.6.10,484,410,3,10
2020.6.11,485,410,3,1
2020.6.12,489,414,3,4
2020.6.13,489,414,3,0
2020.6.14,489,415,3,0
2020.6.15,501,415,3,12
2020.6.16,506,415,3,5
2020.6.17,532,415,3,26
2020.6.18,579,415,3,47
2020.6.19,663,437,3,84
2020.6.20,759,437,3,96
2020.6.21,827,439,3,68
2020.6.22,975,439,3,148
2020.6.23,1157,442,3,182
2020.6.24,1311,442,3,154
2020.6.25,1362,442,3,51
2020.6.26,1514,446,3,152
2020.6.27,1624,446,3,110
2020.6.28,1854,447,4,230
2020.6.29,2087,447,5,233
2020.6.30,2390,451,6,303
2020.7.1,2708,460,8,318
2020.7.2,2978,460,8,270
2020.7.3,3148,463,10,170
2020.7.4,3599,463,12,451
2020.7.5,4043,482,16,444
2020.7.6,4341,491,17,298
2020.7.7,4647,491,18,306
2020.7.8,5029,494,19,382
2020.7.9,5220,525,22,191
2020.7.10,5551,536,27,331
2020.7.11,5931,536,32,380
2020.7.12,6230,942,34,299
2020.7.13,6566,1084,38,336
2020.7.14,6764,1084,44,198
2020.7.15,7064,1084,44,300
2020.7.16,7412,1084,47,348
2020.7.17,7764,1492,51,352
2020.7.18,8200,1596,55,436
2020.7.19,8549,1921,60,349
2020.7.20,8916,1921,62,367
2020.7.21,9228,1932,64,312
2020.7.22,9398,1932,64,170
2020.7.23,9744,2720,67,346
2020.7.24,10093,2720,70,349
2020.7.25,10306,3282,74,213
2020.7.26,10469,3752,75,163
2020.7.27,10621,3752,77,152
2020.7.28,10938,3752,78,317
2020.7.29,11284,4833,79,346
2020.7.30,11548,5016,81,264
2020.7.31,11837,5077,82,289
2020.8.1,12160,5324,83,323
2020.8.2,12297,5390,84,137
2020.8.3,12541,5390,84,244
2020.8.4,12770,6419,84,229
2020.8.5,13065,6618,89,295
2020.8.6,13398,6907,89,333
2020.8.7,13722,7210,94,324
2020.8.8,13928,7706,95,206
2020.8.9,14205,7945,96,277
2020.8.10,14510,8045,100,305
2020.8.11,14875,8181,103,365
2020.8.12,15184,8369,104,309
2020.8.13,15491,9186,105,307
2020.8.14,15834,9382,106,343
2020.8.15,16153,9388,108,319
2020.8.16,16534,9838,110,381
2020.8.17,16844,9838,110,310
2020.8.18,17306,9939,113,462
2020.8.19,17606,10312,115,300
2020.8.20,17989,10682,119,383
2020.8.21,18313,11102,121,324
2020.8.22,18476,11102,122,163
2020.8.23,18802,11103,127,326
2020.8.24,19213,11870,130,411
2020.8.25,19678,13162,133,465
2020.8.26,20155,13929,135,477
2020.8.27,20677,14194,141,522
2020.8.28,21251,14291,143,574
2020.8.29,21668,14631,147,417
2020.8.30,22204,14787,149,536
2020.8.31,22729,15056,152,525
2020.9.1,23281,15338,159,552
2020.9.2,23875,15483,162,594
2020.9.3,24471,16095,167,596
2020.9.4,25142,16437,170,671
2020.9.5,25575,16661,176,433
2020.9.6,26127,16843,181,552
2020.9.7,26779,17270,184,652
2020.9.8,27363,17779,190,584
2020.9.9,27919,18466,192,556
2020.9.10,28664,18821,198,745
2020.9.11,29256,19788,204,592
2020.9.12,29906,19979,210,650
2020.9.13,30574,20082,221,668
2020.9.14,31362,21406,226,788
2020.9.15,32250,21804,229,888
2020.9.16,33006,22209,243,756
2020.9.17,33843,23060,244,837
2020.9.18,34401,23333,250,558
2020.9.19,35003,23446,253,602
2020.9.20,35686,23700,262,683
2020.9.21,36151,24428,265,465
2020.9.22,36580,25469,269,429
2020.9.23,37083,26288,272,503
2020.9.24,37591,26934,274,508
2020.9.25,37963,27183,278,372
2020.9.26,38253,27704,285,290
2020.9.27,38703,29068,291,450
2020.9.28,39121,30220,299,418
2020.9.29,39541,31047,306,420
2020.9.30,39899,31743,311,358
2020.10.1,40322,32577,318,423
2020.10.2,40766,32944,321,444
2020.10.3,41078,33442,329,312
2020.10.4,41498,34698,330,420
2020.10.5,41957,35182,339,459
2020.10.6,41957,35182,339,0
2020.10.7,42840,35953,355,883
2020.10.8,43256,36584,359,416
2020.10.9,43664,36922,367,408
2020.10.10,43945,37240,378,281
2020.10.11,44299,37942,381,354
2020.10.12,44684,38228,387,385
2020.10.13,44684,38228,387,0
2020.10.14,45658,39304,393,974
2020.10.15,46100,39585,401,442
2020.10.16,46434,39921,402,334
2020.10.17,46746,40162,402,312
2020.10.18,47135,40498,408,389
2020.10.19,47616,40861,413,481
2020.10.20,48129,41455,421,513
2020.10.21,48129,41455,421,0
2020.10.22,49134,42544,435,1005
2020.10.23,49579,42850,439,445
2020.10.24,49989,43232,443,410
2020.10.25,50442,43592,448,453
2020.10.26,50952,44055,454,510
2020.10.27,51528,44444,458,576
2020.10.28,51948,44985,465,420
2020.10.29,52571,45448,473,623
2020.10.30,53075,45896,481,504
2020.10.31,53520,46309,483,445
2020.11.1,54060,46773,489,540
2020.11.2,54775,47169,493,715
2020.11.3,55408,47744,501,633
2020.11.4,56090,48224,504,682
2020.11.5,56672,48680,508,582
2020.11.6,57226,49537,511,554
2020.11.7,57657,49975,512,431
2020.11.8,58158,50407,515,501
2020.11.9,58838,50877,521,680
2020.11.10,59422,51425,533,584
2020.11.11,60065,52226,538,643
2020.11.12,60784,52861,542,719
2020.11.13,61514,53367,548,730
2020.11.14,62167,53791,558,653
2020.11.15,63031,54346,565,864
2020.11.16,63867,54953,572,836
2020.11.17,64935,55684,580,1068
2020.11.18,66186,56843,589,1251
2020.11.19,67296,57469,598,1110
2020.11.20,68768,57879,606,1472
2020.11.21,70254,58383,620,1486
2020.11.22,71644,59021,636,1390
2020.11.23,73196,59538,645,1552
2020.11.24,75007,60009,656,1811
2020.11.25,76727,60499,665,1720
2020.11.26,78493,61241,680,1766
2020.11.27,80429,61960,689,1936
2020.11.28,81890,62944,704,1461
2020.11.29,83585,63834,717,1695
2020.11.30,85647,64987,732,2062
2020.12.1,88004,65938,747,2357
2020.12.2,90192,66989,763,2188
2020.12.3,92708,68250,780,2516
2020.12.4,94676,70206,797,1968
2020.12.5,96098,71236,812,1422
2020.12.6,98038,72773,828,1940
2020.12.7,99758,74053,848,1720
2020.12.8,101109,75257,867,1351
2020.12.9,102992,76893,890,1883
2020.12.10,104879,78715,910,1887
2020.12.11,106622,81166,931,1743
2020.12.12,108099,83123,961,1477
2020.12.13,109738,85110,978,1639
2020.12.14,111102,87057,1000,1364
2020.12.15,113409,88967,1023,2307
2020.12.16,115606,90952,1048,2197
2020.12.17,117755,92979,1078,2149
2020.12.18,119612,94556,1097,1857
2020.12.19,121216,96461,1117,1604
2020.12.20,122643,97979,1141,1427
2020.12.21,123945,99547,1169,1302
2020.12.22,125506,101355,1198,1561
2020.12.23,127376,102942,1226,1870
2020.12.24,129080,105233,1243,1704
2020.12.25,130598,106718,1260,1518
2020.12.26,131904,108118,1281,1306
2020.12.27,134310,110927,1332,2406
2020.12.28,134310,110927,1332,0
