date,累计确诊,治愈,死亡,新增确诊
2020.4.8,40,5,7,7
2020.4.9,41,5,8,1
2020.4.10,42,5,8,1
2020.4.11,46,5,8,4
2020.4.12,47,6,8,1
2020.4.13,49,6,8,2
2020.4.15,53,6,8,4
2020.4.17,54,9,9,1
2020.4.18,55,10,9,1
2020.4.19,60,11,9,5
2020.4.20,64,11,9,4
2020.4.21,65,12,9,1
2020.4.22,70,12,9,5
2020.4.23,72,14,11,7
2020.4.24,73,15,11,1
2020.4.25,78,15,11,5
2020.4.26,80,22,11,2
2020.4.28,80,23,11,0
2020.4.30,80,25,11,0
2020.5.1,81,25,11,1
2020.5.2,83,25,11,2
2020.5.5,89,26,11,6
2020.5.6,92,26,11,3
2020.5.9,92,37,11,0
2020.5.13,94,41,11,1
2020.5.14,96,41,11,2
2020.5.16,96,42,11,0
2020.5.17,96,42,11,0
2020.5.18,96,42,11,0
2020.5.19,96,43,11,0
2020.5.20,96,43,11,0
2020.5.21,97,43,11,1
2020.5.22,97,44,11,0
2020.5.23,97,44,11,0
2020.5.24,100,45,11,3
2020.5.25,100,46,11,0
2020.5.26,100,46,11,0
2020.5.27,100,46,11,0
2020.5.28,100,46,11,0
2020.5.29,101,47,11,1
2020.5.30,102,48,11,1
2020.5.31,102,48,11,0
2020.6.1,102,48,11,0
2020.6.2,102,49,11,0
2020.6.3,102,49,11,0
2020.6.4,102,55,11,0
2020.6.5,102,55,11,0
2020.6.6,102,55,11,0
2020.6.7,103,62,11,1
2020.6.8,103,62,11,0
2020.6.9,103,64,11,0
2020.6.10,103,64,11,0
2020.6.11,103,67,11,0
2020.6.12,103,68,11,0
2020.6.13,103,68,11,0
2020.6.14,103,68,11,0
2020.6.15,103,68,11,0
2020.6.16,104,72,11,1
2020.6.17,104,72,11,0
2020.6.18,104,72,11,0
2020.6.19,104,74,11,0
2020.6.20,104,74,11,0
2020.6.21,104,74,11,0
2020.6.22,104,77,11,0
2020.6.23,104,77,11,0
2020.6.24,104,83,11,0
2020.6.25,104,83,11,0
2020.6.26,104,84,11,0
2020.6.27,104,84,11,0
2020.6.28,104,87,11,0
2020.6.29,104,87,11,0
2020.6.30,104,87,11,0
2020.7.1,104,87,11,0
2020.7.2,104,89,11,0
2020.7.3,104,89,11,0
2020.7.4,104,89,11,0
2020.7.5,104,89,11,0
2020.7.6,104,89,11,0
2020.7.7,104,89,11,0
2020.7.8,104,89,11,0
2020.7.9,106,89,11,2
2020.7.10,107,89,11,1
2020.7.11,108,89,11,1
2020.7.12,111,89,11,3
2020.7.13,111,89,11,0
2020.7.14,113,91,11,2
2020.7.15,116,91,11,3
2020.7.16,119,91,11,3
2020.7.17,124,91,11,5
2020.7.18,129,91,11,5
2020.7.19,138,91,11,9
2020.7.20,153,91,11,15
2020.7.21,174,91,11,21
2020.7.22,194,91,11,20
2020.7.23,219,91,11,25
2020.7.24,274,91,11,55
2020.7.25,316,91,11,42
2020.7.26,326,91,11,10
2020.7.27,342,91,11,16
2020.7.28,382,91,11,40
2020.7.29,447,91,11,65
2020.7.30,484,91,11,37
2020.7.31,508,91,14,24
2020.8.1,574,91,14,66
2020.8.2,599,91,14,25
2020.8.3,648,91,14,49
2020.8.4,679,91,14,31
2020.8.5,715,91,14,36
2020.8.6,751,91,14,36
2020.8.7,761,91,14,10
2020.8.8,830,95,14,69
2020.8.9,878,99,14,48
2020.8.10,898,104,15,20
2020.8.11,945,113,15,47
2020.8.12,989,116,15,44
2020.8.13,1036,122,15,47
2020.8.14,1089,138,15,53
2020.8.15,1119,138,17,30
2020.8.16,1252,160,17,133
2020.8.17,1315,189,18,63
2020.8.18,1329,191,19,14
2020.8.19,1424,203,20,95
2020.8.20,1531,209,22,107
2020.8.21,1610,211,23,79
2020.8.22,1703,221,27,93
2020.8.23,1765,227,29,62
2020.8.24,1765,227,29,0
2020.8.25,1798,634,46,33
2020.8.26,1813,634,48,15
2020.8.27,1923,733,48,110
2020.8.28,1923,733,48,0
2020.8.29,2057,755,50,134
2020.8.30,2135,782,50,78
2020.8.31,2167,782,50,32
2020.9.1,2217,801,50,50
2020.9.2,2276,801,50,59
2020.9.3,2337,849,50,61
2020.9.4,2386,893,50,49
2020.9.5,2386,893,50,0
2020.9.6,2506,948,56,120
2020.9.7,2546,976,58,40
2020.9.8,2585,976,59,39
2020.9.9,2657,1088,63,72
2020.9.10,2721,1183,63,64
2020.9.11,2721,1183,63,0
2020.9.12,2874,1285,67,153
2020.9.13,2928,1319,67,54
2020.9.14,2974,1344,67,46
2020.9.15,3008,1391,68,34
2020.9.16,3032,1482,69,24
2020.9.17,3087,1533,69,55
2020.9.18,3177,1626,69,90
2020.9.19,3177,1626,69,0
2020.9.20,3214,1679,73,37
2020.9.21,3370,1689,74,156
2020.9.22,3418,1771,75,48
2020.9.23,3467,1871,77,49
2020.9.24,3618,1915,80,151
2020.9.25,3699,1962,86,81
2020.9.26,3790,1999,89,91
2020.9.27,3790,1999,89,0
2020.9.28,3838,2005,89,48
2020.9.29,3838,2005,89,0
2020.9.30,4022,2141,95,184
2020.10.1,4123,2206,96,101
2020.10.2,4220,2290,96,97
2020.10.3,4220,2290,96,0
2020.10.4,4409,2375,96,189
2020.10.5,4409,2375,96,0
2020.10.6,4452,2375,96,43
2020.10.7,4559,2475,100,107
2020.10.8,4713,2607,102,154
2020.10.9,4713,2607,102,0
2020.10.10,4955,2724,106,242
2020.10.11,5023,2815,106,68
2020.10.12,5078,2900,107,55
2020.10.13,5163,2978,108,85
2020.10.14,5163,2978,108,0
2020.10.15,5385,3178,112,222
2020.10.16,5385,3178,112,0
2020.10.17,5517,3201,114,132
2020.10.18,5628,3276,116,111
2020.10.19,5773,3339,123,145
2020.10.20,5923,3525,124,150
2020.10.21,6051,3633,127,128
2020.10.22,6051,3633,127,0
2020.10.23,6135,3705,130,84
2020.10.24,6268,3795,130,133
2020.10.25,6268,3795,130,0
2020.10.26,6410,3948,132,142
2020.10.27,6502,4088,136,92
2020.10.28,6502,4088,136,0
2020.10.29,6549,4182,136,47
2020.10.30,6644,4257,142,95
2020.10.31,6644,4257,142,0
2020.11.1,6714,4422,144,70
2020.11.2,6735,4493,146,21
2020.11.3,6735,4493,146,0
2020.11.4,6790,4632,149,55
2020.11.5,6843,4701,150,53
2020.11.6,6882,4779,150,39
2020.11.7,6882,4779,150,0
2020.11.8,6947,4942,152,65
2020.11.9,6964,4943,154,17
2020.11.10,6984,4943,154,20
2020.11.11,7012,5035,154,28
2020.11.12,7060,5099,154,48
2020.11.13,7124,5192,155,64
2020.11.14,7163,5282,155,39
2020.11.15,7186,5323,156,23
2020.11.16,7186,5323,156,0
2020.11.17,7256,5341,163,70
2020.11.18,7312,5424,163,56
2020.11.19,7323,5483,163,11
2020.11.20,7348,5516,163,25
2020.11.21,7367,5516,163,19
2020.11.22,7395,5628,163,28
2020.11.23,7413,5652,163,18
2020.11.24,7431,5652,163,18
2020.11.25,7460,5708,163,29
2020.11.26,7469,5733,163,9
2020.11.27,7482,5789,163,13
2020.11.28,7496,5830,163,14
2020.11.29,7496,5830,163,0
2020.11.30,7541,5889,163,21
2020.12.1,7541,5889,163,0
2020.12.2,7543,5934,163,2
2020.12.3,7543,5934,163,0
2020.12.4,7549,5934,163,6
2020.12.5,7565,5976,163,16
2020.12.6,7570,5995,163,5
2020.12.7,7570,5995,163,0
2020.12.8,7579,6003,163,9
2020.12.9,7579,6003,163,0
2020.12.10,7585,6032,163,6
2020.12.11,7585,6032,163,0
2020.12.12,7623,6043,163,38
2020.12.13,7659,6069,163,36
2020.12.14,7674,6070,163,15
2020.12.15,7698,6081,164,24
2020.12.16,7698,6081,164,0
2020.12.17,7714,6087,164,16
2020.12.18,7725,6098,164,11
2020.12.19,7733,6109,164,8
2020.12.20,7746,6122,164,13
2020.12.21,7765,6127,164,19
2020.12.22,7765,6127,164,0
2020.12.23,7772,6166,169,7
2020.12.24,7788,6166,169,16
2020.12.25,7788,6166,169,0
2020.12.26,7788,6166,169,0
2020.12.27,7834,6177,170,46
2020.12.28,7834,6177,170,0
2020.12.29,7834,6177,170,0
2020.12.30,7846,6177,170,12
2020.12.31,7857,6221,170,11
2021.1.1,7871,6230,170,14
2021.1.2,7887,6239,171,16
2021.1.3,7887,6239,171,0
2021.1.4,7914,6239,175,27
2021.1.5,7924,6239,175,10
2021.1.6,7928,6260,175,4
2021.1.7,7945,6277,175,17
2021.1.8,7959,6297,175,14
2021.1.9,7969,6313,175,10
2021.1.10,7969,6313,175,0
2021.1.11,7969,6313,175,0
2021.1.12,8004,6331,175,35
2021.1.13,8004,6331,175,0
2021.1.14,8011,6351,175,7
2021.1.15,8021,6507,175,10
2021.1.16,8032,6525,175,11
2021.1.17,8032,6525,175,0
2021.1.18,8032,6525,175,0
2021.1.19,8067,6680,175,35
2021.1.20,8068,6700,175,1
2021.1.21,8075,6720,175,7
2021.1.22,8088,6720,175,13
2021.1.23,8101,6720,175,13
2021.1.24,8101,6720,175,0
2021.1.25,8101,6720,175,0
2021.1.26,8133,6720,175,32
2021.1.27,8140,6746,175,7
2021.1.28,8161,6754,175,21
2021.1.29,8161,6754,175,0
2021.1.30,8167,6764,175,6
2021.1.31,8174,6771,176,7
2021.2.1,8174,6771,176,0
2021.2.2,8223,6784,176,49
2021.2.3,8223,6784,176,0
2021.2.4,8231,6807,176,8
2021.2.5,8247,6818,176,16
2021.2.6,8256,6819,176,9
2021.2.7,8256,6819,176,0
2021.2.8,8256,6819,176,0
2021.2.9,8289,6837,176,33
2021.2.10,8289,6837,176,0
2021.2.11,8289,6837,176,0
2021.2.12,8311,6931,178,22
2021.2.13,8311,6931,178,0
2021.2.14,8311,6931,178,0
2021.2.15,8311,6931,178,0
2021.2.16,8311,6931,178,0
2021.2.17,8383,7071,179,72
2021.2.18,8383,7071,179,0
2021.2.19,8403,7148,179,20
2021.2.20,8403,7148,179,0
2021.2.21,8403,7148,179,0
2021.2.22,8403,7148,179,0
2021.2.23,8471,7181,179,68
2021.2.24,8477,7231,179,6
2021.2.25,8496,7274,179,19
2021.2.26,8496,7274,179,0
2021.2.27,8519,7309,179,23
2021.2.28,8519,7309,179,0
2021.3.1,8519,7309,179,0
2021.3.2,8519,7309,179,0
2021.3.3,8519,7309,179,0
2021.3.4,8573,7398,181,54
2021.3.5,8573,7398,181,0
2021.3.6,8600,7415,181,27
2021.3.7,8600,7415,181,0
2021.3.8,8600,7415,181,0
2021.3.9,8600,7415,181,0
2021.3.10,8642,7483,185,42
2021.3.11,8642,7483,185,0
2021.3.12,8642,7483,185,0
2021.3.13,8658,7513,185,16
2021.3.14,8658,7513,185,0
2021.3.15,8658,7513,185,0
2021.3.16,8765,7645,186,107
2021.3.17,8776,7652,186,11
2021.3.18,8800,7676,186,24
2021.3.19,8800,7676,186,0
2021.3.20,8800,7676,186,0
2021.3.21,8800,7676,186,0
2021.3.22,8800,7676,186,0
2021.3.23,8923,7734,188,123
2021.3.24,8935,7757,188,12
2021.3.25,8935,7757,188,0
2021.3.26,8935,7757,188,0
2021.3.27,8935,7757,188,0
2021.3.28,8935,7757,188,0
2021.3.29,8935,7757,188,0
2021.3.30,9000,7841,188,65
2021.3.31,9119,8597,188,119
2021.4.1,9119,8597,188,0
2021.4.2,9171,8676,188,52
2021.4.3,9171,8676,188,0
2021.4.4,9171,8676,188,0
2021.4.5,9171,8676,188,0
2021.4.6,9270,8729,189,99
2021.4.7,9270,8729,189,0
2021.4.8,9296,8811,189,26
2021.4.9,9339,8814,189,43
2021.4.10,9364,8837,189,25
2021.4.11,9364,8837,189,0
2021.4.12,9364,8837,189,0
2021.4.13,9460,8865,190,96
2021.4.14,9505,8965,190,45
2021.4.15,9505,8965,190,0
2021.4.16,9505,8965,190,0
2021.4.17,9634,8984,194,129
2021.4.18,9634,8984,194,0
2021.4.19,9634,8984,194,0
2021.4.20,9791,9059,194,157
