date,累计确诊,治愈,死亡,新增确诊
2020.4.7,4183,467,58,269
2020.4.8,4263,467,61,228
2020.4.9,4489,572,63,167
2020.4.10,4695,727,66,284
2020.4.11,5011,762,77,223
2020.4.12,5230,1026,91,192
2020.4.13,5496,1095,93,266
2020.4.14,5983,1378,107,146
2020.4.15,6383,1446,111,395
2020.4.16,7025,1765,135,106
2020.4.17,7481,1832,143,456
2020.4.18,7773,1832,148,381
2020.4.19,8348,1868,168,710
2020.4.20,9193,1970,192,845
2020.4.21,9565,2073,201,673
2020.4.22,10076,2156,212,327
2020.4.23,11057,2337,235,981
2020.4.24,11940,2755,253,883
2020.4.25,12644,2755,268,704
2020.4.26,13328,2936,281,605
2020.4.27,13915,3029,292,587
2020.4.28,14612,3233,312,697
2020.4.29,15525,3425,343,913
2020.4.30,16473,4105,361,948
2020.5.1,18092,4351,417,1619
2020.5.2,19022,4753,437,930
2020.5.3,20084,5114,457,1062
2020.5.4,21501,5782,486,560
2020.5.5,22049,5801,514,1108
2020.5.6,23214,6281,544,1165
2020.5.7,24644,6464,585,1430
2020.5.8,27474,7756,618,1039
2020.5.9,28736,7809,636,2301
2020.5.10,30334,8063,659,1598
2020.5.11,32081,8555,706,1140
2020.5.12,34366,8812,737,1662
2020.5.13,35298,8899,761,2624
2020.5.14,37218,10155,803,1430
2020.5.15,38799,10880,834,1581
2020.5.16,40151,11341,873,1352
2020.5.17,42125,11922,903,1974
2020.5.18,42125,11922,903,0
2020.5.19,43966,12489,939,1841
2020.5.20,45898,13101,985,1932
2020.5.21,48091,14155,1017,2193
2020.5.22,50694,15201,1067,2603
2020.5.23,52437,16653,1101,1743
2020.5.24,54601,17198,1133,2164
2020.5.25,56349,17482,1167,1748
2020.5.26,57705,18314,1197,1356
2020.5.27,59151,19142,1225,1446
2020.5.28,61227,20231,1260,2076
2020.5.29,64028,22305,1317,2801
2020.5.30,66457,24131,1395,2429
2020.5.31,69496,25271,1483,3039
2020.6.1,72460,26083,1543,2964
2020.6.2,76398,27110,1621,3938
2020.6.3,80463,28923,1688,4065
2020.6.4,85264,30128,1770,4801
2020.6.5,89249,31198,1838,3985
2020.6.6,93983,32581,1935,4734
2020.6.7,98943,33465,2002,4960
2020.6.8,103671,34355,2067,4728
2020.6.9,108317,35018,2172,4646
2020.6.10,113702,36308,2255,5385
2020.6.11,119536,38391,2356,5834
2020.6.12,125933,40247,2463,6397
2020.6.13,132405,50056,2551,6472
2020.6.14,139230,51735,2632,6825
2020.6.15,144478,53721,2729,5248
2020.6.16,148921,56390,2839,4443
2020.6.17,154760,58437,2975,5839
2020.6.18,160118,59215,3093,5358
2020.6.19,165062,61383,3229,4944
2020.6.20,171666,63504,3382,6604
2020.6.21,176617,67892,3501,4951
2020.6.22,181088,71458,3590,4471
2020.6.23,185034,73471,3695,3946
2020.6.24,188926,77754,3755,3892
2020.6.25,192970,81307,3903,4044
2020.6.26,195745,84168,3962,2775
2020.6.27,198883,86906,4035,3138
2020.6.28,202955,92624,4118,4072
2020.6.29,206512,95407,4167,3557
2020.6.30,209337,98503,4304,2825
2020.7.1,213470,100802,4395,4133
2020.7.2,217809,104694,4473,4339
2020.7.3,221896,113623,4551,4087
2020.7.4,225283,125094,4619,3387
2020.7.5,228474,129830,4712,3191
2020.7.6,231818,131649,4762,3344
2020.7.7,234509,134957,4839,2691
2020.7.8,237489,140965,4922,2980
2020.7.9,240848,145311,4983,3359
2020.7.10,243599,149092,5058,2751
2020.7.11,246351,153134,5123,2752
2020.7.12,248872,156700,5197,2521
2020.7.13,251625,161917,5266,2753
2020.7.14,253604,170656,5320,1979
2020.7.15,255769,172810,5386,2165
2020.7.16,257914,178737,5426,2145
2020.7.17,259999,183737,5475,2085
2020.7.18,261916,198509,5522,1917
2020.7.19,263496,204276,5568,1580
2020.7.20,265083,205929,5599,1587
2020.7.21,266096,208030,5639,1013
2020.7.22,267428,210468,5677,1332
2020.7.23,269191,213175,5709,1763
2020.7.24,270400,219783,5763,1209
2020.7.25,271887,236596,5787,1487
2020.7.26,273113,237434,5822,1226
2020.7.27,274289,241026,5842,1176
2020.7.28,275225,242436,5865,936
2020.7.29,276288,244883,5892,1063
2020.7.30,277402,246131,5924,1114
2020.7.31,278305,247177,5951,903
2020.8.1,278305,247177,5951,0
2020.8.2,279698,248577,5976,1393
2020.8.3,280029,248873,5984,331
2020.8.4,280461,249397,5999,432
2020.8.5,281136,254286,6014,675
2020.8.6,281863,256058,6035,727
2020.8.7,282645,258099,6052,782
2020.8.8,283487,259604,6068,842
2020.8.9,284121,260248,6082,634
2020.8.10,284660,260764,6097,539
2020.8.11,285191,261246,6112,531
2020.8.12,285921,263193,6129,730
2020.8.13,286674,264060,6139,753
2020.8.14,287300,265215,6153,626
2020.8.15,288047,265624,6162,747
2020.8.16,288717,266301,6168,670
2020.8.17,289215,269087,6175,498
2020.8.18,289832,270009,6190,617
2020.8.19,290445,272128,6201,613
2020.8.20,290958,272804,6209,513
2020.8.21,291588,273579,6219,630
2020.8.22,292174,275317,6231,586
2020.8.23,292765,275836,6235,591
2020.8.24,293261,276829,6244,496
2020.8.25,293711,278425,6255,450
2020.8.26,294193,278939,6267,482
2020.8.27,294638,279561,6274,445
2020.8.28,295053,279937,6283,415
2020.8.29,295372,280340,6284,319
2020.8.30,295636,280547,6288,264
2020.8.31,295849,280682,6294,213
2020.9.1,296149,280970,6298,300
2020.9.2,296590,281459,6318,441
2020.9.3,297014,281925,6328,424
2020.9.4,297512,282268,6335,498
2020.9.5,298025,282553,6340,513
2020.9.6,298509,285898,6342,484
2020.9.7,298903,286016,6345,394
2020.9.8,299233,286157,6350,330
2020.9.9,299659,286506,6359,426
2020.9.10,299855,287950,6365,196
2020.9.11,300371,288206,6370,516
2020.9.12,300955,288536,6373,584
2020.9.13,301481,289429,6379,526
2020.9.14,302020,289806,6383,539
2020.9.15,302424,290261,6389,404
2020.9.16,303089,290760,6393,665
2020.9.17,303634,291169,6399,545
2020.9.18,304386,291683,6408,752
2020.9.19,305031,292044,6415,645
2020.9.20,305671,292303,6416,640
2020.9.21,306304,292869,6420,633
2020.9.22,306886,293159,6424,582
2020.9.23,307418,293916,6432,532
2020.9.24,308217,294392,6437,799
2020.9.25,309015,294740,6444,798
2020.9.26,309581,295333,6451,566
2020.9.27,310275,295613,6457,694
2020.9.28,310841,296022,6466,566
2020.9.29,311516,296340,6474,675
2020.9.30,312263,296881,6479,747
2020.10.1,312806,297497,6484,543
2020.10.2,313431,298055,6499,625
2020.10.3,313984,298593,6507,553
2020.10.4,314616,298968,6513,632
2020.10.5,315260,299836,6517,644
2020.10.6,315727,300616,6523,467
2020.10.7,316351,301288,6535,624
2020.10.8,316934,302375,6544,583
2020.10.9,317595,302708,6552,661
2020.10.10,318266,303062,6558,671
2020.10.11,318932,303458,6570,666
2020.10.12,319317,304185,6580,385
2020.10.13,319848,304609,6588,531
2020.10.14,320463,305080,6601,615
2020.10.15,321218,305395,6614,755
2020.10.16,321877,305835,6621,659
2020.10.17,322452,306640,6638,575
2020.10.18,323019,307069,6654,567
2020.10.19,323452,307409,6659,433
2020.10.20,324077,308020,6673,625
2020.10.21,324744,308674,6692,667
2020.10.22,325480,309136,6702,736
2020.10.23,326216,309646,6715,736
2020.10.24,327063,310101,6727,847
2020.10.25,327895,310491,6736,832
2020.10.26,328602,311075,6739,707
2020.10.27,329375,311440,6745,773
2020.10.28,330200,311814,6759,825
2020.10.29,331108,312638,6775,908
2020.10.30,332186,313527,6795,1078
2020.10.31,332993,314066,6806,807
2020.11.1,333970,314555,6823,977
2020.11.2,335093,315016,6835,1123
2020.11.3,336260,315446,6849,1167
2020.11.4,337573,316060,6867,1313
2020.11.5,338875,316665,6893,1302
2020.11.6,340251,317086,6923,1376
2020.11.7,341753,317898,6943,1502
2020.11.8,343189,318417,6968,1436
2020.11.9,344839,318881,6977,1650
2020.11.10,346476,319431,7000,1637
2020.11.11,348184,320065,7021,1708
2020.11.12,349992,320849,7055,1808
2020.11.13,352296,321563,7092,2304
2020.11.14,354461,322414,7109,2165
2020.11.15,356904,323225,7141,2443
2020.11.16,359032,323824,7160,2128
2020.11.17,361082,324834,7193,2050
2020.11.18,363380,325788,7230,2298
2020.11.19,365927,326674,7248,2547
2020.11.20,368665,327542,7284,2738
2020.11.21,371508,328931,7603,2843
2020.11.22,374173,329828,7662,2665
2020.11.23,376929,330885,7696,2756
2020.11.24,379883,331760,7744,2954
2020.11.25,382892,332974,7803,3009
2020.11.26,386198,334392,7843,3306
2020.11.27,386198,334392,7843,0
2020.11.28,386198,334392,7843,0
2020.11.29,386198,334392,7843,0
2020.11.30,400482,343286,8091,2839
2020.12.1,400482,343286,8091,0
2020.12.2,403311,345365,8166,2829
2020.12.3,406810,346951,8205,3499
2020.12.4,410072,350305,8260,3262
2020.12.5,413191,352529,8303,3119
2020.12.6,416499,355012,8361,3308
2020.12.7,420294,356542,8398,3795
2020.12.8,423179,370474,8487,2885
2020.12.9,426142,372271,8547,2963
2020.12.10,429280,374301,8603,3138
2020.12.11,432327,379092,8653,3047
2020.12.12,435056,381208,8724,2729
2020.12.13,438425,383000,8796,3369
2020.12.14,440787,384719,8832,2362
2020.12.15,443246,386333,8905,2459
2020.12.16,445977,388598,9010,2731
2020.12.17,448522,396591,9080,2545
2020.12.18,451494,399852,9164,2972
2020.12.19,454673,404501,9250,3179
2020.12.20,457288,407405,9330,2615
2020.12.21,458968,409085,9392,1680
2020.12.22,460672,410937,9474,1704
2020.12.23,462814,415352,9557,2142
2020.12.24,465070,417134,9668,2256
2020.12.25,467222,418958,9753,2152
2020.12.26,469482,420489,9816,2260
2020.12.27,473309,423892,9929,3827
2020.12.28,473309,423892,9929,0
2020.12.29,475085,425494,9992,1776
2020.12.30,477240,430113,10047,2155
2020.12.31,479715,435073,10105,2475
2021.1.1,482178,437229,10176,2463
2021.1.2,484362,438974,10258,2184
2021.1.3,486634,440660,10311,2272
2021.1.4,488529,442457,10350,1895
2021.1.5,490476,444360,10409,1947
2021.1.6,492594,448393,10461,2118
2021.1.7,495075,450515,10511,2481
2021.1.8,497510,453828,10558,2435
2021.1.9,499517,455445,10598,2007
2021.1.10,502416,456969,10644,2899
2021.1.11,504293,458371,10676,1877
2021.1.12,506701,461977,10717,2408
2021.1.13,508824,464950,10772,2123
2021.1.14,511921,467234,10818,3097
2021.1.15,514338,469306,10863,2417
2021.1.16,516770,472099,10908,2432
2021.1.17,519291,473639,10951,2521
2021.1.18,521211,475228,10997,1920
2021.1.19,523011,476471,11055,1800
2021.1.20,524783,478517,11103,1772
2021.1.21,527146,480696,11157,2363
2021.1.22,528891,482771,11204,1745
2021.1.23,530818,484508,11247,1927
2021.1.24,532412,486489,11295,1594
2021.1.25,534041,488903,11318,1629
2021.1.26,535914,490126,11376,1873
2021.1.27,537477,492207,11450,1563
2021.1.28,539387,494578,11514,1910
2021.1.29,541031,496745,11560,1644
2021.1.30,543214,498152,11623,2183
