date,累计确诊,治愈,死亡,新增确诊
2020.4.8,63,8,3,3
2020.4.9,66,11,3,3
2020.4.10,67,11,4,1
2020.4.11,68,11,4,1
2020.4.12,74,11,4,6
2020.4.13,74,13,4,0
2020.4.15,75,15,5,2
2020.4.21,75,25,5,0
2020.4.22,76,27,6,1
2020.4.23,76,30,6,0
2020.4.24,77,31,6,1
2020.4.25,79,31,6,2
2020.4.26,79,39,6,0
2020.4.28,80,39,6,0
2020.4.30,81,39,7,1
2020.5.7,82,53,7,0
2020.5.9,84,57,7,1
2020.5.12,85,57,7,1
2020.5.16,86,67,7,1
2020.5.17,88,68,7,2
2020.5.18,88,68,7,0
2020.5.19,88,68,7,0
2020.5.20,90,68,7,2
2020.5.21,90,70,7,0
2020.5.22,90,70,7,0
2020.5.23,90,70,7,0
2020.5.24,92,70,7,2
2020.5.25,92,70,7,0
2020.5.26,92,71,7,0
2020.5.27,92,71,7,0
2020.5.28,92,76,7,0
2020.5.29,92,76,7,0
2020.5.30,92,76,7,0
2020.5.31,92,76,7,0
2020.6.1,92,76,7,0
2020.6.2,92,76,7,0
2020.6.3,92,76,7,0
2020.6.4,92,81,7,0
2020.6.5,92,81,7,0
2020.6.6,92,81,7,0
2020.6.7,92,81,7,0
2020.6.8,92,81,7,0
2020.6.9,92,81,7,0
2020.6.10,92,81,7,0
2020.6.11,96,83,7,4
2020.6.12,96,83,7,0
2020.6.13,96,83,7,0
2020.6.14,96,83,7,0
2020.6.15,96,83,7,0
2020.6.16,97,83,7,1
2020.6.17,97,83,7,0
2020.6.18,97,85,7,0
2020.6.19,97,85,7,0
2020.6.20,97,85,7,0
2020.6.21,97,85,7,0
2020.6.22,97,85,7,0
2020.6.23,97,85,7,0
2020.6.24,97,85,7,0
2020.6.25,97,85,7,0
2020.6.26,97,85,7,0
2020.6.27,97,90,7,0
2020.6.28,97,90,7,0
2020.6.29,97,90,7,0
2020.6.30,97,90,7,0
2020.7.1,97,90,7,0
2020.7.2,97,90,7,0
2020.7.3,97,90,7,0
2020.7.4,97,90,7,0
2020.7.5,97,90,7,0
2020.7.6,98,90,7,1
2020.7.7,98,90,7,0
2020.7.8,98,90,7,0
2020.7.9,98,90,7,0
2020.7.10,98,90,7,0
2020.7.11,98,90,7,0
2020.7.12,103,90,7,5
2020.7.13,103,90,7,0
2020.7.14,103,90,7,0
2020.7.15,103,90,7,0
2020.7.16,104,90,7,1
2020.7.17,104,90,7,0
2020.7.18,104,91,7,0
2020.7.19,104,91,7,0
2020.7.20,105,91,7,1
2020.7.21,106,91,7,1
2020.7.22,106,91,7,0
2020.7.23,106,94,7,0
2020.7.24,106,94,7,0
2020.7.25,108,94,7,2
2020.7.26,108,94,7,0
2020.7.27,110,94,7,2
2020.7.28,110,94,7,0
2020.7.29,110,94,7,0
2020.7.30,110,95,7,0
2020.7.31,110,96,7,0
2020.8.1,110,96,7,0
2020.8.2,122,98,7,12
2020.8.3,132,98,7,10
2020.8.4,132,98,7,0
2020.8.5,132,98,7,0
2020.8.6,133,100,7,1
2020.8.7,133,100,7,0
2020.8.8,138,100,7,5
2020.8.9,138,108,7,0
2020.8.10,142,112,7,4
2020.8.11,143,112,7,1
2020.8.12,143,112,7,0
2020.8.13,144,115,7,1
2020.8.14,144,118,7,0
2020.8.15,148,119,7,4
2020.8.16,150,121,7,2
2020.8.17,151,122,7,1
2020.8.18,152,122,7,1
2020.8.19,153,122,7,1
2020.8.20,155,123,7,2
2020.8.21,156,123,7,1
2020.8.22,157,124,7,1
2020.8.23,158,126,7,1
2020.8.24,161,132,7,3
2020.8.25,161,132,7,0
2020.8.26,164,132,7,3
2020.8.27,165,139,7,1
2020.8.28,165,140,7,0
2020.8.29,166,141,7,1
2020.8.30,170,141,7,4
2020.8.31,173,145,7,3
2020.9.1,174,146,7,1
2020.9.2,176,146,7,2
2020.9.3,176,149,7,0
2020.9.4,177,150,7,1
2020.9.5,178,153,7,1
2020.9.6,178,154,7,0
2020.9.7,178,154,7,0
2020.9.8,179,154,7,1
2020.9.9,180,156,7,1
2020.9.10,180,156,7,0
2020.9.11,180,157,7,0
2020.9.12,180,158,7,0
2020.9.13,180,158,7,0
2020.9.14,181,164,7,1
2020.9.15,183,165,7,2
2020.9.16,184,169,7,1
2020.9.17,185,171,7,1
2020.9.18,185,171,7,0
2020.9.19,185,172,7,0
2020.9.20,185,172,7,0
2020.9.21,189,173,7,4
2020.9.22,189,173,7,0
2020.9.23,189,173,7,0
2020.9.24,189,174,7,0
2020.9.25,189,174,7,0
2020.9.26,190,175,7,1
2020.9.27,190,178,7,0
2020.9.28,190,178,7,0
2020.9.29,190,178,7,0
2020.9.30,190,178,7,0
2020.10.1,190,179,7,0
2020.10.2,193,179,7,3
2020.10.3,193,179,7,0
2020.10.4,196,182,7,3
2020.10.5,199,182,7,3
2020.10.6,200,182,7,1
2020.10.7,200,182,7,0
2020.10.8,203,182,7,3
2020.10.9,203,182,7,0
2020.10.10,204,182,7,1
2020.10.11,206,183,7,2
2020.10.12,208,186,7,2
2020.10.13,208,186,7,0
2020.10.14,210,187,7,2
2020.10.15,215,192,7,5
2020.10.16,218,195,7,3
2020.10.17,219,195,7,1
2020.10.18,219,195,7,0
2020.10.19,222,203,7,3
2020.10.20,222,203,7,0
2020.10.21,222,204,7,0
2020.10.22,222,205,7,0
2020.10.23,224,207,7,2
2020.10.24,226,207,7,2
2020.10.25,227,208,7,1
2020.10.26,227,208,7,0
2020.10.27,233,210,7,6
2020.10.28,233,217,7,0
2020.10.29,234,217,7,1
2020.10.30,234,217,7,0
2020.10.31,236,218,7,2
2020.11.1,237,221,7,1
2020.11.2,237,221,7,0
2020.11.3,238,222,7,1
2020.11.4,238,222,7,0
2020.11.5,239,224,7,1
2020.11.6,239,224,7,0
2020.11.7,242,228,7,3
2020.11.8,242,228,7,0
2020.11.9,242,228,7,0
2020.11.10,243,231,7,1
2020.11.11,243,231,7,0
2020.11.12,249,233,7,6
2020.11.13,249,233,7,0
2020.11.14,249,234,7,0
2020.11.15,249,234,7,0
2020.11.16,250,238,7,1
2020.11.17,250,238,7,0
2020.11.18,250,238,7,0
2020.11.19,252,239,7,2
2020.11.20,253,241,7,1
2020.11.21,253,241,7,0
2020.11.22,255,241,7,2
2020.11.23,259,241,7,4
2020.11.24,260,241,7,1
2020.11.25,262,242,7,2
2020.11.26,263,243,7,1
2020.11.27,266,246,7,3
2020.11.28,270,249,7,4
2020.11.29,275,250,7,5
2020.11.30,276,250,7,1
2020.12.1,276,250,7,0
2020.12.2,278,255,7,2
2020.12.3,279,255,7,1
2020.12.4,281,257,7,2
2020.12.5,284,257,7,3
2020.12.6,285,260,7,1
2020.12.7,285,260,7,0
2020.12.8,287,260,7,2
2020.12.9,290,264,7,3
2020.12.10,290,264,7,0
2020.12.11,291,269,7,1
2020.12.12,292,269,7,1
2020.12.13,292,269,7,0
2020.12.14,292,269,7,0
2020.12.15,296,272,7,4
2020.12.16,297,273,7,1
2020.12.17,301,274,7,4
2020.12.18,305,278,7,4
2020.12.19,307,280,7,2
2020.12.20,307,280,7,0
2020.12.21,321,281,7,14
2020.12.22,322,283,7,1
2020.12.23,327,284,7,5
2020.12.24,329,290,7,2
2020.12.25,345,291,7,16
2020.12.26,347,292,7,2
2020.12.27,356,301,7,9
2020.12.28,365,305,7,9
2020.12.29,365,305,7,0
2020.12.30,371,307,7,6
2020.12.31,372,312,7,1
2021.1.1,383,319,7,11
2021.1.2,395,319,7,12
2021.1.3,395,319,7,0
2021.1.4,556,319,7,161
2021.1.5,643,324,7,87
2021.1.6,692,324,7,49
2021.1.7,743,327,7,51
2021.1.8,780,335,7,37
2021.1.9,780,335,7,0
2021.1.10,808,373,7,28
2021.1.11,878,389,7,70
2021.1.12,884,399,7,6
2021.1.13,968,408,7,84
2021.1.14,1007,465,7,39
2021.1.15,1036,493,7,29
2021.1.16,1036,493,7,0
2021.1.17,1095,493,7,59
2021.1.18,1095,493,7,0
2021.1.19,1095,493,7,0
2021.1.20,1095,493,7,0
2021.1.21,1156,493,9,61
2021.1.22,1156,493,9,0
2021.1.23,1243,593,9,87
2021.1.24,1341,622,9,98
2021.1.25,1387,634,9,46
2021.1.26,1401,649,10,14
2021.1.27,1427,1057,10,26
2021.1.28,1443,1079,11,16
2021.1.29,1477,1098,11,34
2021.1.30,1498,1123,12,21
2021.1.31,1523,1139,12,25
2021.2.1,1545,1158,14,22
2021.2.2,1558,1169,14,13
2021.2.3,1586,1206,14,28
2021.2.4,1611,1238,14,25
2021.2.5,1641,1274,15,30
2021.2.6,1656,1289,17,15
2021.2.7,1676,1349,18,20
2021.2.8,1709,1400,18,33
2021.2.9,1732,1427,18,23
2021.2.10,1814,1470,20,82
2021.2.11,1857,1504,20,43
2021.2.12,1904,1547,20,47
2021.2.13,1947,1587,21,43
2021.2.14,2061,1616,23,114
2021.2.15,2061,1616,23,0
2021.2.16,2268,1639,24,207
2021.2.17,2457,1698,28,189
2021.2.18,2457,1698,28,0
2021.2.19,2647,1807,29,190
2021.2.20,2677,1858,30,30
2021.2.21,2715,1914,31,38
2021.2.22,2772,1970,31,57
2021.2.23,2791,2035,31,19
2021.2.24,2852,2063,31,61
2021.2.25,2907,2092,32,55
2021.2.26,2949,2171,32,42
2021.2.27,2994,2270,33,45
2021.2.28,3038,2344,33,44
2021.3.1,3068,2407,33,30
2021.3.2,3115,2443,36,47
2021.3.3,3140,2552,36,25
2021.3.4,3163,2606,37,23
2021.3.5,3186,2651,37,23
2021.3.6,3217,2690,37,31
2021.3.7,3264,2754,37,47
2021.3.8,3285,2815,37,21
2021.3.9,3303,2847,37,18
2021.3.10,3333,2915,37,30
2021.3.11,3353,3002,37,20
2021.3.12,3372,3060,37,19
2021.3.13,3391,3106,37,19
2021.3.14,3404,3147,37,13
2021.3.15,3421,3174,37,17
2021.3.16,3442,3215,38,21
2021.3.17,3458,3254,39,16
2021.3.18,3471,3285,39,13
2021.3.19,3492,3285,39,21
2021.3.20,3512,3285,39,20
2021.3.21,3533,3302,39,21
2021.3.22,3551,3330,39,18
2021.3.23,3559,3358,40,8
2021.3.24,3574,3390,40,15
2021.3.25,3582,3401,40,8
2021.3.26,3593,3404,40,11
2021.3.27,3603,3419,41,10
2021.3.28,3609,3422,41,6
2021.3.29,3629,3436,41,20
2021.3.30,3634,3444,41,5
2021.3.31,3642,3457,42,8
2021.4.1,3652,3465,42,10
2021.4.2,3659,3506,42,7
2021.4.3,3665,3518,42,6
2021.4.4,3668,3526,43,3
2021.4.5,3668,3526,43,0
2021.4.6,3679,3534,43,11
2021.4.7,3691,3557,43,12
2021.4.8,3697,3557,44,6
2021.4.9,3704,3576,44,7
2021.4.10,3708,3579,44,4
2021.4.11,3719,3587,44,11
2021.4.12,3730,3607,44,11
2021.4.13,3734,3613,44,4
2021.4.14,3740,3623,44,6
2021.4.15,3744,3634,44,4
2021.4.16,3753,3638,44,9
2021.4.17,3765,3648,44,12
2021.4.18,3773,3656,44,8
2021.4.19,3781,3665,44,8
2021.4.20,3784,3681,44,3
