date,累计确诊,治愈,死亡,新增确诊
2020.4.16,7,0,0,5
2020.4.21,8,0,0,1
2020.5.16,8,8,0,0
2020.5.17,8,8,0,0
2020.5.18,8,8,0,0
2020.5.19,8,8,0,0
2020.5.20,8,8,0,0
2020.5.21,8,8,0,0
2020.5.22,8,8,0,0
2020.5.23,8,8,0,0
2020.5.24,8,8,0,0
2020.5.25,8,8,0,0
2020.5.26,8,8,0,0
2020.5.27,8,8,0,0
2020.5.28,8,8,0,0
2020.5.29,8,8,0,0
2020.5.30,8,8,0,0
2020.5.31,8,8,0,0
2020.6.1,8,8,0,0
2020.6.2,8,8,0,0
2020.6.3,8,8,0,0
2020.6.4,8,8,0,0
2020.6.5,8,8,0,0
2020.6.6,8,8,0,0
2020.6.7,8,8,0,0
2020.6.8,8,8,0,0
2020.6.9,8,8,0,0
2020.6.10,8,8,0,0
2020.6.11,8,8,0,0
2020.6.12,8,8,0,0
2020.6.13,8,8,0,0
2020.6.14,8,8,0,0
2020.6.15,8,8,0,0
2020.6.16,8,8,0,0
2020.6.17,8,8,0,0
2020.6.18,8,8,0,0
2020.6.19,8,8,0,0
2020.6.20,8,8,0,0
2020.6.21,8,8,0,0
2020.6.22,9,8,0,1
2020.6.23,9,8,0,0
2020.6.24,9,8,0,0
2020.6.25,10,8,0,1
2020.6.26,11,8,0,1
2020.6.27,11,8,0,0
2020.6.28,11,8,0,0
2020.6.29,11,8,0,0
2020.6.30,11,8,0,0
2020.7.1,11,8,0,0
2020.7.2,11,8,0,0
2020.7.3,11,8,0,0
2020.7.4,11,8,0,0
2020.7.5,11,8,0,0
2020.7.6,11,8,0,0
2020.7.7,11,8,0,0
2020.7.8,11,8,0,0
2020.7.9,11,8,0,0
2020.7.10,11,8,0,0
2020.7.11,11,8,0,0
2020.7.12,11,8,0,0
2020.7.13,11,8,0,0
2020.7.14,11,8,0,0
2020.7.15,11,8,0,0
2020.7.16,11,8,0,0
2020.7.17,11,8,0,0
2020.7.18,16,8,0,5
2020.7.19,16,8,0,0
2020.7.20,16,8,0,0
2020.7.21,19,8,1,3
2020.7.22,27,8,0,8
2020.7.23,30,8,0,3
2020.7.24,31,11,0,1
2020.7.25,39,11,0,8
2020.7.26,62,11,0,23
2020.7.27,62,11,0,0
2020.7.28,63,11,0,1
2020.7.29,63,11,1,0
2020.7.30,63,11,2,0
2020.7.31,72,11,2,9
2020.8.1,91,34,2,19
2020.8.2,110,34,2,19
2020.8.3,111,34,2,1
2020.8.4,114,34,2,3
2020.8.5,153,44,2,39
2020.8.6,163,53,3,10
2020.8.7,188,53,3,25
2020.8.8,188,53,3,0
2020.8.9,214,53,3,26
2020.8.10,214,53,3,0
2020.8.11,214,53,3,0
2020.8.12,214,71,3,0
2020.8.13,287,78,3,73
2020.8.14,271,78,3,0
2020.8.15,271,78,3,0
2020.8.16,323,110,3,52
2020.8.17,333,110,3,10
2020.8.18,333,110,3,0
2020.8.19,347,110,3,14
2020.8.20,359,196,3,12
2020.8.21,361,198,4,2
2020.8.22,361,198,4,0
2020.8.23,361,198,4,0
2020.8.24,401,232,4,40
2020.8.25,419,232,4,18
2020.8.26,419,232,4,0
2020.8.27,419,232,4,0
2020.8.28,453,232,5,34
2020.8.29,453,232,5,0
2020.8.30,459,232,5,6
2020.8.31,459,232,5,0
2020.9.1,459,232,5,0
2020.9.2,460,232,5,1
2020.9.3,471,232,5,11
2020.9.4,479,232,5,8
2020.9.5,479,232,5,0
2020.9.6,488,232,5,9
2020.9.7,497,232,5,9
2020.9.8,503,232,5,6
2020.9.9,503,232,5,0
2020.9.10,504,232,5,1
2020.9.11,507,232,5,3
2020.9.12,508,232,5,1
2020.9.13,508,232,5,0
2020.9.14,511,232,6,3
2020.9.15,511,232,6,0
2020.9.16,511,232,6,0
2020.9.17,516,232,6,5
2020.9.18,516,232,6,0
2020.9.19,516,232,6,0
2020.9.20,516,232,6,0
2020.9.21,517,232,7,1
2020.9.22,517,232,7,0
2020.9.23,527,232,7,10
2020.9.24,531,516,7,4
2020.9.25,531,516,7,0
2020.9.26,532,516,7,1
2020.9.27,532,516,7,0
2020.9.28,532,516,7,0
2020.9.29,532,516,7,0
2020.9.30,534,516,7,2
2020.10.1,539,519,7,5
2020.10.2,539,519,7,0
2020.10.3,540,527,7,1
2020.10.4,540,527,7,0
2020.10.5,540,527,7,0
2020.10.6,541,527,7,1
2020.10.7,541,527,7,0
2020.10.8,549,532,7,8
2020.10.9,549,532,7,0
2020.10.10,549,532,7,0
2020.10.11,554,532,7,5
2020.10.12,565,537,7,11
2020.10.13,565,537,7,0
2020.10.14,578,537,7,13
2020.10.15,578,537,7,0
2020.10.16,578,537,7,0
2020.10.17,581,540,7,3
2020.10.18,581,540,7,0
2020.10.19,581,540,7,0
2020.10.20,581,541,7,0
2020.10.21,581,541,7,0
2020.10.22,583,545,7,2
2020.10.23,583,545,7,0
2020.10.24,583,545,7,0
2020.10.25,583,545,7,0
2020.10.26,588,546,7,5
2020.10.27,588,546,7,0
2020.10.28,588,546,7,0
2020.10.29,588,546,7,0
2020.10.30,589,575,7,1
2020.10.31,589,575,7,0
2020.11.1,589,575,7,0
2020.11.2,589,575,7,0
2020.11.3,590,575,7,1
2020.11.4,597,580,7,7
2020.11.5,597,580,7,0
2020.11.6,597,580,7,0
2020.11.7,597,580,7,0
2020.11.8,599,585,7,2
2020.11.9,599,585,7,0
2020.11.10,599,585,7,0
2020.11.11,599,586,7,0
2020.11.12,599,586,7,0
2020.11.13,599,586,7,0
2020.11.14,600,586,7,1
2020.11.15,600,586,7,0
2020.11.16,602,586,7,2
2020.11.17,602,586,7,0
2020.11.18,604,586,7,2
2020.11.19,604,586,7,0
2020.11.20,604,586,7,0
2020.11.21,604,586,7,0
2020.11.22,604,586,7,0
2020.11.23,612,588,7,8
2020.11.24,630,588,7,18
2020.11.25,630,588,7,0
2020.11.26,645,588,7,15
2020.11.27,645,588,7,0
2020.11.28,645,588,7,0
2020.11.29,645,588,7,0
2020.11.30,656,597,7,10
2020.12.1,656,597,7,0
2020.12.2,669,597,7,13
2020.12.3,669,597,7,0
2020.12.4,671,597,7,2
2020.12.5,671,597,7,0
2020.12.6,671,597,7,0
2020.12.7,671,597,7,0
2020.12.8,684,601,7,13
2020.12.9,684,601,7,0
2020.12.10,684,601,7,0
2020.12.11,720,601,8,36
2020.12.12,720,601,8,0
2020.12.13,720,601,8,0
2020.12.14,725,601,8,5
2020.12.15,725,601,8,0
2020.12.16,729,601,8,4
2020.12.17,760,601,8,31
2020.12.18,760,601,8,0
2020.12.19,760,601,8,0
2020.12.20,760,601,8,0
2020.12.21,761,601,9,1
2020.12.22,761,601,9,0
2020.12.23,761,601,9,0
2020.12.24,761,601,9,0
2020.12.25,780,661,9,19
2020.12.26,780,661,9,0
2020.12.27,780,661,9,0
2020.12.28,780,661,9,0
2020.12.29,780,661,9,0
2020.12.30,780,661,9,0
2020.12.31,780,661,9,0
2021.1.1,780,661,9,0
2021.1.2,780,661,9,0
2021.1.3,780,661,9,0
2021.1.4,799,755,9,19
2021.1.5,799,755,9,0
2021.1.6,799,755,9,0
2021.1.7,799,755,9,0
2021.1.8,799,755,9,0
2021.1.9,811,755,9,12
2021.1.10,811,755,9,0
2021.1.11,811,755,9,0
2021.1.12,819,755,9,8
2021.1.13,823,755,9,4
2021.1.14,833,755,9,10
2021.1.15,834,755,9,1
2021.1.16,834,755,9,0
2021.1.17,834,755,9,0
2021.1.18,834,755,9,0
2021.1.19,834,755,9,0
2021.1.20,835,790,9,1
2021.1.21,835,790,9,0
2021.1.22,835,790,9,0
2021.1.23,835,790,9,0
2021.1.24,835,790,9,0
2021.1.25,835,790,9,0
2021.1.26,850,812,9,15
2021.1.27,851,812,9,1
2021.1.28,851,812,9,0
2021.1.29,851,812,9,0
2021.1.30,851,812,9,0
2021.1.31,851,812,9,0
2021.2.1,867,828,9,16
2021.2.2,867,828,9,0
2021.2.3,867,828,9,0
2021.2.4,867,828,9,0
2021.2.5,891,828,9,24
2021.2.6,891,828,9,0
2021.2.7,891,828,9,0
2021.2.8,895,846,9,4
2021.2.9,900,846,9,5
2021.2.10,900,846,9,0
2021.2.11,900,846,9,0
2021.2.12,914,846,9,14
2021.2.13,914,846,9,0
2021.2.14,914,846,9,0
2021.2.15,914,846,9,0
2021.2.16,914,846,9,0
2021.2.17,955,846,10,41
2021.2.18,955,846,10,0
2021.2.19,955,846,10,0
2021.2.20,970,846,10,15
2021.2.21,970,846,10,0
2021.2.22,1029,846,10,59
2021.2.23,1111,846,10,82
2021.2.24,1139,846,11,28
2021.2.25,1139,846,11,0
2021.2.26,1228,846,12,89
2021.2.27,1228,846,12,0
2021.2.28,1275,846,12,47
2021.3.1,1275,846,12,0
2021.3.2,1365,846,14,90
2021.3.3,1365,846,14,0
2021.3.4,1365,846,14,0
2021.3.5,1492,846,16,127
2021.3.6,1492,846,16,0
2021.3.7,1583,846,16,91
2021.3.8,1670,846,16,87
2021.3.9,1670,846,16,0
2021.3.10,1741,846,16,71
2021.3.11,1819,846,21,78
2021.3.12,1819,846,21,0
2021.3.13,1819,846,21,0
2021.3.14,1819,846,21,0
2021.3.15,2269,846,26,450
2021.3.16,2269,846,26,0
2021.3.17,2351,846,26,82
2021.3.18,2479,846,31,128
2021.3.19,2658,846,36,179
2021.3.20,3085,846,36,427
2021.3.21,3085,846,36,0
2021.3.22,3085,846,36,0
2021.3.23,3758,846,37,673
2021.3.24,4109,846,39,351
2021.3.25,4109,846,39,0
2021.3.26,4660,846,39,551
2021.3.27,4660,846,39,0
2021.3.28,5184,846,45,524
2021.3.29,5184,846,45,0
2021.3.30,5620,846,56,436
2021.3.31,5991,846,60,371
2021.4.1,6112,846,60,121
2021.4.2,6475,846,60,363
2021.4.3,6619,846,60,144
2021.4.4,7038,846,61,419
2021.4.5,7038,846,61,0
2021.4.6,7406,846,67,368
2021.4.7,7634,846,68,228
2021.4.8,7839,846,68,205
2021.4.9,7839,846,68,0
2021.4.10,8342,846,68,503
2021.4.11,8442,846,68,100
2021.4.12,8602,846,69,160
2021.4.13,8821,846,69,219
2021.4.14,8984,846,71,163
2021.4.15,9188,846,82,204
2021.4.16,9188,846,82,0
2021.4.17,9343,846,82,155
2021.4.18,9738,846,89,395
2021.4.19,9738,846,89,0
2021.4.20,9952,846,91,214
2021.4.21,10197,7364,91,245
