date,累计确诊,治愈,死亡,新增确诊
2020.4.8,124,15,5,5
2020.4.9,129,18,6,5
2020.4.10,133,18,6,4
2020.4.11,134,22,6,1
2020.4.12,147,22,6,13
2020.4.13,159,22,7,12
2020.4.14,161,23,8,2
2020.4.15,174,30,8,13
2020.4.16,199,30,8,25
2020.4.17,202,35,8,3
2020.4.18,206,41,8,4
2020.4.19,208,46,8,2
2020.4.21,213,62,9,5
2020.4.23,220,67,9,7
2020.4.24,223,78,9,3
2020.4.25,228,85,9,5
2020.4.27,230,95,9,2
2020.4.28,239,102,9,9
2020.4.29,249,111,9,10
2020.4.30,266,113,10,17
2020.5.1,333,115,10,67
2020.5.2,370,119,10,37
2020.5.3,396,126,10,26
2020.5.4,415,130,10,19
2020.5.5,431,135,10,35
2020.5.6,440,142,10,9
2020.5.7,462,148,10,22
2020.5.12,737,173,10,13
2020.5.13,740,182,11,3
2020.5.15,759,193,11,14
2020.5.16,778,200,11,19
2020.5.17,786,202,11,8
2020.5.18,786,202,11,0
2020.5.19,788,219,11,2
2020.5.20,829,230,11,41
2020.5.21,833,242,11,4
2020.5.22,836,256,11,3
2020.5.23,838,264,11,2
2020.5.24,850,298,11,12
2020.5.25,862,307,11,12
2020.5.26,865,344,11,3
2020.5.27,877,382,11,12
2020.5.28,884,392,11,7
2020.5.29,900,402,11,16
2020.5.30,917,413,11,17
2020.5.31,964,466,11,47
2020.6.1,986,477,11,22
2020.6.2,995,488,11,9
2020.6.3,1013,498,11,18
2020.6.4,1070,511,11,57
2020.6.5,1086,511,11,16
2020.6.6,1087,516,11,1
2020.6.7,1090,532,11,3
2020.6.8,1135,575,11,45
2020.6.9,1145,603,11,10
2020.6.10,1187,604,11,42
2020.6.11,1202,619,11,15
2020.6.12,1230,624,11,28
2020.6.13,1254,633,11,24
2020.6.14,1261,647,11,7
2020.6.15,1289,650,11,28
2020.6.16,1296,673,12,7
2020.6.17,1303,699,13,7
2020.6.18,1308,711,13,5
2020.6.19,1330,717,13,22
2020.6.20,1336,741,13,6
2020.6.21,1362,791,13,26
2020.6.22,1379,871,13,17
2020.6.23,1392,903,13,13
2020.6.24,1422,926,13,30
2020.6.25,1528,944,13,106
2020.6.26,1569,976,13,41
2020.6.27,1711,1013,13,142
2020.6.28,1942,1045,15,231
2020.6.29,2127,1065,15,185
2020.6.30,2191,1080,16,64
2020.7.1,2221,1089,17,30
2020.7.2,2260,1102,19,39
2020.7.3,2303,1108,19,43
2020.7.4,2349,1113,19,46
