date,累计确诊,治愈,死亡,新增确诊
2020.4.8,2528,16,63,428
2020.4.9,2752,16,66,224
2020.4.10,2974,17,74,222
2020.4.11,3234,23,79,260
2020.4.12,3400,29,87,166
2020.4.14,3574,72,95,102
2020.4.15,3751,75,103,177
2020.4.16,4016,98,109,265
2020.4.17,4210,122,116,194
2020.4.18,4273,140,120,63
2020.4.19,4467,165,126,194
2020.4.20,4658,204,136,191
2020.4.21,4821,231,141,163
2020.4.22,4992,255,144,171
2020.4.23,5166,271,146,174
2020.4.24,5338,319,154,172
2020.4.25,5538,338,159,200
2020.4.26,5779,338,165,241
2020.4.27,6021,455,167,242
2020.4.28,6200,484,176,179
2020.4.29,6378,527,178,178
2020.4.30,6532,576,188,154
2020.5.1,6720,622,192,188
2020.5.2,7090,641,197,370
2020.5.4,7387,726,203,190
2020.5.5,7523,726,210,136
2020.5.6,7731,859,218,208
2020.5.7,7868,886,225,137
2020.5.9,8282,4501,237,212
2020.5.10,8448,4687,244,166
2020.5.12,8783,6021,252,167
2020.5.13,8944,6067,256,161
2020.5.14,9118,6080,260,174
2020.5.15,9268,6080,266,150
2020.5.16,9449,6080,269,181
2020.5.17,9606,6081,275,157
2020.5.18,9606,6081,275,0
2020.5.19,9726,6081,279,120
2020.5.20,9867,6194,281,141
2020.5.21,9977,6194,287,110
2020.5.22,10116,6245,291,139
2020.5.23,10267,6275,295,151
2020.5.24,10577,6279,299,310
2020.5.25,10926,6279,306,349
2020.5.26,11183,6279,310,257
2020.5.27,11447,6379,313,264
2020.5.28,11728,7379,315,281
2020.5.29,12131,7379,320,403
2020.5.30,12531,7540,326,400
2020.5.31,13018,9414,330,487
2020.6.1,13463,9514,336,445
2020.6.2,13837,9514,344,374
2020.6.3,14095,9514,352,258
2020.6.4,14609,9519,357,514
2020.6.5,15044,9619,363,435
2020.6.6,15463,9719,370,419
2020.6.7,16004,10118,386,541
2020.6.8,16425,10218,393,421
2020.6.9,16854,10401,398,429
2020.6.10,17233,10561,403,379
2020.6.11,17889,10977,413,656
