date,累计确诊,治愈,死亡,新增确诊
2020.4.7,821,467,5,55
2020.4.8,823,477,5,12
2020.4.9,887,519,5,64
2020.4.10,998,551,6,85
2020.4.11,1040,555,6,115
2020.4.12,1136,558,6,49
2020.4.13,1361,591,6,225
2020.4.14,1528,645,7,167
2020.4.15,1673,663,7,2
2020.4.16,1700,703,7,29
2020.4.17,1744,726,7,4
2020.4.18,1773,755,7,33
2020.4.19,1881,759,7,8
2020.4.20,1907,769,7,26
2020.4.21,1973,784,7,66
2020.4.22,2027,1026,7,54
2020.4.23,2217,1082,8,190
2020.4.24,2518,1113,8,301
2020.4.26,2647,1189,8,59
2020.4.27,2723,1218,8,76
2020.4.28,2811,1310,8,88
2020.4.29,2921,1455,8,110
2020.4.30,3040,1500,8,119
2020.5.1,3273,1567,8,103
2020.5.2,3284,1568,8,11
2020.5.4,3679,1762,8,150
2020.5.5,3720,1762,8,187
2020.5.6,3934,1860,8,214
2020.5.7,4199,2000,8,265
2020.5.9,4856,2065,8,82
2020.5.10,5157,2152,8,167
2020.5.11,5236,2152,9,295
2020.5.12,5531,2182,9,295
2020.5.13,5816,2205,10,285
2020.5.14,6198,2353,10,382
2020.5.15,6583,2640,11,385
2020.5.16,6747,2753,12,164
2020.5.17,6956,2910,12,209
2020.5.18,7156,2929,12,200
2020.5.19,7374,2952,12,218
2020.5.20,7843,3334,12,469
2020.5.21,8039,3715,12,196
2020.5.22,8369,4004,12,330
2020.5.23,8774,4462,12,405
2020.5.24,9093,4581,13,319
2020.5.25,9164,4753,14,71
2020.5.26,9223,4916,14,59
2020.5.27,9633,5142,15,410
2020.5.28,9977,5295,15,344
2020.5.29,10352,5491,15,375
2020.5.30,10740,5811,15,388
2020.5.31,11288,6673,19,548
2020.6.1,11804,7070,19,516
2020.6.2,12229,7397,19,425
2020.6.3,12574,7410,20,345
2020.6.4,13229,7728,21,655
2020.6.5,13733,8471,22,504
2020.6.6,14224,9020,23,491
2020.6.7,14763,9468,25,539
2020.6.8,15417,10326,26,654
2020.6.9,15731,10606,29,314
2020.6.10,16200,11109,30,469
2020.6.11,16667,11487,34,467
2020.6.12,17269,11903,36,602
2020.6.13,17713,12191,37,444
2020.6.14,18227,12818,41,514
2020.6.15,18544,13197,46,317
2020.6.16,19013,13267,47,469
2020.6.17,19553,13866,48,540
2020.6.18,19961,14185,53,408
2020.6.19,20430,14696,57,469
2020.6.20,20916,15287,59,486
2020.6.21,21331,15790,61,415
2020.6.22,21764,16419,64,433
2020.6.23,22407,16862,66,643
2020.6.24,23062,17450,68,655
2020.6.25,23570,17977,70,508
2020.6.26,24081,18501,71,511
2020.6.27,24805,19137,78,724
2020.6.28,25267,19781,78,462
2020.6.29,25705,20517,83,438
2020.6.30,26239,20928,86,534
2020.7.1,26758,21331,91,519
2020.7.2,27414,21948,93,656
2020.7.3,27837,22583,95,423
2020.7.4,28410,23318,95,573
2020.7.5,28857,23959,96,447
2020.7.6,29367,24649,98,510
2020.7.7,29821,25178,98,454
2020.7.8,30321,25570,98,500
2020.7.9,30931,26073,101,610
2020.7.10,31528,26520,103,597
2020.7.11,32039,27213,104,511
2020.7.12,32470,27828,104,431
2020.7.13,32941,28425,109,471
2020.7.14,33476,29099,109,535
2020.7.15,34078,29753,116,602
2020.7.16,34560,30320,120,482
2020.7.17,35084,30809,121,524
2020.7.18,35473,31188,124,389
2020.7.19,36004,31765,124,531
2020.7.20,36422,32372,127,418
2020.7.21,36936,32965,128,514
2020.7.22,37316,33455,130,380
2020.7.23,37637,33894,132,321
2020.7.24,37996,34412,136,359
2020.7.25,38458,34826,137,462
2020.7.26,38747,35205,140,289
2020.7.27,39131,35689,141,384
2020.7.28,39482,36110,141,351
2020.7.29,39921,36531,142,439
2020.7.30,40311,36920,145,390
2020.7.31,40755,37357,147,444
2020.8.1,40982,37840,147,227
2020.8.2,41190,38211,147,208
2020.8.3,41536,38666,148,346
2020.8.4,41835,39007,150,299
2020.8.5,42132,39335,153,297
2020.8.6,42514,39576,156,382
2020.8.7,42889,39945,158,375
2020.8.8,43307,40276,159,418
2020.8.9,43629,40549,162,322
2020.8.10,44011,40967,163,382
2020.8.11,44397,41209,165,386
2020.8.12,44804,41504,165,407
