date,累计确诊,治愈,死亡,新增确诊
2020.4.7,14072,127,691,1648
2020.4.8,15927,127,800,2210
2020.4.9,17857,173,941,1669
2020.4.10,19638,173,1056,1781
2020.4.11,20962,173,1140,1173
2020.4.12,22192,173,1223,1230
2020.4.13,23430,173,1328,1238
2020.4.14,25262,14026,1532,1832
2020.4.15,28320,14026,1736,3058
2020.4.16,30425,14026,1924,1815
2020.4.17,33682,14026,2141,539
2020.4.18,36658,14026,2354,2976
2020.4.19,38654,14026,2462,1932
2020.4.20,40581,22130,2575,1927
2020.4.21,43079,22991,2741,2336
2020.4.22,45757,25318,2906,2678
2020.4.23,49492,26573,3313,3735
2020.4.24,52995,26573,3670,3503
2020.4.25,58509,27655,4016,5514
2020.4.26,61888,30152,4205,2692
2020.4.27,66501,31142,4543,4613
2020.4.28,71886,32544,5017,5385
2020.4.29,78162,32544,5466,5263
2020.4.30,85380,35935,5901,6019
2020.5.1,91589,38039,6329,6209
2020.5.2,96559,40937,6750,4450
2020.5.3,101147,42991,7025,4588
2020.5.4,107844,45815,7328,6697
2020.5.5,114715,48221,7921,6449
2020.5.6,125218,48221,8536,10503
2020.5.7,132367,51370,9054,5756
2020.5.8,145892,59297,9992,10199
2020.5.9,155939,61685,10627,10047
2020.5.10,162699,64957,11123,6638
2020.5.11,168331,67384,11519,5632
2020.5.12,177589,67384,12400,8446
2020.5.13,189157,78424,13149,11555
2020.5.14,202918,79479,13993,13761
2020.5.15,218223,84970,14817,15305
2020.5.16,233142,89672,15633,14919
2020.5.17,241080,94122,16118,7938
2020.5.18,244135,94122,16203,3055
2020.5.19,257396,100459,16941,13261
2020.5.20,271885,106794,17983,14489
2020.5.21,294152,116683,19038,22267
2020.5.22,312074,125960,20112,17922
2020.5.23,339687,135430,21579,27613
2020.5.24,352523,142587,22288,12836
2020.5.25,365213,149911,22746,12690
2020.5.26,377711,153833,23606,12498
2020.5.27,394507,158593,24593,16796
2020.5.28,414661,166647,25697,20154
2020.5.29,438812,193181,26764,24151
2020.5.30,468338,193181,27944,29526
2020.5.31,501985,205371,28872,33647
2020.6.1,514992,206555,29341,13007
2020.6.2,530733,211080,30079,15741
2020.6.3,558237,253570,31309,27504
2020.6.4,590485,266132,32688,32248
2020.6.5,618554,274997,34072,28069
2020.6.6,650504,302084,35139,31950
2020.6.7,677553,302084,36062,27049
2020.6.8,693419,302084,37312,15866
2020.6.9,711696,325602,37359,18277
2020.6.10,743047,325602,38543,31351
2020.6.11,775581,396692,39803,32534
2020.6.12,805649,396692,41058,30068
2020.6.13,831064,427610,41952,25415
2020.6.14,851321,437512,42802,20257
2020.6.15,867882,453568,43389,16561
2020.6.16,891896,464774,44148,24014
2020.6.17,929149,477364,45467,37253
2020.6.18,960309,503507,46665,31160
2020.6.19,984315,520360,47897,24006
2020.6.20,1038568,520360,49090,54253
2020.6.21,1070139,543186,50058,31571
2020.6.22,1086990,579226,50659,16851
2020.6.23,1113606,594104,51407,26616
2020.6.24,1152066,613345,52788,38460
2020.6.25,1193609,649908,53895,41543
2020.6.26,1233147,673729,55054,39538
2020.6.27,1280335,697526,56121,47188
2020.6.28,1319274,715905,57149,38939
2020.6.29,1345470,733848,57659,26196
2020.6.30,1373006,757462,58406,27536
2020.7.1,1409693,790040,59745,36687
2020.7.2,1456969,916147,60813,47276
2020.7.3,1502424,916147,62045,45455
2020.7.4,1550176,978615,63409,47752
2020.7.5,1578376,978615,64365,28200
2020.7.6,1604585,978615,64900,26209
2020.7.7,1628283,1072229,65631,23698
2020.7.8,1674655,1117922,66868,46372
2020.7.9,1719660,1152467,68089,45005
2020.7.10,1762263,1185596,69316,42603
2020.7.11,1807496,1213512,70601,45233
2020.7.12,1842127,1213512,71515,34631
2020.7.13,1866176,1213512,72151,24049
2020.7.14,1888889,1213512,72950,22713
2020.7.15,1939167,1213512,74445,50278
2020.7.16,1978236,1366775,75697,39069
2020.7.17,2015382,1366775,76846,37146
2020.7.18,2049140,1366775,77964,33758
2020.7.19,2075246,1366775,78817,26106
2020.7.20,2100112,1371229,79535,24866
2020.7.21,2122577,1409202,80264,22465
2020.7.22,2167988,1465970,81628,45411
2020.7.23,2234602,1532138,82925,66614
2020.7.24,2303661,1570237,84440,69059
2020.7.25,2348200,1592281,85385,44539
2020.7.26,2396434,1617480,86496,48234
2020.7.27,2419901,1634274,87052,23467
2020.7.28,2446397,1667667,87737,26496
2020.7.29,2484649,1721560,88634,38252
2020.7.30,2555518,1787419,90188,70869
2020.7.31,2613789,1824095,91377,58271
2020.8.1,2666298,1884051,92568,52509
2020.8.2,2708876,1884051,93616,42578
2020.8.3,2733677,1884051,94130,24801
2020.8.4,2755081,1912319,94781,21404
2020.8.5,2808076,1970767,96096,52995
2020.8.6,2865053,2020637,97440,56977
2020.8.7,2917562,2047660,98644,52509
2020.8.8,2967064,2068394,99702,49502
2020.8.9,3013369,2094293,100543,46305
2020.8.10,3035582,2118460,101136,22213
2020.8.11,3057470,2163812,101857,21888
2020.8.12,3112393,2243124,103099,54923
2020.8.13,3170474,2309477,104263,58081
2020.8.14,3229621,2356640,105564,59147
2020.8.15,3278895,2384302,106571,49274
2020.8.16,3317832,2404272,107297,38937
2020.8.17,3340197,2432456,107879,22365
2020.8.18,3363235,2478494,108654,23038
2020.8.19,3411872,2554179,110019,48637
2020.8.20,3460413,2615254,111189,48541
2020.8.21,3505361,2653407,112445,44948
2020.8.22,3536488,2670755,113454,31127
2020.8.23,3583308,2709638,114287,46820
2020.8.24,3605783,2709638,114772,22475
2020.8.25,3627961,2778709,115476,22178
2020.8.26,3674176,2848395,116666,46215
2020.8.27,3722421,2908848,117789,48245
2020.8.28,3764493,2947250,118726,42072
2020.8.29,3812605,2976796,119594,48112
2020.8.30,3846965,3006812,120498,34360
2020.8.31,3862311,3031559,120896,15346
2020.9.1,3910901,3097734,121515,48590
2020.9.2,3952790,3159096,122681,41889
2020.9.3,4001422,3210405,123899,48632
2020.9.4,4046150,3247610,124729,44728
2020.9.5,4091801,3278243,125584,45651
2020.9.6,4123000,3296702,126230,31199
2020.9.7,4137606,3317227,126686,14606
2020.9.8,4147794,3355564,127001,10188
2020.9.9,4165124,3397234,127517,17330
2020.9.10,4199332,3453336,128653,34208
2020.9.11,4239763,3497337,129575,40431
2020.9.12,4283978,3530655,130474,44215
2020.9.13,4315858,3553421,131274,31880
2020.9.14,4330455,3573958,131663,14597
2020.9.15,4349544,3613184,132117,19089
2020.9.16,4384860,3671128,133217,35316
2020.9.17,4421686,3720312,134174,36826
2020.9.18,4457443,3753082,135031,35757
2020.9.19,4497434,3789139,135857,39991
2020.9.20,4528347,3820095,136565,30913
2020.9.21,4544629,3851227,136895,16282
2020.9.22,4560083,3887199,137350,15454
2020.9.23,4595335,3945627,138159,35252
2020.9.24,4627780,3992886,139065,32445
2020.9.25,4659909,4023789,139883,32129
2020.9.26,4692579,4040949,140709,32670
2020.9.27,4719099,4050837,141503,26520
2020.9.28,4736831,4060088,141776,17732
2020.9.29,4748327,4084182,142161,11496
2020.9.30,4780317,4135088,143010,31990
2020.10.1,4813586,4180376,143962,33269
2020.10.2,4849229,4212772,144767,35643
2020.10.3,4882231,4232593,145431,33002
2020.10.4,4906833,4248574,146011,24602
2020.10.5,4915289,4263208,146375,8456
2020.10.6,4940706,4295302,146791,25417
2020.10.7,4970953,4352871,147571,30247
2020.10.8,5002357,4391424,148304,31404
2020.10.9,5029539,4414564,149034,27182
2020.10.10,5057190,4433595,149692,27651
2020.10.11,5091840,4453722,150236,34650
2020.10.12,5094979,4470165,150506,3139
2020.10.13,5103408,4495269,150709,8429
2020.10.14,5117825,4526975,151161,14417
2020.10.15,5142003,4568813,151780,24178
2020.10.16,5170996,4599446,152513,28993
2020.10.17,5205686,4619560,153358,34690
2020.10.18,5224821,4635315,153730,19135
2020.10.19,5235344,4650030,153905,10523
2020.10.20,5251127,4681659,154226,15783
2020.10.21,5276942,4721593,154906,25815
2020.10.22,5300649,4756489,155459,23707
2020.10.23,5332634,4785297,155962,31985
2020.10.24,5358498,4797872,156565,25864
2020.10.25,5381224,4817898,156926,22726
2020.10.26,5394128,4835915,157163,12904
2020.10.27,5411550,4865930,157451,17422
2020.10.28,5440903,4904046,157981,29353
2020.10.29,5469755,4934548,158468,28852
2020.10.30,5496402,4954159,159033,26647
2020.10.31,5519528,4966264,159562,23126
2020.11.1,5535605,4972898,159902,16077
2020.11.2,5545705,4980942,160104,10100
2020.11.3,5554206,4980942,160272,8501
2020.11.4,5567126,5028216,160548,12920
2020.11.5,5590941,5064344,161170,23815
2020.11.6,5617844,5064344,161871,26903
2020.11.7,5632505,5064344,162035,14661
2020.11.8,5653561,5064344,162286,21056
2020.11.9,5664115,5064344,162397,10554
2020.11.10,5675766,5064344,162638,11651
2020.11.11,5730361,5064344,163078,54595
2020.11.12,5749007,5064344,163406,18646
2020.11.13,5783647,5256767,164332,34640
2020.11.14,5819496,5267567,164946,35849
2020.11.15,5848959,5291511,165677,29463
2020.11.16,5863093,5291511,165811,14134
2020.11.17,5876740,5322406,166067,13647
2020.11.18,5911758,5361592,166743,35018
2020.11.19,5947403,5389863,167497,35645
2020.11.20,5983089,5407498,168141,35686
2020.11.21,6020164,5422102,168662,37075
2020.11.22,6052786,5429158,169016,32622
2020.11.23,6071401,5432505,169197,18615
2020.11.24,6088004,5445095,169541,16603
2020.11.25,6121449,5476018,170179,33445
2020.11.26,6166898,5512847,170799,45449
2020.11.27,6170827,5512847,170832,3929
2020.11.28,6290272,5562539,172637,119445
2020.11.29,6314740,5578118,172848,24468
2020.11.30,6336278,5601804,173165,24468
2020.12.1,6336278,5601804,173165,0
2020.12.2,6388526,5656498,173862,52248
2020.12.3,6436650,5698353,174531,48124
2020.12.4,6496050,5725010,175432,59400
2020.12.5,6534951,5744369,175981,38901
2020.12.6,6577177,5761363,176641,42226
2020.12.7,6603540,5776182,176962,26363
2020.12.8,6628065,5801067,177388,24525
2020.12.9,6675915,5854709,178184,47850
2020.12.10,6730118,5901511,179032,54203
2020.12.11,6783543,5931777,179801,53425
2020.12.12,6836313,5954745,180453,52770
2020.12.13,6880595,5969706,181143,44282
2020.12.14,6903833,5982953,181460,23238
2020.12.15,6934539,6016085,181978,30706
2020.12.16,6974258,6067862,182854,39719
2020.12.17,7042695,6132683,183822,68437
2020.12.18,7111527,6177702,184876,68832
2020.12.19,7163912,6198185,185687,52385
2020.12.20,7213155,6222764,186356,49243
2020.12.21,7241612,6245801,186818,28457
2020.12.22,7264221,6286980,187322,22609
2020.12.23,7320020,6354972,188285,55799
2020.12.24,7374775,6405356,189419,54755
2020.12.25,7425593,6449822,190032,50818
2020.12.26,7448560,6459335,190515,22967
2020.12.27,7484285,6515370,191146,35725
2020.12.28,7506890,6568898,191641,22605
2020.12.29,7506890,6568898,191641,0
2020.12.30,7564117,6647538,192716,57227
2020.12.31,7619970,6707781,193940,55853
2021.1.1,7675973,6747065,194976,56003
2021.1.2,7700578,6756284,195441,24605
2021.1.3,7716405,6769420,195742,15827
2021.1.4,7733746,6813008,196018,17341
2021.1.5,7754560,6875230,196591,20814
2021.1.6,7812007,6963407,197777,57447
2021.1.7,7874539,7036530,199043,62532
2021.1.8,7961673,7096931,200498,87134
2021.1.9,8015920,7114474,201542,54247
