date,累计确诊,治愈,死亡,新增确诊
2020.4.8,414,134,23,30
2020.4.9,443,146,24,29
2020.4.10,448,149,26,5
2020.4.11,484,155,27,36
2020.4.12,497,161,27,13
2020.4.13,515,161,27,18
2020.4.14,528,177,30,13
2020.4.15,542,226,32,14
2020.4.16,546,257,32,4
2020.4.17,557,294,35,11
2020.4.18,565,321,36,8
2020.4.19,576,338,36,11
2020.4.20,581,357,38,5
2020.4.21,600,362,38,19
2020.4.22,609,389,39,9
2020.4.23,616,410,41,7
2020.4.24,629,425,41,13
2020.4.26,632,453,42,3
2020.4.27,635,469,42,2
2020.4.28,638,476,42,3
2020.4.29,641,498,43,22
2020.4.30,645,506,43,4
2020.5.1,649,517,44,4
2020.5.2,652,535,44,3
2020.5.3,662,540,45,10
2020.5.4,672,545,46,10
2020.5.5,688,548,48,16
2020.5.6,729,555,48,41
2020.5.7,736,562,48,7
2020.5.10,751,577,49,3
2020.5.11,760,584,50,9
2020.5.12,766,588,51,6
2020.5.15,780,595,51,7
2020.5.16,782,595,51,2
2020.5.17,796,644,51,14
2020.5.18,796,644,51,0
2020.5.19,796,652,51,0
2020.5.20,809,661,52,13
2020.5.21,812,669,52,3
2020.5.22,812,669,52,0
2020.5.23,814,672,52,2
2020.5.24,814,672,52,0
2020.5.25,832,672,52,18
2020.5.26,832,672,52,0
2020.5.27,845,672,53,13
2020.5.28,845,672,53,0
2020.5.29,847,719,53,2
2020.5.30,847,720,53,0
2020.5.31,847,720,53,0
2020.6.1,847,720,53,0
2020.6.2,881,720,53,34
2020.6.3,884,753,53,3
2020.6.4,884,753,53,0
2020.6.5,885,760,53,1
2020.6.6,888,760,53,3
2020.6.7,889,765,53,1
2020.6.8,890,765,53,1
2020.6.9,890,765,53,0
2020.6.10,891,765,53,1
2020.6.11,891,790,53,0
2020.6.12,892,791,53,1
2020.6.13,892,799,53,0
2020.6.14,894,799,53,2
2020.6.15,894,804,53,0
2020.6.16,894,807,53,0
2020.6.17,895,809,53,1
2020.6.18,899,810,53,4
2020.6.19,900,810,53,1
2020.6.20,901,810,53,1
2020.6.21,901,814,53,0
2020.6.22,903,814,53,2
2020.6.23,907,823,53,4
2020.6.24,919,825,53,12
2020.6.25,934,826,53,15
2020.6.26,941,830,53,7
2020.6.27,941,830,53,0
2020.6.28,941,830,53,0
2020.6.29,959,830,53,18
2020.6.30,962,838,53,3
2020.7.1,962,838,53,0
2020.7.2,967,846,53,5
2020.7.3,980,852,53,13
2020.7.4,980,852,53,0
2020.7.5,987,854,53,7
2020.7.6,1000,858,53,13
2020.7.7,1003,860,53,3
2020.7.8,1003,861,53,0
2020.7.9,1005,862,53,2
2020.7.10,1005,862,53,0
2020.7.11,1020,864,53,15
2020.7.12,1033,869,53,13
2020.7.13,1036,869,53,3
2020.7.14,1037,873,53,1
2020.7.15,1037,873,53,0
2020.7.16,1038,882,53,1
2020.7.17,1045,887,53,7
2020.7.18,1047,887,53,2
2020.7.19,1052,901,53,5
2020.7.20,1052,901,53,0
2020.7.21,1065,901,53,13
2020.7.22,1066,917,53,1
2020.7.23,1070,919,53,4
2020.7.24,1075,920,53,5
2020.7.25,1075,920,53,0
2020.7.26,1086,920,53,11
2020.7.27,1100,926,53,14
2020.7.28,1100,926,53,0
2020.7.29,1105,931,53,5
2020.7.30,1106,935,53,1
2020.7.31,1106,935,53,0
2020.8.1,1106,935,53,0
2020.8.2,1143,945,53,37
2020.8.3,1150,947,53,7
2020.8.4,1153,947,53,3
2020.8.5,1153,947,54,0
2020.8.6,1158,961,54,5
2020.8.7,1158,961,54,0
2020.8.8,1158,961,54,0
2020.8.9,1175,974,54,17
2020.8.10,1204,984,54,29
2020.8.11,1204,984,54,0
2020.8.12,1213,995,54,9
2020.8.13,1213,995,54,0
2020.8.14,1228,997,54,15
2020.8.15,1238,1005,54,10
2020.8.16,1249,1013,54,11
2020.8.17,1267,1013,55,18
2020.8.18,1280,1018,55,13
2020.8.19,1280,1018,55,0
2020.8.20,1292,1026,55,12
2020.8.21,1297,1034,55,5
2020.8.22,1297,1034,55,0
2020.8.23,1297,1034,55,0
2020.8.24,1328,1050,55,31
2020.8.25,1338,1050,55,10
2020.8.26,1352,1058,55,14
2020.8.27,1352,1058,55,0
2020.8.28,1352,1058,55,0
2020.8.29,1352,1058,55,0
2020.8.30,1357,1058,55,5
2020.8.31,1368,1058,55,11
2020.9.1,1370,1075,55,2
2020.9.2,1370,1075,55,0
2020.9.3,1370,1075,55,0
2020.9.4,1375,1075,55,5
2020.9.5,1408,1098,55,33
2020.9.6,1408,1098,55,0
2020.9.7,1452,1103,55,44
2020.9.8,1463,1112,56,11
2020.9.9,1466,1112,56,3
2020.9.10,1476,1118,56,10
2020.9.11,1486,1123,56,10
2020.9.12,1499,1127,56,13
2020.9.13,1514,1127,56,15
2020.9.14,1707,1135,56,193
2020.9.15,1717,1137,56,10
2020.9.16,1733,1141,56,16
2020.9.17,1748,1162,56,15
2020.9.18,1767,1166,56,19
2020.9.19,1797,1173,56,30
2020.9.20,1816,1176,56,19
2020.9.21,1846,1187,56,30
2020.9.22,1896,1189,56,50
2020.9.23,1907,1252,56,11
2020.9.24,1929,1252,56,22
2020.9.25,1950,1260,56,21
2020.9.26,1962,1263,56,12
2020.9.27,1973,1264,56,11
2020.9.28,2008,1276,56,35
2020.9.29,2028,1279,57,20
2020.9.30,2032,1309,58,4
2020.10.1,2056,1335,58,24
2020.10.2,2088,1363,58,32
2020.10.3,2123,1385,59,35
2020.10.4,2154,1397,59,31
2020.10.5,2167,1419,59,13
2020.10.6,2184,1420,59,17
2020.10.7,2197,1441,59,13
2020.10.8,2222,1478,59,25
2020.10.9,2241,1506,60,19
2020.10.10,2254,1516,60,13
2020.10.11,2271,1542,61,17
2020.10.12,2280,1554,63,9
2020.10.13,2294,1571,63,14
2020.10.14,2305,1581,63,11
2020.10.15,2305,1581,63,0
2020.10.16,2335,1645,65,30
2020.10.17,2343,1718,65,8
2020.10.18,2343,1718,65,0
2020.10.19,2381,1774,65,38
2020.10.20,2387,1802,65,6
2020.10.21,2406,1824,65,19
2020.10.22,2406,1824,65,0
2020.10.23,2414,1869,65,8
2020.10.24,2433,1996,65,19
2020.10.25,2444,1997,65,11
2020.10.26,2451,2019,65,7
2020.10.27,2459,2164,67,8
2020.10.28,2466,2181,67,7
2020.10.29,2471,2211,67,5
2020.10.30,2471,2211,67,0
2020.10.31,2477,2218,67,6
2020.11.1,2500,2250,67,23
2020.11.2,2500,2250,67,0
2020.11.3,2517,2281,67,17
2020.11.4,2530,2298,67,13
2020.11.5,2539,2319,67,9
2020.11.6,2550,2347,67,11
2020.11.7,2562,2366,67,12
2020.11.8,2565,2370,67,3
2020.11.9,2569,2381,67,4
2020.11.10,2581,2382,67,12
2020.11.11,2582,2410,67,1
2020.11.12,2586,2411,67,4
2020.11.13,2586,2411,67,0
2020.11.14,2609,2413,68,23
2020.11.15,2635,2426,68,26
