date,累计确诊,治愈,死亡,新增确诊
2020.4.11,5,0,0,2
2020.4.12,5,0,1,0
2020.4.21,11,4,1,5
2020.4.23,12,4,1,1
2020.5.2,15,7,1,4
2020.5.16,15,7,1,0
2020.5.17,23,15,1,8
2020.5.18,42,20,1,19
2020.5.19,42,20,1,0
2020.5.20,42,20,1,0
2020.5.21,42,20,1,0
2020.5.22,42,20,1,0
2020.5.23,42,20,1,0
2020.5.24,42,20,1,0
2020.5.25,42,20,1,0
2020.5.26,42,20,1,0
2020.5.27,42,20,1,0
2020.5.28,42,20,1,0
2020.5.29,42,20,1,0
2020.5.30,42,20,1,0
2020.5.31,63,33,1,21
2020.6.1,63,33,1,0
2020.6.2,63,33,1,0
2020.6.3,63,33,1,0
2020.6.4,63,33,1,0
2020.6.5,63,33,1,0
2020.6.6,63,33,1,0
2020.6.7,83,45,1,20
2020.6.8,83,45,1,0
2020.6.9,83,45,1,0
2020.6.10,83,45,1,0
2020.6.11,83,45,1,0
2020.6.12,85,45,1,2
2020.6.13,85,45,1,0
2020.6.14,85,45,1,0
2020.6.15,85,45,1,0
2020.6.16,104,75,1,19
2020.6.17,104,75,1,0
2020.6.18,104,75,1,0
2020.6.19,104,75,1,0
2020.6.20,104,75,1,0
2020.6.21,144,93,1,40
2020.6.22,144,93,1,0
2020.6.23,144,93,1,0
2020.6.24,144,93,1,0
2020.6.25,144,93,1,0
2020.6.26,144,93,1,0
2020.6.27,144,93,1,0
2020.6.28,170,115,1,26
2020.6.29,170,115,1,0
2020.6.30,170,115,1,0
2020.7.1,170,115,1,0
2020.7.2,170,115,1,0
2020.7.3,170,115,1,0
2020.7.4,191,118,1,21
2020.7.5,191,118,1,0
2020.7.6,191,118,1,0
2020.7.7,191,118,1,0
2020.7.8,191,118,1,0
2020.7.9,191,118,1,0
2020.7.10,191,118,1,0
2020.7.11,191,118,1,0
2020.7.12,191,118,1,0
2020.7.13,269,207,1,78
2020.7.14,269,207,1,0
2020.7.15,269,207,1,0
2020.7.16,269,207,1,0
2020.7.17,303,207,1,34
2020.7.18,310,207,1,7
2020.7.19,310,207,1,0
2020.7.20,310,207,1,0
2020.7.21,322,207,1,12
2020.7.22,328,207,1,6
2020.7.23,345,270,1,17
2020.7.24,345,270,1,0
2020.7.25,345,270,1,0
2020.7.26,361,279,1,16
2020.7.27,361,279,1,0
2020.7.28,378,301,1,17
2020.7.29,378,301,1,0
2020.7.30,387,304,1,9
2020.7.31,387,304,1,0
2020.8.1,387,304,1,0
2020.8.2,395,304,1,8
2020.8.3,395,304,1,0
2020.8.4,395,304,1,0
2020.8.5,395,304,1,0
2020.8.6,395,304,1,0
2020.8.7,400,304,1,5
2020.8.8,400,304,1,0
2020.8.9,405,312,1,5
2020.8.10,408,315,1,3
2020.8.11,408,315,1,0
2020.8.12,408,315,1,0
2020.8.13,409,315,1,1
2020.8.14,410,315,1,1
2020.8.15,412,315,1,2
2020.8.16,413,315,1,1
2020.8.17,413,315,1,0
2020.8.18,413,336,1,0
2020.8.19,416,336,1,3
2020.8.20,422,336,1,6
2020.8.21,422,336,1,0
2020.8.22,429,336,1,7
2020.8.23,430,336,1,1
2020.8.24,430,336,1,0
2020.8.25,430,345,1,0
2020.8.26,430,345,1,0
2020.8.27,431,345,1,1
2020.8.28,431,345,1,0
2020.8.29,433,345,1,2
2020.8.30,445,357,1,12
2020.8.31,445,357,1,0
2020.9.1,445,357,1,0
2020.9.2,445,357,1,0
2020.9.3,448,357,1,3
2020.9.4,448,357,1,0
2020.9.5,451,357,1,3
2020.9.6,460,357,1,9
2020.9.7,462,357,1,2
2020.9.8,466,374,1,4
2020.9.9,466,374,1,0
2020.9.10,466,374,1,0
2020.9.11,469,374,1,3
2020.9.12,469,374,1,0
2020.9.13,471,374,1,2
2020.9.14,472,374,1,1
2020.9.15,472,374,1,0
2020.9.16,472,374,1,0
2020.9.17,472,374,1,0
2020.9.18,473,374,1,1
2020.9.19,473,374,1,0
2020.9.20,473,374,1,0
2020.9.21,473,462,1,0
2020.9.22,474,462,1,1
2020.9.23,474,462,1,0
2020.9.24,476,462,1,2
2020.9.25,477,462,1,1
2020.9.26,483,462,1,6
2020.9.27,485,472,1,2
2020.9.28,485,472,1,0
2020.9.29,502,472,1,17
2020.9.30,506,472,1,4
2020.10.1,508,472,1,2
2020.10.2,510,472,1,2
2020.10.3,513,472,1,3
2020.10.4,513,472,1,0
2020.10.5,514,472,1,1
2020.10.6,514,472,1,0
2020.10.7,514,472,1,0
2020.10.8,515,472,1,1
2020.10.9,515,472,1,0
2020.10.10,515,472,1,0
2020.10.11,524,472,1,9
2020.10.12,525,472,1,1
2020.10.13,525,472,1,0
2020.10.14,529,472,1,4
2020.10.15,529,497,1,0
2020.10.16,529,497,1,0
2020.10.17,531,497,1,2
2020.10.18,542,497,1,11
2020.10.19,549,497,1,7
2020.10.20,550,497,1,1
2020.10.21,550,497,1,0
2020.10.22,551,497,1,1
2020.10.23,553,497,1,2
2020.10.24,555,497,1,2
2020.10.25,557,511,1,2
2020.10.26,557,511,1,0
2020.10.27,557,511,1,0
2020.10.28,558,511,1,1
2020.10.29,559,511,1,1
2020.10.30,560,511,1,1
2020.10.31,585,511,1,25
2020.11.1,589,511,1,4
2020.11.2,589,511,1,0
2020.11.3,589,511,1,0
2020.11.4,597,511,1,8
2020.11.5,606,511,1,9
2020.11.6,606,511,1,0
2020.11.7,606,511,1,0
2020.11.8,612,511,1,6
2020.11.9,614,549,1,2
2020.11.10,614,549,1,0
2020.11.11,615,549,1,1
2020.11.12,620,549,1,5
2020.11.13,623,549,1,3
2020.11.14,624,549,1,1
2020.11.15,627,549,1,3
2020.11.16,628,549,1,1
2020.11.17,630,549,1,2
2020.11.18,631,549,1,1
2020.11.19,641,575,1,10
2020.11.20,641,575,1,0
2020.11.21,649,575,1,8
2020.11.22,662,575,1,13
2020.11.23,662,575,1,0
2020.11.24,664,575,1,2
2020.11.25,673,575,1,9
2020.11.26,673,575,1,0
2020.11.27,677,575,1,4
2020.11.28,681,575,1,4
2020.11.29,681,575,1,0
