date,累计确诊,治愈,死亡,新增确诊
2020.3.18,418,14,5,31
2020.3.19,464,19,6,46
2020.3.22,624,19,15,94
2020.3.23,695,19,17,71
2020.4.1,1415,52,50,101
2020.4.8,1884,269,83,52
2020.4.9,1955,269,87,71
2020.4.10,2011,269,92,56
2020.4.11,2081,269,93,70
2020.4.12,2114,269,98,33
2020.4.13,2145,269,99,31
2020.4.14,2170,269,101,25
2020.4.15,2192,269,102,22
2020.4.16,2207,269,105,15
2020.4.17,2224,269,108,17
2020.4.18,2235,269,110,11
2020.4.20,2245,269,116,10
2020.4.21,2401,577,121,156
2020.4.23,2463,577,125,55
2020.4.24,2490,577,130,27
2020.4.25,2506,577,130,16
2020.4.26,2517,577,134,11
2020.4.27,2534,577,136,17
2020.4.28,2566,577,138,32
2020.4.29,2576,577,139,10
2020.4.30,2591,1374,140,15
2020.5.2,2620,1374,143,8
2020.5.5,2642,1374,146,10
2020.5.6,2663,1374,147,21
2020.5.7,2678,1374,148,15
2020.5.12,2744,1374,152,18
2020.5.15,2810,1374,160,40
2020.5.16,2819,1374,162,9
2020.5.17,2834,1374,163,15
2020.5.18,2836,1374,165,2
2020.5.19,2840,1374,165,4
2020.5.20,2850,1374,166,10
2020.5.21,2850,1374,166,0
2020.5.22,2874,1374,169,24
2020.5.23,2876,1374,171,2
2020.5.24,2878,1374,171,2
2020.5.25,2878,1374,171,0
2020.5.26,2892,1374,173,14
2020.5.27,2903,1374,173,11
2020.5.28,2903,1374,173,0
2020.5.29,2909,1374,175,6
2020.5.30,2915,1374,175,6
2020.5.31,2917,1374,175,2
2020.6.1,2918,1374,179,1
2020.6.2,2937,1374,179,19
2020.6.3,2937,1374,179,0
2020.6.4,2952,1374,180,15
2020.6.5,2952,1374,180,0
2020.6.6,2980,1374,180,28
2020.6.7,2997,1374,180,17
2020.6.8,3049,1374,180,52
2020.6.9,3058,1374,183,9
2020.6.10,3058,1374,183,0
2020.6.11,3088,1374,183,30
2020.6.12,3108,1374,183,20
2020.6.13,3112,1374,183,4
2020.6.14,3121,1374,183,9
2020.6.15,3134,1374,184,13
2020.6.16,3148,1374,185,14
2020.6.17,3203,1374,187,55
2020.6.18,3227,1374,188,24
2020.6.19,3237,1374,189,10
2020.6.20,3256,1374,190,19
2020.6.21,3266,1374,190,10
2020.6.22,3287,1374,190,21
2020.6.23,3302,1374,190,15
2020.6.24,3302,1374,190,0
2020.6.25,3321,1374,191,19
2020.6.26,3343,1374,191,22
2020.6.27,3366,1374,191,23
2020.6.28,3376,1374,191,10
2020.6.29,3390,1374,191,14
2020.6.30,3409,1374,192,19
2020.7.1,3432,1374,192,23
2020.7.2,3458,1374,192,26
2020.7.3,3458,1374,192,0
2020.7.4,3511,1374,192,53
2020.7.5,3519,1374,192,8
2020.7.6,3519,1374,192,0
2020.7.7,3589,1374,193,70
2020.7.8,3622,1374,193,33
2020.7.9,3672,1374,193,50
2020.7.10,3732,1374,193,60
2020.7.11,3772,1374,193,40
2020.7.12,3803,1374,193,31
2020.7.13,3826,1374,193,23
2020.7.14,3883,1374,193,57
2020.7.15,3910,1374,193,27
2020.7.16,3939,1374,193,29
2020.7.17,3964,1374,194,25
2020.7.18,3983,1374,194,19
2020.7.19,4007,1374,194,24
2020.7.20,4007,1374,194,0
2020.7.21,4012,1374,195,5
2020.7.22,4048,1374,197,36
2020.7.23,4110,1374,201,62
2020.7.24,4135,1374,201,25
2020.7.25,4166,1374,201,31
2020.7.26,4193,1374,202,27
2020.7.27,4193,1374,202,0
2020.7.28,4279,1374,203,86
2020.7.29,4279,1374,203,0
2020.7.30,4336,1374,203,57
2020.7.31,4401,1374,203,65
2020.8.1,4477,1374,206,76
2020.8.2,4662,1374,208,185
2020.8.3,4662,1374,208,0
2020.8.4,4855,1374,209,193
2020.8.5,4973,1374,210,118
2020.8.6,5123,1374,210,150
2020.8.7,5123,1374,210,0
2020.8.8,5270,1374,210,147
2020.8.9,5623,3804,212,353
2020.8.10,5749,3804,213,126
2020.8.11,5749,3804,213,0
2020.8.12,5942,3804,214,193
2020.8.13,6177,3804,216,235
2020.8.14,6632,3804,223,455
2020.8.15,6632,3804,223,0
2020.8.16,7075,3804,228,443
2020.8.17,7222,3804,230,147
2020.8.18,7222,3804,230,0
2020.8.19,7472,3804,232,250
2020.8.20,7684,3804,235,212
2020.8.21,7934,3804,235,250
2020.8.22,8138,3804,238,204
2020.8.23,8381,3804,240,243
2020.8.24,8819,3804,242,438
2020.8.25,8987,3804,243,168
2020.8.26,9280,3804,248,293
2020.8.27,9531,3804,254,251
2020.8.28,9800,3804,259,269
2020.8.29,9800,3804,259,0
2020.8.30,9977,3804,260,177
2020.8.31,10134,3804,262,157
2020.9.1,10317,3804,266,183
2020.9.2,10524,3804,271,207
2020.9.3,10998,3804,278,474
2020.9.4,11200,3804,279,202
2020.9.5,11200,3804,279,0
2020.9.6,11524,3804,284,324
2020.9.7,11524,3804,284,0
2020.9.8,11832,3804,290,308
2020.9.9,12080,3804,293,248
2020.9.10,12080,3804,293,0
2020.9.11,12734,3804,300,654
2020.9.12,12734,3804,300,0
2020.9.13,13036,3804,302,302
2020.9.14,13420,3804,310,384
2020.9.15,13730,3804,313,310
2020.9.16,14041,3804,316,311
2020.9.17,14041,3804,316,0
2020.9.18,14400,3804,325,359
2020.9.19,14738,3804,327,338
2020.9.20,14978,3804,331,240
2020.9.21,15142,3804,338,164
2020.9.22,15928,9989,352,786
2020.9.23,16286,9989,357,358
2020.9.24,16627,9989,366,341
2020.9.25,16913,9989,369,286
2020.9.26,17228,9989,376,315
2020.9.27,17444,9989,379,216
2020.9.28,17707,9989,383,263
2020.9.29,17707,9989,383,0
2020.9.30,18475,9989,391,768
2020.10.1,18475,9989,391,0
2020.10.2,19346,9989,398,871
2020.10.3,19613,9989,405,267
2020.10.4,19613,9989,405,0
2020.10.5,20142,9989,417,529
2020.10.6,20541,9989,420,399
2020.10.7,20947,9989,424,406
2020.10.8,21381,9989,430,434
2020.10.9,21772,9989,431,391
2020.10.10,22078,9989,436,306
2020.10.11,22358,9989,449,280
2020.10.12,22652,9989,456,294
2020.10.13,23060,9989,462,408
2020.10.14,23495,9989,469,435
2020.10.15,23947,9989,482,452
2020.10.16,24450,9989,490,503
2020.10.17,24932,9989,500,482
2020.10.18,25370,9989,509,438
2020.10.19,25802,9989,520,432
2020.10.20,26469,9989,528,667
2020.10.21,27334,9989,534,865
2020.10.22,28216,9989,549,882
2020.10.23,29057,9989,559,841
2020.10.24,29992,9989,564,935
2020.10.25,29992,9989,564,0
2020.10.26,30782,9989,574,790
2020.10.27,32752,9989,593,1970
2020.10.28,32752,9989,593,0
2020.10.29,34299,9989,603,1547
2020.10.30,35510,9989,615,1211
2020.10.31,37196,9989,620,1686
2020.11.1,39251,9989,626,2055
2020.11.2,40929,9989,635,1678
2020.11.3,44246,9989,655,3317
2020.11.4,44246,9989,655,0
2020.11.5,46892,9989,673,2646
2020.11.6,52254,9989,715,5362
2020.11.7,52254,9989,715,0
2020.11.8,54809,9989,749,2555
2020.11.9,56698,9989,784,1889
2020.11.10,58187,9989,825,1489
2020.11.11,60570,9989,866,2383
2020.11.12,63321,9989,909,2751
2020.11.13,66637,9989,959,3316
2020.11.14,69675,9989,997,3038
2020.11.15,72510,9989,1035,2835
2020.11.16,76403,9989,1165,3893
2020.11.17,76403,9989,1165,0
2020.11.18,78825,9989,1228,2422
2020.11.19,82034,9989,1288,3209
2020.11.20,85261,9989,1347,3227
2020.11.21,87812,9989,1419,2551
2020.11.22,91619,9989,1630,3807
2020.11.23,91619,9989,1630,0
2020.11.24,93006,9989,1714,1387
2020.11.25,97288,9989,1902,4282
2020.11.26,97288,9989,1902,0
2020.11.27,99306,9989,2001,2018
2020.11.28,101287,9989,2012,0
2020.11.29,103034,9989,2223,1747
2020.11.30,105271,9989,2406,2237
