date,累计确诊,治愈,死亡,新增确诊
2020.4.8,14,7,1,1
2020.4.24,16,11,1,2
2020.4.29,16,13,1,0
2020.5.7,16,14,1,0
2020.5.16,16,14,1,0
2020.5.18,16,14,1,0
2020.5.19,16,14,1,0
2020.5.20,16,14,1,0
2020.5.21,16,14,1,0
2020.5.22,16,14,1,0
2020.5.23,16,14,1,0
2020.5.24,17,14,1,1
2020.5.25,17,14,1,0
2020.5.26,18,14,1,1
2020.5.27,18,14,1,0
2020.5.28,18,14,1,0
2020.5.29,18,14,1,0
2020.5.30,18,14,1,0
2020.5.31,19,14,1,1
2020.6.1,19,14,1,0
2020.6.2,20,15,1,1
2020.6.3,20,15,1,0
2020.6.4,21,15,1,1
2020.6.5,21,15,1,0
2020.6.6,21,15,1,0
2020.6.7,21,15,1,0
2020.6.8,21,15,1,0
2020.6.9,21,15,1,0
2020.6.10,21,15,1,0
2020.6.11,22,15,1,1
2020.6.12,22,15,1,0
2020.6.13,22,15,1,0
2020.6.14,22,15,1,0
2020.6.15,22,16,1,0
2020.6.16,23,19,1,1
2020.6.17,23,19,1,0
2020.6.18,23,19,1,0
2020.6.19,23,19,1,0
2020.6.20,23,19,1,0
2020.6.21,23,19,1,0
2020.6.22,23,19,1,0
2020.6.23,23,19,1,0
2020.6.24,23,19,1,0
2020.6.25,23,19,1,0
2020.6.26,23,19,1,0
2020.6.27,23,19,1,0
2020.6.28,23,19,1,0
2020.6.29,23,19,1,0
2020.6.30,23,19,1,0
2020.7.1,23,19,1,0
2020.7.2,23,19,1,0
2020.7.3,23,19,1,0
2020.7.4,23,19,1,0
2020.7.5,23,19,1,0
2020.7.6,23,19,1,0
2020.7.7,23,19,1,0
2020.7.8,23,19,1,0
2020.7.9,23,19,1,0
2020.7.10,25,24,1,2
2020.7.11,25,24,1,0
2020.7.12,25,24,1,0
2020.7.13,25,24,1,0
2020.7.14,25,24,1,0
2020.7.15,26,24,1,1
2020.7.16,26,24,1,0
2020.7.17,26,24,1,0
2020.7.18,28,24,1,2
2020.7.19,28,24,1,0
2020.7.20,28,24,1,0
2020.7.21,28,24,1,0
2020.7.22,28,24,1,0
2020.7.23,28,24,1,0
2020.7.24,28,24,1,0
2020.7.25,29,24,1,1
2020.7.26,29,24,1,0
2020.7.27,29,24,1,0
2020.7.28,29,24,1,0
2020.7.29,29,24,1,0
2020.7.30,29,24,1,0
2020.7.31,29,24,1,0
2020.8.1,29,24,1,0
2020.8.2,29,24,1,0
2020.8.3,29,24,1,0
2020.8.4,29,24,1,0
2020.8.5,29,24,1,0
2020.8.6,31,28,1,2
2020.8.7,31,30,1,0
2020.8.8,31,30,1,0
2020.8.9,31,30,1,0
