date,累计确诊,治愈,死亡,新增确诊
2020.4.9,45,6,1,0
2020.4.11,53,6,1,8
2020.4.13,54,6,1,1
2020.4.15,60,6,1,6
2020.4.16,61,7,1,1
2020.4.20,66,7,1,5
2020.4.24,70,8,1,4
2020.4.28,70,10,1,0
2020.4.29,73,10,1,3
2020.5.2,74,10,1,1
2020.5.4,75,14,1,1
2020.5.5,78,30,1,3
2020.5.6,78,30,1,0
2020.5.7,80,35,1,2
2020.5.12,85,50,1,1
2020.5.13,86,54,1,1
2020.5.15,94,55,1,7
2020.5.16,94,55,1,0
2020.5.17,94,55,1,0
2020.5.18,94,55,1,0
2020.5.19,94,55,1,0
2020.5.20,111,55,1,17
2020.5.21,111,55,1,0
2020.5.22,121,55,1,10
2020.5.23,129,61,1,8
2020.5.24,129,61,1,0
2020.5.25,129,61,1,0
2020.5.26,134,61,1,5
2020.5.27,137,63,1,3
2020.5.28,140,67,1,3
2020.5.29,140,67,1,0
2020.5.30,141,68,1,1
2020.5.31,141,68,1,0
2020.6.1,141,68,1,0
2020.6.2,150,75,1,9
2020.6.3,151,77,1,1
2020.6.4,156,78,1,5
2020.6.5,160,85,1,4
2020.6.6,164,93,1,4
2020.6.7,164,93,1,0
2020.6.8,164,93,1,0
2020.6.9,171,102,1,7
2020.6.10,176,104,1,5
2020.6.11,180,107,1,4
2020.6.12,186,112,1,6
2020.6.13,187,115,1,1
2020.6.14,187,115,1,0
2020.6.15,187,115,1,0
2020.6.16,187,115,1,0
2020.6.17,193,123,1,6
2020.6.18,193,132,1,0
2020.6.19,193,141,1,0
2020.6.20,195,143,1,2
2020.6.21,195,143,1,0
2020.6.22,195,143,1,0
2020.6.23,195,146,1,0
2020.6.24,195,154,1,0
2020.6.25,196,169,1,1
2020.6.26,196,184,1,0
2020.6.27,196,186,1,0
2020.6.28,196,186,1,0
2020.6.29,196,186,1,0
2020.6.30,199,189,1,3
2020.7.1,200,191,1,1
2020.7.2,201,193,1,1
2020.7.3,201,194,1,0
2020.7.4,201,194,1,0
2020.7.5,201,194,1,0
2020.7.6,201,194,1,0
2020.7.7,201,194,1,0
2020.7.8,201,194,1,0
2020.7.9,201,197,1,0
2020.7.10,201,197,1,0
2020.7.11,201,197,1,0
2020.7.12,201,197,1,0
2020.7.13,201,197,1,0
2020.7.14,203,200,1,2
2020.7.15,203,200,1,0
2020.7.16,203,200,1,0
2020.7.17,203,200,1,0
2020.7.18,203,200,1,0
2020.7.19,203,200,1,0
2020.7.20,203,200,1,0
2020.7.21,203,200,1,0
2020.7.22,203,201,1,0
2020.7.23,203,201,1,0
2020.7.24,203,202,1,0
2020.7.25,203,202,1,0
2020.7.26,203,202,1,0
2020.7.27,203,202,1,0
2020.7.28,203,202,1,0
2020.7.29,203,202,1,0
2020.7.30,203,202,1,0
2020.7.31,203,202,1,0
2020.8.1,203,202,1,0
2020.8.2,203,202,1,0
2020.8.3,203,202,1,0
2020.8.4,203,202,1,0
2020.8.5,203,202,1,0
2020.8.6,203,202,1,0
2020.8.7,203,202,1,0
2020.8.8,203,202,1,0
2020.8.9,203,202,1,0
2020.8.10,203,202,1,0
2020.8.11,203,202,1,0
2020.8.12,203,202,1,0
2020.8.13,203,202,1,0
2020.8.14,203,202,1,0
2020.8.15,203,202,1,0
2020.8.16,203,202,1,0
2020.8.17,203,202,1,0
2020.8.18,203,202,1,0
2020.8.19,203,202,1,0
2020.8.20,205,202,1,2
2020.8.21,205,202,1,0
2020.8.22,205,202,1,0
2020.8.23,205,202,1,0
2020.8.24,205,202,1,0
2020.8.25,205,202,1,0
2020.8.26,205,202,1,0
2020.8.27,205,202,1,0
2020.8.28,205,202,1,0
2020.8.29,205,202,1,0
2020.8.30,205,202,1,0
2020.8.31,205,202,1,0
2020.9.1,205,202,1,0
2020.9.2,205,204,1,0
2020.9.3,205,204,1,0
2020.9.4,205,204,1,0
2020.9.5,205,204,1,0
2020.9.6,205,204,1,0
2020.9.7,205,204,1,0
2020.9.8,205,204,1,0
2020.9.9,205,204,1,0
2020.9.10,207,204,1,2
2020.9.11,208,204,1,1
2020.9.12,208,204,1,0
2020.9.13,208,204,1,0
2020.9.14,208,204,1,0
2020.9.15,208,204,1,0
2020.9.16,208,204,1,0
2020.9.17,208,204,1,0
2020.9.18,208,204,1,0
2020.9.19,208,204,1,0
2020.9.20,208,204,1,0
2020.9.21,208,204,1,0
2020.9.22,209,204,1,1
2020.9.23,210,205,1,1
2020.9.24,210,205,1,0
2020.9.25,210,205,1,0
2020.9.26,210,207,1,0
2020.9.27,210,207,1,0
2020.9.28,210,207,1,0
2020.9.29,211,208,1,1
2020.9.30,211,208,1,0
2020.10.1,211,208,1,0
2020.10.2,211,209,1,0
2020.10.3,213,209,1,2
2020.10.4,213,209,1,0
2020.10.5,213,209,1,0
2020.10.6,213,210,1,0
2020.10.7,213,210,1,0
2020.10.8,213,210,1,0
2020.10.9,214,211,1,1
2020.10.10,220,211,1,6
2020.10.11,221,211,1,1
2020.10.12,221,211,1,0
2020.10.13,221,211,1,0
2020.10.14,221,211,1,0
2020.10.15,225,212,1,4
2020.10.16,225,212,1,0
2020.10.17,233,212,1,8
2020.10.18,233,212,1,0
2020.10.19,233,212,1,0
2020.10.20,235,212,1,2
2020.10.21,235,214,1,0
2020.10.22,235,214,1,0
2020.10.23,236,215,1,1
2020.10.24,239,215,1,3
2020.10.25,239,215,1,0
2020.10.26,239,215,1,0
2020.10.27,239,216,1,0
2020.10.28,239,218,1,0
2020.10.29,239,218,1,0
2020.10.30,239,218,1,0
2020.10.31,240,221,1,1
2020.11.1,240,221,1,0
2020.11.2,240,221,1,0
2020.11.3,240,221,1,0
2020.11.4,242,232,1,2
2020.11.5,242,233,1,0
2020.11.6,244,233,1,2
2020.11.7,250,236,1,6
2020.11.8,250,236,1,0
2020.11.9,250,236,1,0
2020.11.10,250,236,1,0
2020.11.11,253,236,1,3
2020.11.12,253,236,1,0
2020.11.13,253,236,1,0
2020.11.14,253,236,1,0
2020.11.15,254,240,1,1
2020.11.16,254,240,1,0
2020.11.17,257,240,2,3
2020.11.18,257,241,2,0
2020.11.19,258,243,2,1
2020.11.20,259,243,2,1
2020.11.21,261,245,2,2
2020.11.22,261,245,2,0
2020.11.23,261,245,2,0
2020.11.24,265,245,2,4
