date,累计确诊,治愈,死亡,新增确诊
2020.2.22,16,1,0,0
2020.2.23,16,1,0,0
2020.2.24,16,1,0,0
2020.2.25,16,1,0,0
2020.2.26,19,14,0,3
2020.2.27,27,14,0,8
2020.2.28,48,15,0,21
2020.2.29,62,15,0,14
2020.3.1,117,16,0,55
2020.3.2,130,16,0,13
2020.3.3,196,16,0,66
2020.3.4,240,16,0,44
2020.3.5,351,17,0,111
2020.3.6,565,17,0,214
2020.3.7,795,17,0,230
2020.3.8,939,18,0,144
2020.3.9,1151,18,0,212
2020.3.10,1224,18,2,73
2020.3.11,1565,18,3,341
2020.3.12,1952,25,3,387
2020.3.13,3353,46,7,236
2020.3.14,3795,46,8,77
2020.3.15,4838,46,12,1043
2020.3.16,6012,49,13,1174
2020.3.17,9257,49,24,1985
2020.3.18,11973,73,28,1891
2020.3.19,15320,115,44,2993
2020.3.20,18607,180,47,3696
2020.3.21,22101,180,83,2446
2020.3.22,24254,266,94,2499
2020.3.23,28729,266,112,6057
2020.3.24,32986,453,130,3930
2020.3.25,37323,3547,206,4332
2020.3.26,43938,5673,267,4332
2020.3.27,50871,6658,342,6933
2020.3.28,57695,8481,433,5229
2020.3.29,58247,9211,480,3965
2020.3.30,62435,9211,541,4349
2020.3.31,70985,17200,682,4805
2020.4.1,77817,18700,917,6009
2020.4.2,84600,24498,1097,6807
2020.4.3,91159,24575,1275,6365
2020.4.4,96092,26400,1444,4933
2020.4.5,100024,28700,1576,3932
2020.4.6,102453,28700,1735,2330
2020.4.7,107591,36081,2012,4216
2020.4.8,113296,46300,2349,4450
2020.4.9,116801,52407,2529,3505
2020.4.10,122215,53913,2767,4034
2020.4.11,125452,57400,2871,3281
2020.4.12,127854,60300,3022,2402
2020.4.13,129207,64300,3118,1353
2020.4.14,131359,68200,3294,1287
2020.4.15,133456,72600,3592,1246
2020.4.16,136569,77000,3943,1816
2020.4.17,140886,83114,4326,3188
2020.4.18,143342,85400,4459,1945
2020.4.19,145184,97157,4586,1460
2020.4.20,146777,97157,4802,1035
2020.4.21,148291,105216,5033,1226
2020.4.22,150062,109198,5250,1609
2020.4.23,153129,111581,5575,2481
2020.4.24,154545,114026,5723,1416
2020.4.25,156418,116362,5873,1419
2020.4.26,157495,118917,5945,982
2020.4.27,159070,123890,6132,221
2020.4.28,159431,123890,6215,673
2020.4.29,161197,126316,6405,1285
2020.4.30,162950,123500,6616,1411
2020.5.1,164077,131166,6736,1068
2020.5.2,165753,133881,6938,781
2020.5.3,165753,133881,6938,0
2020.5.4,166152,135100,6993,488
2020.5.5,167704,138708,7239,1552
2020.5.6,168162,138708,7275,1155
2020.5.7,169430,140334,7392,1268
2020.5.8,170643,143300,7510,1248
2020.5.9,171324,144400,7549,736
2020.5.10,171879,145600,7569,555
2020.5.11,172576,145617,7661,697
2020.5.12,173171,147200,7738,595
2020.5.13,174098,150300,7861,927
2020.5.14,174975,151700,7928,877
2020.5.15,175699,152600,8001,703
2020.5.16,176244,153400,8027,545
2020.5.17,176651,154600,8049,407
2020.5.18,177069,154600,8070,418
2020.5.19,177482,155700,8145,413
2020.5.20,177989,156900,8209,507
2020.5.21,178671,158000,8271,682
2020.5.22,179381,159000,8325,710
2020.5.23,179768,159900,8354,387
2020.5.24,180084,160300,8371,316
2020.5.25,180505,161200,8382,421
2020.5.26,181062,162000,8448,557
2020.5.27,181530,162800,8498,468
2020.5.28,182150,163200,8548,620
2020.5.29,182711,164100,8577,561
2020.5.30,183118,164900,8598,407
2020.5.31,183411,165200,8602,293
2020.6.1,183596,165900,8610,185
2020.6.2,183898,166400,8636,302
2020.6.3,184163,167300,8677,265
2020.6.4,184492,167800,8701,329
2020.6.5,185302,168500,8755,810
2020.6.6,185414,168900,8763,112
2020.6.7,185756,169100,8770,342
2020.6.8,186056,169600,8783,300
2020.6.9,186317,170200,8802,261
2020.6.10,186866,170700,8840,549
2020.6.11,186600,171200,8845,0
2020.6.12,186933,171600,8853,333
2020.6.13,187266,171900,8863,333
2020.6.14,187580,172200,8867,314
2020.6.15,187843,172600,8875,263
2020.6.16,188086,173100,8887,243
2020.6.17,189027,173600,8918,941
2020.6.18,189504,173600,8927,477
2020.6.19,190290,174100,8952,786
2020.6.20,190798,174400,8960,508
2020.6.21,191276,174900,8961,478
2020.6.22,191718,174900,8964,442
2020.6.23,192429,175700,8977,711
2020.6.24,192855,176300,8986,426
2020.6.25,193281,176800,9003,426
2020.6.26,194013,177100,9012,732
2020.6.27,194527,177500,9026,514
2020.6.28,194771,177700,9026,244
2020.6.29,195104,178100,9030,333
2020.6.30,195399,179100,9041,295
2020.7.1,195998,179800,9053,599
2020.7.2,196372,180300,9061,374
2020.7.3,196738,181000,9064,366
2020.7.4,197250,181300,9074,512
2020.7.5,197418,181700,9081,168
2020.7.6,197651,182200,9086,233
2020.7.7,198172,182700,9093,521
2020.7.8,198561,182700,9105,389
2020.7.9,198812,183600,9115,251
2020.7.10,199257,183600,9126,445
2020.7.11,199660,184500,9132,403
2020.7.12,199903,184500,9134,243
2020.7.13,200239,185100,9137,336
2020.7.14,200451,185100,9139,212
2020.7.15,200870,186000,9145,419
2020.7.16,201281,186400,9148,411
2020.7.17,201931,186900,9157,650
2020.7.18,202442,187500,9162,511
2020.7.19,202747,187800,9162,305
2020.7.20,203145,187800,9165,398
2020.7.21,203557,188100,9175,412
2020.7.22,204153,188600,9180,596
2020.7.23,204570,189000,9183,417
2020.7.24,205398,189400,9190,828
2020.7.25,206096,190400,9201,698
2020.7.26,206363,190600,9202,267
2020.7.27,206741,190600,9203,378
2020.7.28,207487,191400,9206,746
2020.7.29,208537,192000,9211,1050
2020.7.30,209139,192000,9214,602
2020.7.31,210112,192300,9221,973
2020.8.1,210697,193600,9224,585
