date,累计确诊,治愈,死亡,新增确诊
2020.2.22,76,0,2,67
2020.2.23,124,1,2,48
2020.2.24,229,1,6,105
2020.2.25,322,1,11,93
2020.2.26,400,1,12,78
2020.2.27,650,40,17,250
2020.2.28,888,45,21,238
2020.2.29,1128,46,29,240
2020.3.1,1689,50,35,561
2020.3.2,2036,83,52,347
2020.3.3,2502,149,80,466
2020.3.4,3089,276,107,587
2020.3.5,3858,276,148,769
2020.3.6,4636,523,197,778
2020.3.7,5883,523,234,1247
2020.3.8,7375,622,366,1492
2020.3.9,9220,724,463,1796
2020.3.10,10149,1004,631,977
2020.3.11,12462,1045,827,2313
2020.3.12,15385,1258,1016,2651
2020.3.13,17660,1439,1266,2547
2020.3.14,21157,1966,1441,3497
2020.3.15,24747,2335,1809,3590
2020.3.16,27980,2749,2158,3233
2020.3.17,31506,2941,2503,3526
2020.3.18,35713,4025,2978,4207
2020.3.19,41035,4440,3405,5322
2020.3.20,47021,5129,4032,6986
2020.3.21,53578,6072,4825,6557
2020.3.22,59138,7024,5476,5560
2020.3.23,63927,7432,6077,4789
2020.3.24,69176,8326,6820,5249
2020.3.25,74386,9362,7503,5210
2020.3.26,80539,10361,8165,6153
2020.3.27,86498,10950,9134,5959
2020.3.28,92472,12384,10023,5974
2020.3.29,97689,13030,10779,5217
2020.3.30,101739,14620,11591,4050
2020.3.31,105792,15729,12428,4053
2020.4.1,110574,16847,13155,4782
2020.4.2,115242,18278,13915,4668
2020.4.3,119827,19758,14681,4585
2020.4.4,124632,20996,15362,4805
2020.4.5,128948,21815,15887,4316
2020.4.6,132547,22837,16523,3599
2020.4.7,135586,24392,17127,3039
2020.4.8,139422,26491,17669,3836
2020.4.9,143626,28470,18279,4204
2020.4.10,147577,30455,18849,3951
2020.4.11,152271,32534,19468,4694
2020.4.12,156363,34211,19899,4092
2020.4.13,159516,35435,20465,3153
2020.4.14,162488,37130,21067,2972
2020.4.15,165155,38092,21645,2667
2020.4.16,168941,40164,22170,3786
2020.4.17,172434,42727,22745,3493
2020.4.18,175925,44927,23227,3491
2020.4.19,178972,47055,23660,3047
2020.4.20,181228,48877,24114,2256
2020.4.21,183957,51600,24648,2729
2020.4.22,187327,54543,25085,3370
2020.4.23,189973,57576,25549,2646
2020.4.24,192994,60498,25969,3021
2020.4.25,195351,63120,26384,2357
2020.4.26,197675,64928,26644,2324
2020.4.27,199414,66624,26977,1739
2020.4.28,201515,68941,27359,2091
2020.4.29,203591,71252,27682,2086
2020.4.30,205463,75945,27967,1872
2020.5.1,207428,75945,28236,1965
2020.5.2,209328,79914,28710,1900
2020.5.3,210717,81654,28884,1389
2020.5.4,211938,82879,29079,1221
2020.5.5,213013,85231,29315,1075
2020.5.6,214457,93245,29684,1444
2020.5.7,215858,96276,29958,1401
2020.5.8,217185,99023,30201,1327
2020.5.9,218268,103031,30395,1083
2020.5.10,219070,105186,30560,802
2020.5.11,219814,106587,30739,744
2020.5.12,221216,109039,30911,1402
2020.5.13,222104,112541,31106,888
2020.5.14,223096,115288,31368,992
2020.5.15,223885,120205,31610,789
2020.5.16,224760,122810,31763,875
2020.5.17,225435,125176,31908,675
2020.5.18,225435,125176,31908,675
2020.5.19,225886,127326,32007,451
2020.5.20,226699,129401,32169,813
2020.5.21,227364,132282,32330,665
2020.5.22,228006,134560,32486,642
2020.5.23,228658,136720,32616,652
