date,累计确诊,治愈,死亡,新增确诊
2020.4.8,577,16,2,29
2020.4.9,589,16,3,12
2020.4.11,630,16,3,18
2020.4.12,651,16,5,21
2020.4.13,657,16,5,2
2020.4.14,666,16,5,9
2020.4.15,675,57,5,9
2020.4.16,682,57,5,7
2020.4.17,712,88,5,30
2020.4.18,727,88,5,15
2020.4.19,739,88,5,12
2020.4.20,748,88,5,9
2020.4.21,761,133,11,13
2020.4.22,778,133,11,17
2020.4.23,784,133,12,6
2020.4.24,804,267,12,20
2020.4.25,812,267,12,8
2020.4.26,818,267,13,6
2020.4.27,836,267,13,18
2020.4.28,849,348,15,13
2020.4.29,858,348,15,9
2020.4.30,870,348,16,12
2020.5.1,871,348,16,1
2020.5.2,879,348,16,8
2020.5.3,896,348,16,17
2020.5.4,896,348,17,17
2020.5.5,900,464,17,4
2020.5.6,909,464,18,9
2020.5.7,928,464,18,19
2020.5.8,930,464,18,2
2020.5.10,946,464,18,7
2020.5.11,950,627,18,4
2020.5.12,951,627,19,4
2020.5.13,962,627,19,11
2020.5.14,970,627,19,8
2020.5.15,997,662,19,27
2020.5.16,1008,662,19,11
2020.5.17,1009,662,19,1
2020.5.18,1009,662,19,0
2020.5.19,1012,694,21,3
2020.5.20,1016,694,21,4
2020.5.21,1025,694,22,9
2020.5.22,1030,712,22,5
2020.5.23,1046,712,22,16
2020.5.24,1047,712,22,1
2020.5.25,1049,712,22,2
2020.5.26,1053,741,22,4
2020.5.27,1057,741,23,4
2020.5.28,1061,741,24,4
2020.5.29,1064,745,24,3
2020.5.30,1065,745,24,1
2020.5.31,1066,745,24,1
2020.6.1,1066,745,24,0
2020.6.2,1071,760,24,5
2020.6.3,1079,760,24,8
2020.6.4,1082,760,25,3
2020.6.5,1085,781,25,3
2020.6.6,1086,781,25,1
2020.6.7,1088,781,25,2
2020.6.8,1088,781,26,0
2020.6.9,1089,794,26,1
2020.6.10,1092,794,26,3
2020.6.11,1094,818,26,2
2020.6.12,1096,818,27,2
2020.6.13,1097,845,28,1
2020.6.14,1097,845,28,0
2020.6.15,1097,845,28,0
2020.6.16,1098,875,28,1
2020.6.17,1104,875,30,6
2020.6.18,1108,903,30,4
2020.6.19,1110,903,30,2
2020.6.20,1111,903,30,1
2020.6.21,1111,903,30,0
2020.6.22,1111,903,30,0
2020.6.23,1111,903,30,0
2020.6.24,1111,903,30,0
2020.6.25,1111,903,30,0
2020.6.26,1112,932,30,1
2020.6.27,1115,932,30,3
2020.6.28,1116,932,30,1
2020.6.29,1117,932,30,1
2020.6.30,1118,974,30,1
2020.7.1,1121,974,30,3
2020.7.2,1122,988,30,1
2020.7.3,1122,997,30,0
2020.7.4,1123,1000,30,1
2020.7.5,1124,1000,30,1
2020.7.6,1127,1000,30,3
2020.7.7,1134,1008,30,7
2020.7.8,1141,1008,30,7
2020.7.9,1154,1019,30,13
2020.7.10,1165,1019,30,11
2020.7.11,1173,1019,30,8
2020.7.12,1173,1019,30,0
2020.7.13,1174,1019,31,1
2020.7.14,1174,1022,31,0
2020.7.15,1178,1022,31,4
2020.7.16,1179,1022,31,1
2020.7.17,1185,1022,31,6
2020.7.18,1189,1022,31,4
2020.7.19,1192,1022,31,3
2020.7.20,1192,1022,31,0
2020.7.21,1193,1045,31,1
2020.7.22,1197,1045,31,4
2020.7.23,1203,1045,31,6
2020.7.24,1205,1045,31,2
2020.7.25,1206,1045,31,1
2020.7.26,1219,1045,31,13
2020.7.27,1219,1045,31,0
2020.7.28,1220,1052,31,1
2020.7.29,1224,1052,31,4
2020.7.30,1228,1052,31,4
2020.7.31,1231,1052,32,3
2020.8.1,1238,1052,32,7
2020.8.2,1243,1052,32,5
2020.8.3,1246,1052,32,3
2020.8.4,1249,1070,32,3
2020.8.5,1257,1070,32,8
2020.8.6,1275,1070,32,18
2020.8.7,1281,1070,32,6
2020.8.8,1288,1070,32,7
2020.8.9,1290,1070,32,2
2020.8.10,1290,1070,32,0
2020.8.11,1293,1078,32,3
2020.8.12,1303,1078,32,10
2020.8.13,1307,1078,32,4
2020.8.14,1308,1078,32,1
2020.8.15,1315,1078,32,7
2020.8.16,1322,1078,32,7
2020.8.17,1323,1078,32,1
2020.8.18,1323,1093,33,0
2020.8.19,1326,1093,33,3
2020.8.20,1327,1093,33,1
2020.8.21,1330,1093,33,3
2020.8.22,1333,1093,33,3
2020.8.23,1337,1093,33,4
2020.8.24,1337,1093,33,0
2020.8.25,1342,1135,33,5
2020.8.26,1360,1135,33,18
2020.8.27,1366,1163,34,6
2020.8.28,1375,1163,34,9
2020.8.29,1381,1163,34,6
2020.8.30,1393,1163,34,12
