date,累计确诊,治愈,死亡,新增确诊
2020.2.27,1,0,0,1
2020.2.28,4,0,0,3
2020.2.29,7,0,0,3
2020.3.1,17,0,0,10
2020.3.2,19,0,0,2
2020.3.3,32,0,0,13
2020.3.4,34,0,0,2
2020.3.5,72,0,0,38
2020.3.6,90,0,0,18
2020.3.7,136,0,0,46
2020.3.8,157,0,0,21
2020.3.9,176,0,0,19
2020.3.10,227,0,0,51
2020.3.11,400,1,0,173
2020.3.12,703,1,0,303
2020.3.14,1108,1,1,112
2020.3.15,1256,1,3,148
2020.3.16,1331,1,3,75
2020.3.17,1423,1,3,116
2020.3.18,1562,1,6,110
2020.3.19,1758,1,7,196
2020.3.20,1939,1,7,181
2020.3.21,2150,1,7,211
2020.3.22,2262,6,7,112
2020.3.23,2573,6,10,311
2020.3.24,2796,6,12,223
2020.3.25,3041,6,14,245
2020.3.26,3315,6,14,274
2020.3.27,3721,6,19,406
2020.3.28,3981,7,22,260
2020.3.29,4245,7,26,264
2020.3.30,4451,12,32,206
2020.3.31,4635,13,39,190
2020.4.1,4863,13,44,222
2020.4.2,5142,36,50,265
2020.4.3,5370,32,59,223
2020.4.4,5550,32,62,180
2020.4.5,5687,32,71,137
2020.4.6,5762,32,76,76
2020.4.7,5953,32,89,88
2020.4.8,6086,32,101,110
2020.4.9,6162,32,108,144
2020.4.10,6314,32,113,110
2020.4.11,6408,32,117,141
2020.4.12,6485,32,126,77
2020.4.13,6565,32,134,40
2020.4.14,6686,32,142,63
2020.4.15,6740,32,150,117
2020.4.16,6848,32,152,51
2020.4.17,6992,32,162,55
2020.4.18,7069,32,164,33
2020.4.19,7103,32,165,25
2020.4.20,7127,32,181,49
2020.4.21,7241,32,182,50
2020.4.22,7361,32,191,23
2020.4.23,7401,32,194,40
2020.4.24,7444,32,199,43
2020.4.25,7499,32,201,6
2020.4.26,7511,32,201,18
2020.4.27,7554,32,205,43
2020.4.28,7619,32,206,65
2020.4.30,7738,32,210,58
2020.5.1,7770,32,210,32
2020.5.2,7801,32,210,31
2020.5.3,7847,32,211,38
2020.5.5,7955,32,215,51
2020.5.6,7976,32,216,21
2020.5.7,8015,32,217,19
2020.5.12,8152,32,228,20
2020.5.15,8219,32,232,10
2020.5.16,8237,32,232,18
2020.5.17,8249,32,232,12
2020.5.18,8257,32,233,8
2020.5.19,8264,32,233,7
2020.5.20,8267,32,234,3
2020.5.21,8301,32,235,34
2020.5.22,8322,7727,235,21
2020.5.23,8340,7727,235,18
2020.5.24,8349,7727,235,9
2020.5.25,8360,7727,235,11
2020.5.26,8374,7727,235,14
2020.5.27,8391,7727,235,17
2020.5.28,8406,7727,236,15
2020.5.29,8422,7727,236,16
2020.5.30,8435,7727,236,13
2020.5.31,8440,7727,236,5
2020.6.1,8442,7727,236,2
2020.6.2,8452,7727,237,10
2020.6.3,8467,7727,237,15
2020.6.4,8488,8138,238,21
2020.6.5,8510,8138,238,22
2020.6.6,8531,8138,238,21
2020.6.7,8547,8138,238,16
2020.6.8,8561,8138,239,14
2020.6.9,8567,8138,239,6
2020.6.10,8588,8138,239,21
2020.6.11,8600,8138,242,12
2020.6.12,8613,8138,242,13
2020.6.13,8625,8138,242,12
2020.6.14,8629,8138,242,4
2020.6.15,8639,8138,242,10
2020.6.16,8655,8138,242,16
2020.6.17,8680,8138,243,25
2020.6.18,8707,8138,244,27
2020.6.19,8721,8138,244,14
2020.6.20,8733,8138,244,12
2020.6.21,8743,8138,244,10
2020.6.22,8745,8138,248,2
2020.6.23,8772,8138,248,27
2020.6.24,8777,8138,248,5
2020.6.25,8788,8138,249,11
2020.6.26,8828,8138,249,40
2020.6.27,8845,8138,249,17
2020.6.28,8846,8138,249,1
2020.6.29,8862,8138,249,16
2020.6.30,8866,8138,249,4
2020.7.1,8887,8138,250,21
2020.7.2,8902,8138,251,15
2020.7.3,8902,8138,251,0
2020.7.4,8921,8138,251,19
2020.7.5,8930,8138,251,9
2020.7.6,8930,8138,251,0
2020.7.7,8941,8138,251,11
2020.7.8,8950,8138,251,9
2020.7.9,8954,8138,251,4
2020.7.10,8968,8138,252,14
2020.7.11,8976,8138,252,8
2020.7.12,8979,8138,252,3
2020.7.13,8981,8138,253,2
2020.7.14,8988,8138,253,7
2020.7.15,9006,8138,253,18
2020.7.16,9011,8138,254,5
2020.7.17,9018,8138,255,7
2020.7.18,9028,8138,255,10
2020.7.19,9028,8138,255,0
