date,累计确诊,治愈,死亡,新增确诊
2020.3.2,4,0,0,125
2020.3.22,1120,6,1,200
2020.3.28,2622,11,11,171
2020.3.30,2976,25,23,277
2020.4.8,5221,233,99,246
2020.4.9,5467,301,112,207
2020.4.10,5674,346,119,157
2020.4.11,5831,411,129,121
2020.4.12,5952,464,138,31
2020.4.13,6022,519,143,52
2020.4.14,6111,642,161,105
2020.4.15,6216,819,166,58
2020.4.16,6359,972,169,66
2020.4.17,6499,1174,173,107
2020.4.18,6606,1227,181,95
2020.4.19,6701,1298,186,137
2020.4.20,6838,1559,194,61
2020.4.21,6961,1753,201,126
2020.4.22,7087,1989,208,51
2020.4.23,7138,2152,210,49
2020.4.24,7236,2371,214,97
2020.4.25,7333,2453,218,54
2020.4.26,7387,2545,220,98
2020.4.27,7431,2826,222,55
2020.4.28,7486,2942,225,77
2020.4.29,7563,3096,227,79
2020.4.30,7642,3281,235,84
2020.5.1,7726,3359,240,24
2020.5.2,7750,3446,245,26
2020.5.3,7781,3587,248,18
2020.5.4,7799,3786,251,59
2020.5.5,7878,3999,254,37
2020.5.6,7933,4202,262,28
2020.5.7,8002,4369,269,34
2020.5.8,8065,4408,271,12
2020.5.9,8089,4446,276,11
2020.5.10,8106,4466,279,34
2020.5.11,8157,4695,281,22
2020.5.12,8198,4738,283,42
2020.5.13,8240,5043,288,61
2020.5.14,8330,5227,292,23
2020.5.15,8374,5379,295,30
2020.5.16,8436,5422,296,5
2020.5.17,8460,5435,298,67
2020.5.18,8527,5633,297,77
2020.5.19,8604,5687,301,79
2020.5.20,8683,5731,303,38
2020.5.21,8721,5830,304,36
2020.5.22,8757,5932,306,63
2020.5.23,8820,6026,312,112
2020.5.24,8932,6063,315,25
2020.5.25,8957,6083,315,77
2020.5.26,9034,6263,317,18
2020.5.27,9052,6279,317,51
2020.5.28,9103,6377,317,77
2020.5.29,9180,6498,319,20
2020.5.30,9200,6502,319,57
2020.5.31,9257,6551,320,29
2020.6.1,9286,6642,321,48
2020.6.2,9334,6681,323,40
2020.6.3,9374,6693,323,104
2020.6.4,9478,6808,325,16
2020.6.5,9494,6809,326,36
2020.6.6,9530,6881,327,79
2020.6.7,9609,6890,327,61
2020.6.8,9670,6979,328,29
2020.6.9,9699,7009,328,88
2020.6.10,9787,7111,330,39
2020.6.11,9826,7124,328,61
2020.6.12,9887,7170,329,73
2020.6.13,9960,7219,329,39
2020.6.14,9999,7219,329,45
2020.6.15,10044,7295,330,51
2020.6.16,10095,7358,331,59
2020.6.17,10154,7399,333,22
2020.6.18,10176,7401,333,185
2020.6.19,10361,7472,335,68
2020.6.20,10429,7477,336,34
2020.6.21,10463,7498,337,35
2020.6.22,10498,7505,336,121
2020.6.23,10619,7555,339,32
2020.6.24,10651,7559,340,179
2020.6.25,10830,7649,345,93
2020.6.26,10923,7664,346,241
2020.6.27,11164,7681,349,259
2020.6.28,11423,7702,347,301
2020.6.29,11724,7737,348,171
2020.6.30,11895,7770,349,111
2020.7.1,12006,7797,349,110
2020.7.2,12116,7821,353,62
2020.7.3,12178,7822,353,194
2020.7.4,12372,7851,353,68
2020.7.5,12440,7852,351,75
2020.7.6,12515,7864,348,124
2020.7.7,12639,7873,351,136
2020.7.8,12775,8005,351,84
2020.7.9,12859,8123,352,142
2020.7.10,13001,8208,352,88
2020.7.11,13089,8212,352,59
2020.7.12,13148,8229,352,56
2020.7.13,13204,8353,353,34
2020.7.14,13238,8373,353,183
2020.7.15,13421,8505,355,130
2020.7.16,13551,8507,355,131
2020.7.17,13682,8725,358,113
2020.7.18,13795,8725,358,107
2020.7.19,13902,8761,359,43
2020.7.20,13945,8761,359,215
2020.7.21,14160,8899,360,288
2020.7.22,14448,9075,364,122
2020.7.23,14570,9144,364,354
2020.7.24,14924,9402,368,206
2020.7.25,15130,9590,369,143
2020.7.26,15273,11423,371,51
2020.7.27,15324,11428,371,360
2020.7.28,15684,11428,374,302
2020.7.29,15986,11428,374,107
2020.7.30,16093,11429,378,381
2020.7.31,16474,11559,382,166
2020.8.1,16640,11584,382,59
2020.8.2,16699,11587,383,101
2020.8.3,16800,11605,384,314
2020.8.4,17114,11808,386,273
2020.8.5,17387,11900,388,261
2020.8.6,17648,12196,389,83
2020.8.7,17731,12320,390,329
2020.8.8,18060,12749,389,243
2020.8.9,18303,12776,390,151
2020.8.10,18454,12983,390,224
2020.8.11,18678,13214,391,148
2020.8.12,18826,13222,391,249
2020.8.13,19075,13407,391,326
2020.8.14,19401,13574,391,292
2020.8.15,19693,13731,394,198
2020.8.16,19891,13763,395,121
2020.8.17,20012,13799,397,190
2020.8.18,20202,14622,399,281
2020.8.19,20483,15146,401,315
2020.8.20,20798,15615,404,247
2020.8.21,21045,15886,406,506
2020.8.22,21551,16040,411,239
2020.8.23,21790,16087,411,133
2020.8.24,21923,16125,412,258
2020.8.25,22181,16376,415,609
2020.8.26,22790,16939,418,161
2020.8.27,22951,16954,418,349
2020.8.28,23300,17190,418,477
2020.8.29,23777,17497,419,317
2020.8.30,24094,17541,421,273
2020.8.31,24367,17547,423,251
2020.9.1,24618,17807,424,499
2020.9.2,25117,18116,425,1010
2020.9.3,26127,18663,426,325
2020.9.4,26452,18663,426,1108
2020.9.5,27560,19033,431,192
2020.9.6,27752,19039,431,404
2020.9.7,28156,19053,436,560
2020.9.8,28716,19855,437,1161
2020.9.9,29877,20164,441,1159
2020.9.10,31036,20374,444,1377
2020.9.11,32413,20787,448,1447
2020.9.12,33860,21140,450,1541
2020.9.13,35401,21209,453,787
2020.9.14,36188,21294,456,1034
2020.9.15,37222,22020,465,1674
2020.9.16,38896,22613,476,2136
2020.9.17,41032,22931,482,3123
2020.9.18,44155,23377,489,2107
2020.9.19,46262,23858,495,2044
2020.9.20,48306,24228,499,984
2020.9.21,49290,24755,503,1474
2020.9.22,50764,25425,522,2394
2020.9.23,53158,26151,531,2306
2020.9.24,55464,26709,555,2910
2020.9.25,58374,27382,567,2944
2020.9.26,61318,30740,581,1976
2020.9.27,63294,30936,591,2019
2020.9.28,65313,31268,615,570
2020.9.29,65883,31799,618,1960
2020.9.30,67843,32759,636,2991
2020.10.1,70834,33557,658,3421
2020.10.2,74255,34186,678,3796
2020.10.3,78051,35032,699,2554
2020.10.4,80605,39073,711,1841
2020.10.5,82446,44149,727,3120
2020.10.6,85566,46636,758,4456
2020.10.7,90022,48788,794,5338
2020.10.8,95360,50767,829,5397
2020.10.9,100757,51160,869,11221
2020.10.10,111978,53202,934,2569
2020.10.11,114547,54980,982,2563
2020.10.12,117110,56203,987,4311
2020.10.13,121421,58200,1051,14004
2020.10.14,135425,60804,1158,3865
2020.10.15,139290,60901,1172,9720
2020.10.16,149010,63350,1230,11102
2020.10.17,160112,66093,1283,11375
2020.10.18,171487,69090,1402,6487
2020.10.19,177974,72553,1501,10799
2020.10.20,188773,75645,1600,14014
2020.10.21,202787,83097,1719,6128
2020.10.22,208915,83136,1739,22231
2020.10.23,231146,91589,1941,7177
2020.10.24,238323,91651,1971,12474
2020.10.25,250797,94902,2077,7300
2020.10.26,258097,97381,2201,10273
2020.10.27,268370,103220,2365,15663
2020.10.28,284033,111443,2547,12980
2020.10.29,297013,119373,2675,13055
2020.10.30,310068,128628,2862,13605
2020.10.31,323673,137575,3078,11429
2020.11.1,335102,143359,3251,6542
2020.11.2,341644,157418,3429,9252
2020.11.3,350896,170608,3654,12089
2020.11.4,362985,185180,3913,15731
2020.11.5,378716,199763,4133,13229
2020.11.6,391945,214272,4330,11552
2020.11.7,403497,229604,4526,7723
2020.11.8,411220,237757,4681,3608
2020.11.9,414828,243129,4858,6047
2020.11.10,420875,260542,5074,9005
2020.11.11,429880,277473,5323,8925
2020.11.12,438805,285241,5570,7870
2020.11.13,446675,300719,5755,7355
2020.11.14,454030,316352,5926,4199
2020.11.15,458229,322383,6058,1887
2020.11.16,460116,327306,6208,5407
2020.11.17,465523,341249,6416,4246
2020.11.18,469769,353794,6558,5515
2020.11.19,475284,367574,6740,6471
2020.11.20,481755,379380,6874,5808
2020.11.21,487563,389873,7021,3187
2020.11.22,490750,394830,7095,1513
2020.11.23,492263,398101,7196,4375
2020.11.24,496638,405982,7360,5896
2020.11.25,502534,416832,7499,5015
2020.11.26,507549,417657,7633,2116
2020.11.27,509665,425542,7751,8984
2020.11.28,518649,442327,8054,1074
2020.11.29,519723,44406,8138,1074
2020.11.30,523298,451607,8295,0
2020.12.1,523298,451607,8295,5176
2020.12.2,528474,455177,8407,4568
2020.12.3,533042,461599,8515,4621
2020.12.4,537663,468302,8641,4743
2020.12.5,542406,473994,8738,3318
2020.12.6,545724,476685,8838,1109
2020.12.7,546833,478094,8902,4237
