date,累计确诊,治愈,死亡,新增确诊
2020.4.7,1174,40,24,118
2020.4.8,1174,40,27,118
2020.4.9,1289,50,29,115
2020.4.11,1560,75,30,122
2020.4.12,1662,94,32,0
2020.4.13,1847,134,36,135
2020.4.15,2049,171,46,115
2020.4.16,2154,276,55,110
2020.4.17,2264,276,56,121
2020.4.19,2472,457,67,66
2020.4.20,2614,505,72,164
2020.4.21,2778,560,75,148
2020.4.22,2926,661,79,184
2020.4.24,3110,755,84,104
2020.4.25,3408,895,94,73
2020.4.26,3481,925,101,157
2020.4.27,3638,925,103,133
2020.4.28,3771,1114,107,126
2020.4.29,3897,1182,116,126
2020.4.30,3897,1272,122,83
2020.5.1,3980,1272,122,69
2020.5.3,4121,1382,125,69
2020.5.4,4248,1544,133,115
2020.5.5,4363,1544,136,113
2020.5.6,4476,1658,143,129
2020.5.7,4605,1747,145,60
2020.5.10,4927,1958,169,159
2020.5.12,5154,1980,182,147
2020.5.14,5553,2228,194,192
2020.5.15,5745,2228,202,189
2020.5.16,5934,2344,207,126
2020.5.17,6060,2344,211,78
2020.5.18,6138,2425,217,202
2020.5.19,6340,2508,221,213
2020.5.20,6553,2953,228,0
2020.5.21,6553,2953,228,151
2020.5.22,6704,2953,233,290
2020.5.23,6994,3452,242,99
2020.5.24,7093,3713,250,54
2020.5.25,7147,3802,261,158
2020.5.26,7305,3884,267,232
2020.5.27,7537,3884,274,188
2020.5.28,7725,4123,282,171
2020.5.29,7896,4278,288,202
2020.5.30,8098,4455,291,153
2020.5.31,8251,4581,295,109
2020.6.1,8360,4622,305,188
2020.6.2,8548,4738,307,247
2020.6.3,8795,4863,310,223
2020.6.4,9018,5009,315,229
2020.6.5,9247,5240,323,264
2020.6.6,9511,5450,331,189
2020.6.7,9700,5638,341,0
2020.6.8,9700,5738,346,325
2020.6.9,10025,5797,365,296
2020.6.10,10321,5930,371,406
2020.6.11,10727,6072,375,366
2020.6.12,11093,6229,385,366
2020.6.13,11459,6421,398,281
2020.6.14,11740,6623,406,139
2020.6.15,11879,6794,411,375
2020.6.16,12254,6901,423,478
2020.6.17,12732,7077,433,374
2020.6.18,13106,7252,444,0
2020.6.19,13106,7525,449,847
2020.6.20,13953,7745,464,247
2020.6.21,14200,7896,473,163
2020.6.22,14363,8019,480,351
2020.6.23,14714,8212,490,0
2020.6.24,14714,8400,492,739
2020.6.25,15453,8599,502,323
2020.6.26,15776,8765,515,304
2020.6.27,16080,8963,521,170
2020.6.28,16250,9081,530,107
2020.6.29,16357,9229,536,256
2020.6.30,16613,9382,545,285
2020.7.1,16898,9594,549,252
2020.7.2,17150,9846,560,0
2020.7.3,17150,10093,563,522
2020.7.4,17672,10396,580,142
2020.7.5,17814,10718,585,0
2020.7.6,17814,11047,588,92
2020.7.7,17906,11241,603,565
2020.7.8,18471,11549,614,0
2020.7.9,18471,11549,615,453
2020.7.10,18924,12188,635,284
2020.7.11,19208,12456,640,174
2020.7.12,19382,12667,642,57
2020.7.13,19439,12793,649,0
2020.7.14,19439,13033,652,601
2020.7.15,20040,13298,659,224
2020.7.16,20264,13640,666,230
2020.7.17,20494,13913,675,0
2020.7.18,20494,13913,675,486
2020.7.19,20980,14376,684,0
2020.7.20,20980,14376,684,462
2020.7.21,21442,14599,707,356
2020.7.22,21798,14856,712,307
2020.7.23,22105,15174,719,378
2020.7.24,22483,15407,726,345
2020.7.25,22828,15608,732,206
2020.7.26,23034,15909,735,120
