date,累计确诊,治愈,死亡,新增确诊
2020.3.2,1,0,0,64
2020.4.7,1242,97,91,33
2020.4.8,1275,97,93,28
2020.4.9,1374,109,97,17
2020.4.10,1448,122,107,18
2020.4.11,1545,146,111,44
2020.4.12,1661,177,118,102
2020.4.13,1763,203,126,125
2020.4.14,1888,217,126,136
2020.4.15,2024,229,127,259
2020.4.16,2283,249,130,281
2020.4.17,2564,281,135,15
2020.4.18,2685,314,137,170
2020.4.19,2855,327,141,56
2020.4.20,3046,350,143,163
2020.4.21,3209,393,145,69
2020.4.22,3446,417,149,31
2020.4.23,3568,456,155,66
2020.4.24,3758,486,158,8
2020.4.25,3897,537,159,168
2020.4.26,4065,593,161,55
2020.4.27,4120,695,162,6
2020.4.28,4252,778,165,32
2020.4.29,4321,928,168,64
2020.4.30,4423,984,170,40
2020.5.1,4569,1083,171,160
2020.5.2,4729,1256,173,174
2020.5.3,5000,1565,177,150
2020.5.4,5053,1653,179,166
2020.5.5,5219,1838,181,189
2020.5.6,5408,2017,183,140
2020.5.7,5548,2179,183,163
2020.5.8,5711,2324,186,128
2020.5.9,6038,2545,188,153
2020.5.10,6226,2759,188,218
2020.5.11,6380,2930,188,137
2020.5.12,6418,2930,188,94
2020.5.13,6512,3131,188,95
2020.5.14,6607,3310,190,95
2020.5.15,6652,3400,190,89
2020.5.16,6741,3487,192,129
2020.5.17,6870,3660,192,60
2020.5.18,6930,3732,192,42
2020.5.19,6972,3890,193,76
2020.5.20,7048,4037,194,137
2020.5.21,7185,4212,196,115
2020.5.22,7300,4347,197,75
2020.5.23,7375,4573,197,54
2020.5.24,7429,4686,198,66
2020.5.25,7495,4737,200,61
2020.5.26,7556,4841,202,28
2020.5.27,7584,4969,202,52
2020.5.28,7636,5109,202,61
2020.5.29,7697,5223,202,43
2020.5.30,7740,5377,203,43
2020.5.31,7783,5412,204,36
2020.6.1,7819,5754,205,40
2020.6.2,7859,6291,205,51
2020.6.3,7910,6643,206,57
2020.6.4,7967,7160,207,63
2020.6.5,8030,7215,208,102
2020.6.6,8132,7278,208,45
2020.6.7,8177,7328,208,73
2020.6.8,8250,7370,208,158
2020.6.9,8408,7423,208,47
2020.6.10,8455,7496,210,78
2020.6.11,8533,7570,211,48
2020.6.12,8581,7600,212,102
2020.6.13,8683,7664,212,51
2020.6.14,8734,7725,212,104
2020.6.15,8838,7779,212,83
2020.6.16,8921,7880,212,64
2020.6.17,8985,7960,212,57
2020.6.18,9042,7999,213,238
2020.6.19,9280,8081,213,521
2020.6.20,9801,8133,213,156
2020.6.21,9957,8249,213,122
2020.6.22,10079,8319,214,185
2020.6.23,10264,8384,214,429
2020.6.24,10693,8426,214,586
2020.6.25,11279,8488,216,186
2020.6.26,11465,8560,217,389
2020.6.27,11854,8700,218,132
2020.6.28,11986,8730,220,262
2020.6.29,12248,8790,224,137
2020.6.30,12385,8839,225,211
2020.7.1,12596,8978,228,258
2020.7.2,12854,9052,228,361
2020.7.3,13215,9158,230,219
2020.7.4,13434,9214,232,698
2020.7.5,14132,9410,234,197
2020.7.6,14329,9837,235,236
2020.7.7,14565,10281,239,165
2020.7.8,14730,10848,240,219
2020.7.9,14949,11372,242,245
2020.7.10,15194,11705,243,270
2020.7.11,15464,11895,244,171
2020.7.12,15635,12212,247,186
2020.7.13,15821,12676,253,226
2020.7.14,16047,13403,256,134
2020.7.15,16181,13666,258,243
2020.7.16,16424,13896,260,214
2020.7.17,16638,14175,263,88
2020.7.18,16726,14360,264,289
2020.7.19,17015,14620,269,221
2020.7.20,17236,14921,273,326
2020.7.21,17562,15132,276,180
2020.7.22,17742,15389,280,220
2020.7.23,17962,15636,285,302
2020.7.24,18264,15872,292,570
2020.7.25,18834,16100,299,811
2020.7.26,19645,16282,305,633
2020.7.27,20278,16438,313,609
2020.7.28,20887,16553,316,500
2020.7.29,21387,17066,327,826
2020.7.30,22213,17125,334,1046
2020.7.31,23259,17311,346,1063
2020.8.1,24322,17658,353,693
2020.8.2,25015,17960,367,522
2020.8.3,25537,18435,382,659
2020.8.4,26196,18968,401,1021
2020.8.5,27217,19629,417,1283
2020.8.6,28500,19994,435,1144
2020.8.7,29644,20553,449,1018
2020.8.8,30662,21548,461,1345
2020.8.9,32007,22190,480,1230
2020.8.10,33237,23347,498,826
2020.8.11,34063,24524,516,1132
2020.8.12,35195,25385,533,1499
2020.8.13,36694,25677,556,1241
2020.8.14,37935,26687,584,1306
2020.8.15,39241,27644,611,1776
2020.8.16,41017,28566,632,1472
2020.8.17,42489,29344,658,1069
2020.8.18,43558,29941,681,1245
2020.8.19,44803,31002,714,1510
2020.8.20,46313,31576,743,1325
2020.8.21,47638,32806,775,1609
2020.8.22,49247,34199,817,1565
2020.8.23,50812,35040,858,1537
2020.8.24,52349,36343,888,903
2020.8.25,53252,37478,920,1276
2020.8.26,54528,38293,955,1336
2020.8.27,55864,40586,984,1221
2020.8.28,57085,41901,1011,1404
2020.8.29,58489,43049,1052,1567
2020.8.30,60056,44618,1078,1343
2020.8.31,61399,46355,1111,1191
2020.9.1,62590,47595,1141,1191
2020.9.2,63781,48922,1184,1672
2020.9.3,65453,50357,1216,1402
2020.9.4,66855,51223,1253,1750
2020.9.5,68605,52483,1292,1555
2020.9.6,70160,53929,1329,2234
2020.9.7,72394,55274,1361,1386
2020.9.8,73780,56096,1394,1941
2020.9.9,75721,57239,1427,2157
2020.9.10,77878,59723,1453,1889
2020.9.11,79767,61850,1491,2430
2020.9.12,82197,64194,1524,2238
2020.9.13,84435,65867,1553,2251
2020.9.14,86686,67528,1578,1517
2020.9.15,88203,68970,1614,2121
2020.9.16,90324,71047,1648,1692
2020.9.17,92016,72968,1686,2488
2020.9.18,94504,74930,1714,2760
2020.9.19,97264,76690,1755,2552
2020.9.20,99816,79008,1795,1927
2020.9.21,101743,80732,1830,1376
2020.9.22,103119,84158,1855,2227
2020.9.23,105346,85883,1889,2397
2020.9.24,107743,88244,1918,2356
2020.9.25,110099,90186,1956,2423
2020.9.26,112522,91932,1998,2719
2020.9.27,115241,94150,2041,2444
2020.9.28,117685,95591,2069,1422
2020.9.29,119107,97468,2113,2076
2020.9.30,121183,100253,2152,2470
2020.10.1,123653,102715,2194,2391
2020.10.2,126044,104136,2229,2521
2020.10.3,128565,106044,2263,2663
2020.10.4,131228,108687,2293,2044
2020.10.5,133272,111036,2330,1423
2020.10.6,134695,113336,2369,2553
2020.10.7,137248,115354,2410,2776
2020.10.8,140024,118142,2439,2929
2020.10.9,142953,120275,2486,3445
2020.10.10,146398,123022,2530,3443
2020.10.11,149841,124854,2572,2563
2020.10.12,152404,127407,2605,1357
2020.10.13,153761,129498,2636,3185
2020.10.14,156946,131462,2685,3387
2020.10.15,160333,133959,2726,3317
2020.10.16,163650,136036,2772,3498
2020.10.17,167148,138989,2818,3763
2020.10.18,170911,141381,2878,2721
2020.10.19,173632,143972,2928,2117
2020.10.20,175749,146421,2976,3254
2020.10.21,179003,148838,3027,3577
2020.10.22,182580,151634,3079,4151
2020.10.23,186731,154481,3132,3685
2020.10.24,190416,157175,3205,4045
2020.10.25,194461,160372,3255,3020
2020.10.26,197481,163195,3301,2264
2020.10.27,199745,165922,3373,3988
2020.10.28,203733,168706,3445,3985
2020.10.29,207718,171591,3506,4320
2020.10.30,212038,174911,3572,3256
2020.10.31,215294,177925,3625,3790
2020.11.1,219084,181275,3695,3460
2020.11.2,222544,184313,3762,2526
2020.11.3,225070,187101,3826,4495
2020.11.4,229565,189909,3900,5745
2020.11.5,235310,193886,3982,5641
2020.11.6,240951,197215,4059,5398
2020.11.7,246349,200954,4127,5836
2020.11.8,252185,205556,4197,4596
2020.11.9,256781,209801,4272,3170
2020.11.10,259951,212905,4356,5214
2020.11.11,265165,216851,4425,5461
2020.11.12,270626,221743,4506,6195
2020.11.13,276821,226040,4570,5515
2020.11.14,282336,229160,4631,5875
2020.11.15,288211,234904,4697,4966
2020.11.16,293177,238598,4779,3012
2020.11.17,296189,243359,4850,5415
2020.11.18,301604,247594,4932,5391
2020.11.19,306995,253351,5013,4559
2020.11.20,311554,257992,5090,4706
2020.11.21,316260,262212,5182,4702
2020.11.22,320962,266711,5256,3979
2020.11.23,324941,270457,5316,2587
2020.11.24,327528,275158,5396,3999
2020.11.25,331527,279276,5469,4979
2020.11.26,336506,284496,5539,8770
2020.11.27,345276,294036,5689,4412
2020.11.28,349688,298574,5739,4115
2020.11.29,353803,302314,5789,6648
2020.11.30,356336,305291,5846,0
2020.12.1,356336,305291,5846,3508
2020.12.2,359844,310193,5915,4346
2020.12.3,364190,314237,5985,4434
2020.12.4,368624,318987,6063,3996
2020.12.5,372620,323814,6136,4118
2020.12.6,376738,327693,6184,2919
2020.12.7,379657,331301,6245,1531
2020.12.8,381188,334269,6320,2900
2020.12.9,384088,337719,6370,4096
2020.12.10,388184,341685,6427,3345
2020.12.11,391529,345934,6492,3035
2020.12.12,394564,349821,6542,3033
2020.12.13,397597,353098,6589,2012
2020.12.14,399609,356023,6624,1217
2020.12.15,400826,359065,6659,2793
2020.12.16,403619,362911,6711,3351
2020.12.17,406970,366835,6749,2776
2020.12.18,409746,369998,6804,2647
2020.12.19,412393,372725,6854,2833
2020.12.20,415226,375623,6909,1899
2020.12.21,417125,378154,6957,877
2020.12.22,418002,380134,7000,2646
2020.12.23,420648,382925,7030,2566
2020.12.24,423214,385895,7086,2650
2020.12.25,425864,388728,7130,2329
2020.12.26,428193,391920,7170,3886
2020.12.27,432079,398060,7240,950
2020.12.28,433029,399575,7272,0
2020.12.29,433029,399575,7272,2160
2020.12.30,435189,401429,7314,2143
2020.12.31,437332,405251,7355,1861
2021.1.1,439193,407504,7388,1777
2021.1.2,440970,409638,7425,1171
2021.1.3,442141,412168,7452,1005
2021.1.4,443146,413393,7485,656
2021.1.5,443802,414972,7538,1637
2021.1.6,445439,416708,7581,1642
2021.1.7,447081,418744,7618,1597
2021.1.8,448678,420569,7645,1543
2021.1.9,450221,422072,7685,1416
2021.1.10,451637,423541,7709,895
2021.1.11,452532,424896,7743,456
2021.1.12,452988,426006,7767,801
2021.1.13,453789,427351,7784,1266
2021.1.14,455055,429278,7810,1279
2021.1.15,456334,431167,7854,1291
2021.1.16,457625,432576,7888,1240
2021.1.17,458865,433937,7911,806
2021.1.18,459671,434925,7942,473
2021.1.19,460144,435686,7977,1246
2021.1.20,461390,436626,8011,1152
2021.1.21,462542,437955,8043,1164
2021.1.22,463706,439301,8076,1138
2021.1.23,464844,440652,8105,925
2021.1.24,465769,441693,8128,520
2021.1.25,466289,442441,8150,337
2021.1.26,466626,443472,8172,867
2021.1.27,467493,444823,8187,890
2021.1.28,468383,446181,8207,756
2021.1.29,469139,447076,8224,851
2021.1.30,469990,447866,8246,701
2021.1.31,470691,448628,8259,466
2021.2.1,471157,449160,8275,281
2021.2.2,471438,450052,8287,835
2021.2.3,472273,450847,8309,774
2021.2.4,473047,451780,8323,620
2021.2.5,473667,452522,8351,712
2021.2.6,474379,453302,8368,587
2021.2.7,474966,453921,8381,389
2021.2.8,475355,454504,8394,234
2021.2.9,475589,454997,8408,536
2021.2.10,476125,456032,8424,564
2021.2.11,476689,456751,8436,471
2021.2.12,477160,457325,8440,496
2021.2.13,477656,457956,8450,479
2021.2.14,478135,458504,8460,339
2021.2.15,478474,458852,8477,121
2021.2.16,478595,459549,8491,476
2021.2.17,479071,460628,8504,508
2021.2.18,479579,461466,8517,477
2021.2.19,480056,462436,8524,448
2021.2.20,480504,463271,8540,444
2021.2.21,480948,464043,8548,207
2021.2.22,481155,464664,8554,108
2021.2.23,481263,465297,8559,446
2021.2.24,481709,466105,8574,419
2021.2.25,482128,466815,8592,386
2021.2.26,482514,467541,8598,480
2021.2.27,482994,468387,8608,416
2021.2.28,483410,468807,8615,244
2021.3.1,483654,469046,8623,112
2021.3.2,483766,469345,8637,393
2021.3.3,484159,469868,8645,594
2021.3.4,484753,470425,8653,394
2021.3.5,485147,470933,8669,420
2021.3.6,485567,471410,8673,407
2021.3.7,485974,471919,8676,249
2021.3.8,486223,472240,8682,102
2021.3.9,486325,472544,8683,508
2021.3.10,486833,473208,8695,453
2021.3.11,487286,473738,8705,464
2021.3.12,487750,474257,8712,431
2021.3.13,488181,474938,8716,451
2021.3.14,488632,475457,8718,305
2021.3.15,488937,475849,8723,159
2021.3.16,489096,476126,8733,526
2021.3.17,489622,476727,8737,466
2021.3.18,490088,477305,8745,487
2021.3.19,490575,477879,8748,444
2021.3.20,491019,478386,8755,444
2021.3.21,491463,478870,8763,246
2021.3.22,491709,479252,8767,125
2021.3.23,491834,479557,8769,569
2021.3.24,492403,480100,8775,439
2021.3.25,492842,480607,8786,511
2021.3.26,493353,481074,8788,514
2021.3.27,493867,481597,8793,491
2021.3.28,494358,482084,8798,301
2021.3.29,494659,482352,8798,97
2021.3.30,494756,482585,8807,665
2021.3.31,495421,483165,8813,676
2021.4.1,496097,483363,8818,579
2021.4.2,496676,483711,8825,581
2021.4.3,497257,484224,8835,575
2021.4.4,497832,484793,8842,365
2021.4.5,498197,484921,8850,132
2021.4.6,498329,485162,8857,696
2021.4.7,499025,485708,8865,663
2021.4.8,499688,486349,8867,635
2021.4.9,500323,486913,8873,625
2021.4.10,500948,487414,8885,740
2021.4.11,501688,488015,8891,414
2021.4.12,502102,488361,8900,175
2021.4.13,502277,488632,8909,684
2021.4.14,502961,489288,8915,703
2021.4.15,503664,489928,8920,596
2021.4.16,504260,490366,8927,587
2021.4.17,504847,490921,8934,600
2021.4.18,505447,491537,8944,364
2021.4.19,505811,491810,8945,138
2021.4.20,505949,492100,8952,0
