date,累计确诊,治愈,死亡,新增确诊
2020.4.8,81,4,1,2
2020.4.9,84,5,1,3
2020.4.10,90,5,1,6
2020.4.11,92,5,1,2
2020.4.12,93,5,1,1
2020.4.15,93,12,3,0
2020.4.17,94,20,3,1
2020.4.21,94,26,3,0
2020.4.23,94,35,3,0
2020.4.24,94,41,4,0
2020.4.27,95,42,4,1
2020.4.30,95,64,4,0
2020.5.5,95,81,4,0
2020.5.16,96,87,4,0
2020.5.17,96,87,4,0
2020.5.18,96,87,4,0
2020.5.19,97,87,4,1
2020.5.20,97,87,4,0
2020.5.21,97,90,4,0
2020.5.22,97,90,4,0
2020.5.23,97,90,4,0
2020.5.24,98,90,4,1
2020.5.25,98,90,4,0
2020.5.26,98,90,4,0
2020.5.27,98,90,4,0
2020.5.28,98,90,4,0
2020.5.29,98,90,4,0
2020.5.30,98,90,4,0
2020.5.31,99,90,4,1
2020.6.1,99,90,4,0
2020.6.2,99,90,4,0
2020.6.3,99,90,4,0
2020.6.4,99,90,4,0
2020.6.5,99,92,4,0
2020.6.6,99,93,4,0
2020.6.7,99,93,4,0
2020.6.8,99,93,4,0
2020.6.9,99,93,4,0
2020.6.10,99,93,4,0
2020.6.11,99,93,4,0
2020.6.12,99,93,4,0
2020.6.13,99,93,4,0
2020.6.14,99,93,4,0
2020.6.15,99,93,4,0
2020.6.16,99,93,4,0
2020.6.17,99,94,4,0
2020.6.18,99,94,4,0
2020.6.19,99,94,4,0
2020.6.20,99,94,4,0
2020.6.21,99,94,4,0
2020.6.22,100,94,4,1
2020.6.23,101,95,4,1
2020.6.24,101,95,4,0
2020.6.25,102,95,4,1
2020.6.26,102,95,4,0
2020.6.27,102,95,4,0
2020.6.28,103,95,4,1
2020.6.29,103,95,4,0
2020.6.30,103,95,4,0
2020.7.1,103,95,4,0
2020.7.2,103,95,4,0
2020.7.3,106,95,4,3
2020.7.4,106,95,4,0
2020.7.5,106,95,4,0
2020.7.6,108,95,4,2
2020.7.7,108,95,4,0
2020.7.8,108,95,4,0
2020.7.9,108,95,4,0
2020.7.10,108,96,4,0
2020.7.11,108,96,4,0
2020.7.12,109,96,4,1
2020.7.13,109,97,4,0
2020.7.14,109,97,4,0
2020.7.15,109,97,4,0
2020.7.16,109,98,4,0
2020.7.17,109,98,4,0
2020.7.18,109,98,4,0
2020.7.19,109,98,4,0
2020.7.20,109,98,4,0
2020.7.21,109,100,4,0
2020.7.22,111,100,4,2
2020.7.23,112,100,4,1
2020.7.24,114,100,4,2
2020.7.25,116,100,4,2
2020.7.26,116,104,4,0
2020.7.27,116,104,4,0
2020.7.28,116,104,4,0
2020.7.29,117,104,4,1
2020.7.30,120,105,4,3
2020.7.31,120,105,4,0
2020.8.1,120,105,4,0
2020.8.2,120,105,4,0
2020.8.3,120,105,4,0
2020.8.4,121,105,4,1
2020.8.5,123,105,4,2
2020.8.6,125,105,4,2
2020.8.7,125,105,4,0
2020.8.8,128,105,4,3
2020.8.9,131,112,4,3
2020.8.10,133,113,4,2
2020.8.11,133,113,4,0
2020.8.12,138,113,4,5
2020.8.13,141,114,4,3
2020.8.14,144,114,4,3
2020.8.15,146,114,4,2
2020.8.16,146,114,4,0
2020.8.17,146,114,4,0
2020.8.18,148,114,4,2
2020.8.19,148,114,4,0
2020.8.20,148,114,4,0
2020.8.21,150,115,4,2
2020.8.22,154,116,4,4
2020.8.23,154,116,4,0
2020.8.24,112,83,1,0
2020.8.25,112,83,1,0
2020.8.26,121,85,1,9
2020.8.27,122,85,1,1
2020.8.28,125,86,1,3
2020.8.29,125,86,1,0
2020.8.30,130,89,1,5
2020.8.31,131,89,1,1
2020.9.1,138,89,1,7
2020.9.2,140,90,1,2
2020.9.3,142,91,1,2
2020.9.4,143,94,1,1
2020.9.5,147,97,1,4
2020.9.6,147,102,1,0
2020.9.7,147,102,1,0
2020.9.8,153,102,1,6
2020.9.9,156,107,1,3
