date,累计确诊,治愈,死亡,新增确诊
2020.4.8,135,91,1,1
2020.4.9,135,92,1,0
2020.4.12,136,106,1,0
2020.4.15,136,108,1,0
2020.4.16,136,112,1,0
2020.4.17,137,113,1,1
2020.4.18,138,115,1,1
2020.4.22,138,117,1,0
2020.4.26,138,123,1,0
2020.5.3,138,128,1,0
2020.5.5,139,131,1,1
2020.5.6,141,131,1,2
2020.5.16,141,136,1,0
2020.5.17,141,136,1,0
2020.5.18,141,136,1,0
2020.5.19,141,136,1,0
2020.5.20,141,136,1,0
2020.5.21,141,136,1,0
2020.5.22,141,136,1,0
2020.5.23,141,136,1,0
2020.5.24,141,136,1,0
2020.5.25,141,137,1,0
2020.5.26,141,137,1,0
2020.5.27,141,137,2,0
2020.5.28,141,138,2,0
2020.5.29,141,138,2,0
2020.5.30,141,138,2,0
2020.5.31,141,138,2,0
2020.6.1,141,138,2,0
2020.6.2,141,138,2,0
2020.6.3,141,138,2,0
2020.6.4,141,138,2,0
2020.6.5,141,138,2,0
2020.6.6,141,138,2,0
2020.6.7,141,138,2,0
2020.6.8,141,138,2,0
2020.6.9,141,138,2,0
2020.6.10,141,138,2,0
2020.6.11,141,138,2,0
2020.6.12,141,138,2,0
2020.6.13,141,138,2,0
2020.6.14,141,138,2,0
2020.6.15,141,138,2,0
2020.6.16,141,138,3,0
2020.6.17,141,138,3,0
2020.6.18,141,138,3,0
2020.6.19,141,138,3,0
2020.6.20,141,138,3,0
2020.6.21,141,138,3,0
2020.6.22,141,138,3,0
2020.6.23,141,138,3,0
2020.6.24,141,138,3,0
2020.6.25,141,138,3,0
2020.6.26,141,138,3,0
2020.6.27,141,138,3,0
2020.6.28,141,138,3,0
2020.6.29,141,138,3,0
2020.6.30,141,138,3,0
2020.7.1,141,138,3,0
2020.7.2,141,138,3,0
2020.7.3,141,138,3,0
2020.7.4,141,138,3,0
2020.7.5,141,138,3,0
2020.7.6,141,138,3,0
2020.7.7,141,138,3,0
2020.7.8,141,138,3,0
2020.7.9,141,138,3,0
2020.7.10,141,138,3,0
2020.7.11,141,138,3,0
2020.7.12,141,138,3,0
2020.7.13,141,138,3,0
2020.7.14,141,138,3,0
2020.7.15,141,138,3,0
2020.7.16,141,138,3,0
2020.7.17,141,138,3,0
2020.7.18,141,138,3,0
2020.7.19,141,138,3,0
2020.7.20,141,138,3,0
2020.7.21,141,138,3,0
2020.7.22,141,138,3,0
2020.7.23,141,138,3,0
2020.7.24,141,138,3,0
2020.7.25,141,138,3,0
2020.7.26,141,138,3,0
2020.7.27,141,138,3,0
2020.7.28,141,138,3,0
2020.7.29,141,138,3,0
2020.7.30,141,138,3,0
2020.7.31,141,138,3,0
2020.8.1,141,138,3,0
2020.8.2,141,138,3,0
2020.8.3,141,138,3,0
2020.8.4,141,138,3,0
2020.8.5,141,138,3,0
2020.8.6,141,138,3,0
2020.8.7,142,138,3,1
2020.8.8,142,138,3,0
2020.8.9,142,138,3,0
2020.8.10,142,138,3,0
2020.8.11,142,138,3,0
2020.8.12,142,138,3,0
2020.8.13,142,138,3,0
2020.8.14,142,138,3,0
2020.8.15,142,138,3,0
2020.8.16,142,138,3,0
2020.8.17,142,139,3,0
2020.8.18,142,139,3,0
2020.8.19,143,139,3,1
2020.8.20,143,139,3,0
2020.8.21,143,139,3,0
2020.8.22,143,139,3,0
2020.8.23,143,139,3,0
2020.8.24,143,139,3,0
2020.8.25,144,139,3,1
2020.8.26,144,139,3,0
2020.8.27,144,139,3,0
2020.8.28,144,139,3,0
2020.8.29,144,139,3,0
2020.8.30,144,139,3,0
2020.8.31,144,139,3,0
2020.9.1,144,139,3,0
2020.9.2,144,139,3,0
2020.9.3,145,139,3,1
2020.9.4,145,139,3,0
2020.9.5,145,139,3,0
2020.9.6,145,139,3,0
2020.9.7,145,139,3,0
2020.9.8,145,139,3,0
2020.9.9,145,139,3,0
2020.9.10,145,139,3,0
2020.9.11,145,139,3,0
2020.9.12,145,139,3,0
2020.9.13,145,139,3,0
2020.9.14,145,139,3,0
2020.9.15,145,139,3,0
2020.9.16,145,139,3,0
2020.9.17,145,141,3,0
2020.9.18,145,141,3,0
2020.9.19,145,142,3,0
2020.9.20,145,142,3,0
2020.9.21,145,142,3,0
2020.9.22,145,142,3,0
2020.9.23,145,142,3,0
2020.9.24,145,142,3,0
2020.9.25,146,142,3,1
2020.9.26,146,142,3,0
2020.9.27,146,142,3,0
2020.9.28,146,142,3,0
2020.9.29,146,142,3,0
2020.9.30,146,142,3,0
2020.10.1,146,142,3,0
2020.10.2,146,142,3,0
2020.10.3,146,142,3,0
2020.10.4,146,142,3,0
2020.10.5,146,142,3,0
2020.10.6,146,143,3,0
2020.10.7,146,143,3,0
2020.10.8,146,143,3,0
2020.10.9,146,143,3,0
2020.10.10,146,143,3,0
2020.10.11,146,143,3,0
2020.10.12,146,143,3,0
2020.10.13,146,143,3,0
