date,累计确诊,治愈,死亡,新增确诊
2020.4.9,16,0,0,1
2020.4.15,17,0,0,1
2020.4.19,18,3,0,1
2020.4.21,18,8,0,0
2020.4.24,18,10,0,0
2020.4.26,18,12,0,0
2020.5.15,18,15,0,0
2020.5.16,18,15,0,0
2020.5.18,18,15,0,0
2020.5.19,18,15,0,0
2020.5.20,18,15,0,0
2020.5.21,18,15,0,0
2020.5.22,18,15,0,0
2020.5.23,18,15,0,0
2020.5.24,18,15,0,0
2020.5.25,18,15,0,0
2020.5.26,18,15,0,0
2020.5.27,18,15,0,0
2020.5.28,18,15,0,0
2020.5.29,18,15,0,0
2020.5.30,18,15,0,0
2020.5.31,18,15,0,0
2020.6.1,18,15,0,0
2020.6.2,18,15,0,0
2020.6.3,18,15,0,0
2020.6.4,18,15,0,0
2020.6.5,18,18,0,0
2020.6.6,18,18,0,0
2020.6.7,18,18,0,0
2020.6.8,18,18,0,0
2020.6.9,18,18,0,0
2020.6.10,18,18,0,0
2020.6.11,18,18,0,0
2020.6.12,18,18,0,0
2020.6.13,18,18,0,0
2020.6.14,18,18,0,0
2020.6.15,18,18,0,0
2020.6.16,18,18,0,0
2020.6.17,18,18,0,0
2020.6.18,18,18,0,0
2020.6.19,18,18,0,0
2020.6.20,18,18,0,0
2020.6.21,18,18,0,0
2020.6.22,18,18,0,0
2020.6.23,18,18,0,0
2020.6.24,18,18,0,0
2020.6.25,18,18,0,0
2020.6.26,18,18,0,0
2020.6.27,18,18,0,0
2020.6.28,18,18,0,0
2020.6.29,18,18,0,0
2020.6.30,18,18,0,0
2020.7.1,18,18,0,0
2020.7.2,18,18,0,0
2020.7.3,18,18,0,0
2020.7.4,18,18,0,0
2020.7.5,18,18,0,0
2020.7.6,19,18,0,1
2020.7.7,21,18,0,2
2020.7.8,21,18,0,0
2020.7.9,21,18,0,0
2020.7.10,26,18,0,5
2020.7.11,26,18,0,0
2020.7.12,26,18,0,0
2020.7.13,26,18,0,0
2020.7.14,26,18,0,0
2020.7.15,26,18,0,0
2020.7.16,26,18,0,0
2020.7.17,26,18,0,0
2020.7.18,26,18,0,0
2020.7.19,26,18,0,0
2020.7.20,27,18,0,1
2020.7.21,27,18,0,0
2020.7.22,27,18,0,0
2020.7.23,27,18,0,0
2020.7.24,27,18,0,0
2020.7.25,27,18,0,0
2020.7.26,27,18,0,0
2020.7.27,27,18,0,0
2020.7.28,27,18,0,0
2020.7.29,27,18,0,0
2020.7.30,27,18,0,0
2020.7.31,27,18,1,0
2020.8.1,27,18,1,0
2020.8.2,27,18,1,0
2020.8.3,27,18,1,0
2020.8.4,27,18,1,0
2020.8.5,27,18,1,0
2020.8.6,27,18,1,0
2020.8.7,27,18,1,0
2020.8.8,27,18,1,0
2020.8.9,27,18,1,0
2020.8.10,27,18,1,0
2020.8.11,27,18,1,0
2020.8.12,27,18,1,0
2020.8.13,28,20,1,1
2020.8.14,28,20,1,0
2020.8.15,28,20,1,0
2020.8.16,28,20,1,0
2020.8.17,28,20,1,0
2020.8.18,28,20,1,0
2020.8.19,28,20,1,0
2020.8.20,28,20,1,0
2020.8.21,28,20,1,0
2020.8.22,28,20,1,0
2020.8.23,28,23,1,0
2020.8.24,28,23,1,0
2020.8.25,28,23,1,0
2020.8.26,28,23,1,0
2020.8.27,28,23,2,0
2020.8.28,28,23,2,0
2020.8.29,28,23,2,0
2020.8.30,28,23,2,0
2020.8.31,28,23,2,0
2020.9.1,28,23,2,0
2020.9.2,29,23,2,1
2020.9.3,29,23,2,0
2020.9.4,29,23,2,0
2020.9.5,31,24,2,2
2020.9.6,31,24,2,0
2020.9.7,31,24,2,0
2020.9.8,31,24,2,0
2020.9.9,32,24,2,1
2020.9.10,32,24,2,0
2020.9.11,32,24,2,0
2020.9.12,32,24,2,0
2020.9.13,32,24,2,0
2020.9.14,32,24,2,0
2020.9.15,32,24,2,0
2020.9.16,32,24,2,0
2020.9.17,32,24,2,0
2020.9.18,32,26,2,0
2020.9.19,32,26,2,0
2020.9.20,32,26,2,0
2020.9.21,32,26,2,0
2020.9.22,32,28,2,0
2020.9.23,32,28,2,0
2020.9.24,32,28,2,0
2020.9.25,32,28,2,0
2020.9.26,32,28,2,0
2020.9.27,32,28,2,0
2020.9.28,32,28,2,0
2020.9.29,32,28,2,0
2020.9.30,32,28,2,0
2020.10.1,32,28,2,0
2020.10.2,32,28,2,0
2020.10.3,32,28,2,0
2020.10.4,32,28,2,0
2020.10.5,32,28,2,0
2020.10.6,32,28,2,0
2020.10.7,32,28,2,0
2020.10.8,32,28,2,0
2020.10.9,32,28,2,0
2020.10.10,32,28,2,0
2020.10.11,32,28,2,0
2020.10.12,32,28,2,0
2020.10.13,32,28,2,0
2020.10.14,32,30,2,0
2020.10.15,32,30,2,0
2020.10.16,32,30,2,0
2020.10.17,32,30,2,0
2020.10.18,32,30,2,0
2020.10.19,32,30,2,0
2020.10.20,32,30,2,0
2020.10.21,33,30,2,1
2020.10.22,33,30,2,0
2020.10.23,33,30,2,0
2020.10.24,33,30,2,0
2020.10.25,33,30,2,0
2020.10.26,33,30,2,0
2020.10.27,33,30,2,0
2020.10.28,33,31,2,0
2020.10.29,33,31,2,0
2020.10.30,34,31,2,1
2020.10.31,34,31,2,0
2020.11.1,34,31,2,0
2020.11.2,34,31,2,0
2020.11.3,34,31,2,0
2020.11.4,34,31,2,0
2020.11.5,34,31,2,0
2020.11.6,34,31,2,0
2020.11.7,34,31,2,0
2020.11.8,34,31,2,0
2020.11.9,34,31,2,0
2020.11.10,34,31,2,0
2020.11.11,35,32,2,1
2020.11.12,35,32,2,0
2020.11.13,35,32,2,0
2020.11.14,35,32,2,0
2020.11.15,35,32,2,0
2020.11.16,35,32,2,0
2020.11.17,35,32,2,0
2020.11.18,35,32,2,0
2020.11.19,35,32,2,0
2020.11.20,35,32,2,0
2020.11.21,35,33,2,0
2020.11.22,35,33,2,0
2020.11.23,35,33,2,0
2020.11.24,35,33,2,0
2020.11.25,38,33,2,3
2020.11.26,38,33,2,0
2020.11.27,38,33,2,0
2020.11.28,38,33,2,0
2020.11.29,38,33,2,0
2020.11.30,42,33,2,4
2020.12.1,42,33,2,0
2020.12.2,42,33,2,0
2020.12.3,42,33,2,0
2020.12.4,44,33,2,2
2020.12.5,44,33,2,0
2020.12.6,44,33,2,0
2020.12.7,44,33,2,0
2020.12.8,44,33,2,0
2020.12.9,44,35,2,0
2020.12.10,44,35,2,0
2020.12.11,44,35,2,0
2020.12.12,44,35,2,0
2020.12.13,44,35,2,0
2020.12.14,46,38,2,2
2020.12.15,46,38,2,0
2020.12.16,46,38,2,0
2020.12.17,46,38,2,0
2020.12.18,46,42,2,0
2020.12.19,46,42,2,0
2020.12.20,46,42,2,0
2020.12.21,46,42,2,0
2020.12.22,46,44,2,0
2020.12.23,46,44,2,0
2020.12.24,46,44,2,0
2020.12.25,46,44,2,0
2020.12.26,46,44,2,0
2020.12.27,46,44,2,0
2020.12.28,46,44,2,0
2020.12.29,46,44,2,0
2020.12.30,49,44,2,3
2020.12.31,49,44,2,0
2021.1.1,49,44,2,0
2021.1.2,49,44,2,0
2021.1.3,49,44,2,0
2021.1.4,49,44,2,0
2021.1.5,49,44,2,0
2021.1.6,53,44,2,4
2021.1.7,53,44,2,0
2021.1.8,53,44,2,0
2021.1.9,53,44,2,0
2021.1.10,53,47,2,0
2021.1.11,53,47,2,0
2021.1.12,53,47,2,0
2021.1.13,53,47,2,0
2021.1.14,53,47,2,0
2021.1.15,53,47,2,0
2021.1.16,53,47,2,0
2021.1.17,55,53,2,2
