date,累计确诊,治愈,死亡,新增确诊
2020.4.8,12,7,0,2
2020.4.11,14,7,0,2
2020.4.13,15,7,0,1
2020.4.15,16,8,0,1
2020.4.17,17,8,1,1
2020.4.18,22,8,1,3
2020.4.19,24,8,1,2
2020.4.21,31,8,1,7
2020.4.23,36,10,1,4
2020.4.24,40,10,1,4
2020.4.25,56,10,1,16
2020.4.27,65,10,1,6
2020.4.29,91,10,1,20
2020.5.1,106,12,1,6
2020.5.5,119,12,1,3
2020.5.6,123,12,2,4
2020.5.7,153,12,2,30
2020.5.9,163,14,2,4
2020.5.12,184,28,2,9
2020.5.15,190,66,2,3
2020.5.16,202,72,2,12
2020.5.18,203,73,2,1
2020.5.19,205,78,2,2
2020.5.20,208,87,2,3
2020.5.21,217,97,2,9
2020.5.22,220,112,2,3
2020.5.23,225,119,2,5
2020.5.24,238,119,2,13
2020.5.25,250,156,2,12
2020.5.26,256,158,2,6
2020.5.27,261,164,2,5
2020.5.28,272,168,2,11
2020.5.29,279,168,2,7
2020.5.30,279,168,2,0
2020.5.31,283,168,2,4
2020.6.1,285,189,2,2
2020.6.2,293,194,3,8
2020.6.3,294,198,3,1
2020.6.4,295,201,3,1
2020.6.5,300,201,3,5
2020.6.6,305,221,3,5
2020.6.7,333,225,3,28
2020.6.8,333,225,3,0
2020.6.9,340,229,3,7
2020.6.10,371,232,3,31
2020.6.11,398,236,3,27
2020.6.12,449,238,3,51
2020.6.13,472,246,3,23
2020.6.14,486,247,3,14
2020.6.15,490,249,4,4
2020.6.16,506,249,4,16
2020.6.17,520,259,4,14
2020.6.18,563,262,4,43
2020.6.19,586,267,4,23
2020.6.20,623,276,4,37
2020.6.21,627,285,5,4
2020.6.22,635,285,5,8
2020.6.23,643,291,6,8
2020.6.24,674,319,7,31
2020.6.25,690,331,7,16
2020.6.26,706,347,8,16
2020.6.27,728,367,8,22
2020.6.28,745,370,8,17
2020.6.29,781,372,11,36
2020.6.30,795,380,11,14
2020.7.1,812,408,11,17
2020.7.2,840,418,11,28
2020.7.3,873,452,11,33
2020.7.4,954,535,13,81
2020.7.5,954,535,13,0
2020.7.6,988,547,13,34
2020.7.7,1011,564,13,23
2020.7.8,1056,570,14,45
2020.7.9,1138,588,14,82
2020.7.10,1213,609,17,75
2020.7.11,1257,633,18,44
2020.7.12,1311,656,18,54
2020.7.13,1351,668,20,40
2020.7.14,1389,688,20,38
2020.7.15,1434,695,20,45
2020.7.16,1489,724,20,55
2020.7.17,1552,736,21,63
2020.7.18,1619,769,21,67
2020.7.19,1729,788,21,110
2020.7.20,1793,822,21,64
2020.7.21,1826,850,23,33
2020.7.22,1894,855,24,68
2020.7.23,1938,876,25,44
2020.7.24,2021,882,28,83
2020.7.25,2073,929,28,52
2020.7.26,2142,940,28,69
2020.7.27,2207,986,32,65
2020.7.28,2316,1025,34,109
2020.7.29,2404,1025,39,88
2020.7.30,2551,1070,40,147
2020.7.31,2577,1134,40,26
2020.8.1,2648,1214,41,71
2020.8.2,2706,1214,43,58
2020.8.3,2775,1214,43,69
2020.8.4,2838,1253,45,63
2020.8.5,2856,1258,49,18
2020.8.6,2909,1385,53,53
2020.8.7,2968,1476,55,59
2020.8.8,3036,1476,56,68
2020.8.9,3128,1565,56,92
2020.8.10,3236,1607,58,108
2020.8.11,3309,1634,61,73
2020.8.12,3410,1720,63,101
2020.8.13,3525,1910,63,115
2020.8.14,3599,1991,65,74
2020.8.15,3670,1991,68,71
2020.8.16,3745,2268,69,75
2020.8.17,3839,2268,70,94
2020.8.18,3894,2371,73,55
2020.8.19,3989,2587,76,95
2020.8.20,4058,2611,79,69
2020.8.21,4110,2643,81,52
2020.8.22,4128,2682,81,18
2020.8.23,4189,2762,83,61
2020.8.24,4225,2898,85,36
2020.8.25,4304,2936,85,79
2020.8.26,4327,2959,86,23
2020.8.27,4387,3078,88,60
2020.8.28,4433,3115,89,46
2020.8.29,4461,3210,91,28
2020.8.30,4510,3359,91,49
2020.8.31,4561,3478,91,51
2020.9.1,4577,3529,91,16
2020.9.2,4618,3562,94,41
2020.9.3,4668,3585,94,50
2020.9.4,4720,3789,94,52
2020.9.5,4780,3844,94,60
2020.9.6,4819,3903,94,39
2020.9.7,4853,3951,94,34
2020.9.8,4884,4029,94,31
2020.9.9,4904,4059,96,20
2020.9.10,4936,4077,97,32
2020.9.11,4994,4103,98,58
2020.9.12,5025,4165,98,31
2020.9.13,5050,4188,98,25
2020.9.14,5075,4229,98,25
2020.9.15,5104,4374,101,29
2020.9.16,5128,4401,101,24
2020.9.17,5155,4418,101,27
2020.9.18,5191,4439,103,36
2020.9.19,5215,4478,103,24
2020.9.20,5245,4571,104,30
2020.9.21,5269,4624,104,24
2020.9.22,5282,4647,104,13
2020.9.23,5307,4672,106,25
2020.9.24,5343,4693,108,36
2020.9.25,5375,4724,108,32
2020.9.26,5399,4767,108,24
2020.9.27,5419,4802,108,20
2020.9.28,5431,4821,108,12
2020.9.29,5452,4844,108,21
2020.9.30,5462,4859,108,10
2020.10.1,5482,4912,109,20
2020.10.2,5500,5000,111,18
2020.10.3,5521,5061,111,21
2020.10.4,5530,5076,111,9
2020.10.5,5569,5127,111,39
2020.10.6,5579,5141,112,10
2020.10.7,5598,5169,112,19
2020.10.8,5617,5196,113,19
2020.10.9,5632,5231,113,15
2020.10.10,5644,5254,113,12
2020.10.11,5660,5282,113,16
2020.10.12,5669,5310,113,9
2020.10.13,5683,5322,113,14
2020.10.14,5696,5337,114,13
2020.10.15,5715,5347,114,19
2020.10.16,5733,5375,115,18
2020.10.17,5746,5392,115,13
2020.10.18,5765,5392,115,19
2020.10.19,5780,5415,116,15
2020.10.20,5788,5427,116,8
2020.10.21,5800,5437,116,12
2020.10.22,5805,5453,116,5
2020.10.23,5814,5468,116,9
2020.10.24,5831,5485,116,17
2020.10.25,5847,5491,116,16
2020.10.26,5854,5502,116,7
2020.10.27,5863,5511,116,9
2020.10.28,5875,5524,116,12
2020.10.29,5886,5542,116,11
2020.10.30,5899,5542,117,13
2020.10.31,5909,5557,117,10
2020.11.1,5917,5646,117,8
2020.11.2,5925,5652,117,8
2020.11.3,5929,5657,117,4
2020.11.4,5942,5669,117,13
2020.11.5,5955,5686,117,13
2020.11.6,5967,5694,117,12
2020.11.7,5976,5704,117,9
2020.11.8,5989,5719,117,13
2020.11.9,6003,5724,117,14
2020.11.10,6013,5732,117,10
2020.11.11,6024,5737,117,11
2020.11.12,6044,5744,117,20
2020.11.13,6060,5746,117,16
2020.11.14,6076,5756,118,16
2020.11.15,6093,5771,119,17
2020.11.16,6095,5779,119,2
2020.11.17,6105,5790,119,10
2020.11.18,6124,5812,119,19
2020.11.19,6144,5826,119,20
2020.11.20,6156,5831,119,12
2020.11.21,6185,5839,119,29
2020.11.22,6205,5850,119,20
2020.11.23,6219,5858,120,14
2020.11.24,6233,5869,120,14
2020.11.25,6247,5878,120,14
2020.11.26,6272,5901,120,25
2020.11.27,6329,5929,120,57
2020.11.28,6362,5929,120,33
2020.11.29,6406,5987,121,44
2020.11.30,6419,6006,122,4
2020.12.1,6419,6006,122,0
2020.12.2,6442,6017,122,23
2020.12.3,6455,6032,122,13
2020.12.4,6474,6044,122,19
2020.12.5,6480,6066,122,6
2020.12.6,6495,6078,122,15
2020.12.7,6501,6090,122,6
2020.12.8,6529,6094,123,28
2020.12.9,6563,6137,124,34
2020.12.10,6612,6175,125,49
2020.12.11,6633,6221,126,21
2020.12.12,6685,6279,126,52
2020.12.13,6714,6331,127,29
2020.12.14,6768,6379,127,54
2020.12.15,6825,6416,130,57
2020.12.16,6912,6476,132,87
2020.12.17,7026,6531,135,114
2020.12.18,7093,6579,135,67
2020.12.19,7202,6624,136,109
2020.12.20,7305,6662,137,103
2020.12.21,7427,6696,140,122
2020.12.22,7562,6761,141,135
2020.12.23,7715,6821,142,153
2020.12.24,7868,6879,153,153
2020.12.25,8032,6952,154,164
2020.12.26,8170,7016,154,138
2020.12.27,8484,7016,165,314
