date,累计确诊,治愈,死亡,新增确诊
2020.4.7,682,13,2,101
2020.4.8,682,13,2,101
2020.4.9,701,23,2,19
2020.4.10,715,23,2,14
2020.4.12,769,107,2,27
2020.4.13,816,107,2,47
2020.4.14,863,113,2,28
2020.4.15,977,151,8,114
2020.4.16,1049,167,8,72
2020.4.17,1089,213,11,40
2020.4.18,1161,229,12,72
2020.4.19,1173,251,13,12
2020.4.20,1199,258,14,26
2020.4.21,1244,284,14,45
2020.4.22,1325,288,15,81
2020.4.23,1360,355,17,35
2020.4.24,1373,386,17,13
2020.4.25,1379,394,18,6
2020.4.26,1381,403,18,2
2020.4.27,1384,423,20,3
2020.4.28,1391,484,22,7
2020.4.29,1396,524,23,5
2020.4.30,1403,558,23,7
2020.5.1,1407,608,24,4
2020.5.3,1413,643,25,5
2020.5.4,1421,741,25,8
2020.5.5,1429,762,25,8
2020.5.6,1445,806,26,16
2020.5.7,1455,905,26,10
2020.5.9,1457,941,26,2
2020.5.11,1465,983,27,8
2020.5.12,1469,1060,27,8
2020.5.13,1477,1112,27,8
2020.5.14,1480,1131,27,3
2020.5.15,1493,1151,28,13
2020.5.16,1494,1163,28,1
2020.5.17,1495,1185,28,1
2020.5.18,1495,1185,28,0
2020.5.19,1495,1192,28,0
2020.5.20,1496,1231,28,1
2020.5.21,1502,1245,28,6
2020.5.22,1503,1256,28,1
2020.5.23,1504,1280,28,1
2020.5.24,1509,1301,28,5
2020.5.25,1511,1307,28,2
2020.5.26,1513,1322,28,2
2020.5.27,1515,1327,28,2
2020.5.28,1520,1332,28,5
2020.5.29,1520,1338,28,0
2020.5.30,1521,1356,28,1
2020.5.31,1521,1366,28,0
2020.6.1,1522,1368,28,1
2020.6.2,1522,1372,28,0
2020.6.3,1525,1375,28,3
2020.6.4,1526,1376,28,1
2020.6.5,1526,1379,28,0
2020.6.6,1528,1379,28,2
2020.6.7,1528,1389,28,0
2020.6.8,1530,1396,28,2
2020.6.9,1531,1402,28,1
2020.6.10,1533,1404,28,2
2020.6.11,1541,1409,28,8
2020.6.12,1542,1409,28,1
2020.6.13,1545,1410,28,3
2020.6.14,1548,1410,28,3
2020.6.15,1552,1410,28,4
2020.6.16,1552,1426,28,0
2020.6.17,1561,1437,28,9
2020.6.18,1562,1443,28,1
2020.6.19,1576,1447,28,14
2020.6.20,1586,1447,28,10
2020.6.21,1587,1447,28,1
2020.6.22,1588,1447,28,1
2020.6.23,1589,1448,28,1
2020.6.24,1607,1448,28,18
2020.6.25,1630,1452,28,23
2020.6.26,1643,1455,28,13
2020.6.27,1657,1455,28,14
2020.6.28,1664,1461,28,7
2020.6.29,1665,1464,28,1
2020.6.30,1667,1464,28,2
2020.7.1,1687,1466,28,20
2020.7.2,1700,1466,28,13
2020.7.3,1720,1466,28,20
2020.7.4,1749,1466,28,29
2020.7.5,1764,1466,28,15
2020.7.6,1765,1466,28,1
2020.7.7,1767,1473,28,2
2020.7.8,1798,1473,28,31
2020.7.9,1851,1477,28,53
2020.7.10,1870,1481,28,19
2020.7.11,1893,1493,28,23
2020.7.12,1901,1493,28,8
2020.7.13,1902,1493,28,1
2020.7.14,1908,1493,28,6
2020.7.15,1927,1507,28,19
2020.7.16,1951,1514,28,24
2020.7.17,1965,1523,28,14
2020.7.18,1976,1523,28,11
2020.7.19,1979,1530,28,3
2020.7.20,1980,1538,28,1
2020.7.21,2021,1538,28,41
2020.7.22,2058,1556,28,37
2020.7.23,2089,1556,28,31
2020.7.24,2118,1577,28,29
2020.7.25,2141,1577,28,23
2020.7.26,2179,1577,28,38
2020.7.27,2181,1616,28,2
2020.7.28,2204,1644,28,23
2020.7.29,2245,1660,28,41
2020.7.30,2265,1675,28,20
2020.7.31,2292,1695,29,27
2020.8.1,2337,1742,29,45
2020.8.2,2344,1742,29,7
2020.8.3,2354,1746,29,10
2020.8.4,2368,1771,29,14
2020.8.5,2417,1777,29,49
2020.8.6,2480,1824,29,63
2020.8.7,2523,1846,31,43
2020.8.8,2566,1861,31,43
2020.8.9,2596,1864,31,30
2020.8.10,2599,1866,31,3
2020.8.11,2615,1874,31,16
2020.8.12,2690,1884,31,75
2020.8.13,2739,1939,31,49
2020.8.14,2801,1944,31,62
2020.8.15,2855,1969,31,54
2020.8.16,2902,1969,31,47
2020.8.17,2907,1969,31,5
2020.8.18,2922,1980,31,15
2020.8.19,3022,1997,33,100
2020.8.20,3102,2014,33,80
2020.8.21,3225,2045,33,123
2020.8.22,3316,2147,33,91
2020.8.23,3356,2148,33,40
2020.8.24,3424,2153,33,68
2020.8.25,3452,2167,33,28
2020.8.26,3536,2192,33,84
2020.8.27,3626,2206,33,90
2020.8.28,3728,2225,33,102
2020.8.29,3842,2254,33,114
2020.8.30,3876,2278,33,34
2020.8.31,3917,2377,33,41
2020.9.1,3989,2478,33,72
2020.9.2,4042,2523,33,53
2020.9.3,4163,2617,37,121
2020.9.4,4300,2693,37,137
2020.9.5,4526,2797,37,226
2020.9.6,4614,2802,37,88
2020.9.7,4636,2836,37,22
2020.9.8,4727,2913,37,91
2020.9.9,4888,2947,37,161
2020.9.10,5066,3001,37,178
2020.9.11,5252,3081,37,186
2020.9.12,5453,3114,38,201
2020.9.13,5532,3124,38,79
2020.9.14,5580,3129,38,48
2020.9.15,5768,3214,38,188
2020.9.16,5860,3220,38,92
2020.9.17,6021,3288,39,161
2020.9.18,6256,3390,39,235
2020.9.19,6546,3519,39,290
2020.9.20,6677,3548,39,131
2020.9.21,6756,3571,39,79
2020.9.22,6931,3668,40,175
2020.9.23,7269,3888,41,338
2020.9.24,7629,3978,41,360
2020.9.25,8048,4036,41,419
2020.9.26,8600,4098,44,552
2020.9.27,9078,4178,44,478
2020.9.28,9343,4213,44,265
2020.9.29,9574,4329,45,231
2020.9.30,10141,4395,48,567
2020.10.1,10938,4620,48,797
2020.10.2,11617,4756,54,679
2020.10.3,12321,4793,54,704
2020.10.4,13139,4828,55,818
2020.10.5,13492,4865,55,353
2020.10.6,13812,5027,55,320
2020.10.7,14689,5200,55,877
