date,累计确诊,治愈,死亡,新增确诊
2020.4.7,1091,120,40,38
2020.4.8,1091,120,40,32
2020.4.9,1124,128,43,33
2020.4.10,1160,137,45,36
2020.4.11,1188,148,50,28
2020.4.12,1212,152,55,7
2020.4.13,1220,152,56,8
2020.4.14,1248,165,61,28
2020.4.15,1268,174,61,20
2020.4.16,1304,174,66,36
2020.4.17,1317,190,70,13
2020.4.18,1330,192,74,13
2020.4.19,1335,193,77,5
2020.4.20,1344,197,77,9
2020.4.21,1353,205,79,9
2020.4.22,1366,211,79,13
2020.4.23,1373,211,80,7
2020.4.24,1388,219,81,15
2020.4.25,1396,221,82,8
2020.4.26,1402,221,83,6
2020.4.27,1408,221,86,6
2020.4.28,1418,230,89,10
2020.4.29,1429,233,91,11
2020.4.30,1434,233,92,5
2020.5.1,1439,239,94,5
2020.5.3,1439,241,97,5
2020.5.4,1445,244,98,6
2020.5.5,1448,246,99,3
2020.5.6,1449,247,99,1
2020.5.7,1450,252,100,1
2020.5.8,1454,255,101,4
2020.5.9,1457,256,102,3
2020.5.10,1460,256,102,3
2020.5.11,1461,259,102,3
2020.5.12,1463,260,103,2
2020.5.13,1464,267,103,1
2020.5.14,1465,270,103,1
2020.5.16,1466,273,104,1
2020.5.18,1466,274,104,0
2020.5.19,1467,1335,104,1
2020.5.20,1468,1340,105,1
2020.5.21,1468,1340,106,0
2020.5.22,1468,1340,106,0
2020.5.23,1468,1340,106,0
2020.5.24,1468,1340,107,0
2020.5.25,1469,1346,107,1
2020.5.26,1469,1346,108,0
2020.5.27,1471,1354,108,2
2020.5.28,1473,1356,108,2
2020.5.29,1473,1357,108,0
2020.5.30,1473,1357,108,0
2020.5.31,1473,1358,108,0
2020.6.1,1473,1358,109,0
2020.6.2,1475,1358,109,2
2020.6.3,1477,1358,109,2
2020.6.4,1477,1359,109,0
2020.6.5,1479,1359,109,2
2020.6.6,1484,1359,109,5
2020.6.7,1485,1359,109,1
2020.6.8,1485,1359,109,0
2020.6.9,1486,1359,109,1
2020.6.10,1488,1359,109,2
2020.6.11,1488,1359,109,0
2020.6.12,1490,1359,109,2
2020.6.13,1492,1359,109,2
2020.6.14,1495,1359,109,3
2020.6.15,1496,1359,109,1
2020.6.16,1499,1359,109,3
2020.6.17,1503,1359,109,4
2020.6.18,1511,1359,109,8
2020.6.19,1513,1359,109,2
2020.6.20,1519,1359,109,6
2020.6.21,1520,1376,109,1
2020.6.22,1521,1376,109,1
2020.6.23,1534,1376,109,13
2020.6.24,1541,1376,109,7
2020.6.25,1547,1376,109,6
2020.6.26,1558,1376,109,11
2020.6.27,1572,1376,109,14
2020.6.28,1581,1384,111,9
2020.6.29,1585,1384,111,4
2020.6.30,1600,1384,111,15
2020.7.1,1613,1384,111,13
2020.7.2,1634,1384,111,21
2020.7.3,1650,1384,111,16
2020.7.4,1679,1384,111,29
2020.7.5,1700,1384,111,21
2020.7.6,1716,1384,111,16
2020.7.7,1739,1423,111,23
2020.7.8,1763,1429,111,24
2020.7.9,1776,1429,111,13
2020.7.10,1793,1429,111,17
2020.7.11,1827,1429,111,34
2020.7.12,1841,1469,111,14
2020.7.13,1849,1473,111,8
2020.7.14,1859,1488,111,10
2020.7.15,1878,1501,111,19
2020.7.16,1897,1522,111,19
2020.7.17,1916,1522,111,19
2020.7.18,1940,1568,111,24
2020.7.19,1946,1568,112,6
2020.7.20,1953,1603,113,7
2020.7.21,1977,1625,114,24
2020.7.22,2006,1648,115,29
2020.7.23,2033,1661,115,27
2020.7.24,2052,1678,115,19
2020.7.25,2066,1678,116,14
2020.7.26,2082,1678,116,16
2020.7.27,2087,1733,116,5
2020.7.28,2101,1742,117,14
2020.7.29,2115,1761,117,14
2020.7.30,2139,1780,117,24
2020.7.31,2156,1797,119,17
2020.8.1,2171,1821,119,15
2020.8.2,2180,1826,120,9
2020.8.3,2181,1831,122,1
2020.8.4,2190,1854,123,9
2020.8.5,2208,1884,124,18
2020.8.6,2223,1909,125,15
2020.8.7,2233,1927,125,10
2020.8.8,2247,1927,126,14
2020.8.9,2249,1927,127,2
2020.8.10,2255,1960,128,6
2020.8.11,2272,1960,129,17
2020.8.12,2272,1960,129,0
2020.8.13,2332,1960,129,60
2020.8.14,2369,2027,129,37
2020.8.15,2369,2027,129,0
2020.8.16,2416,2051,129,47
2020.8.17,2429,2052,129,13
2020.8.18,2456,2052,129,27
2020.8.19,2493,2079,129,37
2020.8.20,2536,2079,129,43
2020.8.21,2574,2079,130,38
2020.8.22,2617,2079,131,43
2020.8.23,2651,2079,131,34
2020.8.24,2665,2122,133,14
2020.8.25,2686,2139,133,21
2020.8.26,2722,2170,133,36
2020.8.27,2755,2199,133,33
2020.8.28,2797,2236,133,42
2020.8.29,2834,2268,133,37
2020.8.30,2865,2283,133,31
2020.8.31,2883,2296,133,18
2020.9.1,2924,2323,133,41
2020.9.2,2979,2359,134,55
2020.9.3,3032,2402,134,53
2020.9.4,3079,2440,134,47
2020.9.5,3122,2483,135,43
2020.9.6,3165,2483,135,43
2020.9.7,3190,2530,135,25
2020.9.8,3190,2530,135,0
2020.9.9,3312,2587,135,122
2020.9.10,3389,2620,135,77
2020.9.11,3497,2662,135,108
2020.9.12,3603,2699,135,106
2020.9.13,3702,2730,135,99
2020.9.14,3749,2730,135,47
2020.9.15,3831,2789,135,82
2020.9.16,3954,2844,135,123
2020.9.17,4058,2897,136,104
2020.9.18,4195,2939,140,137
2020.9.19,4309,2981,141,114
2020.9.20,4420,3023,142,111
2020.9.21,4470,3048,142,50
2020.9.22,4558,3048,142,88
2020.9.23,4694,3168,143,136
2020.9.24,4816,3245,145,122
2020.9.25,5007,3353,145,191
2020.9.26,5191,3457,146,184
2020.9.27,5350,3555,147,159
2020.9.28,5388,3600,149,38
2020.9.29,5487,3682,149,99
2020.9.30,5690,3804,150,203
2020.10.1,5865,3906,152,175
2020.10.2,6103,4041,154,238
2020.10.3,6330,4041,155,227
2020.10.4,6498,4265,155,168
2020.10.5,6573,4314,156,75
2020.10.6,6764,4399,159,191
2020.10.7,7120,4535,159,356
2020.10.8,7507,4655,160,387
2020.10.9,7872,4842,165,365
2020.10.10,8252,5024,167,380
2020.10.11,8663,5182,167,411
2020.10.12,8832,5219,169,169
2020.10.13,9231,5314,173,399
2020.10.14,9938,5515,175,707
2020.10.15,10683,5689,176,745
2020.10.16,11517,5924,180,834
2020.10.17,12416,6148,184,899
2020.10.18,13142,6313,188,726
2020.10.19,13679,6385,190,537
2020.10.20,14473,6572,192,794
2020.10.21,15982,6922,200,1509
2020.10.22,17646,7299,211,1664
2020.10.23,19307,7659,214,1661
2020.10.24,21274,8018,235,1967
2020.10.25,22950,8424,240,1676
2020.10.26,24080,8582,251,1130
2020.10.27,25603,8968,264,1523
2020.10.28,28215,9667,278,2612
2020.10.29,30705,10401,292,2490
2020.10.30,32503,11208,315,1798
2020.10.31,34307,12091,338,1804
2020.11.1,35649,12785,363,1342
2020.11.2,36206,13297,388,557
2020.11.3,37382,14074,412,1176
2020.11.4,39408,15550,441,2026
2020.11.5,41093,17190,471,1685
2020.11.6,42658,18825,497,1565
2020.11.7,44270,20767,531,1612
2020.11.8,45160,22443,550,890
2020.11.9,45625,23533,578,465
2020.11.10,46709,25007,605,1084
2020.11.11,48939,27577,645,2230
2020.11.12,50864,30027,686,1925
2020.11.13,52385,31792,724,1521
2020.11.14,54116,33548,765,1731
2020.11.15,55042,34864,797,926
2020.11.16,55543,35387,831,501
2020.11.17,56932,36519,876,1389
2020.11.18,58950,38507,919,2018
2020.11.19,61034,40153,964,2084
2020.11.20,62580,41691,995,1546
2020.11.21,64284,43272,1026,1704
2020.11.22,65308,44137,1052,1024
2020.11.23,65778,44558,1097,470
2020.11.24,67080,45587,1156,1302
2020.11.25,69306,47770,1199,2226
2020.11.26,71073,49654,1245,1767
2020.11.27,72674,51121,1293,1601
2020.11.28,74257,52814,1336,1583
2020.11.29,75381,53687,1384,1124
2020.11.30,75814,54138,1435,425
2020.12.1,77106,55476,1490,1292
2020.12.2,79566,57447,1547,2460
2020.12.3,81338,59469,1592,1772
2020.12.4,83133,60957,1653,1795
2020.12.5,84775,62600,1700,1642
2020.12.6,85805,63580,1744,1030
2020.12.7,86285,63999,1796,480
2020.12.8,87915,65240,1862,1630
2020.12.9,90075,67437,1900,2160
2020.12.10,91922,69170,1949,1847
2020.12.11,93737,70733,1998,1815
2020.12.12,95481,72290,2041,1744
2020.12.13,96314,73377,2063,833
2020.12.14,96745,73760,2107,431
2020.12.15,98281,75017,2149,1536
2020.12.16,100389,77453,2190,2108
2020.12.17,102043,79193,2233,1654
2020.12.18,103555,80935,2274,1512
2020.12.19,104982,82541,2314,1427
2020.12.20,105899,83536,2353,917
2020.12.21,106294,83977,2379,395
2020.12.22,107770,87960,2417,1476
2020.12.23,109934,90100,2454,2164
2020.12.24,112021,91952,2479,2087
2020.12.25,113815,91952,2507,1794
2020.12.26,114184,92986,2532,369
2020.12.27,115323,94191,2595,1139
2020.12.28,115327,94191,2595,4
2020.12.29,117284,95688,2631,1957
2020.12.30,119740,97766,2665,2456
2020.12.31,122152,99382,2697,2412
2021.1.1,123950,100868,2728,1798
2021.1.2,124343,102252,2774,393
2021.1.3,125086,103107,2803,743
2021.1.4,125830,103467,2838,744
2021.1.5,128359,104988,2868,2529
2021.1.6,131724,107103,2899,3365
2021.1.7,134545,109148,2922,2821
2021.1.8,136590,110925,2947,2045
2021.1.9,138472,111269,2973,1882
2021.1.10,139270,111864,2998,798
2021.1.11,139707,112371,3022,437
2021.1.12,141573,114330,3053,1866
2021.1.13,143679,116745,3070,2106
2021.1.14,145472,119149,3093,1793
2021.1.15,146956,120894,3121,1484
2021.1.16,148539,121288,3140,1583
2021.1.17,149125,122008,3180,586
2021.1.18,149424,122745,3206,299
2021.1.19,151137,125315,3231,1713
2021.1.20,152835,128709,3257,1698
2021.1.21,154306,131377,3284,1471
2021.1.22,155745,133428,3309,1439
2021.1.23,157258,135262,3329,1513
2021.1.24,157830,135993,3360,572
2021.1.25,158131,136402,3379,301
2021.1.26,159812,138272,3406,1681
2021.1.27,161662,140353,3425,1850
2021.1.28,163200,142134,3448,1538
2021.1.29,164529,143610,3468,1329
2021.1.30,165873,145156,3490,1344
2021.1.31,166473,145722,3503,600
2021.2.1,166826,146003,3522,353
2021.2.2,168455,147687,3541,1629
2021.2.3,170046,149385,3564,1591
2021.2.4,171368,150860,3580,1322
2021.2.5,172299,152290,3595,931
2021.2.6,173201,153791,3612,902
2021.2.7,173702,154321,3623,501
2021.2.8,174000,154607,3635,298
2021.2.9,174357,156266,3654,357
2021.2.10,175795,158128,3667,1438
2021.2.11,177180,159657,3677,1385
2021.2.12,178133,160953,3692,953
2021.2.13,179148,162248,3705,1015
2021.2.14,179477,162824,3717,329
2021.2.15,179726,163162,3728,249
2021.2.16,180520,164676,3733,794
2021.2.17,181606,166220,3745,1086
2021.2.18,182484,167477,3755,878
2021.2.19,183394,168432,3762,910
2021.2.20,184352,169406,3769,958
2021.2.21,184767,169896,3776,415
2021.2.22,185014,170198,3784,247
2021.2.23,185912,170527,3792,898
2021.2.24,187005,171905,3802,1093
2021.2.25,187005,171905,3802,0
2021.2.26,187762,171905,3809,757
2021.2.27,189627,175210,3836,1865
2021.2.28,190081,175210,3836,454
2021.3.1,190324,175210,3854,243
2021.3.2,191056,175210,3863,732
2021.3.3,192266,177641,3874,1210
2021.3.4,193285,178510,3878,1019
2021.3.5,194165,179414,3882,880
2021.3.6,195086,180366,3888,921
2021.3.7,195086,180366,3888,0
2021.3.8,195678,181023,3897,592
2021.3.9,196421,181915,3904,743
2021.3.10,197374,183002,3908,953
2021.3.11,198234,183848,3918,860
2021.3.12,199004,184753,3926,770
2021.3.13,199854,185698,3929,850
2021.3.14,200374,186147,3934,520
2021.3.15,200579,186386,3938,205
2021.3.16,201497,187112,3941,918
2021.3.17,202573,188315,3948,1076
2021.3.18,203544,189333,3951,971
2021.3.19,204482,190206,3961,938
2021.3.20,205509,191122,3967,1027
2021.3.21,206026,191500,3972,517
2021.3.22,206317,191706,3976,291
2021.3.23,207298,192439,3985,981
2021.3.24,208588,193383,3994,1290
2021.3.25,209753,194238,3998,1165
2021.3.26,210785,195000,4008,1032
2021.3.27,212040,195845,4011,1255
2021.3.28,212678,196319,4018,638
2021.3.29,212966,196518,4024,288
2021.3.30,214045,197420,4040,1079
2021.3.31,215602,198524,4047,1557
2021.4.1,216939,199490,4054,1337
2021.4.2,218114,200422,4063,1175
