date,累计确诊,治愈,死亡,新增确诊
2020.4.7,188,42,6,7
2020.4.8,189,44,7,7
2020.4.9,190,49,7,1
2020.4.10,197,54,7,7
2020.4.11,199,54,7,1
2020.4.12,210,56,7,7
2020.4.13,218,56,7,1
2020.4.14,233,61,7,16
2020.4.15,238,63,7,5
2020.4.16,238,70,7,0
2020.4.17,244,77,7,2
2020.4.18,254,86,7,10
2020.4.19,271,96,7,17
2020.4.20,309,100,7,5
2020.4.21,321,104,7,11
2020.4.22,330,105,7,20
2020.4.23,368,107,7,38
2020.4.24,417,109,7,49
2020.4.25,452,118,7,17
2020.4.26,505,120,7,45
2020.4.27,584,126,7,61
2020.4.28,611,134,7,23
2020.4.29,630,136,7,11
2020.4.30,660,139,7,11
2020.5.1,690,162,7,25
2020.5.2,702,172,7,12
2020.5.3,721,194,7,3
2020.5.4,755,194,8,33
2020.5.5,771,213,9,20
2020.5.6,797,215,9,26
2020.5.7,823,232,9,26
2020.5.8,844,255,9,9
2020.5.9,855,321,9,8
2020.5.10,863,343,9,7
2020.5.11,869,366,9,6
2020.5.12,889,366,9,26
2020.5.14,925,445,9,32
2020.5.15,935,477,9,10
2020.5.16,957,520,9,22
2020.5.17,981,538,9,24
2020.5.18,986,559,9,5
2020.5.19,1020,569,9,34
2020.5.20,1027,584,9,7
2020.5.21,1045,604,9,18
2020.5.22,1060,620,9,15
2020.5.23,1085,660,9,25
2020.5.24,1118,674,9,33
2020.5.25,1182,695,10,64
2020.5.26,1278,712,10,96
2020.5.27,1453,732,10,175
2020.5.28,1503,745,10,50
2020.5.29,1548,754,10,45
2020.5.30,1566,781,10,18
2020.5.31,1631,801,10,65
2020.6.1,1639,811,11,8
2020.6.2,1649,823,11,10
2020.6.3,1730,836,11,81
2020.6.4,1790,839,11,60
2020.6.5,1800,858,11,10
2020.6.6,1810,891,11,10
2020.6.7,1821,941,11,11
2020.6.8,1857,990,11,36
2020.6.9,1858,1057,11,1
2020.6.10,1868,1122,11,10
2020.6.11,1876,1150,11,8
2020.6.12,1878,1196,11,2
2020.6.13,1884,1252,11,6
2020.6.14,1889,1287,11,5
2020.6.15,1902,1342,11,13
2020.6.16,1914,1371,11,12
2020.6.17,1924,1397,11,10
2020.6.18,1926,1421,11,2
