date,累计确诊,治愈,死亡,新增确诊
2020.3.17,266,114,0,23
2020.4.7,1481,377,6,106
2020.4.8,1910,406,7,287
2020.4.9,1910,406,7,287
2020.4.12,2532,560,8,233
2020.4.13,2918,586,9,385
2020.4.14,3699,611,10,447
2020.4.16,4427,683,10,728
2020.4.18,6588,740,11,596
2020.4.21,10141,839,11,1016
2020.4.22,11178,896,12,1037
2020.4.23,12075,924,12,897
2020.4.24,12693,956,12,618
2020.4.25,13624,1002,12,931
2020.4.26,14423,1060,12,799
2020.4.27,14951,1095,14,528
2020.4.28,15641,1128,14,690
2020.4.29,16169,1188,14,528
2020.5.1,17548,1268,16,447
2020.5.2,18205,1347,17,657
2020.5.3,18778,1408,18,573
2020.5.4,19410,1457,18,632
2020.5.5,20198,1519,18,788
2020.5.7,21707,1712,20,768
2020.5.8,22460,2040,20,753
2020.5.9,23336,2296,20,876
2020.5.10,23822,2721,20,486
2020.5.12,25346,3851,21,675
2020.5.13,26098,4809,21,752
2020.5.14,26891,5973,21,793
2020.5.15,27356,7248,21,465
2020.5.16,28038,8342,22,682
2020.5.17,28343,9340,22,305
2020.5.18,28343,9835,22,0
2020.5.19,28794,10365,22,451
2020.5.20,29364,11207,22,570
2020.5.21,29812,12117,23,448
2020.5.22,30426,12995,23,614
2020.5.23,31068,13882,23,642
2020.5.24,31616,14876,23,548
2020.5.25,31960,14876,23,344
2020.5.26,32343,16444,23,383
2020.5.27,32876,17276,23,533
2020.5.28,33249,17276,23,373
2020.5.29,33860,19631,23,611
2020.5.30,34366,20727,23,506
2020.5.31,34884,21699,23,518
2020.6.1,35292,22466,24,408
2020.6.2,35836,23175,24,544
2020.6.3,36405,23582,24,569
2020.6.4,36922,23904,24,517
2020.6.5,37183,24209,24,261
2020.6.6,37527,24559,25,344
2020.6.7,37910,24886,25,383
2020.6.8,38296,25368,25,386
2020.6.9,38514,25877,25,218
2020.6.10,38965,26532,25,451
2020.6.11,39387,27286,25,422
2020.6.12,39850,28040,25,463
2020.6.13,40197,28808,25,347
2020.6.14,40604,29589,26,407
2020.6.15,40818,30366,26,214
2020.6.16,40969,31163,26,151
2020.6.17,41216,31938,26,247
2020.6.18,41473,31938,26,257
2020.6.19,41615,33459,26,142
2020.6.20,41833,34224,26,218
2020.6.21,42095,34942,26,262
2020.6.22,42313,35590,26,218
2020.6.23,42432,35995,26,119
2020.6.24,42623,35995,26,191
2020.6.25,42736,36604,26,113
2020.6.26,42955,36825,26,219
2020.6.27,43246,36825,26,291
2020.6.28,43459,37508,26,213
2020.6.29,43661,37985,26,202
2020.6.30,43907,38500,26,246
2020.7.1,44122,39011,26,215
2020.7.2,44310,39429,26,188
2020.7.3,44479,39429,26,169
2020.7.4,44664,39769,26,185
2020.7.5,44800,40117,26,136
2020.7.6,44983,40441,26,183
2020.7.7,45140,41002,26,157
2020.7.8,45298,41323,26,158
2020.7.9,45423,41645,26,125
2020.7.10,45614,41780,26,191
2020.7.11,45783,42026,26,169
2020.7.12,45961,42285,26,178
2020.7.13,46283,42285,26,322
2020.7.14,46630,42737,27,347
2020.7.15,46878,42988,27,248
2020.7.16,47126,43256,27,248
2020.7.17,47453,43577,27,327
2020.7.18,47655,43833,27,202
2020.7.19,47912,44086,27,257
2020.7.20,48035,44086,27,123
2020.7.21,48434,44584,27,399
2020.7.22,48744,44795,27,310
2020.7.23,49098,45015,27,354
2020.7.24,49375,45015,27,277
2020.7.25,49888,45352,27,513
2020.7.26,50369,45521,27,481
2020.7.27,50838,45521,27,469
2020.7.28,51197,45893,27,359
2020.7.29,51531,46098,27,334
2020.7.30,51809,46098,27,278
2020.7.31,52205,46491,27,396
2020.8.1,52512,46740,27,307
2020.8.2,52825,46926,27,313
2020.8.3,53051,46926,27,226
2020.8.4,53346,47454,27,295
2020.8.5,54254,47768,27,908
2020.8.6,54555,48031,27,301
2020.8.7,54797,48312,27,242
2020.8.8,54929,48583,27,132
2020.8.9,55104,48915,27,175
2020.8.10,55292,49609,27,188
2020.8.11,55353,50128,27,61
2020.8.12,55395,50520,27,42
2020.8.13,55497,50736,27,102
2020.8.14,55580,51049,27,83
2020.8.15,55661,51049,27,81
2020.8.16,55747,51953,27,86
2020.8.17,55838,52350,27,91
2020.8.18,55938,52533,27,100
2020.8.19,56031,52810,27,93
2020.8.20,56099,53119,27,68
