date,累计确诊,治愈,死亡,新增确诊
2020.4.16,18,14,0,0
2020.4.21,18,17,0,0
2020.5.7,18,18,0,0
2020.5.16,18,18,0,0
2020.5.18,18,18,0,0
2020.5.19,18,18,0,0
2020.5.20,18,18,0,0
2020.5.21,18,18,0,0
2020.5.22,18,18,0,0
2020.5.23,18,18,0,0
2020.5.24,18,18,0,0
2020.5.25,18,18,0,0
2020.5.26,18,18,0,0
2020.5.27,18,18,0,0
2020.5.28,18,18,0,0
2020.5.29,19,18,0,1
2020.5.30,19,18,0,0
2020.5.31,19,18,0,0
2020.6.1,20,18,0,1
2020.6.2,20,18,0,0
2020.6.3,20,18,0,0
2020.6.4,20,18,0,0
2020.6.5,20,18,0,0
2020.6.6,20,18,0,0
2020.6.7,20,18,0,0
2020.6.8,20,19,0,0
2020.6.9,20,20,0,0
2020.6.10,21,20,0,1
2020.6.11,21,20,0,0
2020.6.12,21,20,0,0
2020.6.13,21,20,0,0
2020.6.14,21,20,0,0
2020.6.15,21,20,0,0
2020.6.16,21,21,0,0
2020.6.17,21,21,0,0
2020.6.18,21,21,0,0
2020.6.19,21,21,0,0
2020.6.20,21,21,0,0
2020.6.21,21,21,0,0
2020.6.22,21,21,0,0
2020.6.23,21,21,0,0
2020.6.24,21,21,0,0
2020.6.25,21,21,0,0
2020.6.26,21,21,0,0
2020.6.27,21,21,0,0
2020.6.28,21,21,0,0
2020.6.29,21,21,0,0
2020.6.30,21,21,0,0
2020.7.1,21,21,0,0
2020.7.2,21,21,0,0
2020.7.3,21,21,0,0
2020.7.4,21,21,0,0
2020.7.5,21,21,0,0
2020.7.6,21,21,0,0
2020.7.7,21,21,0,0
2020.7.8,21,21,0,0
2020.7.9,21,21,0,0
2020.7.10,21,21,0,0
2020.7.11,21,21,0,0
2020.7.12,21,21,0,0
2020.7.13,21,21,0,0
2020.7.14,21,21,0,0
2020.7.15,22,21,0,1
2020.7.16,22,21,0,0
2020.7.17,22,21,0,0
2020.7.18,22,21,0,0
2020.7.19,22,21,0,0
2020.7.20,22,21,0,0
2020.7.21,22,21,0,0
2020.7.22,22,21,0,0
2020.7.23,22,21,0,0
2020.7.24,22,22,0,0
2020.7.25,22,22,0,0
2020.7.26,22,22,0,0
2020.7.27,22,22,0,0
2020.7.28,22,22,0,0
2020.7.29,22,22,0,0
2020.7.30,22,22,0,0
2020.7.31,22,22,0,0
2020.8.1,22,22,0,0
2020.8.2,22,22,0,0
2020.8.3,22,22,0,0
2020.8.4,22,22,0,0
2020.8.5,22,22,0,0
2020.8.6,22,22,0,0
2020.8.7,22,22,0,0
2020.8.8,23,22,0,1
2020.8.9,23,22,0,0
2020.8.10,23,22,0,0
2020.8.11,23,22,0,0
2020.8.12,23,22,0,0
2020.8.13,23,22,0,0
2020.8.14,23,22,0,0
2020.8.15,23,22,0,0
2020.8.16,23,22,0,0
2020.8.17,23,22,0,0
2020.8.18,23,22,0,0
2020.8.19,23,22,0,0
2020.8.20,23,22,0,0
2020.8.21,23,22,0,0
2020.8.22,23,22,0,0
2020.8.23,23,22,0,0
2020.8.24,23,23,0,0
2020.8.25,23,23,0,0
2020.8.26,23,23,0,0
2020.8.27,23,23,0,0
2020.8.28,23,23,0,0
2020.8.29,23,23,0,0
2020.8.30,23,23,0,0
2020.8.31,23,23,0,0
2020.9.1,23,23,0,0
2020.9.2,23,23,0,0
2020.9.3,23,23,0,0
2020.9.4,26,23,0,3
2020.9.5,26,23,0,0
2020.9.6,26,23,0,0
2020.9.7,26,23,0,0
2020.9.8,26,25,0,0
2020.9.9,26,25,0,0
2020.9.10,26,25,0,0
2020.9.11,26,25,0,0
2020.9.12,26,26,0,0
2020.9.13,26,26,0,0
2020.9.14,26,26,0,0
2020.9.15,26,26,0,0
2020.9.16,26,26,0,0
2020.9.17,26,26,0,0
2020.9.18,26,26,0,0
2020.9.19,26,26,0,0
2020.9.20,26,26,0,0
2020.9.21,26,26,0,0
2020.9.22,26,26,0,0
2020.9.23,26,26,0,0
2020.9.24,26,26,0,0
2020.9.25,26,26,0,0
2020.9.26,27,26,0,1
2020.9.27,27,26,0,0
2020.9.28,27,26,0,0
2020.9.29,27,26,0,0
2020.9.30,27,27,0,0
2020.10.1,27,27,0,0
2020.10.2,27,27,0,0
2020.10.3,27,27,0,0
2020.10.4,27,27,0,0
2020.10.5,27,27,0,0
2020.10.6,27,27,0,0
2020.10.7,27,27,0,0
2020.10.8,27,27,0,0
2020.10.9,27,27,0,0
2020.10.10,27,27,0,0
2020.10.11,27,27,0,0
2020.10.12,27,27,0,0
2020.10.13,27,27,0,0
2020.10.14,27,27,0,0
2020.10.15,27,27,0,0
