date,累计确诊,治愈,死亡,新增确诊
2020.4.8,1239,317,1,29
2020.4.9,1283,373,2,44
2020.4.10,1312,422,4,29
2020.4.11,1330,471,4,18
2020.4.12,1330,546,5,15
2020.4.13,1366,628,9,17
2020.4.14,1386,728,9,20
2020.4.15,1401,770,9,15
2020.4.16,1409,816,11,8
2020.4.17,1422,867,11,13
2020.4.18,1431,912,12,9
2020.4.19,1440,974,12,9
2020.4.20,1445,1006,13,5
2020.4.21,1451,1036,14,6
2020.4.23,1456,1095,17,5
2020.4.24,1461,1118,18,5
2020.4.25,1470,1142,18,9
2020.4.27,1472,1214,19,3
2020.4.28,1474,1229,19,2
2020.4.29,1476,1241,19,2
2020.4.30,1479,1252,19,3
2020.5.1,1485,1263,20,6
2020.5.2,1487,1266,20,2
2020.5.5,1488,1316,21,2
2020.5.6,1489,1332,21,2
2020.5.7,1490,1347,21,1
2020.5.9,1494,1371,21,2
2020.5.12,1497,1398,21,0
2020.5.13,1497,1402,21,0
2020.5.14,1497,1411,21,0
2020.5.15,1498,1421,21,1
2020.5.16,1498,1428,21,0
2020.5.17,1499,1433,21,1
2020.5.18,1499,1433,21,0
2020.5.19,1503,1442,21,4
2020.5.20,1503,1447,21,0
2020.5.21,1503,1452,21,0
2020.5.22,1504,1455,21,1
2020.5.23,1504,1455,21,0
2020.5.24,1504,1456,21,0
2020.5.25,1504,1456,21,0
2020.5.26,1504,1461,21,0
2020.5.27,1504,1462,21,0
2020.5.28,1504,1474,22,0
2020.5.29,1504,1481,22,0
2020.5.30,1504,1481,22,0
2020.5.31,1504,1481,22,0
2020.6.1,1504,1481,22,0
2020.6.2,1504,1481,22,0
2020.6.3,1504,1481,22,0
2020.6.4,1504,1481,22,0
2020.6.5,1504,1481,22,0
2020.6.6,1504,1481,22,0
2020.6.7,1504,1481,22,0
2020.6.8,1504,1482,22,0
2020.6.9,1504,1482,22,0
2020.6.10,1504,1482,22,0
2020.6.11,1504,1482,22,0
2020.6.12,1504,1482,22,0
2020.6.13,1504,1482,22,0
2020.6.14,1504,1482,22,0
2020.6.15,1504,1482,22,0
2020.6.16,1506,1482,22,2
2020.6.17,1506,1482,22,0
2020.6.18,1507,1482,22,1
2020.6.19,1507,1482,22,0
2020.6.20,1509,1482,22,2
2020.6.21,1511,1482,22,2
2020.6.22,1513,1482,22,2
2020.6.23,1515,1483,22,2
2020.6.24,1516,1483,22,1
2020.6.25,1519,1484,22,3
2020.6.26,1520,1484,22,1
2020.6.27,1522,1484,22,2
2020.6.28,1526,1484,22,4
2020.6.29,1528,1484,22,2
2020.6.30,1528,1484,22,0
2020.7.1,1528,1484,22,0
2020.7.2,1530,1490,22,2
2020.7.3,1530,1490,22,0
2020.7.4,1530,1490,22,0
2020.7.5,1533,1490,22,3
2020.7.6,1534,1490,22,1
2020.7.7,1536,1492,22,2
2020.7.8,1537,1492,22,1
2020.7.9,1540,1494,22,3
2020.7.10,1542,1497,22,2
2020.7.11,1543,1497,22,1
2020.7.12,1544,1497,22,1
2020.7.13,1544,1497,22,0
2020.7.14,1545,1498,22,1
2020.7.15,1547,1498,22,2
2020.7.16,1548,1499,22,1
2020.7.17,1549,1506,22,1
