date,累计确诊,治愈,死亡,新增确诊
2020.2.21,93,23,1,9
2020.2.22,105,24,1,12
2020.2.23,132,24,1,27
2020.2.24,144,26,1,12
2020.2.25,156,27,1,12
2020.2.26,164,32,1,8
2020.2.27,186,40,3,22
2020.2.28,210,41,4,24
2020.2.29,230,42,5,20
2020.3.1,239,42,5,9
2020.3.2,254,43,6,15
2020.3.3,268,46,6,14
2020.3.4,284,48,6,16
2020.3.5,317,48,6,33
2020.3.6,348,69,6,31
2020.3.7,407,76,6,59
2020.3.8,454,80,6,47
2020.3.9,522,101,9,30
2020.3.10,582,102,12,59
2020.3.11,640,118,15,56
2020.3.12,690,123,19,53
2020.3.13,726,135,21,36
2020.3.14,787,144,22,62
2020.3.15,818,144,24,62
2020.3.16,835,144,28,17
2020.3.17,880,144,29,45
2020.3.18,923,215,32,41
2020.3.19,962,215,33,39
2020.3.20,1016,215,35,52
2020.3.21,1054,215,36,39
2020.3.22,1101,215,41,46
2020.3.23,1140,285,42,38
2020.3.24,1212,301,43,72
2020.3.25,1313,310,45,101
2020.3.26,1401,359,47,94
2020.3.27,1525,372,52,123
2020.3.28,1724,372,55,199
2020.3.29,1894,372,56,169
2020.3.30,1999,424,59,105
2020.3.31,2233,424,66,234
2020.4.1,2524,472,71,277
2020.4.2,2793,505,73,283
2020.4.3,3142,514,78,346
2020.4.4,3506,514,83,367
2020.4.5,3865,575,93,360
2020.4.6,4092,575,97,360
2020.4.7,4472,622,98,366
2020.4.8,4979,632,105,508
2020.4.9,5553,685,108,574
2020.4.10,6188,714,120,638
2020.4.11,6926,714,132,738
2020.4.12,7423,762,138,502
2020.4.13,7693,799,146,290
2020.4.14,8191,853,162,498
2020.4.15,8723,901,179,532
2020.4.16,9297,918,190,574
2020.4.17,9849,1012,207,554
2020.4.18,10434,1069,224,585
2020.4.19,10810,1069,238,373
2020.4.20,11157,1239,265,347
2020.4.21,11581,1356,283,425
2020.4.22,12023,1424,299,442
2020.4.23,12480,2408,328,449
2020.4.24,12868,2536,345,391
2020.4.25,13238,2536,360,370
2020.4.26,13441,2536,372,210
2020.4.27,13614,2905,394,172
2020.4.28,13895,3187,413,282
2020.4.29,14119,3187,435,224
2020.4.30,14305,3466,455,188
2020.5.1,14571,3981,481,266
2020.5.2,14877,3981,517,266
2020.5.3,15079,3981,536,328
2020.5.4,15253,4496,556,202
2020.5.5,15374,4587,566,121
2020.5.6,15477,4918,577,103
2020.5.7,15575,5146,590,96
2020.5.8,15663,5906,607,88
2020.5.9,15777,8127,624,114
2020.5.10,15847,8293,633,70
2020.5.11,15968,8531,657,45
2020.5.12,16049,8920,678,81
