date,累计确诊,治愈,死亡,新增确诊
2020.4.7,5546,1115,48,430
2020.4.8,5546,1115,48,430
2020.4.9,5972,1274,57,426
2020.4.10,6501,1571,65,529
2020.4.11,6927,1864,73,426
2020.4.12,7213,2059,80,286
2020.4.14,7917,2646,92,392
2020.4.15,8273,2937,94,356
2020.4.16,8807,3299,105,534
2020.4.18,9730,4035,126,478
2020.4.19,10088,4338,133,358
2020.4.21,10832,4969,147,325
2020.4.22,11296,5386,160,464
2020.4.23,11812,5804,168,516
2020.4.24,12306,6327,174,494
2020.4.25,12858,6746,181,552
2020.4.26,13331,7024,189,473
2020.4.27,13813,7327,198,482
2020.4.28,14365,7710,207,552
2020.4.29,14885,8057,216,520
2020.5.1,17008,9018,234,985
2020.5.2,18435,9572,247,1427
2020.5.3,19663,10041,260,1228
2020.5.4,20643,10415,270,980
2020.5.5,22016,10710,275,1373
2020.5.6,23048,11189,281,1032
2020.5.7,24581,11664,285,1533
2020.5.8,25972,12160,294,1391
2020.5.9,27219,12667,304,1247
2020.5.10,28866,13112,312,1647
2020.5.11,30063,13605,323,1197
2020.5.12,31721,14125,335,1658
2020.5.13,34381,14865,346,2660
2020.5.14,37040,15655,368,2659
2020.5.16,41428,18014,421,1886
2020.5.17,43781,19213,450,2353
2020.5.18,46059,20165,478,2278
2020.5.19,49579,21507,509,3520
2020.5.20,49579,21507,509,0
2020.5.21,53617,22504,544,4038
2020.5.22,61857,25342,630,8240
2020.5.23,65393,26546,673,3536
2020.5.24,65393,26546,673,0
2020.5.25,73997,29302,761,8604
2020.5.26,77961,30915,806,3964
2020.5.27,82289,33540,841,4328
2020.5.28,86943,36150,890,4654
2020.5.29,90638,38598,944,3695
2020.5.30,94858,40431,997,4220
2020.5.31,94858,40431,997,0
2020.6.1,105159,44946,1113,10301
2020.6.2,105159,44946,1113,0
2020.6.3,108686,86173,1188,3527
2020.6.4,113628,90748,1275,4942
2020.6.5,118292,95631,1356,4664
2020.6.6,127745,95631,1541,9453
2020.6.7,127745,95631,1541,0
2020.6.8,138846,95631,2264,11101
2020.6.9,142759,95631,2283,3913
2020.6.10,142759,95631,2283,0
2020.6.11,154092,126444,2648,11333
2020.6.12,154092,126444,2648,0
2020.6.13,167355,131358,3101,13263
2020.6.14,167355,137296,3101,0
2020.6.15,174293,143704,3323,6938
2020.6.16,184449,148792,3383,10156
2020.6.17,184449,156232,3383,0
2020.6.18,220628,156232,3615,36179
2020.6.19,231393,186441,4093,10765
2020.6.20,231393,191491,4093,0
2020.6.21,236748,196609,4295,5355
2020.6.22,246963,205397,4502,10215
2020.6.23,250767,210570,4505,3804
2020.6.24,250767,210570,4505,0
2020.6.25,254416,215093,4731,3649
2020.6.26,263360,223431,5068,8944
2020.6.27,267766,228055,5347,4406
2020.6.28,267766,228055,5347,0
2020.6.29,271982,232210,5509,4216
2020.6.30,279393,241229,5688,7411
2020.7.1,282043,245443,5753,2650
2020.7.2,284541,249247,5920,2498
2020.7.3,288089,253343,6051,3548
2020.7.4,288089,253343,6051,0
2020.7.5,295532,261032,6308,7443
2020.7.6,295532,261032,6308,0
2020.7.7,301019,268245,6434,5487
2020.7.8,301019,268245,6434,0
2020.7.9,306216,274922,6682,5197
2020.7.10,306216,274922,6682,0
2020.7.11,309274,278053,6781,3058
2020.7.12,312029,281114,6881,2755
2020.7.13,317657,286556,7024,5628
2020.7.14,319493,289220,7069,1836
2020.7.15,321205,292085,7186,1712
2020.7.16,321205,292085,7186,0
2020.7.17,326539,296814,7290,5334
2020.7.18,326539,296814,8347,0
2020.7.19,328846,299449,8445,2307
2020.7.20,333029,303992,8633,4183
2020.7.21,333029,303992,8633,0
2020.7.22,334683,309241,8722,1654
2020.7.23,336402,309241,8722,1719
2020.7.24,338759,311431,8838,2357
2020.7.25,343592,316169,9020,4833
2020.7.26,343592,316169,9020,0
2020.7.27,345790,318095,9112,2198
2020.7.28,347923,319954,9187,2133
2020.7.29,349800,322332,9240,1877
2020.7.30,351575,324557,9278,1775
2020.7.31,353536,326628,9377,1961
2020.8.1,357658,330507,9533,4122
2020.8.2,357658,330507,9533,0
2020.8.3,359731,332411,9608,2073
2020.8.4,362962,336330,9745,3231
2020.8.5,362962,336330,9745,0
2020.8.6,366671,340168,9889,3709
2020.8.7,366671,340168,9889,0
2020.8.8,368825,342168,9958,2154
2020.8.9,371023,344133,10011,2198
2020.8.10,375044,347342,10139,4021
2020.8.11,376616,349541,10178,1572
2020.8.12,376616,349541,10178,0
2020.8.13,378168,351419,10205,1552
2020.8.14,380034,353131,10299,1866
2020.8.15,382111,355037,10340,2077
2020.8.16,383902,356951,10395,1791
2020.8.17,387502,360385,10513,3600
2020.8.18,387502,360385,10513,0
2020.8.19,388855,362440,10546,1353
2020.8.20,391849,364285,10671,2994
2020.8.21,391849,366063,10671,0
2020.8.22,395708,369730,10792,3859
2020.8.23,395708,369730,10792,0
2020.8.24,399568,372464,10916,3860
2020.8.25,400985,374463,10958,1417
2020.8.26,400985,374463,10958,0
2020.8.27,402365,376268,10990,1380
2020.8.28,405972,379452,11132,3607
2020.8.29,405972,379452,11132,0
2020.8.30,408009,381183,11181,2037
2020.8.31,409974,382584,11244,1965
2020.9.1,411726,383879,11289,1752
2020.9.2,413145,385790,11321,1419
2020.9.3,416501,389409,11422,3356
2020.9.4,418469,391248,11494,1968
2020.9.5,420434,392967,11551,1965
2020.9.6,420434,392967,11551,0
2020.9.7,424274,395717,11652,3840
2020.9.8,424274,395717,11652,0
2020.9.9,427027,399555,11702,2753
2020.9.10,428669,401356,11781,1642
2020.9.11,430535,403064,11850,1866
