date,累计确诊,治愈,死亡,新增确诊
2020.4.8,119,63,0,2
2020.4.9,119,72,0,0
2020.4.10,120,75,0,1
2020.4.11,122,77,0,2
2020.4.15,122,98,0,0
2020.4.21,122,110,0,0
2020.4.24,122,117,0,0
2020.5.1,122,120,0,0
2020.5.16,122,122,0,0
2020.5.17,122,122,0,0
2020.5.18,122,122,0,0
2020.5.19,122,122,0,0
2020.5.20,122,122,0,0
2020.5.21,123,122,0,1
2020.5.22,123,122,0,0
2020.5.23,124,122,0,1
2020.5.24,124,122,0,0
2020.5.25,124,122,0,0
2020.5.26,124,122,0,0
2020.5.27,124,122,0,0
2020.5.28,124,122,0,0
2020.5.29,124,122,0,0
2020.5.30,125,123,0,1
2020.5.31,125,123,0,0
2020.6.1,125,123,0,0
2020.6.2,125,123,0,0
2020.6.3,125,123,0,0
2020.6.4,125,123,0,0
2020.6.5,125,123,0,0
2020.6.6,125,123,0,0
2020.6.7,125,123,0,0
2020.6.8,126,123,0,1
2020.6.9,126,124,0,0
2020.6.10,126,125,0,0
2020.6.11,126,125,0,0
2020.6.12,126,125,0,0
2020.6.13,126,125,0,0
2020.6.14,128,125,0,2
2020.6.15,128,125,0,0
2020.6.16,128,125,0,0
2020.6.17,128,126,0,0
2020.6.18,129,126,0,1
2020.6.19,129,126,0,0
2020.6.20,129,126,0,0
2020.6.21,129,127,0,0
2020.6.22,129,127,0,0
2020.6.23,130,127,0,1
2020.6.24,130,127,0,0
2020.6.25,130,127,0,0
2020.6.26,130,127,0,0
2020.6.27,139,129,0,9
2020.6.28,141,129,0,2
2020.6.29,141,130,0,0
2020.6.30,141,130,0,0
2020.7.1,141,131,0,0
2020.7.2,141,131,0,0
2020.7.3,141,131,0,0
2020.7.4,141,131,0,0
2020.7.5,141,131,0,0
2020.7.6,141,131,0,0
2020.7.7,141,131,0,0
2020.7.8,141,131,0,0
2020.7.9,141,131,0,0
2020.7.10,141,131,0,0
2020.7.11,141,133,0,0
2020.7.12,156,133,0,15
2020.7.13,156,133,0,0
2020.7.14,165,133,0,9
2020.7.15,165,133,0,0
2020.7.16,166,133,0,1
2020.7.17,171,133,0,5
2020.7.18,171,133,0,0
2020.7.19,171,136,0,0
2020.7.20,171,136,0,0
2020.7.21,197,140,0,26
2020.7.22,197,140,0,0
2020.7.23,198,142,0,1
2020.7.24,202,142,0,4
2020.7.25,202,142,0,0
2020.7.26,225,143,0,23
2020.7.27,225,143,0,0
2020.7.28,226,147,0,1
2020.7.29,226,147,0,0
2020.7.30,234,162,0,8
2020.7.31,234,164,0,0
2020.8.1,239,164,0,5
2020.8.2,240,196,0,1
2020.8.3,240,197,0,0
2020.8.4,240,197,0,0
2020.8.5,243,202,0,3
2020.8.6,243,210,0,0
2020.8.7,243,214,0,0
2020.8.8,246,215,0,3
2020.8.9,248,217,0,2
2020.8.10,251,219,0,3
2020.8.11,266,220,0,15
2020.8.12,268,220,0,2
2020.8.13,272,223,0,4
2020.8.14,273,225,0,1
2020.8.15,273,229,0,0
2020.8.16,273,238,0,0
2020.8.17,273,238,0,0
2020.8.18,273,238,0,0
2020.8.19,273,251,0,0
2020.8.20,273,253,0,0
2020.8.21,273,253,0,0
2020.8.22,273,263,0,0
2020.8.23,273,263,0,0
2020.8.24,273,263,0,0
2020.8.25,273,263,0,0
2020.8.26,273,264,0,0
2020.8.27,273,264,0,0
2020.8.28,273,265,0,0
2020.8.29,273,265,0,0
2020.8.30,273,265,0,0
2020.8.31,274,266,0,1
2020.9.1,274,266,0,0
2020.9.2,274,266,0,0
2020.9.3,274,271,0,0
2020.9.4,274,272,0,0
2020.9.5,274,272,0,0
2020.9.6,274,272,0,0
2020.9.7,274,272,0,0
2020.9.8,274,273,0,0
2020.9.9,274,273,0,0
2020.9.10,274,273,0,0
2020.9.11,274,274,0,0
2020.9.12,274,274,0,0
2020.9.13,275,274,0,1
2020.9.14,275,274,0,0
2020.9.15,275,274,0,0
2020.9.16,275,274,0,0
2020.9.17,275,274,0,0
2020.9.18,275,274,0,0
2020.9.19,275,274,0,0
2020.9.20,275,274,0,0
2020.9.21,275,274,0,0
2020.9.22,275,274,0,0
2020.9.23,275,274,0,0
2020.9.24,275,274,0,0
2020.9.25,275,274,0,0
2020.9.26,275,274,0,0
2020.9.27,276,274,0,1
2020.9.28,276,275,0,0
2020.9.29,277,275,0,1
2020.9.30,277,275,0,0
2020.10.1,277,275,0,0
2020.10.2,278,275,0,1
2020.10.3,278,275,0,0
2020.10.4,278,275,0,0
2020.10.5,280,275,0,2
2020.10.6,280,276,0,0
2020.10.7,280,276,0,0
2020.10.8,281,276,0,1
2020.10.9,282,277,0,1
2020.10.10,283,277,0,1
2020.10.11,283,278,0,0
2020.10.12,283,278,0,0
2020.10.13,283,278,0,0
2020.10.14,283,278,0,0
2020.10.15,283,278,0,0
2020.10.16,283,278,0,0
2020.10.17,283,280,0,0
2020.10.18,283,280,0,0
2020.10.19,283,280,0,0
2020.10.20,285,280,0,2
2020.10.21,286,280,0,1
2020.10.22,286,280,0,0
2020.10.23,286,280,0,0
2020.10.24,287,283,0,1
2020.10.25,287,283,0,0
2020.10.26,287,283,0,0
2020.10.27,288,283,0,1
2020.10.28,290,283,0,2
2020.10.29,290,283,0,0
2020.10.30,291,283,0,1
2020.10.31,291,283,0,0
2020.11.1,291,283,0,0
2020.11.2,292,283,0,1
2020.11.3,292,283,0,0
2020.11.4,292,283,0,0
2020.11.5,292,283,0,0
2020.11.6,292,286,0,0
2020.11.7,294,288,0,2
2020.11.8,295,288,0,1
2020.11.9,297,288,0,2
2020.11.10,300,288,0,3
2020.11.11,301,288,0,1
2020.11.12,301,288,0,0
2020.11.13,301,289,0,0
2020.11.14,302,289,0,1
2020.11.15,302,289,0,0
2020.11.16,302,289,0,0
2020.11.17,303,291,0,1
2020.11.18,304,291,0,1
2020.11.19,304,291,0,0
2020.11.20,304,291,0,0
2020.11.21,305,295,0,1
2020.11.22,306,295,0,1
2020.11.23,306,295,0,0
2020.11.24,306,296,0,0
2020.11.25,307,298,0,1
2020.11.26,307,298,0,0
2020.11.27,307,298,0,0
2020.11.28,308,299,0,1
2020.11.29,315,301,0,7
2020.11.30,326,304,0,8
2020.12.1,326,304,0,0
2020.12.2,329,304,0,3
2020.12.3,331,304,0,2
2020.12.4,335,304,0,4
2020.12.5,345,305,0,10
2020.12.6,346,306,0,1
2020.12.7,348,306,0,2
2020.12.8,350,307,0,2
2020.12.9,354,307,0,4
2020.12.10,356,307,0,2
2020.12.11,357,307,0,1
2020.12.12,357,307,0,0
2020.12.13,359,307,0,2
2020.12.14,359,309,0,0
2020.12.15,362,312,0,3
2020.12.16,362,319,0,0
2020.12.17,362,324,0,0
2020.12.18,362,341,0,0
2020.12.19,362,345,0,0
2020.12.20,362,345,0,0
2020.12.21,363,345,0,1
2020.12.22,363,347,0,0
2020.12.23,363,349,0,0
2020.12.24,363,351,0,0
2020.12.25,363,354,0,0
2020.12.26,363,355,0,0
2020.12.27,364,360,0,1
2020.12.28,364,360,0,0
2020.12.29,364,360,0,0
2020.12.30,364,361,0,0
2020.12.31,366,361,0,2
2021.1.1,378,362,0,12
2021.1.2,379,362,0,1
2021.1.3,381,362,0,2
2021.1.4,382,362,0,1
2021.1.5,382,362,0,0
2021.1.6,383,362,0,1
2021.1.7,385,362,0,2
2021.1.8,386,362,0,1
2021.1.9,387,365,0,1
2021.1.10,391,371,0,4
2021.1.11,392,374,0,1
2021.1.12,392,374,0,0
2021.1.13,398,376,0,6
2021.1.14,411,377,0,13
2021.1.15,426,381,0,15
2021.1.16,436,382,0,10
2021.1.17,439,385,0,3
2021.1.18,439,386,0,0
2021.1.19,441,386,0,2
2021.1.20,448,392,0,7
2021.1.21,453,396,0,5
2021.1.22,456,399,0,3
2021.1.23,456,403,0,0
2021.1.24,458,405,0,2
2021.1.25,458,409,0,0
2021.1.26,460,412,0,2
2021.1.27,460,412,0,0
2021.1.28,461,428,0,1
2021.1.29,463,438,0,2
2021.1.30,464,443,0,1
2021.1.31,465,443,0,1
2021.2.1,466,443,0,1
2021.2.2,466,443,0,0
2021.2.3,466,447,0,0
2021.2.4,467,451,0,1
2021.2.5,470,452,0,3
2021.2.6,472,453,0,2
