date,累计确诊,治愈,死亡,新增确诊
2020.4.10,14,0,0,2
2020.4.17,14,6,0,1
2020.4.22,15,6,0,0
2020.4.24,15,7,0,3
2020.4.25,18,7,0,1
2020.4.29,19,10,0,1
2020.4.30,20,13,0,1
2020.5.2,21,13,0,1
2020.5.15,22,14,0,0
2020.5.16,22,14,0,0
2020.5.18,22,14,0,0
2020.5.19,22,14,0,0
2020.5.20,22,14,0,0
2020.5.21,22,17,0,0
2020.5.22,22,17,0,0
2020.5.23,22,17,0,0
2020.5.24,22,17,0,0
2020.5.25,22,17,0,1
2020.5.26,23,18,0,0
2020.5.27,23,18,0,0
2020.5.28,23,18,0,0
2020.5.29,23,18,0,0
2020.5.30,23,18,0,0
2020.5.31,23,18,0,0
2020.6.1,23,18,0,0
2020.6.2,23,18,0,0
2020.6.3,23,18,0,0
2020.6.4,23,18,0,0
2020.6.5,23,18,0,0
2020.6.6,23,22,0,0
2020.6.7,23,22,0,0
2020.6.8,23,22,0,0
2020.6.9,23,22,0,0
2020.6.10,23,22,0,0
2020.6.11,23,22,0,0
2020.6.12,23,22,0,0
2020.6.13,23,22,0,0
2020.6.14,23,22,0,0
2020.6.15,23,22,0,0
2020.6.16,23,22,0,0
2020.6.17,23,22,0,0
2020.6.18,23,22,0,0
2020.6.19,23,23,0,0
2020.6.20,23,23,0,0
2020.6.21,23,23,0,0
2020.6.22,23,23,0,0
2020.6.23,23,23,0,0
2020.6.24,23,23,0,0
2020.6.25,23,23,0,0
2020.6.26,23,23,0,0
2020.6.27,23,23,0,0
2020.6.28,23,23,0,0
2020.6.29,23,23,0,0
2020.6.30,23,23,0,0
2020.7.1,23,23,0,0
2020.7.2,23,23,0,0
2020.7.3,23,23,0,0
2020.7.4,23,23,0,0
2020.7.5,23,23,0,0
2020.7.6,23,23,0,0
2020.7.7,23,23,0,0
2020.7.8,23,23,0,0
2020.7.9,23,23,0,0
2020.7.10,23,23,0,0
2020.7.11,23,23,0,0
2020.7.12,23,23,0,0
2020.7.13,23,23,0,0
2020.7.14,23,23,0,0
2020.7.15,23,23,0,0
2020.7.16,23,23,0,0
2020.7.17,23,23,0,0
2020.7.18,23,23,0,0
2020.7.19,23,23,0,0
2020.7.20,23,23,0,0
2020.7.21,23,23,0,0
2020.7.22,23,23,0,0
2020.7.23,23,23,0,0
2020.7.24,23,23,0,0
2020.7.25,23,23,0,0
2020.7.26,23,23,0,0
2020.7.27,23,23,0,0
2020.7.28,23,23,0,0
2020.7.29,23,23,0,1
2020.7.30,24,23,0,0
2020.7.31,24,23,0,0
2020.8.1,24,23,0,0
2020.8.2,24,23,0,0
2020.8.3,24,23,0,0
2020.8.4,24,23,0,0
2020.8.5,24,23,0,0
2020.8.6,24,23,0,0
2020.8.7,24,23,0,0
2020.8.8,24,23,0,0
2020.8.9,24,23,0,0
2020.8.10,24,23,0,0
2020.8.11,24,23,0,0
2020.8.12,24,23,0,0
2020.8.13,24,23,0,0
2020.8.14,24,23,0,0
2020.8.15,24,23,0,0
2020.8.16,24,23,0,0
2020.8.17,24,23,0,0
2020.8.18,24,24,0,0
2020.8.19,24,24,0,0
2020.8.20,24,24,0,0
2020.8.21,24,24,0,0
2020.8.22,24,24,0,0
2020.8.23,24,24,0,0
2020.8.24,24,24,0,0
2020.8.25,24,24,0,0
2020.8.26,24,24,0,0
2020.8.27,24,24,0,0
2020.8.28,24,24,0,0
2020.8.29,24,24,0,0
2020.8.30,24,24,0,0
2020.8.31,24,24,0,0
2020.9.1,24,24,0,0
2020.9.2,24,24,0,0
2020.9.3,24,24,0,0
2020.9.4,24,24,0,0
2020.9.5,24,24,0,0
2020.9.6,24,24,0,0
2020.9.7,24,24,0,0
2020.9.8,24,24,0,0
2020.9.9,24,24,0,0
2020.9.10,24,24,0,0
2020.9.11,24,24,0,0
2020.9.12,24,24,0,0
2020.9.13,24,24,0,0
2020.9.14,24,24,0,0
2020.9.15,24,24,0,0
2020.9.16,24,24,0,0
