date,累计确诊,治愈,死亡,新增确诊
2020.5.16,11,11,0,0
2020.5.17,11,11,0,0
2020.5.18,11,11,0,0
2020.5.19,11,11,0,0
2020.5.20,11,11,0,0
2020.5.21,11,11,0,0
2020.5.22,11,11,0,0
2020.5.23,11,11,0,0
2020.5.24,11,11,0,0
2020.5.25,12,11,0,1
2020.5.26,12,11,0,0
2020.5.27,12,11,0,0
2020.5.28,13,11,0,1
2020.5.29,13,11,0,0
2020.5.30,13,11,0,0
2020.5.31,13,11,0,0
2020.6.1,13,11,0,0
2020.6.2,13,11,0,0
2020.6.3,13,11,0,0
2020.6.4,13,11,0,0
2020.6.5,13,13,0,0
2020.6.6,13,13,0,0
2020.6.7,13,13,0,0
2020.6.8,13,13,0,0
2020.6.9,13,13,0,0
2020.6.10,13,13,0,0
2020.6.11,13,13,0,0
2020.6.12,13,13,0,0
2020.6.13,13,13,0,0
2020.6.14,13,13,0,0
2020.6.15,13,13,0,0
2020.6.16,13,13,0,0
2020.6.17,13,13,0,0
2020.6.18,13,13,0,0
2020.6.19,13,13,0,0
2020.6.20,13,13,0,0
2020.6.21,13,13,0,0
2020.6.22,13,13,0,0
2020.6.23,13,13,0,0
2020.6.24,13,13,0,0
2020.6.25,13,13,0,0
2020.6.26,13,13,0,0
2020.6.27,13,13,0,0
2020.6.28,13,13,0,0
2020.6.29,13,13,0,0
2020.6.30,13,13,0,0
2020.7.1,13,13,0,0
2020.7.2,13,13,0,0
2020.7.3,13,13,0,0
2020.7.4,13,13,0,0
2020.7.5,13,13,0,0
2020.7.6,13,13,0,0
2020.7.7,13,13,0,0
2020.7.8,13,13,0,0
2020.7.9,13,13,0,0
2020.7.10,13,13,0,0
2020.7.11,13,13,0,0
2020.7.12,13,13,0,0
2020.7.13,13,13,0,0
2020.7.14,13,13,0,0
2020.7.15,13,13,0,0
2020.7.16,13,13,0,0
2020.7.17,13,13,0,0
2020.7.18,13,13,0,0
2020.7.19,13,13,0,0
2020.7.20,13,13,0,0
2020.7.21,13,13,0,0
2020.7.22,13,13,0,0
2020.7.23,13,13,0,0
2020.7.24,13,13,0,0
2020.7.25,13,13,0,0
2020.7.26,13,13,0,0
2020.7.27,13,13,0,0
2020.7.28,14,13,0,1
2020.7.29,14,13,0,0
2020.7.30,14,13,0,0
2020.7.31,14,13,0,0
2020.8.1,14,13,0,0
2020.8.2,14,13,0,0
2020.8.3,14,13,0,0
2020.8.4,14,13,0,0
2020.8.5,14,13,0,0
2020.8.6,14,14,0,0
2020.8.7,14,14,0,0
2020.8.8,14,14,0,0
2020.8.9,14,14,0,0
2020.8.10,14,14,0,0
2020.8.11,14,14,0,0
2020.8.12,14,14,0,0
2020.8.13,14,14,0,0
2020.8.14,14,14,0,0
2020.8.15,14,14,0,0
2020.8.16,14,14,0,0
2020.8.17,14,14,0,0
2020.8.18,14,14,0,0
2020.8.19,14,14,0,0
2020.8.20,14,14,0,0
2020.8.21,14,14,0,0
2020.8.22,14,14,0,0
2020.8.23,14,14,0,0
2020.8.24,14,14,0,0
2020.8.25,14,14,0,0
2020.8.26,14,14,0,0
2020.8.27,14,14,0,0
2020.8.28,14,14,0,0
2020.8.29,14,14,0,0
2020.8.30,14,14,0,0
2020.8.31,14,14,0,0
2020.9.1,14,14,0,0
2020.9.2,14,14,0,0
2020.9.3,14,14,0,0
2020.9.4,14,14,0,0
2020.9.5,14,14,0,0
2020.9.6,14,14,0,0
2020.9.7,14,14,0,0
2020.9.8,14,14,0,0
2020.9.9,14,14,0,0
2020.9.10,14,14,0,0
2020.9.11,14,14,0,0
2020.9.12,14,14,0,0
2020.9.13,14,14,0,0
2020.9.14,14,14,0,0
2020.9.15,14,14,0,0
2020.9.16,14,14,0,0
2020.9.17,14,14,0,0
2020.9.18,14,14,0,0
2020.9.19,14,14,0,0
2020.9.20,14,14,0,0
2020.9.21,14,14,0,0
2020.9.22,14,14,0,0
2020.9.23,14,14,0,0
2020.9.24,14,14,0,0
2020.9.25,14,14,0,0
2020.9.26,14,14,0,0
2020.9.27,14,14,0,0
2020.9.28,14,14,0,0
2020.9.29,14,14,0,0
2020.9.30,14,14,0,0
2020.10.1,14,14,0,0
2020.10.2,14,14,0,0
2020.10.3,14,14,0,0
2020.10.4,14,14,0,0
2020.10.5,14,14,0,0
2020.10.6,14,14,0,0
2020.10.7,15,14,0,1
2020.10.8,15,14,0,0
2020.10.9,15,14,0,0
2020.10.10,16,14,0,1
2020.10.11,16,14,0,0
2020.10.12,16,14,0,0
2020.10.13,16,14,0,0
2020.10.14,16,14,0,0
2020.10.15,16,14,0,0
2020.10.16,16,14,0,0
2020.10.17,16,14,0,0
2020.10.18,16,14,0,0
2020.10.19,16,14,0,0
2020.10.20,16,14,0,0
2020.10.21,16,16,0,0
2020.10.22,17,16,0,1
2020.10.23,17,16,0,0
2020.10.24,17,16,0,0
2020.10.25,17,16,0,0
2020.10.26,17,16,0,0
2020.10.27,17,16,0,0
2020.10.28,17,16,0,0
2020.10.29,17,16,0,0
2020.10.30,17,16,0,0
2020.10.31,17,16,0,0
2020.11.1,17,16,0,0
2020.11.2,17,16,0,0
2020.11.3,17,16,0,0
2020.11.4,17,16,0,0
2020.11.5,17,17,0,0
2020.11.6,17,17,0,0
2020.11.7,17,17,0,0
2020.11.8,17,17,0,0
2020.11.9,17,17,0,0
