date,累计确诊,治愈,死亡,新增确诊
2020.4.8,211,50,3,15
2020.4.9,218,51,3,4
2020.4.10,234,54,3,4
2020.4.11,242,60,3,8
2020.4.12,257,67,3,15
2020.4.13,272,68,3,15
2020.4.14,300,69,3,28
2020.4.15,309,71,3,28
2020.4.16,348,76,3,42
2020.4.17,385,84,3,15
2020.4.18,388,86,3,18
2020.4.19,399,93,4,5
2020.4.20,402,95,4,8
2020.4.21,408,97,4,3
2020.4.22,416,107,5,5
2020.4.23,425,111,5,9
2020.4.24,444,132,5,19
2020.4.25,485,139,6,29
2020.4.26,486,149,6,30
2020.4.27,497,156,6,11
2020.4.28,517,168,6,6
2020.4.29,539,178,6,22
2020.4.30,566,184,6,27
2020.5.1,582,207,7,16
2020.5.2,589,215,8,7
2020.5.3,593,223,9,4
2020.5.4,604,240,9,11
2020.5.5,610,269,9,6
2020.5.6,615,275,9,5
2020.5.7,623,288,9,8
2020.5.8,626,297,10,3
2020.5.10,638,317,11,3
2020.5.11,639,349,11,1
2020.5.12,642,349,11,4
2020.5.13,652,383,12,5
2020.5.15,677,419,12,6
2020.5.16,683,419,12,12
2020.5.17,695,425,12,12
2020.5.18,701,432,12,6
2020.5.19,702,456,12,1
2020.5.20,713,475,12,11
2020.5.21,721,485,12,8
2020.5.22,723,495,12,2
2020.5.23,728,509,12,5
2020.5.24,730,522,12,2
2020.5.25,731,526,12,1
2020.5.26,732,537,12,1
2020.5.27,735,557,12,3
2020.5.28,738,573,12,3
2020.5.29,746,576,12,8
2020.5.30,757,600,12,11
2020.5.31,783,605,12,26
2020.6.1,794,624,12,11
2020.6.2,796,634,12,2
2020.6.3,800,640,13,4
2020.6.4,801,644,13,1
2020.6.5,805,650,13,4
2020.6.6,808,663,13,3
2020.6.7,809,674,13,1
2020.6.8,812,683,13,3
2020.6.9,818,686,13,6
2020.6.10,827,690,13,9
2020.6.11,831,694,13,4
2020.6.12,843,697,13,12
2020.6.13,851,702,13,8
2020.6.14,864,703,14,13
2020.6.15,879,704,14,15
2020.6.16,879,724,14,0
2020.6.17,888,731,14,9
2020.6.18,893,739,14,5
2020.6.19,896,741,14,3
2020.6.20,898,752,14,2
2020.6.21,906,755,14,8
2020.6.22,908,761,14,2
2020.6.23,911,761,14,3
2020.6.24,914,771,14,3
2020.6.25,917,776,14,3
2020.6.26,919,780,14,2
2020.6.27,921,781,14,2
2020.6.28,924,785,15,3
2020.6.29,926,791,15,2
2020.6.30,928,794,15,2
2020.7.1,931,794,15,3
2020.7.2,939,817,15,8
2020.7.3,943,821,15,4
2020.7.4,948,825,15,5
2020.7.5,951,828,15,3
2020.7.6,953,830,15,2
2020.7.7,958,838,15,5
2020.7.8,963,841,15,5
2020.7.9,968,844,15,5
2020.7.10,973,846,15,5
2020.7.11,981,851,15,8
2020.7.12,986,857,15,5
2020.7.13,995,857,15,9
2020.7.14,999,870,15,4
2020.7.15,1004,873,15,5
2020.7.16,1006,883,15,2
2020.7.17,1010,885,15,4
2020.7.18,1018,895,15,8
2020.7.19,1028,899,15,10
2020.7.20,1039,900,16,11
2020.7.21,1049,903,16,10
2020.7.22,1073,907,16,24
2020.7.23,1085,911,16,12
2020.7.24,1104,912,16,19
2020.7.25,1117,917,16,13
2020.7.26,1131,920,16,14
2020.7.27,1137,922,16,6
2020.7.28,1145,927,16,8
2020.7.29,1155,929,16,10
2020.7.30,1160,935,17,5
2020.7.31,1168,940,17,8
2020.8.1,1171,947,17,3
2020.8.2,1177,955,17,6
2020.8.3,1179,959,17,2
2020.8.4,1182,962,17,3
2020.8.5,1197,974,17,15
2020.8.6,1206,987,17,9
2020.8.7,1213,994,17,7
2020.8.8,1216,996,17,3
2020.8.9,1225,1000,17,9
2020.8.10,1250,1010,17,25
2020.8.11,1264,1054,17,14
2020.8.12,1278,1058,17,14
2020.8.13,1283,1068,17,5
2020.8.14,1306,1085,17,23
2020.8.15,1321,1088,17,15
2020.8.16,1336,1088,17,15
2020.8.17,1341,1092,17,5
2020.8.18,1351,1092,17,10
2020.8.19,1361,1098,17,10
2020.8.20,1370,1108,17,9
2020.8.21,1385,1128,17,15
2020.8.22,1394,1132,17,9
2020.8.23,1411,1132,17,17
2020.8.24,1421,1137,18,10
2020.8.25,1429,1150,19,8
2020.8.26,1436,1150,19,7
2020.8.27,1447,1190,19,11
2020.8.28,1455,1196,19,8
2020.8.29,1462,1196,19,7
2020.8.30,1469,1221,19,7
2020.8.31,1487,1240,19,18
2020.9.1,1510,1253,19,23
2020.9.2,1548,1270,19,38
