date,累计确诊,治愈,死亡,新增确诊
2020.4.20,9,2,0,1
2020.4.28,10,2,0,1
2020.4.30,11,2,0,1
2020.5.6,12,2,0,1
2020.5.16,12,2,0,0
2020.5.18,12,2,0,0
2020.5.19,12,2,0,0
2020.5.20,12,2,0,0
2020.5.21,12,2,0,0
2020.5.22,12,2,0,0
2020.5.23,12,2,0,0
2020.5.24,12,2,0,0
2020.5.25,12,2,0,0
2020.5.26,12,2,0,0
2020.5.27,12,2,0,0
2020.5.28,12,2,0,0
2020.5.29,12,2,0,0
2020.5.30,12,2,0,0
2020.5.31,12,2,0,0
2020.6.1,12,2,0,0
2020.6.2,12,2,0,0
2020.6.3,12,2,0,0
2020.6.4,12,2,0,0
2020.6.5,12,2,0,0
2020.6.6,12,2,0,0
2020.6.7,12,12,0,0
2020.6.8,12,12,0,0
2020.6.9,12,12,0,0
2020.6.10,12,12,0,0
2020.6.11,12,12,0,0
2020.6.12,12,12,0,0
2020.6.13,12,12,0,0
2020.6.14,12,12,0,0
2020.6.15,12,12,0,0
2020.6.16,12,12,0,0
2020.6.17,12,12,0,0
2020.6.18,12,12,0,0
2020.6.19,12,12,0,0
2020.6.20,12,12,0,0
2020.6.21,12,12,0,0
2020.6.22,12,12,0,0
2020.6.23,12,12,0,0
2020.6.24,12,12,0,0
2020.6.25,12,12,0,0
2020.6.26,12,12,0,0
2020.6.27,12,12,0,0
2020.6.28,12,12,0,0
2020.6.29,12,12,0,0
2020.6.30,12,12,0,0
2020.7.1,12,12,0,0
2020.7.2,12,12,0,0
2020.7.3,12,12,0,0
2020.7.4,12,12,0,0
2020.7.5,12,12,0,0
2020.7.6,12,12,0,0
2020.7.7,12,12,0,0
2020.7.8,12,12,0,0
2020.7.9,12,12,0,0
2020.7.10,12,12,0,0
2020.7.11,12,12,0,0
2020.7.12,12,12,0,0
2020.7.13,12,12,0,0
2020.7.14,12,12,0,0
2020.7.15,12,12,0,0
2020.7.16,12,12,0,0
2020.7.17,12,12,0,0
2020.7.18,12,12,0,0
2020.7.19,12,12,0,0
2020.7.20,12,12,0,0
2020.7.21,12,12,0,0
2020.7.22,12,12,0,0
2020.7.23,12,12,0,0
2020.7.24,12,12,0,0
2020.7.25,12,12,0,0
2020.7.26,12,12,0,0
2020.7.27,12,12,0,0
2020.7.28,12,12,0,0
2020.7.29,12,12,0,0
2020.7.30,12,12,0,0
2020.7.31,12,12,0,0
2020.8.1,12,12,0,0
2020.8.2,12,12,0,0
2020.8.3,12,12,0,0
2020.8.4,12,12,0,0
2020.8.5,12,12,0,0
2020.8.6,12,12,0,0
2020.8.7,12,12,0,0
2020.8.8,12,12,0,0
2020.8.9,12,12,0,0
2020.8.10,12,12,0,0
2020.8.11,12,12,0,0
2020.8.12,12,12,0,0
2020.8.13,12,12,0,0
2020.8.14,12,12,0,0
2020.8.15,12,12,0,0
2020.8.16,12,12,0,0
2020.8.17,12,12,0,0
2020.8.18,12,12,0,0
2020.8.19,12,12,0,0
2020.8.20,12,12,0,0
2020.8.21,12,12,0,0
2020.8.22,12,12,0,0
2020.8.23,12,12,0,0
2020.8.24,12,12,0,0
2020.8.25,12,12,0,0
2020.8.26,12,12,0,0
2020.8.27,12,12,0,0
2020.8.28,12,12,0,0
2020.8.29,12,12,0,0
2020.8.30,12,12,0,0
2020.8.31,12,12,0,0
2020.9.1,12,12,0,0
2020.9.2,12,12,0,0
2020.9.3,12,12,0,0
2020.9.4,12,12,0,0
2020.9.5,12,12,0,0
2020.9.6,12,12,0,0
2020.9.7,12,12,0,0
2020.9.8,12,12,0,0
2020.9.9,12,12,0,0
2020.9.10,12,12,0,0
2020.9.11,12,12,0,0
2020.9.12,12,12,0,0
2020.9.13,12,12,0,0
2020.9.14,12,12,0,0
2020.9.15,12,12,0,0
2020.9.16,12,12,0,0
2020.9.17,12,12,0,0
2020.9.18,12,12,0,0
2020.9.19,12,12,0,0
2020.9.20,12,12,0,0
2020.9.21,12,12,0,0
2020.9.22,12,12,0,0
2020.9.23,12,12,0,0
2020.9.24,12,12,0,0
2020.9.25,12,12,0,0
2020.9.26,12,12,0,0
2020.9.27,12,12,0,0
2020.9.28,12,12,0,0
2020.9.29,12,12,0,0
2020.9.30,12,12,0,0
2020.10.1,12,12,0,0
2020.10.2,12,12,0,0
2020.10.3,12,12,0,0
2020.10.4,12,12,0,0
2020.10.5,12,12,0,0
2020.10.6,12,12,0,0
2020.10.7,12,12,0,0
2020.10.8,12,12,0,0
2020.10.9,12,12,0,0
2020.10.10,12,12,0,0
2020.10.11,12,12,0,0
2020.10.12,19,12,0,7
2020.10.13,19,12,0,0
2020.10.14,19,12,0,0
2020.10.15,19,12,0,0
2020.10.16,26,12,0,7
2020.10.17,27,15,0,1
2020.10.18,27,15,0,0
2020.10.19,27,15,0,0
2020.10.20,27,15,0,0
2020.10.21,27,15,0,0
2020.10.22,27,15,0,0
2020.10.23,27,15,0,0
2020.10.24,27,15,0,0
2020.10.25,27,15,0,0
2020.10.26,27,15,0,0
2020.10.27,27,15,0,0
2020.10.28,27,15,0,0
2020.10.29,27,15,0,0
2020.10.30,27,15,0,0
2020.10.31,27,15,0,0
2020.11.1,27,15,0,0
2020.11.2,27,15,0,0
2020.11.3,27,15,0,0
2020.11.4,27,15,0,0
2020.11.5,27,15,0,0
2020.11.6,27,15,0,0
2020.11.7,27,15,0,0
2020.11.8,27,15,0,0
2020.11.9,27,15,0,0
2020.11.10,27,15,0,0
2020.11.11,27,15,0,0
2020.11.12,27,15,0,0
2020.11.13,27,15,0,0
2020.11.14,27,15,0,0
2020.11.15,27,15,0,0
2020.11.16,27,15,0,0
2020.11.17,27,15,0,0
2020.11.18,27,15,0,0
2020.11.19,27,15,0,0
2020.11.20,27,15,0,0
2020.11.21,27,15,0,0
2020.11.22,27,15,0,0
2020.11.23,27,15,0,0
2020.11.24,27,15,0,0
2020.11.25,27,15,0,0
2020.11.26,27,15,0,0
2020.11.27,27,15,0,0
2020.11.28,27,15,0,0
2020.11.29,27,15,0,0
2020.11.30,27,15,0,0
2020.12.1,27,15,0,0
2020.12.2,27,15,0,0
2020.12.3,27,15,0,0
2020.12.4,27,15,0,0
2020.12.5,27,15,0,0
2020.12.6,27,15,0,0
2020.12.7,27,15,0,0
2020.12.8,27,15,0,0
2020.12.9,27,15,0,0
2020.12.10,27,15,0,0
2020.12.11,27,15,0,0
2020.12.12,27,15,0,0
2020.12.13,27,15,0,0
2020.12.14,27,15,0,0
2020.12.15,27,15,0,0
2020.12.16,27,15,0,0
2020.12.17,27,15,0,0
2020.12.18,27,15,0,0
2020.12.19,27,15,0,0
2020.12.20,27,15,0,0
2020.12.21,27,15,0,0
2020.12.22,27,15,0,0
2020.12.23,27,15,0,0
2020.12.24,27,15,0,0
2020.12.25,27,15,0,0
2020.12.26,27,15,0,0
2020.12.27,27,15,0,0
2020.12.28,27,15,0,0
2020.12.29,27,15,0,0
2020.12.30,27,15,0,0
2020.12.31,27,15,0,0
2021.1.1,27,15,0,0
2021.1.2,27,15,0,0
2021.1.3,27,15,0,0
2021.1.4,27,15,0,0
2021.1.5,27,15,0,0
2021.1.6,27,15,0,0
2021.1.7,27,15,0,0
2021.1.8,27,15,0,0
2021.1.9,27,15,0,0
2021.1.10,27,15,0,0
2021.1.11,27,15,0,0
2021.1.12,27,15,0,0
2021.1.13,27,15,0,0
2021.1.14,27,15,0,0
2021.1.15,27,15,0,0
2021.1.16,27,15,0,0
2021.1.17,27,15,0,0
2021.1.18,27,15,0,0
2021.1.19,27,15,0,0
2021.1.20,27,15,0,0
2021.1.21,27,15,0,0
2021.1.22,27,15,0,0
2021.1.23,27,15,0,0
2021.1.24,27,15,0,0
2021.1.25,27,15,0,0
2021.1.26,27,15,0,0
2021.1.27,27,15,0,0
2021.1.28,27,15,0,0
2021.1.29,27,15,0,0
2021.1.30,27,15,0,0
2021.1.31,27,15,0,0
2021.2.1,27,15,0,0
2021.2.2,27,15,0,0
2021.2.3,27,15,0,0
2021.2.4,27,15,0,0
2021.2.5,27,15,0,0
2021.2.6,27,15,0,0
2021.2.7,27,15,0,0
2021.2.8,27,15,0,0
2021.2.9,27,15,0,0
2021.2.10,27,15,0,0
2021.2.11,27,15,0,0
2021.2.12,27,15,0,0
2021.2.13,27,15,0,0
2021.2.14,27,15,0,0
2021.2.15,27,15,0,0
2021.2.16,27,15,0,0
2021.2.17,27,15,0,0
2021.2.18,27,15,0,0
2021.2.19,27,15,0,0
2021.2.20,27,15,0,0
2021.2.21,27,15,0,0
2021.2.22,27,15,0,0
2021.2.23,27,15,0,0
2021.2.24,27,15,0,0
2021.2.25,27,15,0,0
2021.2.26,27,15,0,0
2021.2.27,27,15,0,0
2021.2.28,27,15,0,0
2021.3.1,27,15,0,0
2021.3.2,27,15,0,0
2021.3.3,27,15,0,0
2021.3.4,27,15,0,0
2021.3.5,27,15,0,0
2021.3.6,27,15,0,0
2021.3.7,27,15,0,0
2021.3.8,27,15,0,0
2021.3.9,27,15,0,0
2021.3.10,27,15,0,0
2021.3.11,27,15,0,0
2021.3.12,27,15,0,0
2021.3.13,27,15,0,0
2021.3.14,27,15,0,0
2021.3.15,27,15,0,0
2021.3.16,27,15,0,0
2021.3.17,27,15,0,0
2021.3.18,27,15,0,0
2021.3.19,27,15,0,0
2021.3.20,27,15,0,0
2021.3.21,27,15,0,0
2021.3.22,27,15,0,0
2021.3.23,27,15,0,0
2021.3.24,27,15,0,0
2021.3.25,27,15,0,0
2021.3.26,27,15,0,0
2021.3.27,27,15,0,0
2021.3.28,27,15,0,0
2021.3.29,27,15,0,0
2021.3.30,27,15,0,0
