date,累计确诊,治愈,死亡,新增确诊
2020.2.22,1,1,0,0
2020.2.23,1,1,0,0
2020.2.24,1,1,0,0
2020.2.25,1,1,0,0
2020.2.26,1,1,0,0
2020.2.27,1,1,0,0
2020.2.28,1,1,0,0
2020.2.29,1,1,0,0
2020.3.1,2,1,0,1
2020.3.2,8,1,0,6
2020.3.3,13,1,0,5
2020.3.4,23,1,0,10
2020.3.5,50,1,0,27
2020.3.6,109,1,0,59
2020.3.7,169,1,0,60
2020.3.8,200,1,0,31
2020.3.9,239,1,0,39
2020.3.10,267,1,0,28
2020.3.11,314,1,1,47
2020.3.12,399,1,3,85
2020.3.14,689,1,4,133
2020.3.15,886,1,4,197
2020.3.16,1085,1,10,172
2020.3.17,1243,1,10,185
2020.3.18,1795,31,21,309
2020.3.19,2257,165,37,462
2020.3.20,2815,204,67,568
2020.3.21,3401,204,75,586
2020.3.22,3743,350,88,342
2020.3.23,4269,350,122,526
2020.3.24,4937,350,178,668
2020.3.25,6235,350,220,1298
2020.3.26,7284,675,289,1049
2020.3.27,9134,858,353,1850
2020.3.28,10836,1063,431,1702
2020.3.29,11899,1527,513,1063
2020.3.30,12775,1696,705,876
2020.3.31,13964,2132,828,1189
2020.4.1,15348,2495,1011,1384
2020.4.2,16770,2872,1143,1422
2020.4.3,18431,3247,1283,1661
2020.4.4,19961,3751,1447,1260
2020.4.5,20814,3986,1632,1123
2020.4.6,22194,4157,2035,1380
2020.4.7,23403,4681,2240,1209
2020.4.8,24983,5164,2523,1580
2020.4.9,26667,5568,3019,1684
2020.4.10,28018,5986,3346,1351
2020.4.11,29647,6463,3600,1629
2020.4.12,30589,6707,3903,942
2020.4.13,31119,6868,4157,530
2020.4.14,33573,7107,4440,2454
2020.4.15,34809,7562,4857,1236
2020.4.16,36138,7961,5163,1329
2020.4.17,37183,8348,5453,1045
2020.4.18,38496,8757,5683,1313
2020.4.19,39983,8895,5828,1487
2020.4.20,40956,9002,5998,973
2020.4.21,41889,9433,6262,933
2020.4.22,42797,9800,6490,908
2020.4.23,44293,10122,6679,1496
2020.4.24,45325,10417,6917,1032
2020.4.25,46134,10785,7094,809
2020.4.26,46687,10878,7207,553
2020.4.27,47334,10943,7331,647
2020.4.28,47859,11283,7501,525
2020.4.29,48519,11576,7594,660
2020.4.30,49032,11892,7703,513
2020.5.1,49517,12211,7765,485
2020.5.2,49906,12309,7844,389
2020.5.3,50267,12378,7924,361
2020.5.4,50509,12441,8016,242
2020.5.5,50781,12731,8339,272
2020.5.6,51420,12980,8415,639
2020.5.7,52011,13201,8521,591
2020.5.8,52596,13411,8581,585
2020.5.9,53081,13642,8656,485
2020.5.10,53449,13697,8707,368
2020.5.11,53779,13732,8761,330
2020.5.12,53981,13937,8843,202
2020.5.13,54288,14111,8903,307
2020.5.14,54644,14301,8959,356
2020.5.15,54989,14460,9005,345
2020.5.16,55280,14630,9052,291
2020.5.17,55559,14657,9080,279
2020.5.18,55559,14657,9080,0
2020.5.19,55791,14687,9108,232
2020.5.20,55983,14847,9150,192
2020.5.21,56235,14988,9186,252
2020.5.22,56511,15123,9212,276
2020.5.23,56810,15155,9237,299
2020.5.24,57092,15272,9280,282
2020.5.25,57342,15297,9312,250
2020.5.26,57455,15320,9334,113
2020.5.27,57592,15465,9364,137
2020.5.28,57849,15572,9388,257
2020.5.29,58061,15682,9430,212
2020.5.30,58186,15769,9453,125
2020.5.31,58381,15887,9467,195
2020.6.1,58517,15919,9486,136
2020.6.2,58615,15934,9505,98
2020.6.3,58685,15959,9522,70
2020.6.4,58767,16048,9548,82
2020.6.5,58907,16112,9566,140
2020.6.6,59072,16190,9580,165
