date,累计确诊,治愈,死亡,新增确诊
2020.4.8,7,2,1,1
2020.4.10,7,2,1,1
2020.4.24,7,6,1,0
2020.4.28,8,6,1,1
2020.5.12,9,6,1,1
2020.5.13,15,6,2,6
2020.5.15,29,7,3,3
2020.5.16,40,7,4,11
2020.5.17,62,7,4,22
2020.5.18,62,7,4,0
2020.5.19,81,7,4,19
2020.5.20,131,7,4,50
2020.5.21,141,7,4,10
2020.5.22,173,7,5,32
2020.5.23,200,7,6,27
2020.5.24,227,7,6,27
2020.5.25,237,15,6,10
2020.5.26,262,15,9,25
2020.5.27,268,15,13,6
2020.5.28,292,15,16,24
2020.5.29,346,15,19,54
2020.5.30,423,21,20,77
2020.5.31,483,21,20,60
2020.6.1,530,27,23,47
2020.6.2,588,27,23,58
2020.6.3,668,55,31,80
2020.6.4,745,57,34,77
2020.6.5,784,65,39,39
2020.6.6,883,69,43,99
2020.6.7,947,104,49,64
2020.6.8,1049,108,55,102
2020.6.9,1104,119,59,55
2020.6.10,1162,139,61,58
2020.6.11,1283,142,71,121
2020.6.12,1439,250,74,156
2020.6.13,1572,278,81,133
2020.6.14,1682,311,83,110
2020.6.15,1783,332,87,101
2020.6.16,1887,360,91,104
2020.6.17,2057,373,93,170
2020.6.18,2223,427,95,166
2020.6.19,2424,550,97,201
2020.6.20,2621,653,102,197
2020.6.21,2813,696,108,192
2020.6.22,2984,811,111,171
2020.6.23,3121,905,112,137
2020.6.24,3292,963,114,171
2020.6.25,3519,1074,116,227
2020.6.26,3739,1225,119,220
2020.6.27,3907,1280,120,168
2020.6.28,4025,1344,121,118
2020.6.29,4149,1419,126,124
2020.6.30,4237,1497,128,88
2020.7.1,4363,1622,129,126
2020.7.2,4472,1677,129,109
2020.7.3,4606,1727,129,134
2020.7.4,4705,1765,129,99
2020.7.5,4827,1805,129,122
2020.7.6,4879,1844,130,52
2020.7.7,4948,1896,133,69
2020.7.8,5024,1944,135,76
2020.7.9,5087,1994,139,63
2020.7.10,5126,2026,144,39
2020.7.11,5203,2111,146,77
2020.7.12,5275,2160,147,72
2020.7.13,5355,2363,147,80
2020.7.14,5446,2501,147,91
2020.7.15,5518,2664,147,72
2020.7.16,5564,2830,149,46
2020.7.17,5659,2993,150,95
2020.7.18,5710,3153,151,51
2020.7.19,5813,3279,153,103
2020.7.20,5873,3436,155,60
2020.7.21,5923,3632,155,50
2020.7.22,5985,3826,155,62
2020.7.23,6027,3977,155,42
2020.7.24,6067,4086,156,40
2020.7.25,6116,4206,156,49
2020.7.26,6151,4299,156,35
2020.7.27,6171,4430,156,20
2020.7.28,6208,4653,156,37
2020.7.29,6249,4683,156,41
2020.7.30,6273,4776,156,24
2020.7.31,6295,4889,157,22
2020.8.1,6310,4962,157,15
2020.8.2,6319,5043,157,9
2020.8.3,6323,5115,157,4
2020.8.4,6382,5174,157,59
2020.8.5,6418,5209,157,36
2020.8.6,6444,5291,157,26
2020.8.7,6444,5291,157,0
2020.8.8,6498,5443,157,54
2020.8.9,6510,5527,157,12
2020.8.10,6523,5527,157,13
2020.8.11,6555,5570,157,32
2020.8.12,6598,5704,157,43
2020.8.13,6622,5741,157,24
2020.8.14,6653,5843,157,31
2020.8.15,6676,5889,157,23
2020.8.16,6693,5928,157,17
2020.8.17,6701,5985,157,8
2020.8.18,6762,6018,157,61
2020.8.19,6789,6051,157,27
2020.8.20,6829,6094,158,40
2020.8.21,6848,6123,158,19
2020.8.22,6885,6186,158,37
2020.8.23,6894,6203,158,9
2020.8.24,6905,6232,158,11
2020.8.25,6928,6282,158,23
2020.8.26,6960,6321,158,32
2020.8.27,6977,6356,158,17
2020.8.28,6993,6381,158,16
2020.8.29,7012,6407,158,19
2020.8.30,7012,6407,158,0
2020.8.31,7016,6430,159,4
2020.9.1,7048,6464,159,32
2020.9.2,7075,6464,159,27
2020.9.3,7089,6548,160,14
2020.9.4,7106,6588,160,17
2020.9.5,7126,6623,160,20
2020.9.6,7134,6658,160,8
2020.9.7,7142,6669,160,8
2020.9.8,7165,6681,160,23
2020.9.9,7165,6681,160,0
2020.9.10,7191,6701,161,26
2020.9.11,7222,6758,161,31
2020.9.12,7266,6786,161,44
2020.9.13,7274,6804,161,8
2020.9.14,7276,6825,161,2
2020.9.15,7295,6835,161,19
2020.9.16,7319,6839,161,24
2020.9.17,7332,6844,161,13
2020.9.18,7346,6865,161,14
2020.9.19,7361,6882,161,15
2020.9.20,7365,6927,161,4
2020.9.21,7368,6951,161,3
2020.9.22,7384,6977,161,16
2020.9.23,7403,7011,161,19
2020.9.24,7425,7028,161,22
2020.9.25,7433,7052,161,8
2020.9.26,7457,7070,161,24
2020.9.27,7462,7070,161,5
2020.9.28,7464,7070,161,2
2020.9.29,7474,7091,161,10
2020.9.30,7488,7111,161,14
2020.10.1,7502,7120,161,14
2020.10.2,7505,7138,161,3
2020.10.3,7511,7163,162,6
2020.10.4,7517,7174,162,6
2020.10.5,7520,7188,162,3
2020.10.6,7523,7204,162,3
2020.10.7,7529,7208,162,6
2020.10.8,7535,7212,162,6
2020.10.9,7540,7227,162,5
2020.10.10,7548,7245,163,8
2020.10.11,7550,7266,163,2
2020.10.12,7550,7274,163,0
2020.10.13,7554,7297,163,4
2020.10.14,7565,7301,163,11
2020.10.15,7572,7314,163,7
2020.10.16,7585,7326,163,13
2020.10.17,7603,7339,163,18
2020.10.18,7607,7342,163,4
2020.10.19,7608,7347,163,1
2020.10.20,7621,7355,163,13
2020.10.21,7634,7359,163,13
