date,累计确诊,治愈,死亡,新增确诊
2020.4.7,273,19,7,5
2020.4.8,273,19,7,5
2020.4.9,314,23,7,41
2020.4.10,318,23,9,4
2020.4.11,319,28,9,1
2020.4.15,324,65,9,0
2020.4.16,324,108,9,1
2020.4.17,325,108,9,3
2020.4.18,328,208,9,1
2020.4.22,329,261,9,2
2020.4.23,331,266,9,1
2020.4.26,332,299,9,0
2020.5.2,332,314,10,0
2020.5.16,332,322,10,0
2020.5.17,332,322,10,0
2020.5.18,332,322,10,0
2020.5.19,332,322,10,0
2020.5.20,332,322,10,0
2020.5.21,332,322,10,0
2020.5.22,332,322,10,0
2020.5.23,332,322,10,2
2020.5.24,334,322,10,0
2020.5.25,334,322,10,0
2020.5.26,334,322,10,0
2020.5.27,334,322,10,0
2020.5.28,334,322,10,1
2020.5.29,335,322,10,0
2020.5.30,335,322,10,0
2020.5.31,335,322,10,0
2020.6.1,335,322,10,0
2020.6.2,335,322,10,0
2020.6.3,335,322,10,0
2020.6.4,335,322,10,2
2020.6.5,337,322,10,0
2020.6.6,337,324,10,0
2020.6.7,337,324,10,0
2020.6.8,337,324,10,0
2020.6.9,337,324,10,0
2020.6.10,337,324,10,0
2020.6.11,337,325,10,0
2020.6.12,337,325,10,0
2020.6.13,337,325,10,0
2020.6.14,337,325,10,0
2020.6.15,337,325,10,0
2020.6.16,337,325,10,0
2020.6.17,337,325,10,0
2020.6.18,337,325,10,0
2020.6.19,337,325,10,0
2020.6.20,337,325,10,0
2020.6.21,337,326,10,3
2020.6.22,340,326,10,0
2020.6.23,340,326,10,1
2020.6.24,341,326,10,0
2020.6.25,341,326,10,0
2020.6.26,341,326,10,0
2020.6.27,341,326,10,0
2020.6.28,341,326,10,0
2020.6.29,341,326,10,0
2020.6.30,341,326,10,0
2020.7.1,341,326,10,0
2020.7.2,341,330,10,0
2020.7.3,341,330,10,0
2020.7.4,341,330,10,0
2020.7.5,341,330,10,1
2020.7.6,342,330,10,0
2020.7.7,342,330,10,0
2020.7.8,342,330,10,0
2020.7.9,342,330,10,0
2020.7.10,342,330,10,0
2020.7.11,342,330,10,0
2020.7.12,342,330,10,0
2020.7.13,342,330,10,0
2020.7.14,342,330,10,0
2020.7.15,342,330,10,1
2020.7.16,343,331,10,0
2020.7.17,343,331,10,0
2020.7.18,343,331,10,0
2020.7.19,343,332,10,0
2020.7.20,343,331,10,0
2020.7.21,343,332,10,0
2020.7.22,343,332,10,0
2020.7.23,343,332,10,1
