date,累计确诊,治愈,死亡,新增确诊
2020.4.7,2932,615,41,190
2020.4.8,3122,631,41,327
2020.4.9,3287,666,44,355
2020.4.10,3651,685,47,364
2020.4.11,4033,720,52,382
2020.4.12,4934,805,65,472
2020.4.13,5369,889,73,472
2020.4.14,5862,931,79,493
2020.4.15,6380,990,83,518
2020.4.16,7142,1049,87,762
2020.4.17,8274,1329,92,1132
2020.4.18,9362,1398,97,1088
2020.4.19,10484,1490,103,1122
2020.4.20,11631,1640,109,1147
2020.4.21,12772,1812,114,1141
2020.4.22,13930,1925,121,1158
2020.4.23,15102,2049,127,1172
2020.4.24,16299,2215,136,1197
2020.4.25,17522,2357,139,1223
2020.4.26,18811,2357,144,1289
2020.4.27,20077,2784,152,1266
2020.4.28,21402,2953,157,1325
2020.4.29,22753,3163,162,1351
2020.4.30,24097,3555,169,1344
2020.5.1,25459,3765,176,1362
2020.5.2,27011,4134,184,155
2020.5.3,28656,4476,191,1645
2020.5.4,30251,5431,200,1595
2020.5.5,31938,6783,209,1687
2020.5.6,33731,7798,219,1793
2020.5.7,35432,7798,229,1701
2020.5.8,37136,10144,239,1704
2020.5.9,39048,11457,246,1912
2020.5.10,41014,12737,255,1966
2020.5.11,42925,15257,264,1
2020.5.12,44830,17622,273,1905
2020.5.13,46869,19051,283,2039
2020.5.14,49176,21869,292,2307
2020.5.15,52016,23666,302,2840
2020.5.16,54752,25722,312,2736
2020.5.17,57345,28748,320,2593
2020.5.18,57345,28748,320,0
2020.5.19,59854,31634,329,2509
2020.5.20,62545,33478,339,2691
2020.5.21,65077,36040,351,2532
2020.5.22,67719,39003,364,2642
2020.5.23,70161,41236,379,2442
2020.5.24,72560,43520,390,2399
2020.5.25,74795,45668,399,2235
2020.5.26,76726,48450,411,1931
2020.5.27,78541,51022,425,1815
2020.5.28,80185,54553,441,1644
2020.5.29,81766,57013,458,1581
2020.5.30,83384,58883,480,1618
2020.5.31,85261,62442,503,1877
2020.6.1,87142,64306,525,1881
2020.6.2,89011,65790,549,1869
2020.6.3,91182,68159,579,2171
2020.6.4,93157,68965,611,1975
2020.6.5,95748,70616,642,2591
2020.6.6,98869,71791,676,3121
2020.6.7,101914,72817,712,3045
2020.6.8,105283,74524,746,3369
2020.6.9,108571,76339,783,3288
2020.6.10,112288,77954,819,3717
2020.6.11,116021,80019,857,3733
2020.6.12,119942,81029,893,3921
2020.6.13,123308,82548,932,3366
2020.6.14,127541,84720,972,4233
2020.6.15,132048,87890,1011,4507
2020.6.16,136315,89540,1052,4267
2020.6.17,141234,91662,1091,4919
2020.6.18,145991,93915,1139,4757
2020.6.19,150292,95764,1184,4301
2020.6.20,154233,98917,1230,3941
2020.6.21,157612,101130,1267,3379
2020.6.22,161005,105175,1307,3393
2020.6.23,164144,109885,1346,3139
2020.6.24,167267,112797,1387,3123
2020.6.25,170639,117882,1428,3372
2020.6.26,174577,120471,1474,3938
2020.6.27,178504,122128,1511,3927
2020.6.28,182493,124755,1551,3989
2020.6.29,186436,127118,1599,3943
2020.6.30,190823,130766,1649,4387
2020.7.1,194225,132760,1698,3402
2020.7.2,197608,137669,1752,3383
2020.7.3,201801,140614,1802,4193
2020.7.4,205929,143256,1858,4128
2020.7.5,209509,145236,1916,3580
2020.7.6,213716,149634,1968,4207
2020.7.7,217108,154839,2017,3392
2020.7.8,220144,158050,2059,3036
2020.7.9,223327,161096,2100,3183
2020.7.10,226486,163026,2151,3159
2020.7.11,229480,165396,2181,2994
2020.7.12,232259,167138,2223,2779
2020.7.13,235111,169842,2243,2852
2020.7.14,237803,177560,2283,2692
2020.7.15,240474,183048,2325,2671
2020.7.16,243238,187622,2370,2764
2020.7.17,245851,191161,2407,2613
2020.7.18,248416,194218,2447,2565
2020.7.19,250920,197735,2486,2504
2020.7.20,253349,203259,2523,2429
2020.7.21,255825,207259,2557,2476
2020.7.22,258156,210398,2601,2331
2020.7.23,260394,213490,2635,2238
2020.7.24,262772,215731,2672,2378
2020.7.25,264973,217782,2703,2201
