date,累计确诊,治愈,死亡,新增确诊
2020.2.22,12,4,1,0
2020.2.23,12,4,1,0
2020.2.24,12,4,1,0
2020.2.25,12,11,1,0
2020.2.26,17,11,1,5
2020.2.27,17,11,2,0
2020.2.28,38,11,2,21
2020.2.29,57,12,0,19
2020.3.1,100,12,2,43
2020.3.2,130,12,3,30
2020.3.3,191,12,3,61
2020.3.4,212,12,4,21
2020.3.5,257,12,4,45
2020.3.6,577,12,7,320
2020.3.7,653,12,10,76
2020.3.8,949,12,16,296
2020.3.9,1212,12,25,263
2020.3.10,1606,12,30,394
2020.3.11,1784,12,33,178
2020.3.12,2284,12,48,500
2020.3.13,3661,12,79,785
2020.3.14,4500,31,91,839
2020.3.15,5423,31,127,923
2020.3.16,6633,31,148,1210
2020.3.17,7730,602,175,1097
2020.3.18,9134,602,264,1404
2020.3.19,10995,1300,372,1861
2020.3.20,12612,1587,450,1617
2020.3.21,14459,1587,562,1847
2020.3.22,16018,1587,674,1559
2020.3.23,19856,1587,860,3176
2020.3.24,22302,3201,1100,2446
2020.3.25,25233,3900,1331,2933
2020.3.26,29155,4948,1696,2922
2020.3.27,32964,5700,1995,3809
2020.3.28,37575,5724,2314,4611
2020.3.29,40174,7132,2606,2599
2020.3.30,44550,7924,3024,4376
2020.3.31,52827,9513,3532,7578
2020.4.1,57749,11053,4043,4861
2020.4.2,59929,12548,4514,2116
2020.4.3,65197,14135,6520,5233
2020.4.4,90848,15572,7574,7788
2020.4.5,93755,16342,8093,2902
2020.4.6,98010,17250,8911,5171
2020.4.7,110070,19523,10343,11086
2020.4.8,113959,21452,10887,3881
2020.4.9,118781,23413,12228,4799
2020.4.10,125930,25195,13215,7120
2020.4.11,129654,26391,13832,3114
2020.4.12,132951,27186,14393,2937
2020.4.13,137875,28001,14986,4188
2020.4.14,143303,28805,15729,6524
2020.4.15,147863,30955,17167,4560
2020.4.16,165027,32812,17920,17164
2020.4.17,147969,34420,18681,1909
2020.4.18,151793,35983,19323,3824
2020.4.19,154097,37183,19744,1119
2020.4.20,155383,37409,20265,2489
2020.4.21,158050,39819,20829,2667
2020.4.22,158183,42088,21856,1827
2020.4.23,159460,42762,21889,1277
2020.4.24,159828,43493,22245,1645
2020.4.25,161488,44594,22614,1660
2020.4.26,162100,45372,22856,612
2020.4.27,165842,45681,23293,3742
2020.4.28,165911,46886,23660,2638
2020.4.29,166420,48228,24087,509
2020.4.30,167178,49476,24376,758
2020.5.1,167346,50212,24594,168
2020.5.2,168396,50562,24760,1050
2020.5.3,168693,50784,24895,168
2020.5.4,169462,51371,25201,769
2020.5.5,170551,52736,25531,1089
2020.5.6,174191,53972,25809,3640
2020.5.7,174791,55027,26230,600
2020.5.8,176079,55782,26230,1288
2020.5.9,176658,56038,26310,579
2020.5.10,176970,56217,26380,312
2020.5.11,177423,56724,26643,453
2020.5.12,178225,57785,26991,802
2020.5.13,178060,58673,27074,637
2020.5.14,178870,59605,27425,810
2020.5.15,179433,60448,27529,563
